V1	V2	V3
AD	AD	0
AD	BI	-0.0955117127517403
AD	AUT	-0.0415602616949231
AD	SCH	-0.159745765509792
AD	ASD	-0.0409080586202198
AD	Epi	-0.0913861945687486
AD	ID	-0.0691729177620938
AD	HTN	-0.0985448634607409
AD	HD	0.111542036322066
AD	PD	-0.049877757422982
AD	FTD	0.0447168287041795
BI	BI	0
BI	AUT	-0.0714869792225557
BI	SCH	-0.0828024901582409
BI	ASD	-0.0719004917822286
BI	Epi	-0.0945134254076907
BI	ID	-0.0846642381726053
BI	HTN	-0.0953474933756443
BI	HD	0.0421662203389829
BI	PD	-0.0731222670736821
BI	FTD	-0.014028668567565
AUT	AUT	0
AUT	SCH	-0.0132597752220706
AUT	ASD	-0.0693904940104564
AUT	Epi	-0.0713726378978849
AUT	ID	-0.074348738913894
AUT	HTN	-0.0731902540543077
AUT	HD	-0.000340700167139021
AUT	PD	-0.072209316356741
AUT	FTD	-0.0392429625407684
SCH	SCH	0
SCH	ASD	-0.0135201600642362
SCH	Epi	-0.075828451654401
SCH	ID	-0.0468417941501085
SCH	HTN	-0.0853359091330478
SCH	HD	0.152084785200987
SCH	PD	-0.0239890490730234
SCH	FTD	0.0814813616490237
ASD	ASD	0
ASD	Epi	-0.0712206550459786
ASD	ID	-0.0724171049885153
ASD	HTN	-0.0704713029570849
ASD	HD	0.000370357142857131
ASD	PD	-0.0696903562902843
ASD	FTD	-0.0391420090239695
Epi	Epi	0
Epi	ID	-0.0861814374249208
Epi	HTN	-0.0956231180574614
Epi	HD	0.0376502669865349
Epi	PD	-0.0757706237424546
Epi	FTD	-0.0165941095404175
ID	ID	0
ID	HTN	-0.0859156759745572
ID	HD	0.0178716061567924
ID	PD	-0.0749966926936522
ID	FTD	-0.0303404699332618
HTN	HTN	0
HTN	HD	0.0421439417671922
HTN	PD	-0.0741067147423632
HTN	FTD	-0.0128680039328261
HD	HD	0
HD	PD	0.00611541003701389
HD	FTD	-0.0290486565108344
PD	PD	0
PD	FTD	-0.0353205370193151
FTD	FTD	0
