V1	V2	V3
AD	AD	0
AD	BI	0.0296568144302362
AD	AUT	0.0324458856280194
AD	SCH	0.0244920419163363
AD	ASD	0.03173350457628
AD	Epi	0.0294060183887136
AD	ID	0.030091735360324
AD	HTN	0.0291641415839283
AD	HD	0.0393179549011507
AD	PD	0.031071278053242
AD	FTD	0.0367163505767023
BI	BI	0
BI	AUT	0.0349904014017909
BI	SCH	0.027225888701589
BI	ASD	0.0360968812995739
BI	Epi	0.0327132528339028
BI	ID	0.0351868575312198
BI	HTN	0.0327831297698999
BI	HD	0.0448265930749784
BI	PD	0.0361485597701408
BI	FTD	0.040307483367798
AUT	AUT	0
AUT	SCH	0.0306402189462877
AUT	ASD	0.0388906918047172
AUT	Epi	0.0370330946913279
AUT	ID	0.0391238152674149
AUT	HTN	0.0363131406500664
AUT	HD	0.0457867781964644
AUT	PD	0.0404313743391824
AUT	FTD	0.0426531820831374
SCH	SCH	0
SCH	ASD	0.0306808801284153
SCH	Epi	0.0271381495432267
SCH	ID	0.0287517602060729
SCH	HTN	0.0272411023071394
SCH	HD	0.0381528807356061
SCH	PD	0.0304316562308233
SCH	FTD	0.0357165241462739
ASD	ASD	0
ASD	Epi	0.036196706188274
ASD	ID	0.0376773398265554
ASD	HTN	0.0358999452821251
ASD	HD	0.0460998787590894
ASD	PD	0.0395664387698759
ASD	FTD	0.0425928884320671
Epi	Epi	0
Epi	ID	0.033798907095298
Epi	HTN	0.0323895882389888
Epi	HD	0.0444030383619722
Epi	PD	0.0346820177174616
Epi	FTD	0.0403067958994229
ID	ID	0
ID	HTN	0.0329536457135209
ID	HD	0.0465030353648044
ID	PD	0.0356244130722838
ID	FTD	0.041969118546233
HTN	HTN	0
HTN	HD	0.044199730018602
HTN	PD	0.0355617422262846
HTN	FTD	0.0407390976359479
HD	HD	0
HD	PD	0.0473502246991393
HD	FTD	0.0537220368617934
PD	PD	0
PD	FTD	0.0425003728780689
FTD	FTD	0
