V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101	V102
AD	AD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AD	BI	-0.10173258037744	-0.100281321040667	-0.114904467217551	-0.0896598617977123	-0.0751532674196226	-0.107408752210154	-0.095546178688702	-0.113161061595641	-0.105224939559052	-0.106547919748854	-0.0953357629993145	-0.0982267347454263	-0.0896099303575938	-0.0997900353624653	-0.112514794500776	-0.0905819019954533	-0.105369501677913	-0.087056345397467	-0.085236892433154	-0.0883903763576662	-0.105905035542886	-0.105489255944863	-0.112675414065601	-0.102094865225706	-0.120141179229964	-0.103103552484394	-0.098494434020135	-0.103661503626457	-0.118291099844838	-0.0984464872081695	-0.104132717497204	-0.0909374210659258	-0.104152653989102	-0.133812876628297	-0.11545623894923	-0.127262295673511	-0.0944042958178472	-0.118479955255656	-0.0894918449824992	-0.0959439613177931	-0.117182730126655	-0.103971872406452	-0.111968345180962	-0.130673916573449	-0.104383637642983	-0.109894318550861	-0.101642054270559	-0.11761352975138	-0.121726400967055	-0.106156316530148	-0.113364937033161	-0.0910585735936203	-0.10411368310901	-0.127023463717389	-0.121544356439216	-0.114863737235233	-0.122535362465269	-0.0983402644968065	-0.0908635838776025	-0.0984930357593909	-0.0880928625554793	-0.107041280265579	-0.0873992350160575	-0.10279949843034	-0.141154873164219	-0.116857792371811	-0.123716306426587	-0.0897590481001697	-0.104724858369718	-0.098363944719085	-0.0959082380110418	-0.0913813462995707	-0.112395942337531	-0.0980063959152744	-0.122777441994732	-0.098504763107567	-0.122633150506982	-0.121217569371775	-0.0847871035254212	-0.104686924908888	-0.0941114729549309	-0.0717448489878397	-0.105402789304659	-0.111342691155775	-0.105524077147909	-0.0888693934254682	-0.105102208349872	-0.136618103417169	-0.115535533864973	-0.113170759210479	-0.13634724677949	-0.103960370584202	-0.121695729441056	-0.0875667556742323	-0.126536282611049	-0.116372460578068	-0.115554162306499	-0.123260744055136	-0.122766120593223	-0.0949889041244181
AD	AUT	-0.0613788913909138	-0.0624233012734882	-0.0689405620650611	-0.0702574170197067	-0.0416128837321731	-0.0834418692670763	-0.0772204464206202	-0.03901164713815	-0.0792100651374629	-0.082967889266313	-0.0681481940892841	-0.0720332875335546	-0.0588221505540501	-0.0450323938017633	-0.0856253578107706	-0.0891743476712084	-0.0708890563973386	-0.0579868770912052	-0.0676792870501125	-0.0404800071244099	-0.0421268431230359	-0.0515511335445212	-0.0639977004694478	-0.0502902879024974	-0.0550670457870565	-0.0599027231785047	-0.0699505903082581	-0.0839425180972736	-0.0533874502245461	-0.0697931058610995	-0.0917987226950625	-0.0551325808175261	-0.0377111242573438	-0.0733234577560651	-0.0737669204737732	-0.0768826571504904	-0.0345947514725902	-0.0571294670686869	-0.0188103507499714	-0.057909144689134	-0.0547675979288322	-0.0695214877294759	-0.0780048630459398	-0.0673603901886696	-0.0549689102197118	-0.0564043516150783	-0.061802746078394	-0.0465417827563834	-0.0558447673752909	-0.0588456865514038	-0.0590926236912077	-0.0916607031538237	-0.0522477195526889	-0.0666916498098037	-0.0712151094741931	-0.0867149631693447	-0.0647579926974797	-0.0771849197867766	-0.048551772833098	-0.0544242904214852	-0.039717854280371	-0.0455281286973779	-0.0483228375507296	-0.0489786649364529	-0.0481466992353981	-0.0649726155490249	-0.0863053891072859	-0.0782502576237549	-0.0593978919379668	-0.111735525361628	-0.0670517346666159	-0.0556197123519459	-0.0701478156050024	-0.053387291197537	-0.0711201385443303	-0.0586348485426765	-0.0379752681195374	-0.0542194954391054	-0.037208726130046	-0.03984614136865	-0.0354364496266046	-0.0706323549991731	-0.0427740035367608	-0.079574443723522	-0.048661803620727	-0.0605078686564126	-0.0403659529534496	-0.0889638118137984	-0.0757827150363217	-0.0756284906428508	-0.0645091949416689	-0.0526235162780046	-0.0804090333702276	-0.0495194203783571	-0.039238960345025	-0.0625398203630904	-0.0812606071015101	-0.0747910385099806	-0.0809887027212702	-0.046078425759831
AD	SCH	-0.213371625099434	-0.198557566328202	-0.204514762996584	-0.21000181320481	-0.17668885405456	-0.190900343924009	-0.184634259042628	-0.192003532824856	-0.2071453722334	-0.183210425342754	-0.200476931355575	-0.187617682841233	-0.208163749941509	-0.200690714051753	-0.216779280333162	-0.209465689485752	-0.183053787843339	-0.198552126713771	-0.188783398062795	-0.196925974451359	-0.200149794113518	-0.196651712601189	-0.175052465958542	-0.172158415609939	-0.19612442094427	-0.183824984792476	-0.198866746993589	-0.189474463057414	-0.182475492489823	-0.194576411960133	-0.202527958448364	-0.202600311169342	-0.17732008329044	-0.196042943708764	-0.213474860792663	-0.21613015301109	-0.184641160919002	-0.199126035281456	-0.197466894389593	-0.181042183332553	-0.183020097328155	-0.185809625193018	-0.199124339057601	-0.18580570633101	-0.191939368770764	-0.211038147489589	-0.174901092602124	-0.197270775817697	-0.204974088718356	-0.191664989939638	-0.197486430209162	-0.195697031023349	-0.189426676337092	-0.195706038556923	-0.199146565439146	-0.193914943147256	-0.197203570258762	-0.18554518974311	-0.176366805484067	-0.21113015301109	-0.192899372982078	-0.212378105844368	-0.202874923962379	-0.179812128585466	-0.202585747040382	-0.211066983295119	-0.211750152075242	-0.185783538439942	-0.183198142342427	-0.210019067895747	-0.191743835103645	-0.189354323616115	-0.204827979504937	-0.202732031725235	-0.184910919002387	-0.198730990594731	-0.198553647466193	-0.185457161574096	-0.204569861026625	-0.185737740395863	-0.193878445089139	-0.212553460296664	-0.213614243601142	-0.185080716859295	-0.201470158158252	-0.190091011183379	-0.19411866548126	-0.217643184689533	-0.199554244069065	-0.210307016517711	-0.213429004258107	-0.214421704646484	-0.208959395910346	-0.185652987693603	-0.197656169575593	-0.194642857142857	-0.184914954845351	-0.194683449534416	-0.199967947218193	-0.220885896776005
AD	ASD	-0.055266530387609	-0.0551162630709961	-0.0428614670964698	-0.0410860720182404	-0.0624225568047803	-0.0572172537149147	-0.0734423893387845	-0.034053188143722	-0.0672374990172183	-0.0818000628980267	-0.0296102287915717	-0.071213342243887	-0.0517959352150327	-0.0732601816180517	-0.0748671279188615	-0.0693939185470556	-0.0424107634247976	-0.0799345467410961	-0.052635034200802	-0.0533434232250963	-0.0763720614828209	-0.0593241410488246	-0.046791119584873	-0.0707710904945358	-0.0788312760437141	-0.0554964030191052	-0.0508940364808554	-0.0780453455460336	-0.0484077954241686	-0.0676580312917682	-0.0486028775847158	-0.0471154375343974	-0.0476556726157717	-0.0861462182561521	-0.0510807649972482	-0.0505139948109129	-0.0562419411903451	-0.0687670021228084	-0.0493647299315984	-0.0589211022879157	-0.0469421731268181	-0.0585303482978222	-0.0993534279424484	-0.0956469651702179	-0.0305846568126426	-0.058536932934979	-0.0635640577089394	-0.0515420827109049	-0.0522439853762087	-0.0502203396493435	-0.055859540844406	-0.062702747857536	-0.0745878213696046	-0.0784636174227534	-0.0736387491154964	-0.0673654571900307	-0.0612369290038525	-0.0574059477946379	-0.069502712477396	-0.0711661687239563	-0.054820937180596	-0.0637776161647928	-0.0693387844956364	-0.0812386980108499	-0.0413935844012894	-0.088154925701706	-0.0731840160389969	-0.0784609639122573	-0.0659456325182797	-0.0785197342558377	-0.0482433760515764	-0.0484885800770501	-0.0764449838823807	-0.0497316023272271	-0.0474165618366223	-0.0409041591320073	-0.0852323295856591	-0.0813196792200645	-0.0646503262835129	-0.0553401407343345	-0.0503837762402706	-0.0564847865398222	-0.0648663416935295	-0.0434593914615929	-0.0432470123437377	-0.0654218098907146	-0.0669934743297429	-0.0724359226354275	-0.0644428610739838	-0.0879378292318579	-0.105868877270226	-0.0586359973268338	-0.0965414930419058	-0.0588411038603664	-0.0588784495636449	-0.0972625599496816	-0.0567000157245067	-0.0728999921377467	-0.0820603034829782	-0.0740512225803916
AD	Epi	-0.136449564916189	-0.135391984487401	-0.119764947573692	-0.114502143842707	-0.0962905875688699	-0.126708914385993	-0.11539650086213	-0.109219303483158	-0.125075685158925	-0.118398725080998	-0.111103110174665	-0.139697943518524	-0.131992912544996	-0.1145459919088	-0.151242644146032	-0.135617874988278	-0.0956518267396175	-0.137558569342619	-0.119708512026761	-0.113407078460529	-0.143929487621114	-0.105457108314531	-0.112206528936375	-0.119277681453966	-0.15745619977686	-0.114752678248489	-0.123428313555057	-0.104674751647233	-0.121124364406374	-0.0970157910449475	-0.119805795886654	-0.136044806360434	-0.12515483414762	-0.0987514783472366	-0.102482333989739	-0.130342876088666	-0.124587261239745	-0.125285761171808	-0.116089584971954	-0.0920258380650013	-0.11497723153884	-0.124871823945589	-0.155619185885181	-0.121772091004951	-0.113271723571074	-0.09777913253072	-0.13013882350352	-0.0960510881401147	-0.129543006508555	-0.125090131338474	-0.140303970199582	-0.116734424248339	-0.116388895267949	-0.122222073111687	-0.14180463856563	-0.133656141695516	-0.14359894305349	-0.135438645719108	-0.136558264104581	-0.105741273923868	-0.12889679413943	-0.106963728343887	-0.12524236282947	-0.13317400673246	-0.145500800891027	-0.132532619325108	-0.131776691104847	-0.130766951236549	-0.10507011384709	-0.114989527177668	-0.11984318515414	-0.123583755308176	-0.137184889568897	-0.114467854798552	-0.11637507583108	-0.133803342500043	-0.110777428843177	-0.105431160689168	-0.10822270607395	-0.111986193002298	-0.135430024419043	-0.100726810999286	-0.124362138618257	-0.112372455472564	-0.107945831730594	-0.109017439713095	-0.124578283509682	-0.134268036314715	-0.11123275739987	-0.124569750719079	-0.124916258087851	-0.112526416486299	-0.116415665792098	-0.118557898584423	-0.133914577364925	-0.139654042825184	-0.122381751358261	-0.144391801248892	-0.12456191165129	-0.129548817035153
AD	ID	-0.0802907010614376	-0.0772030217763641	-0.0725764036958067	-0.0409174123527561	-0.0745980577207638	-0.0951874847076095	-0.0923672474862223	-0.0546904528877858	-0.0723742382933108	-0.0696464981882158	-0.0598080732170529	-0.0669671839863912	-0.0581839339601757	-0.0718757646195252	-0.079450988616636	-0.0921090245493842	-0.0502357358407028	-0.0489683607722511	-0.0671118063080382	-0.065549302666993	-0.0802636845048761	-0.0579766710941777	-0.0733047438451769	-0.0985666806482809	-0.0674265091404803	-0.0832678382094212	-0.0500851858972118	-0.0532536818250667	-0.0856991244014121	-0.0684499341699	-0.0715852237640835	-0.0649684976755566	-0.081797598657765	-0.0972312762883475	-0.0864210708751325	-0.0826257180141448	-0.078250273806611	-0.0618986740769221	-0.0781021706456011	-0.0590192188938213	-0.0710079869970988	-0.05243574283151	-0.0877913855779649	-0.082013337877358	-0.0589921149521712	-0.0724982959907721	-0.0705591626178242	-0.0665485657194123	-0.0855735520290817	-0.06489889545248	-0.0809613233597818	-0.0650763308748996	-0.0641053805911893	-0.0552098844186561	-0.0923327303762219	-0.0797555693429807	-0.0611864856047632	-0.068665411234227	-0.0858026611672318	-0.0379360515921564	-0.0557054598203362	-0.0680229123702332	-0.0690334044065387	-0.090422943828865	-0.0936756498537756	-0.067743047059783	-0.0893467382059258	-0.11634765283652	-0.0648073741363441	-0.0827053549582299	-0.0709104652382118	-0.0667774855232037	-0.0681094964288628	-0.0496829232059841	-0.0335719674461416	-0.0730297575355076	-0.0833840749414518	-0.0580578955340395	-0.0878990003145862	-0.0854516789588358	-0.0789032151886936	-0.0730138534493808	-0.0724746874526664	-0.0576474769012082	-0.0773366627052093	-0.0871418667785196	-0.0485973528143825	-0.0792929672480688	-0.0496136268307175	-0.0970738957437636	-0.0829919052279586	-0.07414416500635	-0.080207233737635	-0.069292006012094	-0.0897118622344951	-0.0823934484486235	-0.0608179535577383	-0.105174071096508	-0.0458538105724306	-0.0682873396483625
AD	HTN	-0.105413213561286	-0.0985218052738336	-0.114561286583599	-0.0803207041437265	-0.0866840046363373	-0.100776369168357	-0.103753911909591	-0.112605186902347	-0.101685525934512	-0.0798768472906404	-0.0969355259345116	-0.1043698927847	-0.119297739785569	-0.0942327586206897	-0.125911619820342	-0.0871394523326573	-0.0809424804404521	-0.0898172993335264	-0.0916879165459287	-0.1102738336714	-0.102313314981165	-0.107702912199363	-0.110614676905245	-0.122259490002898	-0.103086351782092	-0.112516299623298	-0.101038611996523	-0.0843267893364241	-0.13639053897421	-0.0990636047522456	-0.105538684439293	-0.0986039553752536	-0.0915550565053607	-0.102466169226311	-0.0962936105476674	-0.09253767024051	-0.108009924659519	-0.091053462764416	-0.0924305998261374	-0.104980440452043	-0.0798480150680963	-0.0927978846711098	-0.108753187481889	-0.105287960011591	-0.103266082294987	-0.0939612431179369	-0.0988937264560997	-0.0945264416111272	-0.109982106635758	-0.0976077948420748	-0.120211388003477	-0.0984981889307447	-0.099494784120545	-0.0984079252390611	-0.108719863807592	-0.0986804549405969	-0.105674442190669	-0.106279701535787	-0.131792234135033	-0.116105621558968	-0.0924530570849029	-0.0938480150680962	-0.0998690234714575	-0.0793900318748189	-0.107383077368879	-0.115723123732252	-0.104555056505361	-0.0874856563314981	-0.0757399304549407	-0.11594856563315	-0.105644595769342	-0.130050202839757	-0.124602361634309	-0.102385757751377	-0.1108937264561	-0.0717223993045495	-0.121478412054477	-0.108259924659519	-0.10284250941756	-0.0977757896261953	-0.083475007244277	-0.10082179078528	-0.100681251811069	-0.111716603882932	-0.112039915966387	-0.097907852796291	-0.0789915966386555	-0.126606345986671	-0.100975297015358	-0.111755505650536	-0.126447768762677	-0.102500796870472	-0.113421109823239	-0.0864943494639235	-0.110774558099102	-0.100326427122573	-0.104947406548826	-0.094269197334106	-0.123063749637786	-0.121310199942046
AD	HD	0.103420441347271	0.0915193089430895	0.0926887340301974	0.094047619047619	0.123303571428571	0.0861788617886179	0.0839191347270615	0.0944693670150988	0.0902141405342626	0.11668118466899	0.122983449477352	0.090887049941928	0.135324477351916	0.0804878048780488	0.111373403019745	0.0764278455284552	0.110154616724739	0.117791085946574	0.102004210220674	0.0920731707317073	0.0845434088269453	0.109729965156795	0.0971283391405341	0.0961447444831592	0.0587637921022067	0.120522648083624	0.0955074041811847	0.0873199767711964	0.093906794425087	0.107380952380952	0.0938400116144019	0.12770325203252	0.112598722415796	0.105974157955865	0.0753455284552845	0.100552409988386	0.122964576074332	0.0785953832752613	0.112641550522648	0.139261033681765	0.0847800522648083	0.0842356271777003	0.10172619047619	0.0791216608594657	0.0825471835075493	0.0893263646922182	0.0953941637630663	0.0866608594657375	0.086093931475029	0.0598344947735193	0.105895034843206	0.0878484320557492	0.10503193960511	0.0936563588850175	0.105855836236934	0.0940149535423925	0.0914583333333334	0.0839198606271777	0.123712979094077	0.0938298490127759	0.110241724738676	0.11704631242741	0.0838022648083623	0.101528745644599	0.108681765389082	0.0816412601626016	0.0743466898954703	0.125260598141696	0.119506387921022	0.0956830720092916	0.10990781068525	0.118409552845529	0.107856416957027	0.104661004645761	0.0925232288037166	0.092766405342625	0.0668779036004646	0.107659698025552	0.116771196283391	0.108257839721254	0.110702671312427	0.108167828106852	0.0974571718931475	0.0829972415795587	0.145997386759582	0.111030052264808	0.0964053426248548	0.088024825783972	0.0702881823461091	0.0721297909407665	0.125350609756098	0.0851139663182344	0.0834480255516841	0.097470238095238	0.102228513356562	0.103588850174216	0.0743481416957027	0.0583696283391405	0.0951538908246224	0.100179297328688
AD	PD	-0.0807733087788162	-0.0469754534083803	-0.0679842672407581	-0.0606999298236513	-0.0851999161342198	-0.0715234067663257	-0.0750779829271174	-0.101778855160051	-0.0793198045725584	-0.0837533106809268	-0.0588879066121395	-0.0398288460817965	-0.0535185369312041	-0.0708526246242611	-0.0879777539533636	-0.104361370009482	-0.0990477703518619	-0.0563339342273253	-0.0489692434499673	-0.0709712723678106	-0.100409951640282	-0.0838768001602384	-0.0851142166907314	-0.0692633861024892	-0.0948998510013457	-0.0616503077960592	-0.096830107670981	-0.0813165450468756	-0.0651139645169936	-0.0822670635160799	-0.0555523757648069	-0.0928142336944461	-0.0820143422012029	-0.0890171672675607	-0.0773669783534063	-0.0733211929691079	-0.0656862187772889	-0.105254717089886	-0.0748117342924581	-0.0576055815414588	-0.0699031292599348	-0.0817753247277245	-0.070705672179905	-0.0831163306271488	-0.0801423880997052	-0.0836248497765021	-0.0667785777689396	-0.0529128912655664	-0.106257197758968	-0.0752050460685394	-0.0504918324528868	-0.100814467135278	-0.052674489816504	-0.0834235070594237	-0.0845691899891348	-0.0922103712573815	-0.0712283382759386	-0.0665092129873798	-0.0870459503779725	-0.0516002585141058	-0.0785951112878729	-0.0528289498332771	-0.0541250435900318	-0.0441602182239476	-0.083225475023272	-0.102563648651375	-0.0842761388886487	-0.0762569203678566	-0.0826141410386099	-0.0924537297216292	-0.0870976892239677	-0.0684753323649862	-0.0756933444866175	-0.0678108905911816	-0.0612095729473778	-0.0814797843121998	-0.0800417311510938	-0.0637942348760603	-0.076452643213068	-0.051431053538646	-0.0613321437937881	-0.0835217863699375	-0.0675951415487214	-0.0549569863653263	-0.075663328606877	-0.0910989875584683	-0.0544041350728998	-0.0741225722874032	-0.0946560746491903	-0.0793174341394247	-0.111356366882527	-0.0642018232881726	-0.0863256737361772	-0.068736652804316	-0.0900714876521329	-0.0620466780793296	-0.0784031998685814	-0.068672600674961	-0.0692676730560287	-0.0756954303236758
