V1	V2	V3
AD	AD	0
AD	BI	-0.106202030635442
AD	AUT	-0.0620286248616466
AD	SCH	-0.196509491834729
AD	ASD	-0.0631508333988526
AD	Epi	-0.122071416610692
AD	ID	-0.0722831102100734
AD	HTN	-0.102729565343379
AD	HD	0.0982319976771199
AD	PD	-0.0752504308568435
AD	FTD	-0.0303901184143872
BI	BI	0
BI	AUT	-0.091641738514328
BI	SCH	-0.0761213763514058
BI	ASD	-0.092191629507669
BI	Epi	-0.111701500409734
BI	ID	-0.0965594918689181
BI	HTN	-0.106202643778885
BI	HD	0.0118254504504503
BI	PD	-0.097610641410468
BI	FTD	-0.0728042455878008
AUT	AUT	0
AUT	SCH	-0.0163212956296347
AUT	ASD	-0.0898742572921767
AUT	Epi	-0.0878435932966435
AUT	ID	-0.0886646363756015
AUT	HTN	-0.0897979689437951
AUT	HD	-0.0108034437946718
AUT	PD	-0.0905881729253668
AUT	FTD	-0.0795064144736841
SCH	SCH	0
SCH	ASD	-0.0196825252084858
SCH	Epi	-0.103015123265215
SCH	ID	-0.0317460656013965
SCH	HTN	-0.0698636484083544
SCH	HD	0.164097137621224
SCH	PD	-0.0367482872603654
SCH	FTD	0.0191956175207062
ASD	ASD	0
ASD	Epi	-0.0936162736506641
ASD	ID	-0.0897998437645673
ASD	HTN	-0.0920359358782145
ASD	HD	-0.0130699697697164
ASD	PD	-0.091170598334774
ASD	FTD	-0.0804454124167177
Epi	Epi	0
Epi	ID	-0.0959607516772008
Epi	HTN	-0.110279733900898
Epi	HD	0.0269323330084017
Epi	PD	-0.0969992331568991
Epi	FTD	-0.0709337687505217
ID	ID	0
ID	HTN	-0.0970018873736829
ID	HD	-0.00533940855030538
ID	PD	-0.0932950957032155
ID	FTD	-0.078846583289467
HTN	HTN	0
HTN	HD	0.0108499702221426
HTN	PD	-0.0968194471293655
HTN	FTD	-0.0766485565114224
HD	HD	0
HD	PD	-0.00736524746826415
HD	FTD	-0.0273350694444445
PD	PD	0
PD	FTD	-0.0790557603157368
FTD	FTD	0
