V1	V2	V3
AD	AD	0
AD	BI	0.0530042566373073
AD	AUT	0.0565650767718859
AD	SCH	0.0392327385463306
AD	ASD	0.0561946488906432
AD	Epi	0.0490113013229315
AD	ID	0.0549307683781282
AD	HTN	0.0504026767473119
AD	HD	0.0675706922612688
AD	PD	0.054548785574531
AD	FTD	0.0552453196998134
BI	BI	0
BI	AUT	0.0657854995097156
BI	SCH	0.0473975772545091
BI	ASD	0.0663966570362274
BI	Epi	0.0600566427265377
BI	ID	0.0659421159775412
BI	HTN	0.0626994891402191
BI	HD	0.0819573986074689
BI	PD	0.0646139580455517
BI	FTD	0.0685497229331602
AUT	AUT	0
AUT	SCH	0.0513903522731728
AUT	ASD	0.0698467642388819
AUT	Epi	0.0638724970269709
AUT	ID	0.0696345056401538
AUT	HTN	0.062389457277748
AUT	HD	0.0841948379913128
AUT	PD	0.0700730698332103
AUT	FTD	0.0698189056983939
SCH	SCH	0
SCH	ASD	0.0517182099096976
SCH	Epi	0.0483157427364379
SCH	ID	0.050626687572811
SCH	HTN	0.0460700506488097
SCH	HD	0.0659835132661832
SCH	PD	0.0508425367156471
SCH	FTD	0.0508734840330412
ASD	ASD	0
ASD	Epi	0.0658713922183839
ASD	ID	0.0708294086843829
ASD	HTN	0.0649725336765924
ASD	HD	0.0828179673696036
ASD	PD	0.067805677822265
ASD	FTD	0.0740990745011618
Epi	Epi	0
Epi	ID	0.0620444177516872
Epi	HTN	0.0562996589494002
Epi	HD	0.0780781362021606
Epi	PD	0.06341292936375
Epi	FTD	0.0671039613838197
ID	ID	0
ID	HTN	0.0618328684925697
ID	HD	0.0828586760775163
ID	PD	0.0663225297509187
ID	FTD	0.0725804844800452
HTN	HTN	0
HTN	HD	0.0768215956586344
HTN	PD	0.0620509340868262
HTN	FTD	0.0644214155181394
HD	HD	0
HD	PD	0.0819172757750718
HD	FTD	0.0881135069122142
PD	PD	0
PD	FTD	0.0692383918877801
FTD	FTD	0
