Human.Entrez.ID,Human.Gene.Name,Human.Uniprot.ID,Volgyi_2017,Neuner_2017,Sweet_2016,Shi_2014,Chang_2015,Chang_2013,Zolochevska_2018,Krivinko_2018
6709,SPTAN1,Q13813,0,1,0,0,1,0,1,0
6711,SPTBN1,Q01082,0,1,0,0,1,0,0,0
4741,NEFM,P07197,0,0,0,0,1,0,1,0
287,ANK2,Q01484,0,1,1,0,1,0,0,1
1778,DYNC1H1,Q14204,0,0,0,0,1,0,0,0
7280,TUBB2A,Q13885,0,0,0,0,1,0,1,0
1759,DNM1,Q05193,0,0,1,0,1,0,1,1
23136,EPB41L3,Q9Y2J2,0,0,0,0,1,0,0,0
5339,PLEC,Q15149,0,0,0,0,1,0,0,0
6853,SYN1,P17600,0,1,1,1,1,0,1,1
4133,MAP2,P11137,0,0,1,0,1,0,0,1
10376,TUBA1B,P68363,0,0,0,1,1,0,1,0
1213,CLTC,Q00610,0,0,1,0,1,0,0,1
4131,MAP1B,P46821,0,0,0,0,1,0,0,0
4905,NSF,P46459,0,0,1,0,1,0,0,1
6812,STXBP1,P61764,0,0,1,0,1,0,1,1
3320,HSP90AA1,P07900,0,0,1,0,1,0,0,1
4155,MBP,P02686,0,0,0,1,1,0,0,0
10409,BASP1,P80723,0,0,0,0,1,0,0,0
1808,DPYSL2,Q16555,0,0,1,0,1,1,0,1
1267,CNP,P09543,0,0,1,1,1,0,1,1
71,ACTG1,P63261,0,0,0,0,1,0,1,0
4135,MAP6,Q96JE9,0,0,0,1,1,0,0,0
4130,MAP1A,P78559,0,0,1,0,1,0,0,1
3312,HSPA8,P11142,0,1,0,0,1,1,0,0
2597,GAPDH,P04406,0,0,1,0,1,0,1,1
9590,AKAP12,Q02952,0,0,0,0,1,0,0,0
4747,NEFL,P07196,0,0,0,0,1,0,0,0
9118,INA,Q16352,0,0,0,0,1,0,0,0
478,ATP1A3,P13637,1,0,1,1,1,0,0,1
1272,CNTN1,Q12860,0,0,1,0,1,0,0,1
259217,HSPA12A,O43301,0,0,0,0,1,0,0,0
3800,KIF5C,O60282,0,0,0,0,1,0,0,0
30845,EHD3,Q9NZN3,0,0,0,0,1,1,0,0
50,ACO2,Q99798,0,1,0,1,1,0,0,0
3098,HK1,P19367,0,0,1,1,1,0,0,1
523,ATP6V1A,P38606,0,0,1,0,1,1,0,1
498,ATP5A1,P25705,0,0,1,0,1,0,0,1
4137,MAPT,P10636,0,0,1,0,1,0,0,1
2023,ENO1,P06733,0,0,0,1,1,1,0,0
226,ALDOA,P04075,0,0,0,0,1,0,0,0
3309,HSPA5,P11021,0,0,1,0,1,0,0,1
2821,GPI,P06744,0,0,0,1,1,0,0,0
4719,NDUFS1,P28331,0,0,0,1,1,0,0,0
5214,PFKP,Q01813,0,0,0,0,1,0,0,0
7317,UBA1,P22314,0,0,1,0,1,0,0,1
2746,GLUD1,P00367,0,1,1,1,1,1,0,1
5834,PYGB,P11216,0,0,0,0,1,0,0,0
1639,DCTN1,Q14203,0,0,0,0,1,0,0,0
23114,NFASC,O94856,0,0,0,0,1,0,0,0
2664,GDI1,P31150,0,0,0,1,1,1,0,0
4744,NEFH,P12036,0,0,0,0,1,0,0,0
5315,PKM,P14618,0,0,0,0,1,1,0,0
2036,EPB41L1,Q9H4G0,0,0,0,0,1,0,0,0
4644,MYO5A,Q9Y4I1,0,0,0,0,1,0,0,0
3326,HSP90AB1,P08238,0,0,0,0,1,0,0,0
55752,SEPT11,Q9NVA2,0,0,1,0,1,1,0,1
1152,CKB,P12277,0,0,1,0,1,1,1,1
2194,FASN,P49327,0,0,0,0,1,0,0,0
815,CAMK2A,Q9UQM7,0,0,1,0,1,0,1,1
118,ADD1,P35611,0,0,1,0,1,0,0,1
230,ALDOC,P09972,0,0,0,1,1,1,0,0
506,ATP5B,P06576,0,0,0,1,1,0,0,0
2805,GOT1,P17174,0,0,0,0,1,1,0,0
163,AP2B1,P63010,0,1,1,0,1,0,0,1
2596,GAP43,P17677,0,1,0,0,1,0,0,0
160,AP2A1,O95782,0,0,1,0,1,0,0,1
3030,HADHA,P40939,0,0,0,0,1,0,0,0
10989,IMMT,Q16891,0,1,0,0,1,0,0,0
5230,PGK1,P00558,0,0,0,0,1,0,0,0
3313,HSPA9,P38646,0,0,0,1,1,0,0,0
7431,VIM,P08670,0,0,1,0,1,0,0,1
3418,IDH2,P48735,0,0,0,0,1,0,0,0
8867,SYNJ1,O43426,0,0,1,0,1,0,0,1
55748,CNDP2,Q96KP4,0,0,0,0,1,0,0,0
8927,BSN,Q9UPA5,0,0,1,0,1,0,0,1
2923,PDIA3,P30101,0,0,0,0,1,0,0,0
26052,DNM3,Q9UQ16,0,0,0,0,1,0,0,0
989,SEPT7,Q16181,0,0,0,1,1,0,1,0
1410,CRYAB,P02511,0,0,0,0,1,0,0,0
5091,PC,P11498,0,0,1,0,1,0,1,1
4191,MDH2,P40926,0,1,1,1,1,0,1,1
2037,EPB41L2,O43491,0,0,0,0,1,0,0,0
8604,SLC25A12,O75746,0,0,0,0,1,0,0,0
309,ANXA6,P08133,0,0,0,0,1,0,0,0
10801,SEPT9,Q9UHD8,0,0,1,0,1,0,0,1
526,ATP6V1B2,P21281,0,1,1,1,1,0,0,1
1496,CTNNA2,P26232,0,0,0,0,1,0,0,0
9920,KBTBD11,O94819,0,0,0,0,1,0,0,0
23530,NNT,Q13423,0,0,0,0,1,0,0,0
7167,TPI1,P60174,0,0,1,0,1,0,0,1
3295,HSD17B4,P51659,0,0,0,0,1,0,0,0
5058,PAK1,Q13153,0,0,1,0,1,0,0,1
83660,TLN2,Q9Y4G6,0,0,0,0,1,0,0,0
7345,UCHL1,P09936,0,0,1,1,1,1,1,1
10808,HSPH1,Q92598,0,0,0,0,1,0,0,0
23321,TRIM2,Q9C040,0,0,0,0,1,0,0,0
873,CBR1,P16152,0,0,0,0,1,0,0,0
7184,HSP90B1,P14625,0,0,0,0,1,0,0,0
7415,VCP,P55072,0,0,0,0,1,0,0,0
1804,DPP6,P42658,0,0,0,0,1,0,0,0
10382,TUBB4A,P04350,0,0,0,0,1,0,1,0
4522,MTHFD1,P11586,0,0,0,0,1,0,0,0
120,ADD3,Q9UEY8,0,0,0,0,1,0,0,0
57142,RTN4,Q9NQC3,0,1,1,0,1,0,0,1
22895,RPH3A,Q9Y2J0,0,0,0,0,1,0,0,0
55074,OXR1,Q8N573,0,0,0,0,1,0,0,0
8506,CNTNAP1,P78357,0,0,0,0,1,0,0,0
80725,SRCIN1,Q9C0H9,0,1,1,0,1,0,0,1
47,ACLY,P53396,0,0,0,0,1,0,0,0
16,AARS,P49588,0,0,0,0,1,0,0,0
10059,DNM1L,O00429,0,1,0,0,1,0,0,0
7284,TUFM,P49411,0,1,0,0,1,0,0,0
1915,EEF1A1,P68104,0,0,1,0,1,0,0,1
29993,PACSIN1,Q9BY11,0,0,0,0,1,0,0,0
10540,DCTN2,Q13561,0,0,0,0,1,0,0,0
2744,GLS,O94925,0,0,0,1,1,0,0,0
471,ATIC,P31939,0,0,0,0,1,0,0,0
23193,GANAB,Q14697,0,0,0,0,1,0,0,0
5223,PGAM1,P18669,0,0,0,0,1,1,0,0
491,ATP2B2,Q01814,0,0,0,0,1,0,0,0
3945,LDHB,P07195,0,0,0,0,1,0,0,0
79026,AHNAK,Q09666,0,0,0,0,1,0,0,0
5604,MAP2K1,Q02750,1,0,0,0,1,0,0,0
1400,CRMP1,Q14194,0,0,0,0,1,1,0,0
288,ANK3,Q12955,0,0,0,0,1,0,0,0
8078,USP5,P45974,0,0,1,0,1,0,0,1
9829,DNAJC6,O75061,0,0,0,0,1,0,0,0
5052,PRDX1,Q06830,0,0,1,0,1,1,0,1
8618,CADPS,Q9ULU8,0,0,1,0,1,0,0,1
6616,SNAP25,P60880,1,1,1,0,1,0,0,1
57524,CASKIN1,Q8WXD9,0,0,0,0,1,0,0,0
119,ADD2,P35612,0,0,1,0,1,0,0,1
3032,HADHB,P55084,0,0,0,0,1,0,0,0
