entA,entB
273,8867
6455,8867
1759,273
1759,6455
1785,6455
1785,273
26052,273
26052,6455
1759,273
1605,7402
2923,811
26986,5094
26986,5093
6456,8867
10133,3064
22895,8573
3688,7529
1605,1605
1605,1605
26088,6272
351,9479
351,9479
30011,6455
30011,6457
2475,5170
2475,2475
7249,7534
7249,7532
7249,7529
7249,7534
53616,7534
7534,8745
53616,7534
7164,7534
7164,7529
3028,351
3028,351
3028,351
5825,5825
10484,9632
50855,998
50855,5879
50855,998
2280,2475
259217,4897
5799,9793
1956,966
815,87
6635,6635
6635,6636
529,534
10006,6708
10006,6708
5869,8411
5868,8411
5868,8411
7334,7335
7316,9146
7316,8027
7316,9146
7316,8027
7316,9146
7316,9146
1956,7534
26088,9135
9135,9135
26088,375
26088,9135
26088,9135
164,9135
2885,4133
2885,4133
2885,4133
28964,3064
1400,3064
1400,7431
1937,1937
1891,1937
1891,3064
10989,10989
3064,6457
3064,5217
4747,7431
6457,7431
7431,7431
10980,7431
4747,8898
5058,5879
2316,5567
34,34
2549,5781
10987,4282
10987,4282
4478,9368
274,8723
26088,9146
10987,7295
10987,7295
6453,998
6453,998
392,998
392,998
5499,8027
23228,5499
6867,9793
23513,9414
5802,5802
5786,5786
5789,5789
5799,5799
23647,382
23647,5879
23647,5879
23647,382
23647,5879
23647,23647
51429,8867
5682,5683
5683,5684
5683,5687
5689,5693
5684,5693
1759,273
1759,6456
1759,6453
1759,2885
1785,2885
1785,273
1785,6456
1785,6453
6311,6457
6311,6456
6455,6456
6456,6457
6456,6456
6455,6455
6457,6457
6455,6457
26986,6311
1933,1937
1936,1937
10093,81873
10574,1937
1937,998
1915,3336
1400,5050
1915,5050
1400,5717
1915,5717
1937,5802
1915,6176
6176,7280
7917,9804
10382,1937
5217,71
4354,509
10574,1400
1915,8655
1915,5217
1400,1936
1891,1937
1937,6613
1937,9446
1400,3336
1937,3735
4905,6176
2597,5050
5050,7280
5684,5687
1937,5717
2597,5717
5717,7280
293,7431
6616,6804
1743,7280
6456,71
1400,217
1937,375
6176,9551
10989,7917
10989,22948
1936,1936
2026,3098
2026,7277
1400,29924
10980,79641
2512,2512
10542,1915
10542,2597
10542,28964
1400,3187
1915,6453
23192,81631
10989,4715
1400,4729
10980,5050
1400,5216
5217,5413
2597,5052
10980,8575
8575,8575
10980,5717
5802,6613
5802,7280
6136,7277
6455,6457
6613,7431
5684,6636
10342,1400
10342,10342
1915,7114
10382,7018
7336,84966
217,84966
10574,509
4700,9551
3039,537
613,84966
10980,9377
1508,7917
10540,2775
1743,5217
10980,2010
2010,6456
2010,6457
2026,311
2026,4134
1783,2039
1743,2314
1915,55004
2771,7277
6457,9568
3039,3043
3315,84966
3315,5464
3320,3320
1743,4673
4715,6457
4738,7345
10989,25934
4905,65991
1891,5050
5050,6613
5050,84966
10980,9796
1915,9796
10397,9796
5717,6613
5717,84966
5217,5802
6421,6421
10980,6513
6804,7431
6853,6853
6853,7431
7114,84966
10382,8874
7431,7431
1213,51566
10989,51566
396,6457
25978,509
1956,509
56005,7917
25874,6176
8655,8655
1759,5303
10570,6457
2026,374291
23474,84966
2286,7917
55262,55262
11345,23192
3735,5048
293,3735
3857,6457
3897,8682
56267,5877
4140,527
4140,55823
4673,4673
4700,7917
3991,55968
5049,7203
5049,92609
79885,9796
4731,9796
10419,9796
5621,7917
10419,29789
5861,6624
11021,874
10542,5877
5217,5909
1400,57142
1743,23256
51155,6421
1314,8402
112476,6616
5303,6709
10273,4354
1639,5223
51412,57017
1759,92609
1785,5479
3309,56896
23136,84966
23474,51606
10236,2193
4673,79187
3039,4673
55229,8682
5127,7917
2632,5226
3178,9796
9796,9796
22924,5861
5713,5861
11021,3420
11021,5802
4747,5901
23558,55964
10382,57662
3688,3688
2534,2534
613,9414
1072,60
11235,8428
23265,9146
2947,2947
56474,56474
26060,55198
1073,60
3983,7431
60491,7431
60,60
5049,5050
1073,71
10313,5780
10152,7414
327,327
80318,9146
5704,5705
3190,3190
1072,71
71,71
60491,60491
10458,51517
11034,60
3735,7965
6455,6455
11135,998
23265,84816
149371,9146
2670,7431
5372,5870
5050,5050
84245,84245
11345,23786
327,79876
10313,57142
23157,4735
29979,29979
60,71
1936,1937
10982,60491
11345,79876
5050,91782
1933,1937
5682,7431
10982,10982
57142,8775
1398,5706
55577,55577
140885,23321
6652,6652
7360,7360
11034,71
443,443
5631,5631
10016,10016
10982,22924
29979,6782
27316,3190
2752,2752
3190,9444
29979,9146
10313,10313
2512,2512
5700,5708
5701,5711
216,216
8027,9146
387,392
4830,4830
3612,3612
6717,6717
1173,163
1956,2885
1956,7094
1956,53358
1956,5921
1956,5781
1956,5335
1956,8650
1956,9479
1398,1956
1956,26060
1956,9253
5566,7534
7163,7163
7163,7164
7163,7165
7164,7164
7164,7165
7165,7165
6093,6093
2697,7082
1973,1982
114569,7163
1742,2904
1742,2903
1742,2902
1742,3739
1742,2904
1742,2903
1742,3739
3190,9444
5094,9444
11047,29979
1155,7874
3420,6311
29979,80318
29979,29979
9444,9491
6311,87
26128,6311
6311,6457
6311,7917
6311,6456
5093,5094
5093,7360
3190,5093
5093,9444
5621,5684
5576,9590
6285,6285
1785,273
1785,6456
1785,2885
1785,6453
5413,55752
23176,5413
5413,55752
1956,1956
6513,6513
2534,5062
2885,5062
5062,8874
10580,5062
5062,8874
10580,5062
2885,5062
4905,9568
5527,5594
5621,5621
5621,5621
5621,5621
351,5621
1499,2010
6622,6622
10492,3184
3184,3184
3039,3043
3039,3043
3039,3043
3039,3043
3039,3043
387,396
3039,3043
23647,5879
7334,7336
396,5879
3039,3043
387,392
5160,5162
26088,9135
387,6093
5868,9135
3039,3043
6867,9793
11315,11315
5605,5605
506,64756
9131,9131
1739,491
491,9351
6993,6993
6708,6711
6708,6710
6709,6710
6709,6711
2932,4137
1020,4137
1509,3039
1509,351
10987,7345
3984,5062
5062,5062
5062,5062
3984,5062
6857,785
4130,785
1457,6711
5499,9212
4155,5594
53616,7529
53616,7534
10971,53616
2534,9743
10484,5129
10484,5127
10015,6456
10015,6455
10049,3312
2932,4137
5518,5527
5515,5518
7001,7295
5052,7295
1499,81
26060,26060
26060,5868
6285,6285
6285,6285
22941,5335
5335,85358
1398,23114
1398,8506
1398,1795
1398,18
10236,1398
1398,2316
1398,9826
1398,1785
1398,8724
1398,2550
1398,58512
1398,85358
1398,6000
1398,23136
1398,9229
1398,22941
1398,9228
1795,2534
2534,2571
2534,9228
2534,2550
10236,2534
2534,58512
2534,85358
2534,9826
2534,8506
2534,57142
2534,9054
23114,2534
2316,2534
2534,9229
23136,2534
2534,4659
2534,51517
2534,9793
2534,8724
2534,26052
1605,2534
2885,85358
2550,2885
2885,9229
10236,2885
2885,9228
1795,2885
2885,58512
2885,4638
22941,2885
2885,3151
2885,8646
2316,2885
2885,8506
1605,2885
2885,9826
2571,2885
1759,2885
2885,5530
287,2885
2885,8724
2885,9793
23114,2885
2885,5532
2885,7360
2885,9054
26275,2885
2885,5799
1742,2885
2885,8570
274,2885
5335,9826
5335,6000
22941,5335
5335,9793
2316,5335
5335,85358
4134,5335
5335,9229
5335,58512
11235,8428
6396,6396
1956,2885
1072,3984
7431,7431
7431,7431
1639,4137
1737,5162
1737,5162
8454,9040
5689,5693
5692,5693
2664,2794
2794,7803
9479,9479
10963,817
10135,2512
10135,4535
2017,5058
2017,5062
55968,7415
10273,4137
10273,3312
10273,3320
1759,274
10273,3312
10273,3320
3181,3181
351,351
351,351
3476,5515
3476,5516
3476,5537
7415,80700
7415,80700
10211,351
2931,4137
351,4137
351,4137
4137,4137
351,4137
1509,5594
2597,5594
2286,5911
1915,5911
5265,5911
2512,5911
10987,5605
10987,9097
2023,2885
2885,7018
2885,51596
1191,2885
2271,2885
2512,2885
2098,2885
10342,2885
2885,7249
2885,9948
3956,998
2286,5595
5213,5595
3337,4893
1915,4893
4893,6224
4893,6717
10617,128866
4830,58497
4830,4830
7316,8027
11171,4830
4830,4830
7323,93664
7334,93664
50488,5911
2549,5780
1973,7458
1973,7458
6786,6786
1499,2932
3612,3612
84245,84245
2752,2752
55611,7323
7334,7336
7334,7335
6640,7336
7336,9097
5050,63893
6136,63893
6224,63893
11345,63893
196403,7323
7323,7706
23321,7323
7334,7706
196403,7335
10617,8027
3064,6457
351,351
351,351
351,351
1785,2017
1785,2017
2947,2947
5700,5708
4830,60491
2947,2947
5700,5708
4830,60491
5062,8874
51466,6709
51466,6708
6708,7408
55740,6708
2534,4137
5058,8874
30011,7316
30011,7316
1072,3984
3984,5566
1956,1956
1956,1956
1956,1956
4137,7534
4137,7534
22919,667
351,351
23192,81631
23192,81631
23192,81631
351,847
5581,7534
5581,7534
5581,7534
5581,7534
408,5602
408,6416
4738,7316
7915,7915
7316,7316
7316,8078
10617,7316
29979,7316
1457,3800
1457,1459
1459,3800
1459,3800
6311,6456
6311,6457
388,4831
26227,388
388,396
1854,388
388,4130
8454,997
1445,1445
2597,5230
2597,2597
6622,6622
2273,5621
1267,5621
5621,5621
23192,81631
1399,59338
163,6453
7316,8027
10273,3312
10273,3326
10273,3326
10006,2534
10006,5921
10006,5335
10006,2885
10006,1399
10006,1398
382,9043
382,9043
375,9043
3837,3837
6622,6622
6622,6622
7415,7415
5062,5879
10458,7534
7531,9610
1956,2885
2549,5781
1956,6772
1956,6772
1956,5335
6772,6772
6772,6772
23513,5595
23513,5594
2273,5516
1759,1759
10419,8294
10243,8655
4684,4684
4684,4684
351,351
351,351
348,6767
11140,348
11140,7001
10724,11140
11140,3337
1020,11140
11140,351
396,998
10458,998
9826,998
408,998
23580,998
11135,998
114793,998
5058,998
5062,998
9743,998
5910,998
9349,998
6767,998
7316,998
2752,4540
10540,2885
2885,9229
25758,2885
2549,2885
2885,3190
