entA,interaction,entB,directed
273,pp,8867,FALSE
6455,pp,8867,FALSE
1759,pp,273,FALSE
1759,pp,6455,FALSE
1785,pp,6455,FALSE
1785,pp,273,FALSE
26052,pp,273,FALSE
26052,pp,6455,FALSE
1605,pp,7402,FALSE
2923,pp,811,FALSE
26986,pp,5094,FALSE
26986,pp,5093,FALSE
6456,pp,8867,FALSE
10133,pp,3064,FALSE
22895,pp,8573,FALSE
3688,pp,7529,FALSE
1605,pp,1605,FALSE
26088,pp,6272,FALSE
351,pp,9479,FALSE
30011,pp,6455,FALSE
30011,pp,6457,FALSE
2475,pp,5170,FALSE
2475,pp,2475,FALSE
7249,pp,7534,FALSE
7249,pp,7532,FALSE
7249,pp,7529,FALSE
53616,pp,7534,FALSE
7534,pp,8745,FALSE
7164,pp,7534,FALSE
7164,pp,7529,FALSE
3028,pp,351,FALSE
5825,pp,5825,FALSE
10484,pp,9632,FALSE
50855,pp,998,FALSE
50855,pp,5879,FALSE
2280,pp,2475,FALSE
259217,pp,4897,FALSE
5799,pp,9793,FALSE
1956,pp,966,FALSE
815,pp,87,FALSE
6635,pp,6635,FALSE
6635,pp,6636,FALSE
529,pp,534,FALSE
10006,pp,6708,FALSE
5869,pp,8411,FALSE
5868,pp,8411,FALSE
7334,pp,7335,FALSE
7316,pp,9146,FALSE
7316,pp,8027,FALSE
1956,pp,7534,FALSE
26088,pp,9135,FALSE
9135,pp,9135,FALSE
26088,pp,375,FALSE
164,pp,9135,FALSE
2885,pp,4133,FALSE
28964,pp,3064,FALSE
1400,pp,3064,FALSE
1400,pp,7431,FALSE
1937,pp,1937,FALSE
1891,pp,1937,FALSE
1891,pp,3064,FALSE
10989,pp,10989,FALSE
3064,pp,6457,FALSE
3064,pp,5217,FALSE
4747,pp,7431,FALSE
6457,pp,7431,FALSE
7431,pp,7431,FALSE
10980,pp,7431,FALSE
4747,pp,8898,FALSE
5058,pp,5879,FALSE
2316,pp,5567,FALSE
34,pp,34,FALSE
2549,pp,5781,FALSE
10987,pp,4282,FALSE
4478,pp,9368,FALSE
274,pp,8723,FALSE
26088,pp,9146,FALSE
10987,pp,7295,FALSE
6453,pp,998,FALSE
392,pp,998,FALSE
5499,pp,8027,FALSE
23228,pp,5499,FALSE
6867,pp,9793,FALSE
23513,pp,9414,FALSE
5802,pp,5802,FALSE
5786,pp,5786,FALSE
5789,pp,5789,FALSE
5799,pp,5799,FALSE
23647,pp,382,FALSE
23647,pp,5879,FALSE
23647,pp,23647,FALSE
51429,pp,8867,FALSE
5682,pp,5683,FALSE
5683,pp,5684,FALSE
5683,pp,5687,FALSE
5689,pp,5693,FALSE
5684,pp,5693,FALSE
1759,pp,6456,FALSE
1759,pp,6453,FALSE
1759,pp,2885,FALSE
1785,pp,2885,FALSE
1785,pp,6456,FALSE
1785,pp,6453,FALSE
6311,pp,6457,FALSE
6311,pp,6456,FALSE
6455,pp,6456,FALSE
6456,pp,6457,FALSE
6456,pp,6456,FALSE
6455,pp,6455,FALSE
6457,pp,6457,FALSE
6455,pp,6457,FALSE
26986,pp,6311,FALSE
1933,pp,1937,FALSE
