Geodesic edge Betweenness.
0 0.0162008 2
0.00251473 0.0169527 3
0.00439859 0.0172368 4
0.0229025 0.0171158 5
0.0293568 0.0171265 6
0.0311872 0.0171605 7
0.0372721 0.017118 8
0.0391039 0.017128 9
0.0403211 0.0171363 10
0.041537 0.0171394 11
0.0469445 0.0170748 12
0.0786239 0.0166353 13
0.0904901 0.0164917 14
0.0936415 0.016458 15
0.101818 0.0163071 16
0.102935 0.0162983 17
0.105426 0.0162647 18
0.107695 0.0162422 19
0.110584 0.0161837 20
0.113303 0.0161424 21
0.139177 0.0156813 22
0.141235 0.0156489 23
0.14384 0.0156104 24
0.147664 0.0155453 25
0.158114 0.0153123 26
0.169529 0.0149937 27
0.17495 0.0149084 28
0.178852 0.0148288 29
0.180551 0.0148041 30
0.184138 0.0147445 31
0.18918 0.0146299 32
0.218406 0.014166 33
0.240586 0.0137701 34
0.245289 0.0136705 35
0.268811 0.0131746 36
0.286598 0.0127687 37
0.294417 0.012561 38
0.30747 0.0122853 39
0.308282 0.0122668 40
0.320607 0.0119688 41
0.322013 0.0119415 42
0.323955 0.0118939 43
0.330682 0.0117376 44
0.332868 0.0116813 45
0.346014 0.0113698 46
0.347142 0.011322 47
0.351012 0.0111715 48
0.355806 0.010987 49
0.365113 0.0107462 50
0.400958 0.00960823 51
0.409092 0.00934162 52
0.413935 0.00908083 53
0.415295 0.00898864 54
0.422965 0.0087116 55
0.44584 0.00796164 56
0.452182 0.00762929 57
0.46035 0.00722756 58
0.461134 0.00714537 59
0.468072 0.00675897 60
0.467608 0.00635309 61
0.468343 0.00625235 62
0.472949 0.00600647 63
0.473163 0.00597299 64
0.472908 0.00577135 65
0.493131 0.00420054 66
0.493516 0.00393389 67
0.494463 0.00353863 68
0.494321 0.00348272 69
0.494186 0.00344 70
0.493525 0.00298121 71
0.491634 0.00269055 72
0.490529 0.00253857 73
0.490527 0.00251037 74
0.488762 0.0024733 75
0.488077 0.00246763 76
0.487418 0.00246 77
0.487036 0.00245449 78
0.486762 0.00242101 79
0.485081 0.00237559 80
0.484438 0.00234411 81
0.483097 0.00233829 82
0.4826 0.0023391 83
0.481853 0.00231362 84
0.480849 0.00230544 85
0.479219 0.00220769 86
0.478807 0.00220142 87
0.478238 0.00220634 88
0.476409 0.00199645 89
0.475276 0.00197087 90
0.47474 0.00197304 91
0.474495 0.00197689 92
0.473191 0.00191262 93
0.472961 0.00191489 94
0.47212 0.00191547 95
0.47081 0.00190241 96
0.470519 0.00190931 97
0.469816 0.0018978 98
0.466601 0.00177591 99
0.466084 0.00177475 100
0.464847 0.00169498 101
0.464555 0.00170182 102
0.464018 0.00170197 103
0.463735 0.00170765 104
0.46345 0.0017133 105
0.463164 0.00171884 106
0.462026 0.00171567 107
0.461522 0.00171194 108
0.459845 0.00169998 109
0.459582 0.00170282 110
0.458524 0.00166161 111
0.458259 0.00166448 112
0.45484 0.00160652 113
0.453193 0.00159004 114
0.452944 0.00159094 115
0.452093 0.00158901 116
0.451804 0.0015937 117
0.451254 0.00159291 118
0.45098 0.00159583 119
0.450743 0.00159499 120
0.450448 0.0015998 121
0.450168 0.00160307 122
0.449389 0.00159308 123
0.444959 0.00147151 124
0.44467 0.00147555 125
0.444501 0.00146659 126
0.443331 0.00146364 127
0.443042 0.00146747 128
0.442751 0.00147128 129
0.442253 0.00146341 130
0.441133 0.00145462 131
0.440535 0.00145742 132
0.439948 0.00145885 133
0.439415 0.00145437 134
0.439131 0.00145697 135
0.438841 0.00146013 136
0.438544 0.00146398 137
0.43627 0.00144286 138
0.435115 0.00143703 139
0.434522 0.00143861 140
0.434229 0.00144173 141
0.43394 0.00144433 142
0.43364 0.0014481 143
0.432821 0.0014395 144
0.431167 0.00141863 145
0.430661 0.00141002 146
0.430381 0.0014113 147
0.42893 0.0014025 148
0.427642 0.0013749 149
0.427351 0.00137725 150
0.426768 0.00137695 151
0.426495 0.00137704 152
0.426219 0.00137756 153
0.425357 0.00137282 154
0.424875 0.00136053 155
0.422004 0.00133251 156
