Id	communities 
273	3
1759	3
1785	3
26052	22
1020	22
5530	3
8867	3
6455	7
6456	7
30011	7
7534	19
6457	7
7431	7
392	2
5689	12
10570	7
114569	11
23176	5
10015	7
10059	22
192683	10
2885	3
3064	3
274	3
6453	8
51429	3
5303	5
92609	3
10484	1
10574	12
1639	13
26060	19
1398	2
22941	2
2017	16
50944	3
26230	7
5479	3
6386	11
51678	3
6187	20
5837	14
10273	22
2534	2
5708	22
27101	22
23386	22
8079	22
7265	22
1605	21
3688	21
87	21
7414	20
7094	21
7402	5
7846	21
2923	22
2475	22
6786	23
129285	14
811	18
26986	1
6311	6
3190	1
5094	1
5093	1
2935	1
1956	21
2010	7
2947	6
71	23
25930	3
10133	12
7316	8
3315	16
1213	9
7415	9
81631	8
9255	12
667	4
10890	10
9230	14
51552	14
22895	21
8573	1
5864	21
2316	22
10542	9
4830	6
2023	19
4893	5
7529	19
2170	20
26232	21
5162	21
26088	8
9135	11
1457	17
375	8
6272	24
11276	11
9146	9
351	18
3028	18
4747	7
5621	18
1072	22
29979	9
7165	11
6622	19
1509	19
9479	18
10211	2
4137	22
1191	18
22919	13
348	23
11140	22
5599	22
847	18
1410	19
9217	18
5354	18
10675	18
7532	19
321	20
9040	24
8650	22
55754	18
4508	18
8774	20
5684	16
1508	7
10801	5
56904	9
2280	23
5861	13
2932	22
6772	22
5578	22
5170	22
2782	22
4735	22
253260	22
84335	19
7249	19
5300	7
6009	23
5066	19
53616	19
23513	22
1739	4
10971	19
7164	11
5058	22
10987	22
11345	20
10419	24
5127	19
10458	2
5566	22
3984	22
7001	21
5581	22
7531	19
4627	17
23108	19
2037	19
11346	19
5906	20
5573	22
6854	19
8745	19
7163	11
2752	18
5160	9
226	21
8050	21
3032	18
498	17
1431	14
10452	20
2746	18
9804	18
4190	21
3030	9
4967	18
5825	14
5682	14
7536	1
5129	1
56947	18
8803	1
9632	1
50855	2
5879	2
998	2
10152	2
3708	22
6262	22
5799	3
3309	3
8027	14
9793	3
1937	15
2549	21
5786	21
2597	15
6616	24
7336	20
10540	3
3320	22
6853	19
1173	22
11047	22
5052	15
5335	2
10963	22
408	22
1445	21
1399	22
382	8
5910	21
3326	22
3312	23
1845	22
509	22
3313	22
7430	18
10454	22
7295	21
10092	20
1778	13
10439	20
1465	19
5516	22
53358	20
6642	8
7389	19
4915	24
5494	22
2288	22
3308	16
23770	22
1500	16
79026	18
51286	18
2824	20
9218	18
4035	20
81	21
5781	22
5579	22
5730	19
873	20
10457	18
966	19
7345	24
8874	22
5921	21
9253	20
9590	18
5532	20
2934	19
6900	20
7167	19
471	20
2805	21
7184	3
8404	18
9049	17
54187	18
815	22
2904	2
3927	2
816	22
817	22
5705	22
818	22
6635	16
6636	16
529	21
230	21
534	20
10006	2
10580	2
6708	4
23114	2
55740	2
7408	2
3895	2
56243	2
9456	2
5869	11
8411	11
9610	11
7905	8
7879	11
5868	11
4831	6
7334	8
55611	8
7706	8
7317	8
7335	9
93664	17
613	22
4738	24
6421	9
23558	8
8454	24
10617	14
7323	17
8237	8
10075	17
3300	22
29978	9
5887	8
22905	8
7353	8
51377	22
8452	24
55236	10
997	8
9690	12
57599	8
7874	17
9097	20
8078	6
8887	8
8453	22
9100	15
80124	8
164	8
7965	11
3151	1
162	23
6855	8
28964	3
2512	3
10342	2
10236	22
60491	7
7360	1
1742	3
5062	2
4130	2
1795	3
2550	3
2571	2
287	3
26275	3
2271	3
2098	2
196403	2
9826	2
9743	2
25758	1
282974	3
147179	3
6711	5
4691	5
1627	15
8646	1
4133	14
85358	2
58512	2
4638	16
7018	24
8506	2
8724	2
9229	3
9228	2
9054	2
8570	22
51596	16
9948	23
399687	3
6506	3
54521	4
5445	3
9859	13
8936	3
9901	3
8541	7
1400	7
1936	15
5050	7
5717	15
217	7
57142	13
5216	2
1808	7
310	7
3187	7
1809	7
3336	7
29924	14
4729	13
1891	15
5802	7
1933	15
10382	22
6613	7
3735	7
10381	22
10768	15
3006	1
9446	15
833	15
10989	9
1915	7
7917	9
4715	7
3184	16
4134	2
213	14
22948	9
25934	13
51566	8
5481	13
6867	3
5217	7
1499	22
51466	5
29993	5
5315	7
23111	20
128866	9
26578	3
120	4
23380	3
29072	3
23332	2
161	7
63908	10
3329	3
5064	3
8065	24
8239	3
2670	7
4741	7
5901	1
8898	7
396	2
3857	13
6709	5
80331	10
9568	4
10980	7
293	7
6804	10
5713	9
3983	7
10645	22
51555	10
51520	7
8831	3
8575	10
9796	13
6513	14
5594	22
79641	10
9377	14
51138	9
5499	22
8655	3
1155	17
5515	22
6130	22
