alg	FN	CN	FNxCN	Psig	PALTsig	OR>1	ORsig	Psig&ORsig	PALTsig&ORsig	FEsig	Psig&ORsig&FEsig	EnrichedComs(%)	p.value
lourvain	62	18	1116	92	13	338	82	76	0	62	35	6.81003584229391	1.93320425912161e-27
lourvain_2	62	25	1550	114	13	426	121	98	0	187	65	6.32258064516129	4.80750881392265e-38
fc	62	16	992	72	14	279	66	58	0	49	18	5.84677419354839	2.4048286439926e-11
Spectral_1.5	62	38	2356	119	5	628	156	111	0	498	97	4.71137521222411	5.87357747880203e-50
fc_2	62	49	3038	151	8	571	190	140	0	366	107	4.60829493087558	1.27986670347325e-71
Spectral_1.25	62	41	2542	121	5	654	162	113	0	531	100	4.44531864673485	3.48918707943545e-53
sgG2	62	53	3286	136	1	600	172	128	0	398	91	3.89531345100426	1.41382518149273e-55
Spectral_1	62	50	3100	127	4	694	187	120	0	624	101	3.87096774193548	5.72746764220839e-51
sgG1_2	62	50	3100	122	10	543	170	114	0	300	78	3.67741935483871	6.84858358117215e-54
sgG1	62	33	2046	86	10	370	89	75	0	105	38	3.66568914956012	2.6204498864542e-31
Geodesicdiff	61.0882352941176	68	4154	139	0	545	196	136	0	414	90	3.27395281656235	2.62748153004936e-58
sgG5	62	91	5642	184	0	842	319	183	0	818	130	3.2435306628855	1.07162796986761e-67
lec	62	25	1550	57	10	330	57	45	0	92	23	2.90322580645161	1.08057883909298e-17
infomap	62	133	8246	220	0	884	365	218	0	673	115	2.64370603929178	1.19396556909028e-67
wt	62	171	10602	194	3	552	250	182	0	174	57	1.71665723448406	2.68457378456458e-59
Spectral	62	281	17422	211	0	572	239	145	0	257	48	0.832281023992653	3.44322940975268e-52
