community,Significant enrichment,Enriched GO terms,Enriched GO IDs,p values
1.0,NO,[],[],[]
2.0,NO,[],[],[]
3.0,NO,[],[],[]
4.0,NO,[],[],[]
5.0,YES,['response_to_cAMP'],['GO:0051591'],[0.0307721]
6.0,YES,['protein_kinase_A_signaling'],['GO:0010737'],[0.00169871]
7.0,YES,"['ionotropic_glutamate_receptor_signaling_...', 'trans-synaptic_signaling', 'synaptic_signaling', 'chemical_synaptic_transmission', 'calcium_ion_homeostasis', 'calcium-mediated_signaling', 'regulation_of_postsynaptic_membrane_pote...', 'chemical_synaptic_transmission,_postsyna...', 'modulation_of_chemical_synaptic_transmis...', 'MAPK_cascade']","['GO:0035235', 'GO:0099537', 'GO:0099536', 'GO:0007268', 'GO:0055074', 'GO:0019722', 'GO:0060078', 'GO:0099565', 'GO:0050804', 'GO:0000165']","[9.208799999999999e-05, 0.000103674, 0.000103674, 0.000103674, 0.00110208, 0.00137886, 0.00364481, 0.00422145, 0.030815699999999998, 0.0406848]"
8.0,YES,['axon_guidance'],['GO:0007411'],[0.011664299999999999]
9.0,NO,[],[],[]
10.0,NO,[],[],[]
11.0,YES,"['myelination', 'protein_kinase_C_signaling']","['GO:0042552', 'GO:0070528']","[0.0242804, 0.0330853]"
12.0,NO,[],[],[]
13.0,NO,[],[],[]
14.0,YES,"['protein_kinase_B_signaling', 'myelination', 'TOR_signaling', 'hormone-mediated_signaling_pathway', 'neuroepithelial_cell_differentiation']","['GO:0043491', 'GO:0042552', 'GO:0031929', 'GO:0009755', 'GO:0060563']","[0.00137543, 0.0020744, 0.00562532, 0.0109029, 0.046655]"
15.0,YES,['TOR_signaling'],['GO:0031929'],[0.0465438]
16.0,YES,"['signal_release_from_synapse', 'neurotransmitter_secretion', 'presynaptic_process_involved_in_chemical...', 'synaptic_vesicle_exocytosis', 'calcium_ion-regulated_exocytosis_of_neur...']","['GO:0099643', 'GO:0007269', 'GO:0099531', 'GO:0016079', 'GO:0048791']","[0.00880306, 0.00880306, 0.00947662, 0.038382400000000004, 0.0496438]"
17.0,NO,[],[],[]
18.0,NO,[],[],[]
19.0,NO,[],[],[]
20.0,NO,[],[],[]
21.0,YES,"['MAPK_cascade', 'cAMP-mediated_signaling', 'stress-activated_MAPK_cascade', 'dopamine_receptor_signaling_pathway', 'hormone-mediated_signaling_pathway']","['GO:0000165', 'GO:0019933', 'GO:0051403', 'GO:0007212', 'GO:0009755']","[0.00238014, 0.00516828, 0.00947662, 0.0123387, 0.0123387]"
22.0,NO,[],[],[]
23.0,YES,"['synaptic_signaling', 'trans-synaptic_signaling', 'chemical_synaptic_transmission', 'synapse_assembly', 'axon_guidance', 'regulation_of_neurotransmitter_receptor_...', 'Fc_receptor_mediated_stimulatory_signali...', 'modulation_of_chemical_synaptic_transmis...', 'synapse_organization', 'MAPK_cascade', 'regulation_of_synapse_organization', 'regulation_of_postsynaptic_membrane_pote...', 'chemical_synaptic_transmission,_postsyna...']","['GO:0099536', 'GO:0099537', 'GO:0007268', 'GO:0007416', 'GO:0007411', 'GO:0099601', 'GO:0002431', 'GO:0050804', 'GO:0050808', 'GO:0000165', 'GO:0050807', 'GO:0060078', 'GO:0099565']","[0.00127868, 0.00127868, 0.00127868, 0.00143422, 0.00229357, 0.00314437, 0.00523218, 0.0195373, 0.020826499999999998, 0.024290400000000004, 0.024468200000000002, 0.0299176, 0.0327801]"
24.0,NO,[],[],[]
25.0,NO,[],[],[]
