N: 1243
annotation 1	n1	annotation 2	n2	annotation 3	n3	actual overlap	expected overlap	p.value	p.adjusted	BC	p.value(ALT)	p.adjusted(ALT)	BC(ALT)
MAPK_cascade	122	autism_spectrum_disorder	66	Differentiallly expressed proteins	221	6	1.15174	0.000934919	0.0415501		0.999065	1	
MAPK_cascade	122	intellectual_disability	69	Differentiallly expressed proteins	221	5	1.20409	0.00675389	0.195913		0.993246	1	
MAPK_cascade	122	Alzheimer's_disease	209	Differentiallly expressed proteins	221	9	3.64717	0.0101385	0.268377		0.989862	1	
MAPK_cascade	122	hypertension	111	Differentiallly expressed proteins	221	4	1.93701	0.127945	1		0.872055	1	
MAPK_cascade	122	autistic_disorder	66	Differentiallly expressed proteins	221	6	1.15174	0.000934919	0.0415501		0.999065	1	
MAPK_cascade	122	Huntington's_disease	39	Differentiallly expressed proteins	221	2	0.680573	0.147641	1		0.852359	1	
MAPK_cascade	122	Parkinson's_disease	80	Differentiallly expressed proteins	221	5	1.39605	0.0124447	0.30851		0.987555	1	
MAPK_cascade	122	epilepsy_syndrome	109	Differentiallly expressed proteins	221	7	1.90211	0.00273851	0.0934225		0.997261	1	
MAPK_cascade	122	bipolar_disorder	79	Differentiallly expressed proteins	221	3	1.3786	0.158813	1		0.841187	1	
MAPK_cascade	122	schizophrenia	262	Differentiallly expressed proteins	221	13	4.57205	0.000542199	0.0277592		0.999458	1	
MAPK_cascade	122	frontotemporal_dementia	71	Differentiallly expressed proteins	221	5	1.23899	0.00761472	0.214462		0.992385	1	
neurotransmitter_uptake	8	autism_spectrum_disorder	66	Differentiallly expressed proteins	221	1	0.0755238	0.0731175	1		0.926883	1	
neurotransmitter_uptake	8	intellectual_disability	69	Differentiallly expressed proteins	221	1	0.0789567	0.0763271	1		0.923673	1	
neurotransmitter_uptake	8	Alzheimer's_disease	209	Differentiallly expressed proteins	221	3	0.239159	0.00130897	0.0528415		0.998691	1	
