N: 1243
annotation 1	n1	annotation 2	n2	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	BC	p-value(ALT)	p.adjusted(ALT)	BC
community_1	17	MAPK_cascade	122	0	1.66854	0	[0.00,0.00]	1	1		1	1	
community_1	17	neurotransmitter_uptake	8	1	0.109413	10.8839	[1.26,93.68]	0.104597	1		0.9953	1	
community_1	17	activation_of_innate_immune_response	43	0	0.588093	0	[0.00,0.00]	1	1		1	1	
community_1	17	toll-like_receptor_signaling_pathway	10	0	0.136766	0	[0.00,0.00]	1	1		1	1	
community_1	17	Fc_receptor_mediated_stimulatory_signali...	25	0	0.341915	0	[0.00,0.00]	1	1		1	1	
community_1	17	immune_response-activating_signal_transd...	72	0	0.984714	0	[0.00,0.00]	1	1		1	1	
community_1	17	innate_immune_response-activating_signal...	42	0	0.574417	0	[0.00,0.00]	1	1		1	1	
community_1	17	dopamine_receptor_signaling_pathway	14	0	0.191472	0	[0.00,0.00]	1	1		1	1	
community_1	17	Wnt_signaling_pathway,_calcium_modulatin...	8	0	0.109413	0	[0.00,0.00]	1	1		1	1	
community_1	17	chemical_synaptic_transmission	124	1	1.6959	0.560467	[0.07,4.26]	1	1		0.316288	1	
community_1	17	neurotransmitter_secretion	36	0	0.492357	0	[0.00,0.00]	1	1		1	1	
community_1	17	axon_guidance	40	0	0.547064	0	[0.00,0.00]	1	1		1	1	
community_1	17	synapse_assembly	16	0	0.218825	0	[0.00,0.00]	1	1		1	1	
community_1	17	axo-dendritic_transport	11	0	0.150442	0	[0.00,0.00]	1	1		1	1	
community_1	17	anterograde_axonal_transport	6	0	0.0820595	0	[0.00,0.00]	1	1		1	1	
community_1	17	hormone-mediated_signaling_pathway	14	0	0.191472	0	[0.00,0.00]	1	1		1	1	
community_1	17	regulation_of_cardiac_muscle_hypertrophy	10	0	0.136766	0	[0.00,0.00]	1	1		1	1	
community_1	17	protein_kinase_A_signaling	5	0	0.0683829	0	[0.00,0.00]	1	1		1	1	
community_1	17	synaptic_vesicle_exocytosis	26	0	0.355591	0	[0.00,0.00]	1	1		1	1	
community_1	17	synaptic_vesicle_priming	10	0	0.136766	0	[0.00,0.00]	1	1		1	1	
community_1	17	calcium-mediated_signaling	30	0	0.410298	0	[0.00,0.00]	1	1		1	1	
community_1	17	cAMP-mediated_signaling	9	0	0.123089	0	[0.00,0.00]	1	1		1	1	
community_1	17	synaptic_vesicle_fusion_to_presynaptic_a...	7	0	0.0957361	0	[0.00,0.00]	1	1		1	1	
community_1	17	TOR_signaling	10	0	0.136766	0	[0.00,0.00]	1	1		1	1	
community_1	17	myelin_assembly	5	0	0.0683829	0	[0.00,0.00]	1	1		1	1	
community_1	17	ionotropic_glutamate_receptor_signaling_...	6	0	0.0820595	0	[0.00,0.00]	1	1		1	1	
community_1	17	dopamine_metabolic_process	7	0	0.0957361	0	[0.00,0.00]	1	1		1	1	
community_1	17	myelination	23	0	0.314562	0	[0.00,0.00]	1	1		1	1	
community_1	17	protein_kinase_B_signaling	20	0	0.273532	0	[0.00,0.00]	1	1		1	1	
community_1	17	cAMP_metabolic_process	14	0	0.191472	0	[0.00,0.00]	1	1		1	1	
community_1	17	synaptic_vesicle_endocytosis	14	0	0.191472	0	[0.00,0.00]	1	1		1	1	
community_1	17	calcium_ion-regulated_exocytosis_of_neur...	4	0	0.0547064	0	[0.00,0.00]	1	1		1	1	
community_1	17	axon_extension_involved_in_axon_guidance	1	0	0.0136766	0	[0.00,0.00]	1	1		1	1	
community_1	17	modulation_of_chemical_synaptic_transmis...	75	1	1.02574	0.972973	[0.13,7.44]	1	1		0.381503	1	
community_1	17	regulation_of_synapse_organization	17	0	0.232502	0	[0.00,0.00]	1	1		1	1	
community_1	17	synapse_organization	42	0	0.574417	0	[0.00,0.00]	1	1		1	1	
community_1	17	T_cell_receptor_signaling_pathway	37	0	0.506034	0	[0.00,0.00]	1	1		1	1	
community_1	17	B_cell_receptor_signaling_pathway	4	0	0.0547064	0	[0.00,0.00]	1	1		1	1	
community_1	17	stress-activated_MAPK_cascade	37	0	0.506034	0	[0.00,0.00]	1	1		1	1	
community_1	17	response_to_cAMP	13	0	0.177796	0	[0.00,0.00]	1	1		1	1	
community_1	17	regulation_of_synapse_assembly	10	0	0.136766	0	[0.00,0.00]	1	1		1	1	
community_1	17	calcium_ion_homeostasis	49	0	0.670153	0	[0.00,0.00]	1	1		1	1	
community_1	17	synapse_maturation	4	0	0.0547064	0	[0.00,0.00]	1	1		1	1	
community_1	17	regulation_of_postsynaptic_membrane_pote...	19	0	0.259855	0	[0.00,0.00]	1	1		1	1	
community_1	17	neuroepithelial_cell_differentiation	4	0	0.0547064	0	[0.00,0.00]	1	1		1	1	
community_1	17	protein_kinase_C_signaling	3	0	0.0410298	0	[0.00,0.00]	1	1		1	1	
community_1	17	cell_communication_involved_in_cardiac_c...	10	0	0.136766	0	[0.00,0.00]	1	1		1	1	
community_1	17	regulation_of_synaptic_vesicle_cycle	16	0	0.218825	0	[0.00,0.00]	1	1		1	1	
community_1	17	neurotransmitter_receptor_transport_to_p...	6	0	0.0820595	0	[0.00,0.00]	1	1		1	1	
community_1	17	axonal_transport	10	0	0.136766	0	[0.00,0.00]	1	1		1	1	
community_1	17	vesicle-mediated_transport_in_synapse	42	0	0.574417	0	[0.00,0.00]	1	1		1	1	
community_1	17	presynapse_assembly	3	0	0.0410298	0	[0.00,0.00]	1	1		1	1	
community_1	17	regulation_of_postsynaptic_membrane_neur...	6	0	0.0820595	0	[0.00,0.00]	1	1		1	1	
community_1	17	synaptic_vesicle_cycle	38	0	0.51971	0	[0.00,0.00]	1	1		1	1	
community_1	17	presynaptic_process_involved_in_chemical...	37	0	0.506034	0	[0.00,0.00]	1	1		1	1	
community_1	17	synaptic_signaling	124	1	1.6959	0.560467	[0.07,4.26]	1	1		0.316288	1	
community_1	17	trans-synaptic_signaling	124	1	1.6959	0.560467	[0.07,4.26]	1	1		0.316288	1	
community_1	17	chemical_synaptic_transmission,_postsyna...	20	0	0.273532	0	[0.00,0.00]	1	1		1	1	
community_1	17	regulation_of_neurotransmitter_receptor_...	6	0	0.0820595	0	[0.00,0.00]	1	1		1	1	
community_1	17	neurotransmitter_receptor_transport	7	0	0.0957361	0	[0.00,0.00]	1	1		1	1	
community_1	17	signal_release_from_synapse	36	0	0.492357	0	[0.00,0.00]	1	1		1	1	
community_1	17	regulation_of_synaptic_vesicle_exocytosi...	12	0	0.164119	0	[0.00,0.00]	1	1		1	1	
community_2	13	MAPK_cascade	122	1	1.27595	0.763774	[0.10,5.92]	1	1		0.370794	1	
community_2	13	neurotransmitter_uptake	8	0	0.0836685	0	[0.00,0.00]	1	1		1	1	
community_2	13	activation_of_innate_immune_response	43	0	0.449718	0	[0.00,0.00]	1	1		1	1	
community_2	13	toll-like_receptor_signaling_pathway	10	0	0.104586	0	[0.00,0.00]	1	1		1	1	
community_2	13	Fc_receptor_mediated_stimulatory_signali...	25	0	0.261464	0	[0.00,0.00]	1	1		1	1	
community_2	13	immune_response-activating_signal_transd...	72	0	0.753017	0	[0.00,0.00]	1	1		1	1	
community_2	13	innate_immune_response-activating_signal...	42	0	0.43926	0	[0.00,0.00]	1	1		1	1	
community_2	13	dopamine_receptor_signaling_pathway	14	0	0.14642	0	[0.00,0.00]	1	1		1	1	
community_2	13	Wnt_signaling_pathway,_calcium_modulatin...	8	0	0.0836685	0	[0.00,0.00]	1	1		1	1	
community_2	13	chemical_synaptic_transmission	124	0	1.29686	0	[0.00,0.00]	1	1		1	1	
community_2	13	neurotransmitter_secretion	36	0	0.376508	0	[0.00,0.00]	1	1		1	1	
community_2	13	axon_guidance	40	1	0.418343	2.54487	[0.32,20.06]	0.347747	1		0.937032	1	
community_2	13	synapse_assembly	16	0	0.167337	0	[0.00,0.00]	1	1		1	1	
community_2	13	axo-dendritic_transport	11	0	0.115044	0	[0.00,0.00]	1	1		1	1	
community_2	13	anterograde_axonal_transport	6	0	0.0627514	0	[0.00,0.00]	1	1		1	1	
community_2	13	hormone-mediated_signaling_pathway	14	0	0.14642	0	[0.00,0.00]	1	1		1	1	
community_2	13	regulation_of_cardiac_muscle_hypertrophy	10	0	0.104586	0	[0.00,0.00]	1	1		1	1	
community_2	13	protein_kinase_A_signaling	5	0	0.0522928	0	[0.00,0.00]	1	1		1	1	
