N: 1243
annotation 1	n1	annotation 2	n2	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	BC	p-value(ALT)	p.adjusted(ALT)	BC
community_1	17	Differentiallly expressed proteins	221	6	3.02253	2.5649	[0.94,7.01]	0.0997353	1		0.945081	1	
community_2	13	Differentiallly expressed proteins	221	2	2.31134	0.839352	[0.18,3.81]	1	1		0.287499	1	
community_3	13	Differentiallly expressed proteins	221	3	2.31134	1.39266	[0.38,5.10]	0.712501	1		0.515624	1	
community_4	15	Differentiallly expressed proteins	221	3	2.66693	1.15826	[0.32,4.14]	0.738575	1		0.507061	1	
community_5	3	Differentiallly expressed proteins	221	0	0.533387	0	[0.00,0.00]	1	1		1	1	
community_6	17	Differentiallly expressed proteins	221	5	3.02253	1.9483	[0.68,5.59]	0.204618	1		0.900265	1	
community_7	22	Differentiallly expressed proteins	221	5	3.9115	1.36846	[0.50,3.75]	0.571607	1		0.597463	1	
community_8	16	Differentiallly expressed proteins	221	2	2.84473	0.657534	[0.15,2.91]	0.751348	1		0.49414	1	
community_9	7	Differentiallly expressed proteins	221	0	1.24457	0	[0.00,0.00]	1	1		1	1	
community_10	11	Differentiallly expressed proteins	221	0	1.95575	0	[0.00,0.00]	1	1		1	1	
community_11	14	Differentiallly expressed proteins	221	5	2.48914	2.60545	[0.86,7.85]	0.0856882	1		0.97494	1	
community_12	18	Differentiallly expressed proteins	221	7	3.20032	3.00637	[1.15,7.84]	0.0277613	1		0.992448	1	
community_13	15	Differentiallly expressed proteins	221	1	2.66693	0.327273	[0.04,2.50]	0.492939	1		0.678345	1	
community_14	15	Differentiallly expressed proteins	221	1	2.66693	0.327273	[0.04,2.50]	0.492939	1		0.678345	1	
community_15	6	Differentiallly expressed proteins	221	0	1.06677	0	[0.00,0.00]	1	1		1	1	
community_16	16	Differentiallly expressed proteins	221	4	2.84473	1.55146	[0.50,4.86]	0.50586	1		0.668566	1	
community_17	4	Differentiallly expressed proteins	221	1	0.711183	1.54394	[0.16,14.91]	0.543475	1		0.852569	1	
community_18	3	Differentiallly expressed proteins	221	1	0.533387	2.31818	[0.21,25.68]	0.444464	1		0.916635	1	
community_19	27	Differentiallly expressed proteins	221	1	4.80048	0.174126	[0.02,1.29]	0.0700669	1		0.958444	1	
community_20	10	Differentiallly expressed proteins	221	4	1.77796	3.12135	[0.87,11.16]	0.0842671	1		0.980195	1	
community_21	16	Differentiallly expressed proteins	221	5	2.84473	2.12753	[0.73,6.19]	0.181463	1		0.90839	1	
community_22	7	Differentiallly expressed proteins	221	0	1.24457	0	[0.00,0.00]	1	1		1	1	
community_23	19	Differentiallly expressed proteins	221	3	3.37812	0.865252	[0.25,3.00]	1	1		0.239132	1	
community_24	18	Differentiallly expressed proteins	221	0	3.20032	0	[0.00,0.00]	1	1		1	1	
community_25	14	Differentiallly expressed proteins	221	4	2.48914	1.86544	[0.58,6.00]	0.290701	1		0.85081	1	
community_26	8	Differentiallly expressed proteins	221	3	1.42237	2.79908	[0.66,11.80]	0.155787	1		0.962376	1	
community_27	4	Differentiallly expressed proteins	221	1	0.711183	1.54394	[0.16,14.91]	0.543475	1		0.852569	1	
community_28	10	Differentiallly expressed proteins	221	1	1.77796	0.511616	[0.06,4.06]	1	1		0.305606	1	
community_29	5	Differentiallly expressed proteins	221	0	0.888978	0	[0.00,0.00]	1	1		1	1	
