C	Cn	autism_spectrum_disorder	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	intellectual_disability	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Alzheimer's_disease	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	hypertension	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	autistic_disorder	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Huntington's_disease	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Parkinson's_disease	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	epilepsy_syndrome	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	bipolar_disorder	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	schizophrenia	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	frontotemporal_dementia	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
1	177		11	9.39823	1.21807	[0.62,2.38]	0.367616	1	0.1		0.528746	1			11	9.82542	1.15164	[0.59,2.24]	0.453802	1	0.1		0.401322	1			40	29.7611	1.54969	[1.05,2.29]	0.0182883	1	0.1		0.977856	1			27	15.8061	2.10429	[1.32,3.35]	0.00172004	0.673273	0.1		0.998525	1			11	9.39823	1.21807	[0.62,2.38]	0.367616	1	0.1		0.528746	1			13	5.5535	3.17073	[1.60,6.30]	0.00126688	0.673273	0.1		0.999504	1			9	11.3918	0.750755	[0.37,1.53]	0.272988	1	0.1		0.103101	1			19	15.5213	1.30408	[0.77,2.20]	0.187822	1	0.1		0.750068	1			11	11.2494	0.972537	[0.50,1.88]	0.546954	1	0.1		0.132397	1			40	37.3081	1.11002	[0.76,1.63]	0.358821	1	0.1		0.4485	1			9	10.1102	0.867512	[0.42,1.78]	0.429722	1	0.1		0.133953	1		
2	175		11	9.29204	1.23537	[0.63,2.41]	0.377168	1	0.1		0.528224	1			7	9.7144	0.676075	[0.30,1.50]	0.219487	1	0.1		0.0966901	1			27	29.4248	0.888105	[0.57,1.38]	0.342717	1	0.1		0.077441	1			20	15.6275	1.38532	[0.83,2.31]	0.115902	1	0.1		0.848942	1			11	9.29204	1.23537	[0.63,2.41]	0.377168	1	0.1		0.528224	1			10	5.49075	2.17137	[1.04,4.54]	0.0414332	1	0.1		0.966771	1			17	11.2631	1.7164	[0.98,3.01]	0.04292	1	0.1		0.955808	1			13	15.3459	0.8125	[0.44,1.48]	0.304671	1	0.1		0.0960389	1			12	11.1223	1.0999	[0.58,2.08]	0.426058	1	0.1		0.384363	1			38	36.8866	1.0451	[0.71,1.54]	0.47275	1	0.1		0.235339	1			10	9.99598	1.0005	[0.50,1.99]	0.584434	1	0.1		0.138975	1		
3	135		2	7.16814	0.245301	[0.06,1.01]	0.0183904	1	0.1		0.0145059	1			4	7.49397	0.489959	[0.18,1.37]	0.111316	1	0.1		0.0658851	1			24	22.6991	1.07874	[0.68,1.72]	0.391805	1	0.1		0.374359	1			9	12.0555	0.704482	[0.35,1.43]	0.210289	1	0.1		0.0852258	1			2	7.16814	0.245301	[0.06,1.01]	0.0183904	1	0.1		0.0145059	1			1	4.23572	0.210134	[0.03,1.54]	0.0620564	1	0.1		0.0515749	1			8	8.68866	0.906387	[0.43,1.93]	0.489161	1	0.1		0.146735	1			10	11.8383	0.815354	[0.41,1.60]	0.343862	1	0.1		0.11366	1			10	8.58005	1.20464	[0.61,2.40]	0.34512	1	0.1		0.546207	1			41	28.4553	1.7506	[1.18,2.60]	0.00463903	0.939028	0.1		0.995042	1			11	7.71118	1.54946	[0.79,3.03]	0.160685	1	0.1		0.828939	1		
4	74		5	3.9292	1.31623	[0.51,3.38]	0.394095	1	0.1		0.574261	1			5	4.1078	1.25113	[0.49,3.21]	0.375791	1	0.1		0.571462	1			14	12.4425	1.16547	[0.64,2.13]	0.38127	1	0.1		0.477388	1			8	6.60821	1.25449	[0.59,2.69]	0.320857	1	0.1		0.602012	1			5	3.9292	1.31623	[0.51,3.38]	0.394095	1	0.1		0.574261	1			2	2.3218	0.84985	[0.20,3.60]	0.586555	1	0.1		0.274605	1			7	4.76267	1.5686	[0.70,3.54]	0.225744	1	0.1		0.774385	1			4	6.48914	0.579048	[0.21,1.62]	0.203744	1	0.1		0.108898	1			5	4.70314	1.07227	[0.42,2.74]	0.478038	1	0.1		0.379455	1			19	15.5977	1.31642	[0.77,2.26]	0.179469	1	0.1		0.761495	1			7	4.22687	1.80387	[0.80,4.09]	0.133487	1	0.1		0.880723	1		
5	92		1	4.88496	0.183601	[0.03,1.34]	0.0356987	1	0.1		0.0302826	1			5	5.107	0.976114	[0.38,2.49]	0.59641	1	0.1		0.187095	1			17	15.469	1.13215	[0.65,1.96]	0.391706	1	0.1		0.436999	1			4	8.21561	0.4435	[0.16,1.23]	0.0705042	1	0.1		0.0439327	1			1	4.88496	0.183601	[0.03,1.34]	0.0356987	1	0.1		0.0302826	1			0	2.88656	0	[0.00,0.00]	1	1	0.1		1	1			5	5.92116	0.824521	[0.32,2.09]	0.447856	1	0.1		0.170933	1			8	8.06758	0.990099	[0.47,2.10]	0.582944	1	0.1		0.151689	1			5	5.84714	0.83644	[0.33,2.12]	0.460801	1	0.1		0.173195	1			9	19.3918	0.384875	[0.19,0.78]	0.00251263	0.673273	0.1		0.00162053	0.883834			3	5.25503	0.536847	[0.17,1.74]	0.211943	1	0.1		0.122486	1		
6	203		14	10.7788	1.40741	[0.76,2.59]	0.198354	1	0.1		0.767273	1			19	11.2687	2.04457	[1.18,3.55]	0.01272	1	0.1		0.988549	1			28	34.1327	0.759337	[0.49,1.17]	0.122694	1	0.1		0.0382404	1			8	18.1279	0.373214	[0.18,0.78]	0.00266091	0.673273	0.1		0.00174654	0.883834			14	10.7788	1.40741	[0.76,2.59]	0.198354	1	0.1		0.767273	1			5	6.36927	0.747178	[0.29,1.93]	0.366719	1	0.1		0.156933	1			15	13.0652	1.19681	[0.67,2.14]	0.313325	1	0.1		0.566153	1			21	17.8013	1.24825	[0.76,2.06]	0.257371	1	0.1		0.655854	1			15	12.9019	1.21676	[0.68,2.18]	0.324896	1	0.1		0.566987	1			45	42.7884	1.08018	[0.75,1.55]	0.404879	1	0.1		0.361006	1			10	11.5953	0.831564	[0.42,1.65]	0.369774	1	0.1		0.119897	1		
7	52		3	2.76106	1.09621	[0.33,3.61]	0.456592	1	0.1		0.480545	1			2	2.88656	0.671045	[0.16,2.82]	0.438932	1	0.1		0.23712	1			8	8.74336	0.895522	[0.42,1.93]	0.478791	1	0.1		0.148599	1			10	4.6436	2.56954	[1.25,5.27]	0.0159573	1	0.1		0.988514	1			3	2.76106	1.09621	[0.33,3.61]	0.456592	1	0.1		0.480545	1			1	1.63154	0.594943	[0.08,4.42]	0.507424	1	0.1		0.323501	1			0	3.34674	0	[0.00,0.00]	1	1	0.1		1	1			4	4.55994	0.861905	[0.30,2.44]	0.513945	1	0.1		0.198915	1			3	3.30491	0.898228	[0.27,2.95]	0.575918	1	0.1		0.231544	1			10	10.9606	0.887188	[0.44,1.79]	0.448582	1	0.1		0.134115	1			0	2.97023	0	[0.00,0.00]	1	1	0.1		1	1		
8	75		3	3.9823	0.73082	[0.22,2.38]	0.425816	1	0.1		0.202016	1			2	4.16331	0.450215	[0.11,1.87]	0.197987	1	0.1		0.129351	1			10	12.6106	0.74913	[0.38,1.48]	0.256406	1	0.1		0.0956481	1			8	6.69751	1.2346	[0.58,2.64]	0.314119	1	0.1		0.59997	1			3	3.9823	0.73082	[0.22,2.38]	0.425816	1	0.1		0.202016	1			1	2.35318	0.401849	[0.05,2.97]	0.304664	1	0.1		0.219764	1			6	4.82703	1.28555	[0.54,3.06]	0.42209	1	0.1		0.525638	1			6	6.57683	0.899114	[0.38,2.12]	0.507836	1	0.1		0.167155	1			1	4.76669	0.188843	[0.03,1.38]	0.0399103	1	0.1		0.033709	1			16	15.8085	1.0164	[0.57,1.80]	0.589242	1	0.1		0.115216	1			8	4.28399	2.09429	[0.96,4.55]	0.0457528	1	0.1		0.966521	1		
9	62		6	3.29204	2.00179	[0.83,4.83]	0.0949363	1	0.1		0.927615	1			3	3.44167	0.859014	[0.26,2.81]	0.544339	1	0.1		0.227252	1			10	10.4248	0.948976	[0.47,1.90]	0.524428	1	0.1		0.138452	1			4	5.5366	0.692233	[0.25,1.94]	0.334757	1	0.1		0.157268	1			6	3.29204	2.00179	[0.83,4.83]	0.0949363	1	0.1		0.927615	1			1	1.94529	0.493097	[0.07,3.65]	0.410214	1	0.1		0.278545	1			5	3.99035	1.29357	[0.50,3.32]	0.38765	1	0.1		0.573963	1			12	5.43685	2.68206	[1.38,5.21]	0.0067065	1	0.1		0.995234	1			6	3.94047	1.62622	[0.68,3.90]	0.186687	1	0.1		0.824338	1			11	13.0684	0.799156	[0.41,1.56]	0.315899	1	0.1		0.107248	1			6	3.54143	1.83956	[0.76,4.43]	0.102547	1	0.1		0.918362	1		
10	64		5	3.39823	1.55321	[0.60,4.01]	0.263647	1	0.1		0.749127	1			5	3.5527	1.47643	[0.57,3.81]	0.257573	1	0.1		0.74514	1			7	10.7611	0.593973	[0.27,1.32]	0.12903	1	0.1		0.0638965	1			3	5.71521	0.487705	[0.15,1.58]	0.158535	1	0.1		0.0964121	1			5	3.39823	1.55321	[0.60,4.01]	0.263647	1	0.1		0.749127	1			3	2.00805	1.56148	[0.47,5.21]	0.311964	1	0.1		0.740455	1			1	4.11907	0.221017	[0.03,1.61]	0.0713046	1	0.1		0.0586944	1			7	5.61223	1.2967	[0.58,2.92]	0.304774	1	0.1		0.639525	1			7	4.06758	1.88816	[0.83,4.29]	0.0739317	1	0.1		0.941955	1			13	13.4899	0.952043	[0.51,1.78]	0.512234	1	0.1		0.124815	1			2	3.65567	0.518934	[0.12,2.17]	0.277183	1	0.1		0.170442	1		
