C	Cn	Tubulin	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GPCR_Rhodpsn	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GPCR_2_secretin-like	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	ArfGAP	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Proteasome_sua/b	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Iono_rcpt_met	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	IF	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	P_typ_ATPase	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Small_GTPase	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Mit_carrier	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	SDR_fam	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Keratin_I	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Keratin_II	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Actin	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Neur_channel	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Small_GTPase_ARF/SAR	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Ca/CaM-dep_Ca-dep_prot_Kinase	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Small_GTPase_Ras	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	VG_K_chnl	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
1	177		1	1.28158	0.75142	[0.09,6.04]	0.625749	1	0.1		0.376016	1			0	0.284795	0	[0.00,0.00]	1	1	0.1		1	1			0	0.284795	0	[0.00,0.00]	1	1	0.1		1	1			3	1.42397	2.60837	[0.67,10.18]	0.118164	1	0.1		0.95843	1			0	1.28158	0	[0.00,0.00]	1	1	0.1		1	1			1	0.56959	2.01326	[0.21,19.46]	0.359994	1	0.1		0.900494	1			0	0.854385	0	[0.00,0.00]	1	1	0.1		1	1			2	1.13918	2.01905	[0.40,10.08]	0.226516	1	0.1		0.907813	1			1	4.27192	0.203174	[0.03,1.50]	0.0575036	1	0.1		0.0481084	1			0	0.427192	0	[0.00,0.00]	1	1	0.1		1	1			0	0.854385	0	[0.00,0.00]	1	1	0.1		1	1			0	0.284795	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.854385	0	[0.00,0.00]	1	1	0.1		1	1			0	0.142397	0	[0.00,0.00]	1	1	0.1		1	1			0	0.284795	0	[0.00,0.00]	1	1	0.1		1	1			2	1.42397	1.51143	[0.32,7.18]	0.48206	1	0.1		0.626354	1			1	1.28158	0.75142	[0.09,6.04]	0.625749	1	0.1		0.376016	1			0	0.284795	0	[0.00,0.00]	1	1	0.1		1	1		
2	175		1	1.2671	0.761494	[0.09,6.13]	0.6314	1	0.1		0.377402	1			0	0.281577	0	[0.00,0.00]	1	1	0.1		1	1			0	0.281577	0	[0.00,0.00]	1	1	0.1		1	1			0	1.40788	0	[0.00,0.00]	1	1	0.1		1	1			0	1.2671	0	[0.00,0.00]	1	1	0.1		1	1			0	0.563154	0	[0.00,0.00]	1	1	0.1		1	1			0	0.84473	0	[0.00,0.00]	1	1	0.1		1	1			0	1.12631	0	[0.00,0.00]	1	1	0.1		1	1			1	4.22365	0.205906	[0.03,1.52]	0.0602048	1	0.1		0.0502584	1			0	0.422365	0	[0.00,0.00]	1	1	0.1		1	1			1	0.84473	1.22184	[0.14,10.52]	0.396639	1	0.1		0.798189	1			0	0.281577	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.84473	0	[0.00,0.00]	1	1	0.1		1	1			0	0.140788	0	[0.00,0.00]	1	1	0.1		1	1			0	0.281577	0	[0.00,0.00]	1	1	0.1		1	1			2	1.40788	1.53179	[0.32,7.27]	0.484055	1	0.1		0.626285	1			1	1.2671	0.761494	[0.09,6.13]	0.6314	1	0.1		0.377402	1			0	0.281577	0	[0.00,0.00]	1	1	0.1		1	1		
3	135		5	0.977474	10.6154	[2.82,40.03]	0.00114203	0.437158	0.1		0.999906	1			0	0.217216	0	[0.00,0.00]	1	1	0.1		1	1			0	0.217216	0	[0.00,0.00]	1	1	0.1		1	1			0	1.08608	0	[0.00,0.00]	1	1	0.1		1	1			0	0.977474	0	[0.00,0.00]	1	1	0.1		1	1			0	0.434433	0	[0.00,0.00]	1	1	0.1		1	1			4	0.651649	16.8855	[3.06,93.08]	0.00160348	0.511498	0.1		0.999923	1			0	0.868866	0	[0.00,0.00]	1	1	0.1		1	1			0	3.25825	0	[0.00,0.00]	1	1	0.1		1	1			2	0.325825	16.6466	[1.50,184.83]	0.0313859	1	0.1		0.998744	1			1	0.651649	1.64627	[0.19,14.20]	0.367858	1	0.1		0.868782	1			1	0.217216	8.26119	[0.51,132.85]	0.193781	1	0.1		0.988282	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.651649	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108608	0	[0.00,0.00]	1	1	0.1		1	1			0	0.217216	0	[0.00,0.00]	1	1	0.1		1	1			0	1.08608	0	[0.00,0.00]	1	1	0.1		1	1			0	0.977474	0	[0.00,0.00]	1	1	0.1		1	1			0	0.217216	0	[0.00,0.00]	1	1	0.1		1	1		
4	74		0	0.5358	0	[0.00,0.00]	1	1	0.1		1	1			0	0.119067	0	[0.00,0.00]	1	1	0.1		1	1			0	0.119067	0	[0.00,0.00]	1	1	0.1		1	1			0	0.595334	0	[0.00,0.00]	1	1	0.1		1	1			0	0.5358	0	[0.00,0.00]	1	1	0.1		1	1			0	0.238134	0	[0.00,0.00]	1	1	0.1		1	1			0	0.3572	0	[0.00,0.00]	1	1	0.1		1	1			0	0.476267	0	[0.00,0.00]	1	1	0.1		1	1			3	1.786	1.78717	[0.53,6.03]	0.319913	1	0.1		0.746958	1			0	0.1786	0	[0.00,0.00]	1	1	0.1		1	1			0	0.3572	0	[0.00,0.00]	1	1	0.1		1	1			0	0.119067	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			4	0.3572	33.3429	[6.00,185.18]	0.000155209	0.0990205	0.1	*	0.999996	1			0	0.0595334	0	[0.00,0.00]	1	1	0.1		1	1			0	0.119067	0	[0.00,0.00]	1	1	0.1		1	1			0	0.595334	0	[0.00,0.00]	1	1	0.1		1	1			0	0.5358	0	[0.00,0.00]	1	1	0.1		1	1			0	0.119067	0	[0.00,0.00]	1	1	0.1		1	1		
5	92		1	0.66613	1.57005	[0.19,12.69]	0.361753	1	0.1		0.861129	1			1	0.148029	12.6374	[0.78,203.71]	0.137183	1	0.1		0.994577	1			0	0.148029	0	[0.00,0.00]	1	1	0.1		1	1			2	0.740145	3.175	[0.66,15.17]	0.133385	1	0.1		0.967837	1			0	0.66613	0	[0.00,0.00]	1	1	0.1		1	1			0	0.296058	0	[0.00,0.00]	1	1	0.1		1	1			0	0.444087	0	[0.00,0.00]	1	1	0.1		1	1			0	0.592116	0	[0.00,0.00]	1	1	0.1		1	1			8	2.22043	4.88745	[2.11,11.31]	0.000825603	0.395041	0.1		0.999823	1			0	0.222043	0	[0.00,0.00]	1	1	0.1		1	1			0	0.444087	0	[0.00,0.00]	1	1	0.1		1	1			0	0.148029	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.444087	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0740145	0	[0.00,0.00]	1	1	0.1		1	1			2	0.148029	0	[0.00,0.00]	0.00542296	1	0.1		1	1			0	0.740145	0	[0.00,0.00]	1	1	0.1		1	1			2	0.66613	3.63175	[0.74,17.74]	0.115103	1	0.1		0.976232	1			0	0.148029	0	[0.00,0.00]	1	1	0.1		1	1		
6	203		1	1.46983	0.638614	[0.08,5.13]	0.553512	1	0.1		0.353713	1			0	0.326629	0	[0.00,0.00]	1	1	0.1		1	1			1	0.326629	5.14356	[0.32,82.57]	0.273506	1	0.1		0.973438	1			2	1.63315	1.28358	[0.27,6.09]	0.456437	1	0.1		0.618186	1			9	1.46983	0	[0.00,0.00]	7.10748e-08	0.000136034	0.1	***	1	1			3	0.653258	15.585	[1.61,150.59]	0.0144328	1	0.1		0.999306	1			1	0.979887	1.02475	[0.12,8.82]	0.74502	1	0.1		0.402767	1			1	1.30652	0.730552	[0.09,5.97]	0.614994	1	0.1		0.375894	1			5	4.89944	1.02525	[0.39,2.71]	0.636346	1	0.1		0.194263	1			0	0.489944	0	[0.00,0.00]	1	1	0.1		1	1			1	0.979887	1.02475	[0.12,8.82]	0.74502	1	0.1		0.402767	1			0	0.326629	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			1	0.979887	1.02475	[0.12,8.82]	0.74502	1	0.1		0.402767	1			0	0.163315	0	[0.00,0.00]	1	1	0.1		1	1			0	0.326629	0	[0.00,0.00]	1	1	0.1		1	1			5	1.63315	5.22727	[1.50,18.22]	0.0117318	1	0.1		0.997914	1			0	1.46983	0	[0.00,0.00]	1	1	0.1		1	1			1	0.326629	5.14356	[0.32,82.57]	0.273506	1	0.1		0.973438	1		
7	52		0	0.376508	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0836685	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0836685	0	[0.00,0.00]	1	1	0.1		1	1			1	0.418343	2.57516	[0.32,20.72]	0.286485	1	0.1		0.937688	1			0	0.376508	0	[0.00,0.00]	1	1	0.1		1	1			0	0.167337	0	[0.00,0.00]	1	1	0.1		1	1			0	0.251006	0	[0.00,0.00]	1	1	0.1		1	1			0	0.334674	0	[0.00,0.00]	1	1	0.1		1	1			9	1.25503	11.6611	[5.04,26.96]	1.30994e-06	0.00125358	0.1	***	1	1			0	0.125503	0	[0.00,0.00]	1	1	0.1		1	1			0	0.251006	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0836685	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.251006	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0418343	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0836685	0	[0.00,0.00]	1	1	0.1		1	1			0	0.418343	0	[0.00,0.00]	1	1	0.1		1	1			3	0.376508	12.0918	[2.94,49.78]	0.00456228	1	0.1		0.999706	1			0	0.0836685	0	[0.00,0.00]	1	1	0.1		1	1		
8	75		0	0.543041	0	[0.00,0.00]	1	1	0.1		1	1			0	0.120676	0	[0.00,0.00]	1	1	0.1		1	1			1	0.120676	15.7703	[0.98,254.66]	0.113486	1	0.1		0.996405	1			0	0.603379	0	[0.00,0.00]	1	1	0.1		1	1			0	0.543041	0	[0.00,0.00]	1	1	0.1		1	1			0	0.241352	0	[0.00,0.00]	1	1	0.1		1	1			1	0.362027	3.14324	[0.36,27.25]	0.266149	1	0.1		0.953998	1			0	0.482703	0	[0.00,0.00]	1	1	0.1		1	1			2	1.81014	1.11546	[0.26,4.77]	0.432008	1	0.1		0.579382	1			0	0.181014	0	[0.00,0.00]	1	1	0.1		1	1			0	0.362027	0	[0.00,0.00]	1	1	0.1		1	1			1	0.120676	15.7703	[0.98,254.66]	0.113486	1	0.1		0.996405	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.362027	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0603379	0	[0.00,0.00]	1	1	0.1		1	1			0	0.120676	0	[0.00,0.00]	1	1	0.1		1	1			0	0.603379	0	[0.00,0.00]	1	1	0.1		1	1			2	0.543041	4.54403	[0.93,22.26]	0.0845745	1	0.1		0.986378	1			0	0.120676	0	[0.00,0.00]	1	1	0.1		1	1		
9	62		0	0.448914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0997586	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0997586	0	[0.00,0.00]	1	1	0.1		1	1			1	0.498793	2.13479	[0.27,17.12]	0.316535	1	0.1		0.914889	1			0	0.448914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.199517	0	[0.00,0.00]	1	1	0.1		1	1			0	0.299276	0	[0.00,0.00]	1	1	0.1		1	1			0	0.399035	0	[0.00,0.00]	1	1	0.1		1	1			0	1.49638	0	[0.00,0.00]	1	1	0.1		1	1			0	0.149638	0	[0.00,0.00]	1	1	0.1		1	1			0	0.299276	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0997586	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.299276	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0498793	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0997586	0	[0.00,0.00]	1	1	0.1		1	1			0	0.498793	0	[0.00,0.00]	1	1	0.1		1	1			0	0.448914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0997586	0	[0.00,0.00]	1	1	0.1		1	1		
10	64		0	0.463395	0	[0.00,0.00]	1	1	0.1		1	1			0	0.102977	0	[0.00,0.00]	1	1	0.1		1	1			0	0.102977	0	[0.00,0.00]	1	1	0.1		1	1			0	0.514883	0	[0.00,0.00]	1	1	0.1		1	1			0	0.463395	0	[0.00,0.00]	1	1	0.1		1	1			0	0.205953	0	[0.00,0.00]	1	1	0.1		1	1			0	0.30893	0	[0.00,0.00]	1	1	0.1		1	1			2	0.411907	6.30645	[1.25,31.89]	0.0537355	1	0.1		0.993941	1			0	1.54465	0	[0.00,0.00]	1	1	0.1		1	1			1	0.154465	9.34127	[0.84,104.41]	0.139186	1	0.1		0.992426	1			1	0.30893	3.72698	[0.43,32.38]	0.238031	1	0.1		0.965762	1			0	0.102977	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.30893	0	[0.00,0.00]	1	1	0.1		1	1			1	0.0514883	0	[0.00,0.00]	0.0514883	1	0.1		1	1			0	0.102977	0	[0.00,0.00]	1	1	0.1		1	1			0	0.514883	0	[0.00,0.00]	1	1	0.1		1	1			0	0.463395	0	[0.00,0.00]	1	1	0.1		1	1			1	0.102977	18.6984	[1.16,302.43]	0.0977532	1	0.1		0.997388	1		
