C	Cn	autism_spectrum_disorder	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	intellectual_disability	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Alzheimer's_disease	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	hypertension	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	autistic_disorder	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Huntington's_disease	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Parkinson's_disease	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	epilepsy_syndrome	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	bipolar_disorder	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	schizophrenia	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	frontotemporal_dementia	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
1	22		0	1.16814	0	[0.00,0.00]	1	1	0.1		1	1			0	1.22124	0	[0.00,0.00]	1	1	0.1		1	1			3	3.69912	0.777976	[0.23,2.65]	0.479776	1	0.1		0.222921	1			3	1.9646	1.62719	[0.47,5.59]	0.312278	1	0.1		0.748748	1			0	1.16814	0	[0.00,0.00]	1	1	0.1		1	1			1	0.690265	1.48246	[0.19,11.31]	0.357499	1	0.1		0.850415	1			0	1.41593	0	[0.00,0.00]	1	1	0.1		1	1			1	1.9292	0.490741	[0.07,3.68]	0.411344	1	0.1		0.280946	1			1	1.39823	0.697802	[0.09,5.26]	0.586886	1	0.1		0.354047	1			2	4.63717	0.369615	[0.09,1.59]	0.125604	1	0.1		0.0891397	1			1	1.25664	0.782993	[0.10,5.91]	0.638953	1	0.1		0.367875	1		
2	1		0	0.0530973	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0555109	0	[0.00,0.00]	1	1	0.1		1	1			0	0.168142	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0893001	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0530973	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0313757	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0643604	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0876911	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0635559	0	[0.00,0.00]	1	1	0.1		1	1			0	0.21078	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0571199	0	[0.00,0.00]	1	1	0.1		1	1		
3	13		0	0.690265	0	[0.00,0.00]	1	1	0.1		1	1			1	0.721641	1.42402	[0.18,11.11]	0.366045	1	0.1		0.84023	1			0	2.18584	0	[0.00,0.00]	1	1	0.1		1	1			0	1.1609	0	[0.00,0.00]	1	1	0.1		1	1			0	0.690265	0	[0.00,0.00]	1	1	0.1		1	1			0	0.407884	0	[0.00,0.00]	1	1	0.1		1	1			0	0.836685	0	[0.00,0.00]	1	1	0.1		1	1			0	1.13998	0	[0.00,0.00]	1	1	0.1		1	1			0	0.826227	0	[0.00,0.00]	1	1	0.1		1	1			2	2.74014	0.678322	[0.15,3.08]	0.461739	1	0.1		0.257146	1			0	0.742558	0	[0.00,0.00]	1	1	0.1		1	1		
4	4		0	0.212389	0	[0.00,0.00]	1	1	0.1		1	1			2	0.222043	17.4925	[2.43,126.11]	0.0163188	1	0.1		0.99937	1			0	0.672566	0	[0.00,0.00]	1	1	0.1		1	1			0	0.3572	0	[0.00,0.00]	1	1	0.1		1	1			0	0.212389	0	[0.00,0.00]	1	1	0.1		1	1			0	0.125503	0	[0.00,0.00]	1	1	0.1		1	1			0	0.257442	0	[0.00,0.00]	1	1	0.1		1	1			1	0.350764	3.49074	[0.36,33.85]	0.266925	1	0.1		0.959339	1			0	0.254224	0	[0.00,0.00]	1	1	0.1		1	1			0	0.843121	0	[0.00,0.00]	1	1	0.1		1	1			0	0.228479	0	[0.00,0.00]	1	1	0.1		1	1		
5	3		0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1			0	0.166533	0	[0.00,0.00]	1	1	0.1		1	1			0	0.504425	0	[0.00,0.00]	1	1	0.1		1	1			0	0.2679	0	[0.00,0.00]	1	1	0.1		1	1			0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0941271	0	[0.00,0.00]	1	1	0.1		1	1			0	0.193081	0	[0.00,0.00]	1	1	0.1		1	1			0	0.263073	0	[0.00,0.00]	1	1	0.1		1	1			0	0.190668	0	[0.00,0.00]	1	1	0.1		1	1			0	0.632341	0	[0.00,0.00]	1	1	0.1		1	1			0	0.17136	0	[0.00,0.00]	1	1	0.1		1	1		
6	1		0	0.0530973	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0555109	0	[0.00,0.00]	1	1	0.1		1	1			0	0.168142	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0893001	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0530973	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0313757	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0643604	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0876911	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0635559	0	[0.00,0.00]	1	1	0.1		1	1			1	0.21078	0	[0.00,0.00]	0.21078	1	0.1		1	1			0	0.0571199	0	[0.00,0.00]	1	1	0.1		1	1		
7	22		1	1.16814	0.846886	[0.11,6.39]	0.672182	1	0.1		0.374236	1			2	1.22124	1.72239	[0.39,7.52]	0.229334	1	0.1		0.881528	1			2	3.69912	0.489855	[0.11,2.11]	0.256855	1	0.1		0.16396	1			0	1.9646	0	[0.00,0.00]	1	1	0.1		1	1			1	1.16814	0.846886	[0.11,6.39]	0.672182	1	0.1		0.374236	1			2	0.690265	3.2	[0.72,14.20]	0.120475	1	0.1		0.970889	1			0	1.41593	0	[0.00,0.00]	1	1	0.1		1	1			2	1.9292	1.04112	[0.24,4.51]	0.697334	1	0.1		0.28599	1			2	1.39823	1.48571	[0.34,6.47]	0.486305	1	0.1		0.607512	1			6	4.63717	1.41357	[0.55,3.65]	0.274778	1	0.1		0.712664	1			1	1.25664	0.782993	[0.10,5.91]	0.638953	1	0.1		0.367875	1		
8	1		0	0.0530973	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0555109	0	[0.00,0.00]	1	1	0.1		1	1			0	0.168142	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0893001	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0530973	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0313757	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0643604	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0876911	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0635559	0	[0.00,0.00]	1	1	0.1		1	1			0	0.21078	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0571199	0	[0.00,0.00]	1	1	0.1		1	1		
9	7		3	0.371681	13.9643	[3.06,63.74]	0.00407049	1	0.1		0.999775	1			4	0.388576	24.0205	[5.27,109.57]	0.00026001	1	0.1		0.999991	1			2	1.17699	1.98841	[0.38,10.32]	0.237071	1	0.1		0.902708	1			0	0.625101	0	[0.00,0.00]	1	1	0.1		1	1			3	0.371681	13.9643	[3.06,63.74]	0.00407049	1	0.1		0.999775	1			2	0.21963	12.9622	[2.43,69.01]	0.0173237	1	0.1		0.999083	1			2	0.450523	5.93846	[1.13,31.10]	0.0621081	1	0.1		0.992553	1			4	0.613837	14.3619	[3.17,65.03]	0.00150782	1	0.1		0.999913	1			2	0.444891	6.02078	[1.15,31.54]	0.0608166	1	0.1		0.992814	1			5	1.47546	9.52335	[1.84,49.37]	0.0053211	1	0.1		0.999518	1			0	0.399839	0	[0.00,0.00]	1	1	0.1		1	1		
10	81		8	4.30088	2.08597	[0.96,4.53]	0.0461153	1	0.1		0.966221	1			4	4.49638	0.876723	[0.31,2.47]	0.527217	1	0.1		0.19995	1			17	13.6195	1.34196	[0.77,2.34]	0.166537	1	0.1		0.782741	1			8	7.23331	1.12675	[0.53,2.40]	0.396255	1	0.1		0.456753	1			8	4.30088	2.08597	[0.96,4.53]	0.0461153	1	0.1		0.966221	1			2	2.54143	0.769757	[0.18,3.25]	0.526601	1	0.1		0.262843	1			7	5.21319	1.41114	[0.63,3.17]	0.210825	1	0.1		0.764914	1			10	7.10298	1.51231	[0.76,3.03]	0.136245	1	0.1		0.849683	1			8	5.14803	1.68397	[0.78,3.63]	0.167572	1	0.1		0.837945	1			25	17.0732	1.74239	[1.06,2.85]	0.0225857	1	0.1		0.976525	1			5	4.62671	1.0925	[0.43,2.79]	0.489602	1	0.1		0.380917	1		
