C	Cn	Tubulin	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GPCR_Rhodpsn	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GPCR_2_secretin-like	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	ArfGAP	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Proteasome_sua/b	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Iono_rcpt_met	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	IF	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	P_typ_ATPase	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Small_GTPase	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Mit_carrier	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	SDR_fam	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Keratin_I	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Keratin_II	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Actin	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Neur_channel	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Small_GTPase_ARF/SAR	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Ca/CaM-dep_Ca-dep_prot_Kinase	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Small_GTPase_Ras	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	VG_K_chnl	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
1	22		0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0353982	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0353982	0	[0.00,0.00]	1	1	0.1		1	1			1	0.176991	6.4127	[0.78,52.92]	0.151733	1	0.1		0.987645	1			0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0707965	0	[0.00,0.00]	1	1	0.1		1	1			0	0.106195	0	[0.00,0.00]	1	1	0.1		1	1			1	0.141593	8.2585	[0.97,70.14]	0.125624	1	0.1		0.992146	1			1	0.530973	1.95731	[0.25,15.05]	0.321974	1	0.1		0.903478	1			0	0.0530973	0	[0.00,0.00]	1	1	0.1		1	1			0	0.106195	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0353982	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.106195	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0176991	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0353982	0	[0.00,0.00]	1	1	0.1		1	1			0	0.176991	0	[0.00,0.00]	1	1	0.1		1	1			0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0353982	0	[0.00,0.00]	1	1	0.1		1	1		
2	1		0	0.00724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00160901	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00160901	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00804505	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00321802	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00643604	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00160901	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.000804505	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00160901	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00804505	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00160901	0	[0.00,0.00]	1	1	0.1		1	1		
3	13		0	0.0941271	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0209171	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0209171	0	[0.00,0.00]	1	1	0.1		1	1			0	0.104586	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0941271	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0418343	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0627514	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0836685	0	[0.00,0.00]	1	1	0.1		1	1			0	0.313757	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0313757	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0627514	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0209171	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0627514	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0104586	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0209171	0	[0.00,0.00]	1	1	0.1		1	1			0	0.104586	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0941271	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0209171	0	[0.00,0.00]	1	1	0.1		1	1		
4	4		0	0.0289622	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00643604	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00643604	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0321802	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0289622	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0128721	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0193081	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0257442	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0965406	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00965406	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0193081	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00643604	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0193081	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00321802	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00643604	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0321802	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0289622	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00643604	0	[0.00,0.00]	1	1	0.1		1	1		
5	3		0	0.0217216	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0217216	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00965406	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0193081	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0217216	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1		
6	1		0	0.00724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00160901	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00160901	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00804505	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00321802	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00643604	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00160901	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.000804505	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00160901	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00804505	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00160901	0	[0.00,0.00]	1	1	0.1		1	1		
7	22		0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0353982	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0353982	0	[0.00,0.00]	1	1	0.1		1	1			1	0.176991	6.4127	[0.78,52.92]	0.151733	1	0.1		0.987645	1			0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0707965	0	[0.00,0.00]	1	1	0.1		1	1			0	0.106195	0	[0.00,0.00]	1	1	0.1		1	1			0	0.141593	0	[0.00,0.00]	1	1	0.1		1	1			0	0.530973	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0530973	0	[0.00,0.00]	1	1	0.1		1	1			0	0.106195	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0353982	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.106195	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0176991	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0353982	0	[0.00,0.00]	1	1	0.1		1	1			0	0.176991	0	[0.00,0.00]	1	1	0.1		1	1			0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0353982	0	[0.00,0.00]	1	1	0.1		1	1		
8	1		0	0.00724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00160901	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00160901	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00804505	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00321802	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00643604	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00160901	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.000804505	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00160901	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00804505	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00160901	0	[0.00,0.00]	1	1	0.1		1	1		
9	7		0	0.0506838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0112631	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0112631	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0563154	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0506838	0	[0.00,0.00]	1	1	0.1		1	1			2	0.0225261	246.8	[28.81,2114.08]	0.00016192	1	0.1		1	1			0	0.0337892	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0450523	0	[0.00,0.00]	1	1	0.1		1	1			0	0.168946	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0168946	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0337892	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0112631	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0337892	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00563154	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0112631	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0563154	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0506838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0112631	0	[0.00,0.00]	1	1	0.1		1	1		
10	81		0	0.586484	0	[0.00,0.00]	1	1	0.1		1	1			0	0.13033	0	[0.00,0.00]	1	1	0.1		1	1			0	0.13033	0	[0.00,0.00]	1	1	0.1		1	1			0	0.651649	0	[0.00,0.00]	1	1	0.1		1	1			0	0.586484	0	[0.00,0.00]	1	1	0.1		1	1			0	0.26066	0	[0.00,0.00]	1	1	0.1		1	1			0	0.39099	0	[0.00,0.00]	1	1	0.1		1	1			1	0.521319	2.0625	[0.25,16.97]	0.326729	1	0.1		0.909094	1			0	1.95495	0	[0.00,0.00]	1	1	0.1		1	1			1	0.195495	7.25	[0.65,80.82]	0.171112	1	0.1		0.987942	1			0	0.39099	0	[0.00,0.00]	1	1	0.1		1	1			0	0.13033	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.39099	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0651649	0	[0.00,0.00]	1	1	0.1		1	1			0	0.13033	0	[0.00,0.00]	1	1	0.1		1	1			0	0.651649	0	[0.00,0.00]	1	1	0.1		1	1			0	0.586484	0	[0.00,0.00]	1	1	0.1		1	1			0	0.13033	0	[0.00,0.00]	1	1	0.1		1	1		
