C	Cn	autism_spectrum_disorder	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	intellectual_disability	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Alzheimer's_disease	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	hypertension	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	autistic_disorder	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Huntington's_disease	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Parkinson's_disease	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	epilepsy_syndrome	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	bipolar_disorder	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	schizophrenia	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	frontotemporal_dementia	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
1	9		1	0.477876	2.24808	[0.28,18.25]	0.310464	1	0.1		0.921461	1			1	0.499598	2.14338	[0.26,17.39]	0.317997	1	0.1		0.915073	1			1	1.51327	0.616587	[0.08,4.96]	0.537263	1	0.1		0.347641	1			0	0.803701	0	[0.00,0.00]	1	1	0.1		1	1			1	0.477876	2.24808	[0.28,18.25]	0.310464	1	0.1		0.921461	1			0	0.282381	0	[0.00,0.00]	1	1	0.1		1	1			0	0.579244	0	[0.00,0.00]	1	1	0.1		1	1			0	0.78922	0	[0.00,0.00]	1	1	0.1		1	1			0	0.572003	0	[0.00,0.00]	1	1	0.1		1	1			4	1.89702	3.02636	[0.81,11.35]	0.0758339	1	0.1		0.976047	1			0	0.514079	0	[0.00,0.00]	1	1	0.1		1	1		
2	41		3	2.17699	1.42732	[0.43,4.75]	0.307021	1	0.1		0.728455	1			1	2.27595	0.416912	[0.06,3.08]	0.323044	1	0.1		0.230606	1			8	6.89381	1.2073	[0.55,2.65]	0.429864	1	0.1		0.472443	1			5	3.6613	1.43606	[0.55,3.74]	0.253121	1	0.1		0.743632	1			3	2.17699	1.42732	[0.43,4.75]	0.307021	1	0.1		0.728455	1			3	1.2864	2.55702	[0.75,8.67]	0.0978834	1	0.1		0.963667	1			7	2.63878	3.18413	[1.36,7.43]	0.00978969	1	0.1		0.996533	1			2	3.59533	0.524802	[0.12,2.20]	0.28598	1	0.1		0.175335	1			4	2.60579	1.6245	[0.56,4.68]	0.211921	1	0.1		0.821979	1			10	8.642	1.21608	[0.59,2.51]	0.333278	1	0.1		0.565119	1			8	2.34191	4.38288	[1.94,9.88]	0.00127679	0.621044	0.1		0.999689	1		
3	18		0	0.955752	0	[0.00,0.00]	1	1	0.1		1	1			1	0.999195	1.00087	[0.13,7.63]	0.736325	1	0.1		0.381207	1			1	3.02655	0.287613	[0.04,2.17]	0.16672	1	0.1		0.131241	1			0	1.6074	0	[0.00,0.00]	1	1	0.1		1	1			0	0.955752	0	[0.00,0.00]	1	1	0.1		1	1			0	0.564763	0	[0.00,0.00]	1	1	0.1		1	1			1	1.15849	0.853313	[0.11,6.50]	0.675593	1	0.1		0.3762	1			1	1.57844	0.608388	[0.08,4.62]	0.522062	1	0.1		0.332668	1			0	1.14401	0	[0.00,0.00]	1	1	0.1		1	1			3	3.79405	0.745946	[0.21,2.60]	0.454317	1	0.1		0.220371	1			0	1.02816	0	[0.00,0.00]	1	1	0.1		1	1		
4	4		0	0.212389	0	[0.00,0.00]	1	1	0.1		1	1			0	0.222043	0	[0.00,0.00]	1	1	0.1		1	1			2	0.672566	4.98551	[0.70,35.60]	0.117272	1	0.1		0.983553	1			0	0.3572	0	[0.00,0.00]	1	1	0.1		1	1			0	0.212389	0	[0.00,0.00]	1	1	0.1		1	1			0	0.125503	0	[0.00,0.00]	1	1	0.1		1	1			0	0.257442	0	[0.00,0.00]	1	1	0.1		1	1			0	0.350764	0	[0.00,0.00]	1	1	0.1		1	1			0	0.254224	0	[0.00,0.00]	1	1	0.1		1	1			0	0.843121	0	[0.00,0.00]	1	1	0.1		1	1			0	0.228479	0	[0.00,0.00]	1	1	0.1		1	1		
5	3		0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1			0	0.166533	0	[0.00,0.00]	1	1	0.1		1	1			1	0.504425	2.48077	[0.22,27.49]	0.349562	1	0.1		0.924917	1			0	0.2679	0	[0.00,0.00]	1	1	0.1		1	1			0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0941271	0	[0.00,0.00]	1	1	0.1		1	1			0	0.193081	0	[0.00,0.00]	1	1	0.1		1	1			0	0.263073	0	[0.00,0.00]	1	1	0.1		1	1			0	0.190668	0	[0.00,0.00]	1	1	0.1		1	1			0	0.632341	0	[0.00,0.00]	1	1	0.1		1	1			0	0.17136	0	[0.00,0.00]	1	1	0.1		1	1		
6	9		0	0.477876	0	[0.00,0.00]	1	1	0.1		1	1			0	0.499598	0	[0.00,0.00]	1	1	0.1		1	1			1	1.51327	0.616587	[0.08,4.96]	0.537263	1	0.1		0.347641	1			1	0.803701	1.27727	[0.16,10.31]	0.381889	1	0.1		0.811563	1			0	0.477876	0	[0.00,0.00]	1	1	0.1		1	1			0	0.282381	0	[0.00,0.00]	1	1	0.1		1	1			0	0.579244	0	[0.00,0.00]	1	1	0.1		1	1			0	0.78922	0	[0.00,0.00]	1	1	0.1		1	1			1	0.572003	1.85256	[0.23,15.00]	0.339931	1	0.1		0.892618	1			2	1.89702	1.07033	[0.22,5.18]	0.709701	1	0.1		0.30618	1			0	0.514079	0	[0.00,0.00]	1	1	0.1		1	1		
7	47		2	2.49558	0.786111	[0.19,3.31]	0.539238	1	0.1		0.265208	1			1	2.60901	0.360614	[0.05,2.65]	0.251041	1	0.1		0.186256	1			8	7.90265	1.01544	[0.47,2.21]	0.608643	1	0.1		0.156072	1			6	4.1971	1.52056	[0.63,3.67]	0.184308	1	0.1		0.816237	1			2	2.49558	0.786111	[0.19,3.31]	0.539238	1	0.1		0.265208	1			1	1.47466	0.662471	[0.09,4.93]	0.560862	1	0.1		0.343718	1			0	3.02494	0	[0.00,0.00]	1	1	0.1		1	1			1	4.12148	0.219002	[0.03,1.60]	0.0701329	1	0.1		0.0578475	1			3	2.98713	1.00478	[0.30,3.31]	0.650662	1	0.1		0.236033	1			6	9.90668	0.537348	[0.23,1.28]	0.102899	1	0.1		0.0560187	1			1	2.68463	0.349689	[0.05,2.57]	0.236623	1	0.1		0.176924	1		
8	93		3	4.93805	0.575132	[0.18,1.87]	0.255531	1	0.1		0.142022	1			8	5.16251	1.68023	[0.78,3.63]	0.166965	1	0.1		0.838385	1			5	15.6372	0.26348	[0.11,0.66]	0.000611577	0.501801	0.1		0.000463009	0.934797			2	8.30491	0.2099	[0.05,0.86]	0.00690809	1	0.1		0.00563256	1			3	4.93805	0.575132	[0.18,1.87]	0.255531	1	0.1		0.142022	1			2	2.91794	0.661123	[0.16,2.79]	0.430372	1	0.1		0.234927	1			4	5.98552	0.635127	[0.23,1.78]	0.267844	1	0.1		0.134196	1			7	8.15527	0.836297	[0.38,1.86]	0.418231	1	0.1		0.144844	1			3	5.9107	0.471053	[0.15,1.52]	0.140358	1	0.1		0.0867798	1			10	19.6026	0.429336	[0.22,0.84]	0.00546914	1	0.1		0.00331272	1			2	5.31215	0.344322	[0.08,1.43]	0.0856149	1	0.1		0.0615658	1		
9	28		1	1.48673	0.655271	[0.09,4.90]	0.556113	1	0.1		0.342794	1			1	1.5543	0.624728	[0.08,4.67]	0.532696	1	0.1		0.334254	1			2	4.70796	0.374582	[0.09,1.59]	0.124731	1	0.1		0.0877927	1			2	2.5004	0.780522	[0.18,3.33]	0.536474	1	0.1		0.266959	1			1	1.48673	0.655271	[0.09,4.90]	0.556113	1	0.1		0.342794	1			0	0.87852	0	[0.00,0.00]	1	1	0.1		1	1			1	1.80209	0.532583	[0.07,3.97]	0.451688	1	0.1		0.299698	1			0	2.45535	0	[0.00,0.00]	1	1	0.1		1	1			0	1.77957	0	[0.00,0.00]	1	1	0.1		1	1			6	5.90185	1.02166	[0.41,2.55]	0.625449	1	0.1		0.182966	1			1	1.59936	0.60582	[0.08,4.52]	0.517383	1	0.1		0.328298	1		
10	3		0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1			0	0.166533	0	[0.00,0.00]	1	1	0.1		1	1			0	0.504425	0	[0.00,0.00]	1	1	0.1		1	1			0	0.2679	0	[0.00,0.00]	1	1	0.1		1	1			0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0941271	0	[0.00,0.00]	1	1	0.1		1	1			0	0.193081	0	[0.00,0.00]	1	1	0.1		1	1			1	0.263073	5.24074	[0.47,58.27]	0.219294	1	0.1		0.978439	1			0	0.190668	0	[0.00,0.00]	1	1	0.1		1	1			1	0.632341	1.87548	[0.17,20.76]	0.394415	1	0.1		0.885677	1			0	0.17136	0	[0.00,0.00]	1	1	0.1		1	1		
11	114		13	6.0531	2.61311	[1.38,4.96]	0.00480076	0.972974	0.1		0.996822	1			15	6.32824	3.01627	[1.64,5.54]	0.000618985	0.501801	0.1		0.999735	1			18	19.1681	0.920812	[0.54,1.56]	0.439539	1	0.1		0.101757	1			13	10.1802	1.35411	[0.73,2.50]	0.176771	1	0.1		0.775094	1			13	6.0531	2.61311	[1.38,4.96]	0.00480076	0.972974	0.1		0.996822	1			4	3.57683	1.13662	[0.40,3.26]	0.493097	1	0.1		0.427711	1			10	7.33709	1.45467	[0.73,2.91]	0.206848	1	0.1		0.769942	1			15	9.99678	1.66828	[0.93,2.99]	0.0505952	1	0.1		0.946592	1			9	7.24537	1.29673	[0.63,2.67]	0.246059	1	0.1		0.690049	1			36	24.029	1.84411	[1.21,2.81]	0.00350335	0.852031	0.1		0.996452	1			2	6.51167	0.274327	[0.07,1.13]	0.0325524	1	0.1		0.0249811	1		
12	8		1	0.424779	2.57143	[0.31,21.21]	0.2913	1	0.1		0.936793	1			0	0.444087	0	[0.00,0.00]	1	1	0.1		1	1			1	1.34513	0.705357	[0.09,5.76]	0.599848	1	0.1		0.371599	1			1	0.714401	1.46104	[0.18,11.98]	0.372649	1	0.1		0.844754	1			1	0.424779	2.57143	[0.31,21.21]	0.2913	1	0.1		0.936793	1			0	0.251006	0	[0.00,0.00]	1	1	0.1		1	1			0	0.514883	0	[0.00,0.00]	1	1	0.1		1	1			1	0.701529	1.49074	[0.18,12.23]	0.370496	1	0.1		0.849337	1			2	0.508447	5.01299	[1.00,25.25]	0.0760372	1	0.1		0.989025	1			3	1.68624	2.261	[0.54,9.52]	0.310321	1	0.1		0.784307	1			0	0.456959	0	[0.00,0.00]	1	1	0.1		1	1		
13	3		0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1			0	0.166533	0	[0.00,0.00]	1	1	0.1		1	1			0	0.504425	0	[0.00,0.00]	1	1	0.1		1	1			0	0.2679	0	[0.00,0.00]	1	1	0.1		1	1			0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0941271	0	[0.00,0.00]	1	1	0.1		1	1			0	0.193081	0	[0.00,0.00]	1	1	0.1		1	1			0	0.263073	0	[0.00,0.00]	1	1	0.1		1	1			0	0.190668	0	[0.00,0.00]	1	1	0.1		1	1			0	0.632341	0	[0.00,0.00]	1	1	0.1		1	1			0	0.17136	0	[0.00,0.00]	1	1	0.1		1	1		
14	3		0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1			0	0.166533	0	[0.00,0.00]	1	1	0.1		1	1			0	0.504425	0	[0.00,0.00]	1	1	0.1		1	1			0	0.2679	0	[0.00,0.00]	1	1	0.1		1	1			0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0941271	0	[0.00,0.00]	1	1	0.1		1	1			0	0.193081	0	[0.00,0.00]	1	1	0.1		1	1			0	0.263073	0	[0.00,0.00]	1	1	0.1		1	1			0	0.190668	0	[0.00,0.00]	1	1	0.1		1	1			0	0.632341	0	[0.00,0.00]	1	1	0.1		1	1			0	0.17136	0	[0.00,0.00]	1	1	0.1		1	1		
15	15		1	0.79646	1.27802	[0.17,9.87]	0.373733	1	0.1		0.812775	1			1	0.832663	1.21849	[0.16,9.40]	0.376932	1	0.1		0.799388	1			1	2.52212	0.350275	[0.05,2.68]	0.253065	1	0.1		0.190941	1			0	1.3395	0	[0.00,0.00]	1	1	0.1		1	1			1	0.79646	1.27802	[0.17,9.87]	0.373733	1	0.1		0.812775	1			0	0.470636	0	[0.00,0.00]	1	1	0.1		1	1			1	0.965406	1.03888	[0.13,8.00]	0.749286	1	0.1		0.382777	1			0	1.31537	0	[0.00,0.00]	1	1	0.1		1	1			1	0.953339	1.05311	[0.14,8.11]	0.753888	1	0.1		0.382594	1			2	3.16171	0.572781	[0.13,2.55]	0.357332	1	0.1		0.215235	1			1	0.856798	1.18163	[0.15,9.12]	0.378659	1	0.1		0.790383	1		
16	59		5	3.13274	1.70461	[0.66,4.42]	0.148934	1	0.1		0.875849	1			2	3.27514	0.58497	[0.14,2.45]	0.35088	1	0.1		0.203797	1			9	9.92035	0.8856	[0.43,1.83]	0.454588	1	0.1		0.138477	1			2	5.2687	0.346049	[0.08,1.44]	0.08786	1	0.1		0.0631063	1			5	3.13274	1.70461	[0.66,4.42]	0.148934	1	0.1		0.875849	1			1	1.85117	0.519964	[0.07,3.85]	0.437944	1	0.1		0.292343	1			5	3.79726	1.36914	[0.53,3.52]	0.249896	1	0.1		0.732293	1			12	5.17377	2.86115	[1.47,5.58]	0.00254718	0.852031	0.1		0.99886	1			6	3.7498	1.72293	[0.72,4.14]	0.189987	1	0.1		0.827083	1			12	12.436	0.953872	[0.50,1.83]	0.519832	1	0.1		0.129822	1			6	3.37007	1.94891	[0.81,4.70]	0.0970056	1	0.1		0.925378	1		
17	137		13	7.27434	2.08293	[1.10,3.93]	0.0302375	1	0.1		0.973491	1			6	7.60499	0.75827	[0.32,1.79]	0.345285	1	0.1		0.138781	1			34	23.0354	1.75612	[1.15,2.67]	0.00687764	1	0.1		0.992703	1			24	12.2341	2.48764	[1.52,4.07]	0.000470826	0.501801	0.1		0.999655	1			13	7.27434	2.08293	[1.10,3.93]	0.0302375	1	0.1		0.973491	1			11	4.29847	3.36111	[1.63,6.92]	0.00159199	0.645298	0.1		0.999435	1			17	8.81738	2.34537	[1.33,4.14]	0.0034063	0.852031	0.1		0.997592	1			11	12.0137	0.897959	[0.47,1.72]	0.44815	1	0.1		0.124436	1			14	8.70716	1.82289	[0.99,3.34]	0.0405501	1	0.1		0.961358	1			37	28.8769	1.44876	[0.97,2.17]	0.0457009	1	0.1		0.941624	1			12	7.82542	1.70359	[0.89,3.26]	0.0758629	1	0.1		0.924178	1		
18	3		0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1			0	0.166533	0	[0.00,0.00]	1	1	0.1		1	1			1	0.504425	2.48077	[0.22,27.49]	0.349562	1	0.1		0.924917	1			1	0.2679	5.13636	[0.46,57.10]	0.22253	1	0.1		0.977662	1			0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0941271	0	[0.00,0.00]	1	1	0.1		1	1			0	0.193081	0	[0.00,0.00]	1	1	0.1		1	1			0	0.263073	0	[0.00,0.00]	1	1	0.1		1	1			0	0.190668	0	[0.00,0.00]	1	1	0.1		1	1			0	0.632341	0	[0.00,0.00]	1	1	0.1		1	1			0	0.17136	0	[0.00,0.00]	1	1	0.1		1	1		
19	4		0	0.212389	0	[0.00,0.00]	1	1	0.1		1	1			0	0.222043	0	[0.00,0.00]	1	1	0.1		1	1			2	0.672566	4.98551	[0.70,35.60]	0.117272	1	0.1		0.983553	1			1	0.3572	3.42121	[0.35,33.17]	0.270386	1	0.1		0.957922	1			0	0.212389	0	[0.00,0.00]	1	1	0.1		1	1			0	0.125503	0	[0.00,0.00]	1	1	0.1		1	1			0	0.257442	0	[0.00,0.00]	1	1	0.1		1	1			0	0.350764	0	[0.00,0.00]	1	1	0.1		1	1			0	0.254224	0	[0.00,0.00]	1	1	0.1		1	1			1	0.843121	1.24904	[0.13,12.06]	0.802659	1	0.1		0.415196	1			1	0.228479	5.56667	[0.57,54.21]	0.191956	1	0.1		0.982087	1		
20	10		0	0.530973	0	[0.00,0.00]	1	1	0.1		1	1			0	0.555109	0	[0.00,0.00]	1	1	0.1		1	1			2	1.68142	1.23913	[0.26,5.88]	0.450494	1	0.1		0.614147	1			1	0.893001	1.13434	[0.14,9.04]	0.386497	1	0.1		0.777521	1			0	0.530973	0	[0.00,0.00]	1	1	0.1		1	1			0	0.313757	0	[0.00,0.00]	1	1	0.1		1	1			0	0.643604	0	[0.00,0.00]	1	1	0.1		1	1			0	0.876911	0	[0.00,0.00]	1	1	0.1		1	1			0	0.635559	0	[0.00,0.00]	1	1	0.1		1	1			2	2.1078	0.935577	[0.20,4.43]	0.64519	1	0.1		0.302086	1			1	0.571199	1.84603	[0.23,14.78]	0.338288	1	0.1		0.892412	1		
