C	Cn	Tubulin	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GPCR_Rhodpsn	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GPCR_2_secretin-like	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	ArfGAP	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Proteasome_sua/b	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Iono_rcpt_met	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	IF	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	P_typ_ATPase	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Small_GTPase	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Mit_carrier	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	SDR_fam	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Keratin_I	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Keratin_II	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Actin	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Neur_channel	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Small_GTPase_ARF/SAR	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Ca/CaM-dep_Ca-dep_prot_Kinase	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Small_GTPase_Ras	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	VG_K_chnl	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
1	9		0	0.0651649	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0651649	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0289622	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0434433	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0579244	0	[0.00,0.00]	1	1	0.1		1	1			0	0.217216	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0217216	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0434433	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0434433	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0651649	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1		
2	41		0	0.296862	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0659694	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0659694	0	[0.00,0.00]	1	1	0.1		1	1			0	0.329847	0	[0.00,0.00]	1	1	0.1		1	1			0	0.296862	0	[0.00,0.00]	1	1	0.1		1	1			0	0.131939	0	[0.00,0.00]	1	1	0.1		1	1			1	0.197908	5.985	[0.68,52.42]	0.167982	1	0.1		0.985355	1			0	0.263878	0	[0.00,0.00]	1	1	0.1		1	1			1	0.989541	1.01121	[0.13,7.61]	0.739923	1	0.1		0.378737	1			0	0.0989541	0	[0.00,0.00]	1	1	0.1		1	1			1	0.197908	5.985	[0.68,52.42]	0.167982	1	0.1		0.985355	1			1	0.0659694	30.025	[1.84,488.69]	0.0638448	1	0.1		0.998938	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.197908	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0329847	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0659694	0	[0.00,0.00]	1	1	0.1		1	1			0	0.329847	0	[0.00,0.00]	1	1	0.1		1	1			0	0.296862	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0659694	0	[0.00,0.00]	1	1	0.1		1	1		
3	18		0	0.13033	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0289622	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0289622	0	[0.00,0.00]	1	1	0.1		1	1			0	0.144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0.13033	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0579244	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0868866	0	[0.00,0.00]	1	1	0.1		1	1			1	0.115849	10.2353	[1.19,87.81]	0.10517	1	0.1		0.99473	1			0	0.434433	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0434433	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0868866	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0289622	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0868866	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0289622	0	[0.00,0.00]	1	1	0.1		1	1			0	0.144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0.13033	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0289622	0	[0.00,0.00]	1	1	0.1		1	1		
4	4		0	0.0289622	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00643604	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00643604	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0321802	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0289622	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0128721	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0193081	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0257442	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0965406	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00965406	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0193081	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00643604	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0193081	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00321802	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00643604	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0321802	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0289622	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00643604	0	[0.00,0.00]	1	1	0.1		1	1		
5	3		0	0.0217216	0	[0.00,0.00]	1	1	0.1		1	1			1	0.00482703	619.5	[27.92,13745.20]	0.00481926	1	0.1		0.999996	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0217216	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00965406	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0193081	0	[0.00,0.00]	1	1	0.1		1	1			1	0.0724055	20.8793	[1.84,236.83]	0.0690624	1	0.1		0.998335	1			0	0.00724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0217216	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1		
6	9		0	0.0651649	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0651649	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0289622	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0434433	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0579244	0	[0.00,0.00]	1	1	0.1		1	1			0	0.217216	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0217216	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0434433	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0434433	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0651649	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1		
7	47		1	0.340306	3.22826	[0.40,26.35]	0.251401	1	0.1		0.957465	1			0	0.0756235	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0756235	0	[0.00,0.00]	1	1	0.1		1	1			1	0.378117	2.86715	[0.36,23.11]	0.268922	1	0.1		0.948094	1			0	0.340306	0	[0.00,0.00]	1	1	0.1		1	1			0	0.151247	0	[0.00,0.00]	1	1	0.1		1	1			0	0.22687	0	[0.00,0.00]	1	1	0.1		1	1			2	0.302494	8.81481	[1.73,44.89]	0.0314036	1	0.1		0.997514	1			1	1.13435	0.874813	[0.12,6.56]	0.685132	1	0.1		0.374869	1			0	0.113435	0	[0.00,0.00]	1	1	0.1		1	1			0	0.22687	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0756235	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.22687	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0378117	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0756235	0	[0.00,0.00]	1	1	0.1		1	1			0	0.378117	0	[0.00,0.00]	1	1	0.1		1	1			0	0.340306	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0756235	0	[0.00,0.00]	1	1	0.1		1	1		
8	93		0	0.673371	0	[0.00,0.00]	1	1	0.1		1	1			0	0.149638	0	[0.00,0.00]	1	1	0.1		1	1			1	0.149638	12.4891	[0.77,201.31]	0.138554	1	0.1		0.994458	1			2	0.74819	3.13736	[0.66,14.99]	0.135369	1	0.1		0.96691	1			9	0.673371	0	[0.00,0.00]	5.0726e-11	2.30982e-07	0.1	***	1	1			0	0.299276	0	[0.00,0.00]	1	1	0.1		1	1			0	0.448914	0	[0.00,0.00]	1	1	0.1		1	1			1	0.598552	1.77484	[0.22,14.58]	0.348775	1	0.1		0.884596	1			4	2.24457	1.94296	[0.66,5.69]	0.208265	1	0.1		0.83845	1			0	0.224457	0	[0.00,0.00]	1	1	0.1		1	1			0	0.448914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.149638	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			1	0.448914	2.48913	[0.29,21.53]	0.305326	1	0.1		0.931846	1			0	0.074819	0	[0.00,0.00]	1	1	0.1		1	1			0	0.149638	0	[0.00,0.00]	1	1	0.1		1	1			1	0.74819	1.37802	[0.17,11.00]	0.37341	1	0.1		0.83154	1			0	0.673371	0	[0.00,0.00]	1	1	0.1		1	1			0	0.149638	0	[0.00,0.00]	1	1	0.1		1	1		
9	28		0	0.202735	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0450523	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0450523	0	[0.00,0.00]	1	1	0.1		1	1			0	0.225261	0	[0.00,0.00]	1	1	0.1		1	1			0	0.202735	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0901046	0	[0.00,0.00]	1	1	0.1		1	1			0	0.135157	0	[0.00,0.00]	1	1	0.1		1	1			0	0.180209	0	[0.00,0.00]	1	1	0.1		1	1			1	0.675784	1.51469	[0.20,11.53]	0.354641	1	0.1		0.855361	1			0	0.0675784	0	[0.00,0.00]	1	1	0.1		1	1			0	0.135157	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0450523	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			3	0.135157	48.48	[9.32,252.08]	0.00019302	0.292974	0.1		0.999997	1			0	0.0225261	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0450523	0	[0.00,0.00]	1	1	0.1		1	1			0	0.225261	0	[0.00,0.00]	1	1	0.1		1	1			0	0.202735	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0450523	0	[0.00,0.00]	1	1	0.1		1	1		
10	3		0	0.0217216	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0217216	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00965406	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0193081	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0217216	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1		
