alg,Rate_-10.0,Rate_-5.0,Rate_-2.0,Rate_-1.0,Rate_-0.5
fc,1.48769885299771E-14,4.88498130835069E-15,5.55111512312578E-16,0,0
lourvain,4.44089209850063E-14,1.30007116183606E-13,1.05460085109144E-12,3.73701070088828E-13,0
lec,4.44089209850063E-14,4.44089209850063E-14,1.30007116183606E-13,1.05460085109144E-12,1.55431223447522E-15
infomap,1.42548528536679E-10,5.15884168716951E-09,0.000251476445052,0.005811164259487,1.09847528400042E-05
sgG1,4.44089209850063E-14,1.30007116183606E-13,1.05460085109144E-12,2.11817230422184E-11,4.44089209850063E-14
sgG2,1.05460085109144E-12,2.11817230422184E-11,2.77422098626801E-08,1.09847528400042E-05,4.44089209850063E-14
sgG5,8.90210571924399E-10,1.38439264940615E-07,0.000139569722683,1.34138742147183E-06,7.93931587139696E-12
wt,1.30007116183606E-13,1.05460085109144E-12,5.54652990203408E-11,6.25545630850155E-08,0.003607970566507
fc_2,1.05460085109144E-12,2.11817230422184E-11,1.20755092591907E-08,1.09847528400042E-05,7.93931587139696E-12
lourvain_2,1.30007116183606E-13,3.73701070088828E-13,2.11817230422184E-11,2.16312345813208E-09,0
sgG1_2,3.73701070088828E-13,2.92077473318386E-12,8.90210571924399E-10,3.00705879863195E-07,1.34138742147183E-06
Geodesicdiff,1.30007116183606E-13,1.05460085109144E-12,5.54652990203408E-11,2.77422098626801E-08,1.42548528536679E-10
Spectral,1.30007116183606E-13,1.05460085109144E-12,5.54652990203408E-11,1.38439264940615E-07,0.005811164259487
Spectral_5,4.88498130835069E-15,1.55431223447522E-15,0,0,0
Spectral_2.5,0,0,0,0,0
Spectral_1.5,3.73701070088828E-13,2.92077473318386E-12,3.59572593922053E-10,3.73701070088828E-13,0
Spectral_1.25,3.73701070088828E-13,2.92077473318386E-12,3.59572593922053E-10,7.93931587139696E-12,0
Spectral_1,3.73701070088828E-13,2.92077473318386E-12,1.42548528536679E-10,7.93931587139696E-12,1.11022302462516E-16
Spectral_0.5,1.05460085109144E-12,2.11817230422184E-11,6.25545630850155E-08,1.09847528400042E-05,3.73701070088828E-13
Spectral_5_2,1.48769885299771E-14,4.88498130835069E-15,0,0,0
Spectral_2.5_2,1.30007116183606E-13,1.05460085109144E-12,5.54652990203408E-11,5.55111512312578E-16,0
