alg	Rate_-10.0	Rate_-5.0	Rate_-2.0	Rate_-1.0	Rate_-0.5
fc	1.48769885299771e-14	4.88498130835069e-15	1.11022302462516e-16	0	0
lourvain	4.44089209850063e-14	1.30007116183606e-13	1.30007116183606e-13	1.11022302462516e-16	0
lec	4.44089209850063e-14	4.44089209850063e-14	3.73701070088828e-13	2.92077473318386e-12	0
infomap	3.73701070088828e-13	7.93931587139696e-12	1.20755092591907e-08	0.000251476445051635	2.75476085742632e-06
sgG1	4.44089209850063e-14	1.30007116183606e-13	1.05460085109144e-12	5.54652990203408e-11	1.30007116183606e-13
sgG2	5.54652990203408e-11	8.90210571924399e-10	6.25545630850155e-08	2.75476085742632e-06	5.54652990203408e-11
sgG5	6.25545630850155e-08	5.55259405110586e-06	0.00918640609116927	5.55259405110586e-06	1.05460085109144e-12
wt	1.30007116183606e-13	3.73701070088828e-13	5.54652990203408e-11	1.20755092591907e-08	0.000444719072580591
fc_2	1.05460085109144e-12	5.54652990203408e-11	2.77422098626801e-08	1.09847528400042e-05	5.54652990203408e-11
lourvain_2	1.30007116183606e-13	3.73701070088828e-13	2.11817230422184e-11	5.15884168716951e-09	1.11022302462516e-16
sgG1_2	3.73701070088828e-13	2.92077473318386e-12	3.59572593922053e-10	1.38439264940615e-07	2.75476085742632e-06
Geodesicdiff	1.30007116183606e-13	1.05460085109144e-12	5.54652990203408e-11	2.77422098626801e-08	1.42548528536679e-10
Spectral	1.30007116183606e-13	1.05460085109144e-12	1.42548528536679e-10	3.00705879863195e-07	0.0142531347353866
Spectral_5	0	0	0	0	0
Spectral_2.5	4.44089209850063e-14	4.44089209850063e-14	1.30007116183606e-13	0	0
Spectral_1.5	3.73701070088828e-13	1.05460085109144e-12	1.05460085109144e-12	1.48769885299771e-14	0
Spectral_1.25	4.44089209850063e-14	4.44089209850063e-14	4.44089209850063e-14	4.88498130835069e-15	0
Spectral_1	3.73701070088828e-13	7.93931587139696e-12	5.15884168716951e-09	1.34138742147183e-06	4.88498130835069e-15
Spectral_0.5	5.54652990203408e-11	2.16312345813208e-09	6.41072137375076e-07	2.75476085742632e-06	1.05460085109144e-12
Spectral_5_2	1.48769885299771e-14	1.48769885299771e-14	1.55431223447522e-15	0	0
Spectral_2.5_2	1.30007116183606e-13	1.05460085109144e-12	5.54652990203408e-11	1.48769885299771e-14	0
