alg	isConv	finIter	finTol	stopCode	stopMessage
fc	TRUE	13	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
lourvain	TRUE	21	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
lec	TRUE	12	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
infomap	TRUE	8	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
sgG1	FALSE	50	1.49011611938477e-08	-1	Number of iterations has reached `maxiter' == 50.
sgG2	TRUE	23	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
sgG5	TRUE	10	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
wt	TRUE	9	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
fc_2	TRUE	10	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
lourvain_2	TRUE	27	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
sgG1_2	TRUE	19	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
Geodesicdiff	TRUE	10	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
Spectral	TRUE	9	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
Spectral_5	TRUE	20	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
Spectral_2.5	TRUE	23	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
Spectral_1.5	TRUE	15	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
Spectral_1.25	TRUE	12	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
Spectral_1	TRUE	12	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
Spectral_0.5	TRUE	11	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
Spectral_5_2	FALSE	50	1.49011611938477e-08	-1	Number of iterations has reached `maxiter' == 50.
Spectral_2.5_2	TRUE	19	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
