C	Cn	DOID:0060041	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1059	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10652	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10763	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12849	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12858	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:14330	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1826	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:3312	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:5419	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:9255	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
2	106	66	10	5.62379	2.01265	[0.99,4.07]	0.0452301	1	0.1		0.962243	1		69	12	5.87942	2.42105	[1.25,4.67]	0.0087154	1	0.1		0.994279	1		209	16	17.8087	0.870466	[0.50,1.51]	0.369561	1	0.1		0.0990803	1		111	7	9.4582	0.702991	[0.32,1.55]	0.249563	1	0.1		0.10531	1		66	10	5.62379	2.01265	[0.99,4.07]	0.0452301	1	0.1		0.962243	1		39	4	3.32315	1.23585	[0.43,3.55]	0.334639	1	0.1		0.627027	1		80	6	6.81672	0.862703	[0.37,2.03]	0.467894	1	0.1		0.1621	1		109	13	9.28778	1.51725	[0.82,2.81]	0.135339	1	0.1		0.849772	1		79	6	6.73151	0.875342	[0.37,2.06]	0.481973	1	0.1		0.164022	1		262	27	22.3248	1.31328	[0.83,2.08]	0.161452	1	0.1		0.786639	1		71	5	6.04984	0.80408	[0.32,2.04]	0.425484	1	0.1		0.166862	1		
3	20	66	1	1.06109	0.938462	[0.12,7.12]	0.712746	1	0.1		0.379518	1		69	2	1.10932	1.91874	[0.44,8.44]	0.210976	1	0.1		0.905366	1		209	1	3.36013	0.257085	[0.03,1.93]	0.125206	1	0.1		0.100724	1		111	2	1.78457	1.1366	[0.26,4.96]	0.435667	1	0.1		0.586498	1		66	1	1.06109	0.938462	[0.12,7.12]	0.712746	1	0.1		0.379518	1		39	1	0.62701	1.64266	[0.21,12.59]	0.346077	1	0.1		0.872293	1		80	1	1.28617	0.762825	[0.10,5.77]	0.62774	1	0.1		0.365896	1		109	3	1.75241	1.86127	[0.54,6.45]	0.319622	1	0.1		0.752169	1		79	0	1.2701	0	[0.00,0.00]	1	1	0.1		1	1		262	2	4.21222	0.411966	[0.09,1.79]	0.173112	1	0.1		0.118551	1		71	0	1.14148	0	[0.00,0.00]	1	1	0.1		1	1		
4	28	66	0	1.48553	0	[0.00,0.00]	1	1	0.1		1	1		69	1	1.55305	0.625272	[0.08,4.67]	0.533126	1	0.1		0.334415	1		209	7	4.70418	1.67327	[0.70,3.99]	0.219147	1	0.1		0.792593	1		111	5	2.49839	2.27646	[0.85,6.11]	0.0641287	1	0.1		0.967456	1		66	0	1.48553	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.877814	0	[0.00,0.00]	1	1	0.1		1	1		80	2	1.80064	1.12229	[0.26,4.82]	0.433297	1	0.1		0.580976	1		109	3	2.45338	1.2566	[0.37,4.23]	0.50497	1	0.1		0.495052	1		79	1	1.77814	0.540361	[0.07,4.03]	0.459167	1	0.1		0.303187	1		262	11	5.89711	2.4877	[1.15,5.38]	0.0239509	1	0.1		0.982343	1		71	3	1.59807	2.02588	[0.60,6.88]	0.140969	1	0.1		0.929408	1		
5	22	66	1	1.1672	0.847619	[0.11,6.40]	0.672537	1	0.1		0.37429	1		69	3	1.22026	2.76555	[0.80,9.58]	0.0885523	1	0.1		0.970294	1		209	2	3.69614	0.490338	[0.11,2.11]	0.257393	1	0.1		0.164234	1		111	0	1.96302	0	[0.00,0.00]	1	1	0.1		1	1		66	1	1.1672	0.847619	[0.11,6.40]	0.672537	1	0.1		0.37429	1		39	1	0.689711	1.48371	[0.19,11.32]	0.357405	1	0.1		0.850608	1		80	0	1.41479	0	[0.00,0.00]	1	1	0.1		1	1		109	3	1.92765	1.66236	[0.48,5.71]	0.313413	1	0.1		0.749942	1		79	0	1.39711	0	[0.00,0.00]	1	1	0.1		1	1		262	2	4.63344	0.37	[0.09,1.59]	0.125991	1	0.1		0.0893837	1		71	0	1.25563	0	[0.00,0.00]	1	1	0.1		1	1		
6	20	66	0	1.06109	0	[0.00,0.00]	1	1	0.1		1	1		69	0	1.10932	0	[0.00,0.00]	1	1	0.1		1	1		209	6	3.36013	2.15552	[0.82,5.68]	0.0903845	1	0.1		0.93817	1		111	0	1.78457	0	[0.00,0.00]	1	1	0.1		1	1		66	0	1.06109	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.62701	0	[0.00,0.00]	1	1	0.1		1	1		80	0	1.28617	0	[0.00,0.00]	1	1	0.1		1	1		109	2	1.75241	1.15992	[0.27,5.07]	0.439882	1	0.1		0.58997	1		79	0	1.2701	0	[0.00,0.00]	1	1	0.1		1	1		262	0	4.21222	0	[0.00,0.00]	1	1	0.1		1	1		71	2	1.14148	1.8599	[0.42,8.18]	0.216679	1	0.1		0.898855	1		
7	18	66	0	0.954984	0	[0.00,0.00]	1	1	0.1		1	1		69	1	0.998392	1.00173	[0.13,7.64]	0.736631	1	0.1		0.381207	1		209	3	3.02412	0.990291	[0.28,3.45]	0.642196	1	0.1		0.24695	1		111	1	1.60611	0.596791	[0.08,4.53]	0.512556	1	0.1		0.328865	1		66	0	0.954984	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.564309	0	[0.00,0.00]	1	1	0.1		1	1		80	2	1.15756	1.83974	[0.42,8.15]	0.220081	1	0.1		0.896028	1		109	0	1.57717	0	[0.00,0.00]	1	1	0.1		1	1		79	0	1.14309	0	[0.00,0.00]	1	1	0.1		1	1		262	7	3.791	2.42317	[0.93,6.31]	0.0565069	1	0.1		0.965101	1		71	0	1.02733	0	[0.00,0.00]	1	1	0.1		1	1		
8	128	66	18	6.791	3.64091	[2.05,6.48]	3.69504e-05	0.0391084	0.1	*	0.999987	1		69	10	7.09968	1.51824	[0.76,3.05]	0.135713	1	0.1		0.851046	1		209	46	21.5048	3.27981	[2.20,4.88]	2.1186e-08	0.000112117	0.1	***	1	1		111	24	11.4212	2.72944	[1.66,4.48]	0.000154819	0.136551	0.1		0.999896	1		66	18	6.791	3.64091	[2.05,6.48]	3.69504e-05	0.0391084	0.1	*	0.999987	1		39	8	4.01286	2.33333	[1.05,5.19]	0.0391039	1	0.1		0.972344	1		80	15	8.23151	2.14636	[1.19,3.89]	0.0147743	1	0.1		0.987418	1		109	20	11.2154	2.13691	[1.27,3.61]	0.0051483	1	0.1		0.995627	1		79	16	8.12862	2.38776	[1.33,4.27]	0.00439162	1	0.1		0.996751	1		262	46	26.9582	2.3374	[1.58,3.45]	3.6625e-05	0.0391084	0.1	*	0.999969	1		71	10	7.30547	1.46568	[0.73,2.94]	0.207592	1	0.1		0.771164	1		
9	21	66	1	1.11415	0.890769	[0.12,6.74]	0.692591	1	0.1		0.377332	1		69	1	1.16479	0.849265	[0.11,6.42]	0.673398	1	0.1		0.374713	1		209	4	3.52814	1.16844	[0.39,3.51]	0.49878	1	0.1		0.442646	1		111	3	1.87379	1.72068	[0.50,5.93]	0.315022	1	0.1		0.751885	1		66	1	1.11415	0.890769	[0.12,6.74]	0.692591	1	0.1		0.377332	1		39	1	0.65836	1.55921	[0.20,11.92]	0.3521	1	0.1		0.861549	1		80	3	1.35048	2.48052	[0.72,8.60]	0.10689	1	0.1		0.95898	1		109	2	1.84003	1.09788	[0.25,4.78]	0.428305	1	0.1		0.579297	1		79	3	1.3336	2.51535	[0.72,8.73]	0.104496	1	0.1		0.960595	1		262	5	4.42283	1.17461	[0.43,3.24]	0.517537	1	0.1		0.406233	1		71	2	1.19855	1.76049	[0.40,7.71]	0.225986	1	0.1		0.88664	1		
10	9	66	0	0.477492	0	[0.00,0.00]	1	1	0.1		1	1		69	1	0.499196	2.14522	[0.26,17.40]	0.317861	1	0.1		0.915193	1		209	0	1.51206	0	[0.00,0.00]	1	1	0.1		1	1		111	1	0.803055	1.27841	[0.16,10.32]	0.381823	1	0.1		0.811803	1		66	0	0.477492	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.282154	0	[0.00,0.00]	1	1	0.1		1	1		80	1	0.578778	1.82911	[0.23,14.81]	0.341743	1	0.1		0.890432	1		109	0	0.788585	0	[0.00,0.00]	1	1	0.1		1	1		79	0	0.571543	0	[0.00,0.00]	1	1	0.1		1	1		262	0	1.8955	0	[0.00,0.00]	1	1	0.1		1	1		71	0	0.513666	0	[0.00,0.00]	1	1	0.1		1	1		
11	23	66	1	1.22026	0.808392	[0.11,6.09]	0.652628	1	0.1		0.37049	1		69	0	1.27572	0	[0.00,0.00]	1	1	0.1		1	1		209	2	3.86415	0.466529	[0.11,2.01]	0.229572	1	0.1		0.149405	1		111	3	2.05225	1.54583	[0.45,5.29]	0.309947	1	0.1		0.74371	1		66	1	1.22026	0.808392	[0.11,6.09]	0.652628	1	0.1		0.37049	1		39	1	0.721061	1.41507	[0.19,10.77]	0.362032	1	0.1		0.839494	1		80	0	1.4791	0	[0.00,0.00]	1	1	0.1		1	1		109	1	2.01527	0.468434	[0.06,3.51]	0.386953	1	0.1		0.267981	1		79	0	1.46061	0	[0.00,0.00]	1	1	0.1		1	1		262	3	4.84405	0.557143	[0.16,1.89]	0.252777	1	0.1		0.145803	1		71	1	1.3127	0.747403	[0.10,5.63]	0.618253	1	0.1		0.362646	1		
