C	Cn	DOID:0060041	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1059	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10652	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10763	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12849	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12858	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:14330	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1826	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:3312	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:5419	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:9255	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
1	22	26	0	0.460177	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.778761	0	[0.00,0.00]	1	1	0.1		1	1		29	1	0.513274	2.02891	[0.26,15.62]	0.31672	1	0.1		0.908957	1		13	1	0.230088	4.79762	[0.60,38.60]	0.187337	1	0.1		0.979263	1		26	0	0.460177	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0353982	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.371681	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.672566	0	[0.00,0.00]	1	1	0.1		1	1		44	1	0.778761	1.30454	[0.17,9.92]	0.369309	1	0.1		0.818737	1		103	1	1.82301	0.522409	[0.07,3.92]	0.443495	1	0.1		0.296886	1		11	0	0.19469	0	[0.00,0.00]	1	1	0.1		1	1		
2	14	26	0	0.29284	0	[0.00,0.00]	1	1	0.1		1	1		44	1	0.495575	2.12165	[0.27,16.59]	0.312747	1	0.1		0.914887	1		29	0	0.326629	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.14642	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.29284	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0225261	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.236525	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.427997	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.495575	0	[0.00,0.00]	1	1	0.1		1	1		103	0	1.1601	0	[0.00,0.00]	1	1	0.1		1	1		11	0	0.123894	0	[0.00,0.00]	1	1	0.1		1	1		
3	8	26	0	0.167337	0	[0.00,0.00]	1	1	0.1		1	1		44	1	0.283186	3.96013	[0.48,32.90]	0.221152	1	0.1		0.970052	1		29	0	0.186645	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.0836685	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.167337	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0128721	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.135157	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.24457	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.283186	0	[0.00,0.00]	1	1	0.1		1	1		103	0	0.662912	0	[0.00,0.00]	1	1	0.1		1	1		11	0	0.0707965	0	[0.00,0.00]	1	1	0.1		1	1		
4	11	26	0	0.230088	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.389381	0	[0.00,0.00]	1	1	0.1		1	1		29	1	0.256637	4.3	[0.53,34.75]	0.204139	1	0.1		0.974619	1		13	1	0.115044	10.1667	[1.20,85.80]	0.104363	1	0.1		0.994731	1		26	0	0.230088	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0176991	0	[0.00,0.00]	1	1	0.1		1	1		21	1	0.185841	6.06	[0.74,49.62]	0.157899	1	0.1		0.986353	1		38	0	0.336283	0	[0.00,0.00]	1	1	0.1		1	1		44	1	0.389381	2.76512	[0.35,22.09]	0.27339	1	0.1		0.945004	1		103	1	0.911504	1.10784	[0.14,8.74]	0.770248	1	0.1		0.385635	1		11	0	0.0973451	0	[0.00,0.00]	1	1	0.1		1	1		
5	25	26	0	0.522928	0	[0.00,0.00]	1	1	0.1		1	1		44	1	0.884956	1.13857	[0.15,8.61]	0.37684	1	0.1		0.779374	1		29	0	0.583266	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.261464	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.522928	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0402253	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.422365	0	[0.00,0.00]	1	1	0.1		1	1		38	1	0.76428	1.32995	[0.18,10.10]	0.3673	1	0.1		0.823913	1		44	0	0.884956	0	[0.00,0.00]	1	1	0.1		1	1		103	1	2.0716	0.455882	[0.06,3.40]	0.372152	1	0.1		0.259629	1		11	0	0.221239	0	[0.00,0.00]	1	1	0.1		1	1		
6	22	26	1	0.460177	2.2781	[0.29,17.61]	0.299191	1	0.1		0.924771	1		44	2	0.778761	2.80714	[0.64,12.40]	0.141428	1	0.1		0.960165	1		29	0	0.513274	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.230088	0	[0.00,0.00]	1	1	0.1		1	1		26	1	0.460177	2.2781	[0.29,17.61]	0.299191	1	0.1		0.924771	1		2	1	0.0353982	58.0952	[3.51,960.36]	0.0347997	1	0.1		0.999701	1		21	0	0.371681	0	[0.00,0.00]	1	1	0.1		1	1		38	1	0.672566	1.52381	[0.20,11.63]	0.354511	1	0.1		0.856593	1		44	0	0.778761	0	[0.00,0.00]	1	1	0.1		1	1		103	2	1.82301	1.10891	[0.26,4.81]	0.430507	1	0.1		0.580784	1		11	1	0.19469	5.76667	[0.71,47.11]	0.164064	1	0.1		0.985061	1		
7	72	26	4	1.50603	3.07219	[1.03,9.17]	0.0443933	1	0.1		0.985654	1		44	3	2.54867	1.1983	[0.36,3.97]	0.490135	1	0.1		0.489364	1		29	0	1.67981	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.753017	0	[0.00,0.00]	1	1	0.1		1	1		26	4	1.50603	3.07219	[1.03,9.17]	0.0443933	1	0.1		0.985654	1		2	0	0.115849	0	[0.00,0.00]	1	1	0.1		1	1		21	1	1.21641	0.810563	[0.11,6.13]	0.653934	1	0.1		0.371291	1		38	4	2.20113	1.96713	[0.68,5.70]	0.209552	1	0.1		0.836261	1		44	3	2.54867	1.1983	[0.36,3.97]	0.490135	1	0.1		0.489364	1		103	14	5.96621	2.93452	[1.57,5.47]	0.00105229	1	0.1		0.999535	1		11	0	0.637168	0	[0.00,0.00]	1	1	0.1		1	1		
8	12	26	1	0.251006	4.38545	[0.55,35.28]	0.200514	1	0.1		0.975578	1		44	0	0.424779	0	[0.00,0.00]	1	1	0.1		1	1		29	0	0.279968	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.125503	0	[0.00,0.00]	1	1	0.1		1	1		26	1	0.251006	4.38545	[0.55,35.28]	0.200514	1	0.1		0.975578	1		2	0	0.0193081	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.202735	0	[0.00,0.00]	1	1	0.1		1	1		38	1	0.366854	2.93366	[0.37,23.32]	0.262676	1	0.1		0.950471	1		44	1	0.424779	2.51163	[0.32,19.90]	0.287834	1	0.1		0.935461	1		103	1	0.994368	1.00624	[0.13,7.87]	0.73832	1	0.1		0.385862	1		11	0	0.106195	0	[0.00,0.00]	1	1	0.1		1	1		
9	9	26	1	0.188254	6.045	[0.73,50.17]	0.159917	1	0.1		0.986155	1		44	0	0.318584	0	[0.00,0.00]	1	1	0.1		1	1		29	1	0.209976	5.38393	[0.65,44.51]	0.174872	1	0.1		0.982899	1		13	0	0.0941271	0	[0.00,0.00]	1	1	0.1		1	1		26	1	0.188254	6.045	[0.73,50.17]	0.159917	1	0.1		0.986155	1		2	0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1		21	1	0.152051	7.5875	[0.91,63.55]	0.133483	1	0.1		0.990883	1		38	0	0.275141	0	[0.00,0.00]	1	1	0.1		1	1		44	1	0.318584	3.46221	[0.42,28.30]	0.240133	1	0.1		0.962352	1		103	2	0.745776	3.20509	[0.66,15.63]	0.135028	1	0.1		0.967888	1		11	0	0.079646	0	[0.00,0.00]	1	1	0.1		1	1		
10	11	26	0	0.230088	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.389381	0	[0.00,0.00]	1	1	0.1		1	1		29	0	0.256637	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.115044	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.230088	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0176991	0	[0.00,0.00]	1	1	0.1		1	1		21	1	0.185841	6.06	[0.74,49.62]	0.157899	1	0.1		0.986353	1		38	1	0.336283	3.22973	[0.40,25.89]	0.248241	1	0.1		0.957926	1		44	0	0.389381	0	[0.00,0.00]	1	1	0.1		1	1		103	1	0.911504	1.10784	[0.14,8.74]	0.770248	1	0.1		0.385635	1		11	0	0.0973451	0	[0.00,0.00]	1	1	0.1		1	1		
