C	Cn	DOID:0060041	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1059	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10652	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10763	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12849	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12858	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:14330	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1826	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:3312	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:5419	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:9255	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
1	3	26	0	0.0627514	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.106195	0	[0.00,0.00]	1	1	0.1		1	1		29	0	0.069992	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.0313757	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.0627514	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.0506838	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.0917136	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.106195	0	[0.00,0.00]	1	1	0.1		1	1		103	1	0.248592	5.57843	[0.50,62.05]	0.209422	1	0.1		0.980692	1		11	0	0.0265487	0	[0.00,0.00]	1	1	0.1		1	1		
2	58	26	3	1.21319	2.75573	[0.80,9.46]	0.0876514	1	0.1		0.970416	1		44	2	2.0531	0.971939	[0.23,4.12]	0.662005	1	0.1		0.281698	1		29	3	1.35318	2.43147	[0.71,8.28]	0.107214	1	0.1		0.957638	1		13	0	0.606597	0	[0.00,0.00]	1	1	0.1		1	1		26	3	1.21319	2.75573	[0.80,9.46]	0.0876514	1	0.1		0.970416	1		2	0	0.0933226	0	[0.00,0.00]	1	1	0.1		1	1		21	2	0.979887	2.19173	[0.50,9.64]	0.185805	1	0.1		0.929436	1		38	5	1.77313	3.29331	[1.24,8.78]	0.0217036	1	0.1		0.993158	1		44	4	2.0531	2.12037	[0.73,6.14]	0.0950507	1	0.1		0.950108	1		103	4	4.80611	0.81257	[0.29,2.29]	0.465496	1	0.1		0.19042	1		11	0	0.513274	0	[0.00,0.00]	1	1	0.1		1	1		
3	44	26	0	0.920354	0	[0.00,0.00]	1	1	0.1		1	1		44	2	1.55752	1.31179	[0.31,5.60]	0.46534	1	0.1		0.599625	1		29	1	1.02655	0.972591	[0.13,7.32]	0.72591	1	0.1		0.378529	1		13	1	0.460177	2.30039	[0.29,18.10]	0.300928	1	0.1		0.925407	1		26	0	0.920354	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0707965	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.743363	0	[0.00,0.00]	1	1	0.1		1	1		38	0	1.34513	0	[0.00,0.00]	1	1	0.1		1	1		44	1	1.55752	0.625203	[0.08,4.65]	0.532317	1	0.1		0.333301	1		103	1	3.64602	0.250114	[0.03,1.84]	0.10634	1	0.1		0.085616	1		11	0	0.389381	0	[0.00,0.00]	1	1	0.1		1	1		
4	87	26	3	1.81979	1.75932	[0.52,5.98]	0.317966	1	0.1		0.748768	1		44	2	3.07965	0.62409	[0.15,2.62]	0.392915	1	0.1		0.221029	1		29	1	2.02977	0.468439	[0.06,3.48]	0.384919	1	0.1		0.265996	1		13	1	0.909895	1.10853	[0.14,8.63]	0.383088	1	0.1		0.770579	1		26	3	1.81979	1.75932	[0.52,5.98]	0.317966	1	0.1		0.748768	1		2	0	0.139984	0	[0.00,0.00]	1	1	0.1		1	1		21	2	1.46983	1.40805	[0.32,6.15]	0.476755	1	0.1		0.607593	1		38	3	2.65969	1.14388	[0.34,3.80]	0.472293	1	0.1		0.487024	1		44	2	3.07965	0.62409	[0.15,2.62]	0.392915	1	0.1		0.221029	1		103	10	7.20917	1.48443	[0.74,2.97]	0.21265	1	0.1		0.769184	1		11	0	0.769912	0	[0.00,0.00]	1	1	0.1		1	1		
5	64	26	4	1.3387	3.50606	[1.17,10.50]	0.0318905	1	0.1		0.991225	1		44	4	2.26549	1.89833	[0.66,5.48]	0.209438	1	0.1		0.835408	1		29	1	1.49316	0.652494	[0.09,4.87]	0.553952	1	0.1		0.341914	1		13	0	0.669348	0	[0.00,0.00]	1	1	0.1		1	1		26	4	1.3387	3.50606	[1.17,10.50]	0.0318905	1	0.1		0.991225	1		2	1	0.102977	18.6984	[1.16,302.43]	0.0977532	1	0.1		0.997388	1		21	1	1.08126	0.919841	[0.12,6.96]	0.705091	1	0.1		0.378603	1		38	4	1.95656	2.2451	[0.77,6.53]	0.0855952	1	0.1		0.958459	1		44	4	2.26549	1.89833	[0.66,5.48]	0.209438	1	0.1		0.835408	1		103	11	5.3033	2.45221	[1.24,4.86]	0.0118124	1	0.1		0.991985	1		11	1	0.566372	1.85556	[0.23,14.72]	0.335876	1	0.1		0.893601	1		
6	51	26	2	1.06677	1.98639	[0.46,8.64]	0.202263	1	0.1		0.912915	1		44	2	1.80531	1.11759	[0.26,4.75]	0.432567	1	0.1		0.578459	1		29	0	1.18986	0	[0.00,0.00]	1	1	0.1		1	1		13	1	0.533387	1.96667	[0.25,15.42]	0.32503	1	0.1		0.903516	1		26	2	1.06677	1.98639	[0.46,8.64]	0.202263	1	0.1		0.912915	1		2	0	0.0820595	0	[0.00,0.00]	1	1	0.1		1	1		21	1	0.861625	1.172	[0.15,8.91]	0.376352	1	0.1		0.788196	1		38	1	1.55913	0.624324	[0.08,4.64]	0.531695	1	0.1		0.333148	1		44	2	1.80531	1.11759	[0.26,4.75]	0.432567	1	0.1		0.578459	1		103	4	4.22607	0.939609	[0.33,2.66]	0.582346	1	0.1		0.206122	1		11	3	0.451327	9.25	[2.38,35.97]	0.00783963	1	0.1		0.999328	1		
7	43	26	1	0.899437	1.11905	[0.15,8.46]	0.377347	1	0.1		0.773932	1		44	0	1.52212	0	[0.00,0.00]	1	1	0.1		1	1		29	0	1.00322	0	[0.00,0.00]	1	1	0.1		1	1		13	1	0.449718	2.35714	[0.30,18.55]	0.29706	1	0.1		0.928378	1		26	1	0.899437	1.11905	[0.15,8.46]	0.377347	1	0.1		0.773932	1		2	0	0.0691874	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.726468	0	[0.00,0.00]	1	1	0.1		1	1		38	0	1.31456	0	[0.00,0.00]	1	1	0.1		1	1		44	1	1.52212	0.640642	[0.09,4.76]	0.544423	1	0.1		0.337831	1		103	2	3.56315	0.53079	[0.13,2.23]	0.292339	1	0.1		0.178226	1		11	1	0.380531	2.83333	[0.35,22.65]	0.269422	1	0.1		0.947249	1		
8	64	26	1	1.3387	0.732698	[0.10,5.49]	0.608966	1	0.1		0.359588	1		44	2	2.26549	0.873272	[0.21,3.69]	0.602332	1	0.1		0.276546	1		29	2	1.49316	1.37634	[0.32,5.92]	0.473816	1	0.1		0.603692	1		13	0	0.669348	0	[0.00,0.00]	1	1	0.1		1	1		26	1	1.3387	0.732698	[0.10,5.49]	0.608966	1	0.1		0.359588	1		2	0	0.102977	0	[0.00,0.00]	1	1	0.1		1	1		21	1	1.08126	0.919841	[0.12,6.96]	0.705091	1	0.1		0.378603	1		38	2	1.95656	1.02419	[0.24,4.35]	0.689245	1	0.1		0.282338	1		44	3	2.26549	1.36505	[0.41,4.53]	0.30458	1	0.1		0.719617	1		103	3	5.3033	0.530656	[0.16,1.72]	0.20541	1	0.1		0.119515	1		11	0	0.566372	0	[0.00,0.00]	1	1	0.1		1	1		
9	65	26	0	1.35961	0	[0.00,0.00]	1	1	0.1		1	1		44	3	2.30088	1.34186	[0.40,4.45]	0.303601	1	0.1		0.715777	1		29	2	1.51649	1.35332	[0.31,5.82]	0.470726	1	0.1		0.602913	1		13	1	0.679807	1.51823	[0.19,11.86]	0.359259	1	0.1		0.854995	1		26	0	1.35961	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.104586	0	[0.00,0.00]	1	1	0.1		1	1		21	1	1.09815	0.904687	[0.12,6.85]	0.698669	1	0.1		0.377995	1		38	1	1.98713	0.481841	[0.07,3.57]	0.398217	1	0.1		0.272389	1		44	0	2.30088	0	[0.00,0.00]	1	1	0.1		1	1		103	3	5.38616	0.521613	[0.16,1.69]	0.195273	1	0.1		0.11467	1		11	0	0.575221	0	[0.00,0.00]	1	1	0.1		1	1		
10	43	26	0	0.899437	0	[0.00,0.00]	1	1	0.1		1	1		44	0	1.52212	0	[0.00,0.00]	1	1	0.1		1	1		29	0	1.00322	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.449718	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.899437	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0691874	0	[0.00,0.00]	1	1	0.1		1	1		21	1	0.726468	1.40476	[0.18,10.72]	0.363128	1	0.1		0.837646	1		38	0	1.31456	0	[0.00,0.00]	1	1	0.1		1	1		44	2	1.52212	1.34495	[0.31,5.75]	0.47003	1	0.1		0.60127	1		103	3	3.56315	0.825	[0.25,2.71]	0.515986	1	0.1		0.223647	1		11	1	0.380531	2.83333	[0.35,22.65]	0.269422	1	0.1		0.947249	1		
