C	Cn	DOID:0060041	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1059	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10652	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10763	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12849	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12858	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:14330	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1826	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:3312	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:5419	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:9255	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
1	253	66	16	13.4336	1.2692	[0.71,2.27]	0.26542	1	0.1		0.653705	1		69	20	14.0442	1.64842	[0.96,2.83]	0.0615543	1	0.1		0.934566	1		209	38	42.5398	0.846512	[0.58,1.24]	0.22494	1	0.1		0.0534261	1		111	24	22.5929	1.08779	[0.68,1.75]	0.398589	1	0.1		0.378772	1		66	16	13.4336	1.2692	[0.71,2.27]	0.26542	1	0.1		0.653705	1		39	8	7.93805	1.01014	[0.46,2.23]	0.603517	1	0.1		0.158956	1		80	15	16.2832	0.896897	[0.50,1.60]	0.42044	1	0.1		0.109389	1		109	29	22.1858	1.47266	[0.94,2.31]	0.0672862	1	0.1		0.918885	1		79	19	16.0796	1.25855	[0.74,2.15]	0.227088	1	0.1		0.688705	1		262	58	53.3274	1.146	[0.82,1.60]	0.251905	1	0.1		0.611661	1		71	10	14.4513	0.626729	[0.32,1.24]	0.11235	1	0.1		0.0511851	1		
2	87	66	5	4.61947	1.09456	[0.43,2.80]	0.490668	1	0.1		0.381201	1		69	5	4.82944	1.0404	[0.41,2.66]	0.459107	1	0.1		0.376225	1		209	11	14.6283	0.700292	[0.37,1.34]	0.177066	1	0.1		0.0705309	1		111	5	7.76911	0.604004	[0.24,1.52]	0.190691	1	0.1		0.0963033	1		66	5	4.61947	1.09456	[0.43,2.80]	0.490668	1	0.1		0.381201	1		39	1	2.72969	0.342105	[0.05,2.52]	0.227457	1	0.1		0.171085	1		80	5	5.59936	0.878862	[0.35,2.23]	0.505184	1	0.1		0.179721	1		109	5	7.62912	0.616792	[0.24,1.56]	0.205243	1	0.1		0.102011	1		79	5	5.52936	0.891562	[0.35,2.27]	0.517953	1	0.1		0.181257	1		262	17	18.3379	0.903032	[0.52,1.56]	0.41822	1	0.1		0.103793	1		71	3	4.96943	0.571429	[0.18,1.85]	0.251115	1	0.1		0.140066	1		
3	84	66	2	4.46018	0.417302	[0.10,1.74]	0.160848	1	0.1		0.10824	1		69	1	4.66291	0.193303	[0.03,1.41]	0.0438212	1	0.1		0.0368793	1		209	11	14.1239	0.731355	[0.38,1.40]	0.217184	1	0.1		0.0821035	1		111	3	7.50121	0.360425	[0.11,1.16]	0.0458183	1	0.1		0.0317514	1		66	2	4.46018	0.417302	[0.10,1.74]	0.160848	1	0.1		0.10824	1		39	1	2.63556	0.355422	[0.05,2.62]	0.24505	1	0.1		0.182576	1		80	7	5.40628	1.35243	[0.60,3.04]	0.320267	1	0.1		0.641125	1		109	10	7.36605	1.4469	[0.72,2.89]	0.205821	1	0.1		0.769522	1		79	3	5.3387	0.527778	[0.16,1.71]	0.201597	1	0.1		0.117577	1		262	7	17.7056	0.322282	[0.15,0.71]	0.00109942	0.396463	0.1		0.000772301	0.557		71	6	4.79807	1.29467	[0.54,3.08]	0.274411	1	0.1		0.676404	1		
4	87	66	4	4.61947	0.850369	[0.30,2.39]	0.502476	1	0.1		0.196505	1		69	3	4.82944	0.589827	[0.18,1.92]	0.272121	1	0.1		0.148961	1		209	12	14.6283	0.778883	[0.42,1.46]	0.269293	1	0.1		0.0922271	1		111	3	7.76911	0.346561	[0.11,1.11]	0.0374586	1	0.1		0.0263312	1		66	4	4.61947	0.850369	[0.30,2.39]	0.502476	1	0.1		0.196505	1		39	1	2.72969	0.342105	[0.05,2.52]	0.227457	1	0.1		0.171085	1		80	6	5.59936	1.08308	[0.46,2.56]	0.495717	1	0.1		0.349973	1		109	3	7.62912	0.353774	[0.11,1.14]	0.0416634	1	0.1		0.0290697	1		79	8	5.52936	1.54751	[0.72,3.33]	0.160002	1	0.1		0.834167	1		262	13	18.3379	0.639911	[0.35,1.17]	0.0902965	1	0.1		0.0391506	1		71	7	4.96943	1.49297	[0.66,3.36]	0.21777	1	0.1		0.772806	1		
5	73	66	1	3.87611	0.236111	[0.03,1.73]	0.0882725	1	0.1		0.0718043	1		69	2	4.05229	0.463738	[0.11,1.93]	0.213535	1	0.1		0.13784	1		209	10	12.2743	0.774507	[0.39,1.54]	0.29112	1	0.1		0.104108	1		111	3	6.51891	0.421429	[0.13,1.36]	0.092849	1	0.1		0.0604324	1		66	1	3.87611	0.236111	[0.03,1.73]	0.0882725	1	0.1		0.0718043	1		39	0	2.29043	0	[0.00,0.00]	1	1	0.1		1	1		80	4	4.69831	0.834477	[0.30,2.35]	0.486943	1	0.1		0.193875	1		109	4	6.40145	0.587992	[0.21,1.64]	0.2139	1	0.1		0.113168	1		79	2	4.63958	0.399854	[0.10,1.66]	0.141568	1	0.1		0.0967692	1		262	15	15.387	0.966425	[0.54,1.73]	0.523426	1	0.1		0.117569	1		71	4	4.16975	0.954359	[0.34,2.69]	0.594138	1	0.1		0.206036	1		
6	68	66	1	3.61062	0.254879	[0.03,1.87]	0.110945	1	0.1		0.0889463	1		69	5	3.77474	1.37773	[0.54,3.54]	0.250578	1	0.1		0.733529	1		209	11	11.4336	0.952242	[0.49,1.85]	0.522061	1	0.1		0.13255	1		111	9	6.07241	1.60469	[0.77,3.33]	0.117764	1	0.1		0.879809	1		66	1	3.61062	0.254879	[0.03,1.87]	0.110945	1	0.1		0.0889463	1		39	3	2.13355	1.46026	[0.44,4.87]	0.308224	1	0.1		0.732323	1		80	3	4.37651	0.658142	[0.20,2.14]	0.348812	1	0.1		0.178099	1		109	5	5.96299	0.817308	[0.32,2.08]	0.440282	1	0.1		0.169823	1		79	4	4.3218	0.916667	[0.33,2.59]	0.562792	1	0.1		0.203842	1		262	13	14.3331	0.879007	[0.47,1.63]	0.409257	1	0.1		0.115228	1		71	8	3.88415	2.35344	[1.08,5.13]	0.0390406	1	0.1		0.971209	1		
7	130	66	5	6.90265	0.689836	[0.27,1.75]	0.292753	1	0.1		0.132988	1		69	9	7.21641	1.30537	[0.63,2.70]	0.246953	1	0.1		0.692323	1		209	17	21.8584	0.721654	[0.42,1.23]	0.138996	1	0.1		0.0501184	1		111	12	11.609	1.0416	[0.56,1.95]	0.497248	1	0.1		0.254944	1		66	5	6.90265	0.689836	[0.27,1.75]	0.292753	1	0.1		0.132988	1		39	5	4.07884	1.26941	[0.49,3.30]	0.37731	1	0.1		0.577629	1		80	5	8.36685	0.5536	[0.22,1.39]	0.136856	1	0.1		0.0736017	1		109	4	11.3998	0.304762	[0.11,0.84]	0.00664793	1	0.1		0.00483207	1		79	3	8.26227	0.322317	[0.10,1.04]	0.0253587	1	0.1		0.0182806	1		262	21	27.4014	0.697095	[0.43,1.14]	0.087354	1	0.1		0.0323444	1		71	5	7.42558	0.634545	[0.25,1.60]	0.226843	1	0.1		0.110405	1		
8	75	66	7	3.9823	1.93495	[0.85,4.40]	0.0710884	1	0.1		0.945248	1		69	3	4.16331	0.695707	[0.21,2.27]	0.389354	1	0.1		0.191366	1		209	17	12.6106	1.48994	[0.85,2.61]	0.13661	1	0.1		0.845412	1		111	6	6.69751	0.880331	[0.37,2.08]	0.487554	1	0.1		0.164839	1		66	7	3.9823	1.93495	[0.85,4.40]	0.0710884	1	0.1		0.945248	1		39	2	2.35318	0.837468	[0.20,3.54]	0.577864	1	0.1		0.273199	1		80	4	4.82703	0.809489	[0.29,2.28]	0.461891	1	0.1		0.189276	1		109	3	6.57683	0.417453	[0.13,1.35]	0.0892612	1	0.1		0.0583319	1		79	8	4.76669	1.84486	[0.85,3.99]	0.0937444	1	0.1		0.917386	1		262	20	15.8085	1.39144	[0.82,2.37]	0.153889	1	0.1		0.810926	1		71	4	4.28399	0.925794	[0.33,2.61]	0.570571	1	0.1		0.204473	1		
9	84	66	6	4.46018	1.40897	[0.59,3.36]	0.293503	1	0.1		0.687847	1		69	5	4.66291	1.08287	[0.42,2.77]	0.484094	1	0.1		0.380364	1		209	21	14.1239	1.72163	[1.03,2.89]	0.0320589	1	0.1		0.966627	1		111	9	7.50121	1.24353	[0.60,2.56]	0.342072	1	0.1		0.572018	1		66	6	4.46018	1.40897	[0.59,3.36]	0.293503	1	0.1		0.687847	1		39	1	2.63556	0.355422	[0.05,2.62]	0.24505	1	0.1		0.182576	1		80	7	5.40628	1.35243	[0.60,3.04]	0.320267	1	0.1		0.641125	1		109	21	7.36605	4.05682	[2.37,6.96]	2.48426e-06	0.0017917	0.1	***	0.999999	1		79	9	5.3387	1.86686	[0.90,3.88]	0.0669846	1	0.1		0.94164	1		262	28	17.7056	1.9765	[1.23,3.18]	0.00568381	1	0.1		0.994626	1		71	5	4.79807	1.04814	[0.41,2.68]	0.463792	1	0.1		0.377105	1		
10	62	66	4	3.29204	1.24472	[0.44,3.54]	0.337415	1	0.1		0.626269	1		69	3	3.44167	0.859014	[0.26,2.81]	0.544339	1	0.1		0.227252	1		209	6	10.4248	0.516186	[0.22,1.21]	0.0797512	1	0.1		0.044384	1		111	10	5.5366	2.05636	[1.01,4.17]	0.044474	1	0.1		0.963015	1		66	4	3.29204	1.24472	[0.44,3.54]	0.337415	1	0.1		0.626269	1		39	2	1.94529	1.03063	[0.24,4.38]	0.692412	1	0.1		0.282197	1		80	6	3.99035	1.6028	[0.67,3.84]	0.186124	1	0.1		0.822935	1		109	6	5.43685	1.12136	[0.47,2.67]	0.519428	1	0.1		0.351706	1		79	4	3.94047	1.01701	[0.36,2.88]	0.641607	1	0.1		0.207167	1		262	18	13.0684	1.57098	[0.89,2.77]	0.103216	1	0.1		0.887606	1		71	5	3.54143	1.48192	[0.57,3.82]	0.257964	1	0.1		0.745593	1		
