C	Cn	DOID:0060041	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1059	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10652	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10763	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12849	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12858	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:14330	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1826	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:3312	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:5419	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:9255	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
1	44	66	7	2.33628	3.65552	[1.56,8.55]	0.00531383	1	0.1		0.998418	1		69	9	2.44248	4.88143	[2.24,10.62]	0.000361031	0.837969	0.1		0.999921	1		209	9	7.39823	1.28443	[0.61,2.71]	0.345974	1	0.1		0.585957	1		111	2	3.9292	0.47619	[0.11,1.99]	0.229922	1	0.1		0.147041	1		66	7	2.33628	3.65552	[1.56,8.55]	0.00531383	1	0.1		0.998418	1		39	3	1.38053	2.36382	[0.70,7.99]	0.110999	1	0.1		0.954471	1		80	5	2.83186	1.92137	[0.74,5.02]	0.140181	1	0.1		0.891184	1		109	9	3.85841	2.826	[1.32,6.05]	0.00792656	1	0.1		0.99656	1		79	4	2.79646	1.49867	[0.52,4.30]	0.215392	1	0.1		0.805353	1		262	14	9.27434	1.78952	[0.93,3.43]	0.0599127	1	0.1		0.942288	1		71	1	2.51327	0.375083	[0.05,2.76]	0.270127	1	0.1		0.19842	1		
2	37	66	1	1.9646	0.487607	[0.07,3.61]	0.404521	1	0.1		0.275702	1		69	0	2.0539	0	[0.00,0.00]	1	1	0.1		1	1		209	2	6.22124	0.275776	[0.07,1.16]	0.0372484	1	0.1		0.0286248	1		111	1	3.3041	0.276768	[0.04,2.04]	0.141264	1	0.1		0.111507	1		66	1	1.9646	0.487607	[0.07,3.61]	0.404521	1	0.1		0.275702	1		39	1	1.1609	0.853801	[0.11,6.39]	0.675183	1	0.1		0.373148	1		80	3	2.38134	1.29374	[0.39,4.31]	0.517235	1	0.1		0.491316	1		109	0	3.24457	0	[0.00,0.00]	1	1	0.1		1	1		79	1	2.35157	0.401709	[0.05,2.97]	0.304763	1	0.1		0.219902	1		262	5	7.79887	0.57697	[0.22,1.50]	0.174347	1	0.1		0.0923062	1		71	3	2.11344	1.47664	[0.44,4.93]	0.308772	1	0.1		0.734167	1		
3	34	66	2	1.80531	1.11816	[0.26,4.77]	0.432607	1	0.1		0.579212	1		69	3	1.88737	1.67595	[0.50,5.62]	0.315978	1	0.1		0.745485	1		209	2	5.71681	0.302536	[0.07,1.27]	0.0564921	1	0.1		0.042377	1		111	0	3.0362	0	[0.00,0.00]	1	1	0.1		1	1		66	2	1.80531	1.11816	[0.26,4.77]	0.432607	1	0.1		0.579212	1		39	0	1.06677	0	[0.00,0.00]	1	1	0.1		1	1		80	1	2.18825	0.433448	[0.06,3.21]	0.343823	1	0.1		0.242909	1		109	3	2.9815	1.007	[0.30,3.35]	0.65209	1	0.1		0.23785	1		79	1	2.1609	0.439394	[0.06,3.26]	0.350822	1	0.1		0.246871	1		262	5	7.16653	0.638669	[0.24,1.67]	0.245219	1	0.1		0.120768	1		71	1	1.94208	0.493074	[0.07,3.66]	0.41067	1	0.1		0.27902	1		
4	25	66	7	1.32743	7.63936	[3.07,19.01]	0.000172464	0.500372	0.1		0.999978	1		69	2	1.38777	1.49384	[0.34,6.47]	0.487829	1	0.1		0.606037	1		209	14	4.20354	6.67692	[2.99,14.93]	6.57822e-06	0.0763417	0.1	**	0.999999	1		111	6	2.2325	3.34737	[1.31,8.56]	0.0144986	1	0.1		0.995354	1		66	7	1.32743	7.63936	[3.07,19.01]	0.000172464	0.500372	0.1		0.999978	1		39	6	0.784393	11.3397	[4.25,30.24]	6.80388e-05	0.394803	0.1		0.999995	1		80	5	1.60901	3.81	[1.39,10.43]	0.0147718	1	0.1		0.996114	1		109	6	2.19228	3.4185	[1.34,8.75]	0.0134127	1	0.1		0.995813	1		79	7	1.5889	6.18981	[2.50,15.30]	0.000524845	0.934641	0.1		0.999916	1		262	10	5.26951	2.55556	[1.13,5.76]	0.0181501	1	0.1		0.989695	1		71	3	1.428	2.30615	[0.67,7.90]	0.117747	1	0.1		0.950301	1		
5	21	66	1	1.11504	0.89	[0.12,6.74]	0.692251	1	0.1		0.377294	1		69	2	1.16573	1.81461	[0.41,7.95]	0.220579	1	0.1		0.893622	1		209	6	3.53097	2.00788	[0.77,5.24]	0.0973798	1	0.1		0.931305	1		111	4	1.8753	2.4519	[0.81,7.42]	0.0771743	1	0.1		0.966955	1		66	1	1.11504	0.89	[0.12,6.74]	0.692251	1	0.1		0.377294	1		39	0	0.65889	0	[0.00,0.00]	1	1	0.1		1	1		80	2	1.35157	1.54386	[0.35,6.75]	0.492549	1	0.1		0.607391	1		109	0	1.84151	0	[0.00,0.00]	1	1	0.1		1	1		79	1	1.33467	0.733333	[0.10,5.54]	0.609928	1	0.1		0.360996	1		262	6	4.42639	1.50937	[0.58,3.93]	0.284747	1	0.1		0.719513	1		71	2	1.19952	1.75896	[0.40,7.71]	0.226144	1	0.1		0.886434	1		
6	19	66	1	1.00885	0.990598	[0.13,7.54]	0.73264	1	0.1		0.380742	1		69	0	1.05471	0	[0.00,0.00]	1	1	0.1		1	1		209	4	3.19469	1.32553	[0.44,4.03]	0.341689	1	0.1		0.652885	1		111	0	1.6967	0	[0.00,0.00]	1	1	0.1		1	1		66	1	1.00885	0.990598	[0.13,7.54]	0.73264	1	0.1		0.380742	1		39	1	0.596138	1.73392	[0.23,13.33]	0.339414	1	0.1		0.882661	1		80	2	1.22285	1.72851	[0.39,7.62]	0.23048	1	0.1		0.881812	1		109	1	1.66613	0.574074	[0.08,4.34]	0.492733	1	0.1		0.320191	1		79	2	1.20756	1.75248	[0.40,7.72]	0.228049	1	0.1		0.885143	1		262	5	4.00483	1.3438	[0.48,3.77]	0.378506	1	0.1		0.604822	1		71	3	1.08528	3.1875	[0.91,11.21]	0.069952	1	0.1		0.980278	1		
7	23	66	0	1.22124	0	[0.00,0.00]	1	1	0.1		1	1		69	1	1.27675	0.770053	[0.10,5.80]	0.631552	1	0.1		0.365927	1		209	5	3.86726	1.38344	[0.51,3.77]	0.39487	1	0.1		0.595175	1		111	1	2.0539	0.458678	[0.06,3.44]	0.376155	1	0.1		0.262169	1		66	0	1.22124	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.721641	0	[0.00,0.00]	1	1	0.1		1	1		80	1	1.48029	0.656502	[0.09,4.93]	0.55772	1	0.1		0.344249	1		109	1	2.01689	0.468013	[0.06,3.51]	0.386494	1	0.1		0.267737	1		79	2	1.46179	1.41373	[0.33,6.14]	0.477873	1	0.1		0.606592	1		262	4	4.84795	0.784986	[0.26,2.33]	0.448045	1	0.1		0.195898	1		71	2	1.31376	1.58868	[0.37,6.91]	0.242538	1	0.1		0.860401	1		
8	17	66	0	0.902655	0	[0.00,0.00]	1	1	0.1		1	1		69	0	0.943685	0	[0.00,0.00]	1	1	0.1		1	1		209	2	2.85841	0.656361	[0.15,2.89]	0.435808	1	0.1		0.243763	1		111	1	1.5181	0.634091	[0.08,4.83]	0.54271	1	0.1		0.341024	1		66	0	0.902655	0	[0.00,0.00]	1	1	0.1		1	1		39	1	0.533387	1.95395	[0.25,15.12]	0.323434	1	0.1		0.90298	1		80	1	1.09413	0.907437	[0.12,6.93]	0.700064	1	0.1		0.379772	1		109	2	1.49075	1.39439	[0.31,6.18]	0.473899	1	0.1		0.610561	1		79	2	1.08045	1.98961	[0.45,8.86]	0.206507	1	0.1		0.911799	1		262	4	3.58327	1.15444	[0.37,3.57]	0.488711	1	0.1		0.450866	1		71	2	0.971038	2.23575	[0.50,9.97]	0.184697	1	0.1		0.931766	1		
9	20	66	2	1.06195	2.01215	[0.46,8.86]	0.202191	1	0.1		0.914612	1		69	0	1.11022	0	[0.00,0.00]	1	1	0.1		1	1		209	2	3.36283	0.545357	[0.13,2.37]	0.320333	1	0.1		0.195442	1		111	2	1.786	1.13558	[0.26,4.96]	0.435479	1	0.1		0.58634	1		66	2	1.06195	2.01215	[0.46,8.86]	0.202191	1	0.1		0.914612	1		39	2	0.627514	3.56156	[0.80,15.92]	0.105374	1	0.1		0.977497	1		80	0	1.28721	0	[0.00,0.00]	1	1	0.1		1	1		109	2	1.75382	1.15888	[0.27,5.06]	0.439698	1	0.1		0.589826	1		79	2	1.27112	1.65368	[0.38,7.26]	0.237447	1	0.1		0.870797	1		262	4	4.21561	0.935078	[0.31,2.82]	0.58239	1	0.1		0.218332	1		71	1	1.1424	0.866917	[0.11,6.57]	0.681828	1	0.1		0.37629	1		
10	25	66	0	1.32743	0	[0.00,0.00]	1	1	0.1		1	1		69	0	1.38777	0	[0.00,0.00]	1	1	0.1		1	1		209	3	4.20354	0.669903	[0.20,2.26]	0.371974	1	0.1		0.191158	1		111	4	2.2325	1.97775	[0.67,5.87]	0.207188	1	0.1		0.841004	1		66	0	1.32743	0	[0.00,0.00]	1	1	0.1		1	1		39	1	0.784393	1.29386	[0.17,9.82]	0.369458	1	0.1		0.816597	1		80	0	1.60901	0	[0.00,0.00]	1	1	0.1		1	1		109	1	2.19228	0.428241	[0.06,3.20]	0.340232	1	0.1		0.241755	1		79	1	1.5889	0.608974	[0.08,4.56]	0.52046	1	0.1		0.329987	1		262	2	5.26951	0.320401	[0.08,1.37]	0.0761781	1	0.1		0.0564046	1		71	1	1.428	0.683333	[0.09,5.13]	0.576583	1	0.1		0.350132	1		
