C	Cn	DOID:0060041	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1059	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10652	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10763	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12849	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12858	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:14330	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1826	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:3312	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:5419	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:9255	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
1	44	26	5	0.920354	7.1917	[2.58,20.07]	0.00147876	1	0.1		0.999812	1		44	5	1.55752	3.81328	[1.43,10.20]	0.0135268	1	0.1		0.996434	1		29	0	1.02655	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.460177	0	[0.00,0.00]	1	1	0.1		1	1		26	5	0.920354	7.1917	[2.58,20.07]	0.00147876	1	0.1		0.999812	1		2	0	0.0707965	0	[0.00,0.00]	1	1	0.1		1	1		21	1	0.743363	1.37093	[0.18,10.45]	0.36538	1	0.1		0.831594	1		38	4	1.34513	3.42647	[1.16,10.12]	0.0326631	1	0.1		0.990743	1		44	2	1.55752	1.31179	[0.31,5.60]	0.46534	1	0.1		0.599625	1		103	11	3.64602	4.01087	[1.96,8.20]	0.00043476	1	0.1		0.999876	1		11	0	0.389381	0	[0.00,0.00]	1	1	0.1		1	1		
2	37	26	0	0.773934	0	[0.00,0.00]	1	1	0.1		1	1		44	0	1.30973	0	[0.00,0.00]	1	1	0.1		1	1		29	0	0.863234	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.386967	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.773934	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0595334	0	[0.00,0.00]	1	1	0.1		1	1		21	1	0.625101	1.64722	[0.22,12.61]	0.345509	1	0.1		0.872889	1		38	1	1.13113	0.877628	[0.12,6.58]	0.68638	1	0.1		0.374777	1		44	0	1.30973	0	[0.00,0.00]	1	1	0.1		1	1		103	4	3.06597	1.35537	[0.47,3.90]	0.354587	1	0.1		0.641324	1		11	1	0.327434	3.32222	[0.41,26.65]	0.24373	1	0.1		0.959947	1		
3	34	26	2	0.711183	3.08594	[0.70,13.62]	0.12543	1	0.1		0.968367	1		44	3	1.20354	2.75688	[0.81,9.39]	0.0863886	1	0.1		0.970814	1		29	1	0.793242	1.27814	[0.17,9.68]	0.370062	1	0.1		0.813311	1		13	0	0.355591	0	[0.00,0.00]	1	1	0.1		1	1		26	2	0.711183	3.08594	[0.70,13.62]	0.12543	1	0.1		0.968367	1		2	0	0.0547064	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.574417	0	[0.00,0.00]	1	1	0.1		1	1		38	2	1.03942	2.03646	[0.47,8.83]	0.196774	1	0.1		0.917812	1		44	1	1.20354	0.821705	[0.11,6.15]	0.659198	1	0.1		0.370458	1		103	3	2.81738	1.07323	[0.32,3.57]	0.447437	1	0.1		0.479949	1		11	0	0.300885	0	[0.00,0.00]	1	1	0.1		1	1		
4	25	26	1	0.522928	1.98833	[0.26,15.28]	0.319514	1	0.1		0.905945	1		44	1	0.884956	1.13857	[0.15,8.61]	0.37684	1	0.1		0.779374	1		29	0	0.583266	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.261464	0	[0.00,0.00]	1	1	0.1		1	1		26	1	0.522928	1.98833	[0.26,15.28]	0.319514	1	0.1		0.905945	1		2	0	0.0402253	0	[0.00,0.00]	1	1	0.1		1	1		21	1	0.422365	2.49583	[0.32,19.36]	0.285022	1	0.1		0.935416	1		38	0	0.76428	0	[0.00,0.00]	1	1	0.1		1	1		44	3	0.884956	3.91463	[1.13,13.61]	0.0452355	1	0.1		0.989958	1		103	3	2.0716	1.52455	[0.45,5.18]	0.309569	1	0.1		0.741175	1		11	1	0.221239	5.03333	[0.62,40.90]	0.181889	1	0.1		0.980879	1		
5	21	26	0	0.43926	0	[0.00,0.00]	1	1	0.1		1	1		44	1	0.743363	1.37093	[0.18,10.45]	0.36538	1	0.1		0.831594	1		29	2	0.489944	4.65887	[1.03,21.01]	0.0724986	1	0.1		0.988545	1		13	1	0.21963	5.04167	[0.63,40.65]	0.180595	1	0.1		0.981037	1		26	0	0.43926	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0337892	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.354787	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.641995	0	[0.00,0.00]	1	1	0.1		1	1		44	1	0.743363	1.37093	[0.18,10.45]	0.36538	1	0.1		0.831594	1		103	3	1.74014	1.87	[0.54,6.46]	0.320501	1	0.1		0.750939	1		11	0	0.185841	0	[0.00,0.00]	1	1	0.1		1	1		
6	19	26	1	0.397426	2.66444	[0.34,20.74]	0.274908	1	0.1		0.942145	1		44	0	0.672566	0	[0.00,0.00]	1	1	0.1		1	1		29	0	0.443282	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.198713	0	[0.00,0.00]	1	1	0.1		1	1		26	1	0.397426	2.66444	[0.34,20.74]	0.274908	1	0.1		0.942145	1		2	0	0.0305712	0	[0.00,0.00]	1	1	0.1		1	1		21	2	0.320998	7.4613	[1.61,34.58]	0.035727	1	0.1		0.996612	1		38	1	0.580853	1.78228	[0.23,13.71]	0.335726	1	0.1		0.887676	1		44	1	0.672566	1.52584	[0.20,11.69]	0.355103	1	0.1		0.85675	1		103	3	1.57442	2.1075	[0.60,7.36]	0.138589	1	0.1		0.934608	1		11	0	0.168142	0	[0.00,0.00]	1	1	0.1		1	1		
7	23	26	0	0.481094	0	[0.00,0.00]	1	1	0.1		1	1		44	1	0.814159	1.24419	[0.16,9.45]	0.372499	1	0.1		0.805731	1		29	0	0.536605	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.240547	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.481094	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0370072	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.388576	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.703138	0	[0.00,0.00]	1	1	0.1		1	1		44	1	0.814159	1.24419	[0.16,9.45]	0.372499	1	0.1		0.805731	1		103	0	1.90587	0	[0.00,0.00]	1	1	0.1		1	1		11	0	0.20354	0	[0.00,0.00]	1	1	0.1		1	1		
8	17	26	0	0.355591	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.60177	0	[0.00,0.00]	1	1	0.1		1	1		29	0	0.396621	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.177796	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.355591	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0273532	0	[0.00,0.00]	1	1	0.1		1	1		21	1	0.287208	3.76875	[0.48,29.81]	0.221156	1	0.1		0.968253	1		38	1	0.51971	2.00845	[0.26,15.55]	0.319381	1	0.1		0.90722	1		44	1	0.60177	1.71948	[0.22,13.26]	0.341251	1	0.1		0.880957	1		103	0	1.40869	0	[0.00,0.00]	1	1	0.1		1	1		11	0	0.150442	0	[0.00,0.00]	1	1	0.1		1	1		
9	20	26	1	0.418343	2.52211	[0.32,19.58]	0.283467	1	0.1		0.93653	1		44	0	0.707965	0	[0.00,0.00]	1	1	0.1		1	1		29	0	0.466613	0	[0.00,0.00]	1	1	0.1		1	1		13	1	0.209171	5.3114	[0.66,42.93]	0.1737	1	0.1		0.982741	1		26	1	0.418343	2.52211	[0.32,19.58]	0.283467	1	0.1		0.93653	1		2	0	0.0321802	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.337892	0	[0.00,0.00]	1	1	0.1		1	1		38	1	0.611424	1.68706	[0.22,12.94]	0.342714	1	0.1		0.877527	1		44	1	0.707965	1.44431	[0.19,11.04]	0.360661	1	0.1		0.844275	1		103	3	1.65728	1.98176	[0.57,6.88]	0.149725	1	0.1		0.923286	1		11	1	0.176991	6.38421	[0.78,52.40]	0.151619	1	0.1		0.987593	1		
10	25	26	0	0.522928	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.884956	0	[0.00,0.00]	1	1	0.1		1	1		29	1	0.583266	1.77083	[0.23,13.55]	0.335693	1	0.1		0.886693	1		13	1	0.261464	4.1875	[0.52,33.51]	0.206663	1	0.1		0.973542	1		26	0	0.522928	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0402253	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.422365	0	[0.00,0.00]	1	1	0.1		1	1		38	1	0.76428	1.32995	[0.18,10.10]	0.3673	1	0.1		0.823913	1		44	1	0.884956	1.13857	[0.15,8.61]	0.37684	1	0.1		0.779374	1		103	2	2.0716	0.961687	[0.22,4.14]	0.656652	1	0.1		0.2845	1		11	0	0.221239	0	[0.00,0.00]	1	1	0.1		1	1		
