C	Cn	DOID:0060041	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1059	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10652	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10763	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12849	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12858	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:14330	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1826	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:3312	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:5419	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:9255	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
1	37	66	0	1.9646	0	[0.00,0.00]	1	1	0.1		1	1		69	1	2.0539	0.464869	[0.06,3.44]	0.379604	1	0.1		0.262566	1		209	6	6.22124	0.956301	[0.39,2.32]	0.567706	1	0.1		0.177121	1		111	2	3.3041	0.575098	[0.14,2.42]	0.342526	1	0.1		0.201262	1		66	0	1.9646	0	[0.00,0.00]	1	1	0.1		1	1		39	1	1.1609	0.853801	[0.11,6.39]	0.675183	1	0.1		0.373148	1		80	2	2.38134	0.826374	[0.20,3.50]	0.570005	1	0.1		0.272043	1		109	3	3.24457	0.915649	[0.28,3.03]	0.589667	1	0.1		0.234465	1		79	5	2.35157	2.3902	[0.90,6.31]	0.0542987	1	0.1		0.9741	1		262	9	7.79887	1.21076	[0.56,2.60]	0.444487	1	0.1		0.455204	1		71	2	2.11344	0.941615	[0.22,4.00]	0.644944	1	0.1		0.281316	1		
2	60	66	3	3.18584	0.935673	[0.29,3.07]	0.603858	1	0.1		0.233823	1		69	2	3.33065	0.57437	[0.14,2.40]	0.339347	1	0.1		0.198895	1		209	6	10.0885	0.536398	[0.23,1.26]	0.0971036	1	0.1		0.0526804	1		111	5	5.358	0.923671	[0.36,2.36]	0.549355	1	0.1		0.184922	1		66	3	3.18584	0.935673	[0.29,3.07]	0.603858	1	0.1		0.233823	1		39	0	1.88254	0	[0.00,0.00]	1	1	0.1		1	1		80	4	3.86163	1.04041	[0.37,2.95]	0.449194	1	0.1		0.415561	1		109	2	5.26146	0.346761	[0.08,1.44]	0.0884373	1	0.1		0.063476	1		79	0	3.81335	0	[0.00,0.00]	1	1	0.1		1	1		262	12	12.6468	0.933	[0.49,1.78]	0.49242	1	0.1		0.128012	1		71	3	3.42719	0.863003	[0.26,2.83]	0.547657	1	0.1		0.227759	1		
3	69	66	2	3.66372	0.517724	[0.12,2.16]	0.27578	1	0.1		0.169755	1		69	5	3.83025	1.35498	[0.53,3.48]	0.404759	1	0.1		0.573941	1		209	5	11.6018	0.371477	[0.15,0.93]	0.015339	1	0.1		0.0102764	1		111	0	6.16171	0	[0.00,0.00]	1	1	0.1		1	1		66	2	3.66372	0.517724	[0.12,2.16]	0.27578	1	0.1		0.169755	1		39	1	2.16492	0.439628	[0.06,3.25]	0.35044	1	0.1		0.246416	1		80	3	4.44087	0.64758	[0.20,2.11]	0.337141	1	0.1		0.173993	1		109	5	6.05068	0.803786	[0.32,2.04]	0.425251	1	0.1		0.166885	1		79	0	4.38536	0	[0.00,0.00]	1	1	0.1		1	1		262	6	14.5438	0.341518	[0.15,0.80]	0.0042948	0.642935	0.1		0.00296299	1		71	2	3.94127	0.478045	[0.11,1.99]	0.230054	1	0.1		0.146633	1		
4	103	66	11	5.46903	2.3587	[1.19,4.66]	0.013165	1	0.1		0.991164	1		69	6	5.71762	1.05744	[0.45,2.51]	0.478446	1	0.1		0.348801	1		209	37	17.3186	3.15504	[2.04,4.87]	5.45652e-07	0.000929708	0.1	***	1	1		111	23	9.19791	3.43693	[2.06,5.74]	8.50937e-06	0.00483289	0.1	**	0.999997	1		66	11	5.46903	2.3587	[1.19,4.66]	0.013165	1	0.1		0.991164	1		39	9	3.2317	3.54255	[1.63,7.68]	0.00252795	0.61532	0.1		0.999184	1		80	10	6.62912	1.64363	[0.82,3.30]	0.144279	1	0.1		0.854516	1		109	10	9.03218	1.13066	[0.57,2.24]	0.429066	1	0.1		0.414395	1		79	11	6.54626	1.88491	[0.96,3.69]	0.061856	1	0.1		0.943383	1		262	32	21.7104	1.78322	[1.15,2.77]	0.00727773	0.856213	0.1		0.992408	1		71	10	5.88335	1.90199	[0.94,3.84]	0.0483205	1	0.1		0.958671	1		
5	39	66	3	2.0708	1.50926	[0.45,5.04]	0.310038	1	0.1		0.736837	1		69	1	2.16492	0.439628	[0.06,3.25]	0.35044	1	0.1		0.246416	1		209	4	6.55752	0.556934	[0.20,1.58]	0.187662	1	0.1		0.103732	1		111	5	3.4827	1.52331	[0.58,3.98]	0.258942	1	0.1		0.751198	1		66	3	2.0708	1.50926	[0.45,5.04]	0.310038	1	0.1		0.736837	1		39	3	1.22365	2.7037	[0.80,9.19]	0.0891721	1	0.1		0.969132	1		80	2	2.51006	0.780319	[0.18,3.30]	0.535024	1	0.1		0.264777	1		109	4	3.41995	1.19619	[0.42,3.43]	0.518367	1	0.1		0.428551	1		79	2	2.47868	0.791155	[0.19,3.34]	0.5435	1	0.1		0.266633	1		262	7	8.22043	0.814093	[0.36,1.87]	0.400248	1	0.1		0.147458	1		71	1	2.22767	0.426316	[0.06,3.15]	0.334628	1	0.1		0.237403	1		
6	61	66	6	3.23894	2.04	[0.84,4.93]	0.0936797	1	0.1		0.928861	1		69	0	3.38616	0	[0.00,0.00]	1	1	0.1		1	1		209	17	10.2566	1.99219	[1.11,3.56]	0.0144796	1	0.1		0.987453	1		111	6	5.4473	1.11896	[0.47,2.66]	0.517858	1	0.1		0.351842	1		66	6	3.23894	2.04	[0.84,4.93]	0.0936797	1	0.1		0.928861	1		39	3	1.91392	1.64655	[0.49,5.51]	0.31517	1	0.1		0.744082	1		80	6	3.92599	1.63342	[0.68,3.92]	0.186851	1	0.1		0.824745	1		109	9	5.34916	1.87269	[0.90,3.91]	0.0666642	1	0.1		0.942227	1		79	6	3.87691	1.65729	[0.69,3.98]	0.187563	1	0.1		0.825749	1		262	18	12.8576	1.60923	[0.91,2.84]	0.0686145	1	0.1		0.925071	1		71	5	3.48431	1.50974	[0.59,3.90]	0.260095	1	0.1		0.747405	1		
7	67	66	1	3.55752	0.258974	[0.04,1.90]	0.116072	1	0.1		0.0927656	1		69	4	3.71923	1.08523	[0.38,3.07]	0.471244	1	0.1		0.420939	1		209	6	11.2655	0.471453	[0.20,1.11]	0.0475949	1	0.1		0.0280106	1		111	3	5.98311	0.463542	[0.14,1.50]	0.133268	1	0.1		0.0830743	1		66	1	3.55752	0.258974	[0.04,1.90]	0.116072	1	0.1		0.0927656	1		39	2	2.10217	0.947193	[0.22,4.02]	0.64814	1	0.1		0.281327	1		80	7	4.31215	1.76279	[0.78,3.99]	0.133068	1	0.1		0.879882	1		109	1	5.8753	0.149832	[0.02,1.09]	0.0140141	1	0.1		0.0122261	1		79	2	4.25825	0.439161	[0.11,1.83]	0.185401	1	0.1		0.122334	1		262	15	14.1223	1.08494	[0.60,1.96]	0.431477	1	0.1		0.356016	1		71	3	3.82703	0.763787	[0.23,2.49]	0.458532	1	0.1		0.210443	1		
8	45	66	3	2.38938	1.28685	[0.39,4.27]	0.516076	1	0.1		0.49018	1		69	1	2.49799	0.377674	[0.05,2.78]	0.273398	1	0.1		0.200449	1		209	5	7.56637	0.609069	[0.24,1.56]	0.204301	1	0.1		0.10343	1		111	4	4.0185	0.994757	[0.35,2.83]	0.625479	1	0.1		0.208414	1		66	3	2.38938	1.28685	[0.39,4.27]	0.516076	1	0.1		0.49018	1		39	0	1.41191	0	[0.00,0.00]	1	1	0.1		1	1		80	3	2.89622	1.03989	[0.32,3.43]	0.435606	1	0.1		0.472325	1		109	7	3.9461	1.97936	[0.86,4.55]	0.0692451	1	0.1		0.947932	1		79	4	2.86002	1.46081	[0.51,4.19]	0.373017	1	0.1		0.642256	1		262	11	9.48512	1.22065	[0.61,2.44]	0.355031	1	0.1		0.542933	1		71	3	2.57039	1.18697	[0.36,3.93]	0.486663	1	0.1		0.488763	1		
9	108	66	2	5.73451	0.315743	[0.08,1.31]	0.0612815	1	0.1		0.0452525	1		69	5	5.99517	0.812348	[0.32,2.06]	0.434766	1	0.1		0.168745	1		209	16	18.1593	0.84884	[0.49,1.48]	0.334911	1	0.1		0.0940763	1		111	4	9.64441	0.369518	[0.13,1.02]	0.0258526	1	0.1		0.0174963	1		66	2	5.73451	0.315743	[0.08,1.31]	0.0612815	1	0.1		0.0452525	1		39	0	3.38858	0	[0.00,0.00]	1	1	0.1		1	1		80	5	6.95093	0.686084	[0.27,1.73]	0.287195	1	0.1		0.130865	1		109	7	9.47064	0.701903	[0.32,1.55]	0.248203	1	0.1		0.104902	1		79	6	6.86404	0.855761	[0.36,2.02]	0.460105	1	0.1		0.161	1		262	7	22.7643	0.239177	[0.11,0.52]	1.47455e-05	0.00628101	0.1	**	1.14157e-05	0.0194505	**	71	6	6.16895	0.968326	[0.41,2.29]	0.577664	1	0.1		0.17226	1		
10	42	66	0	2.23009	0	[0.00,0.00]	1	1	0.1		1	1		69	1	2.33146	0.406385	[0.06,3.00]	0.309998	1	0.1		0.222866	1		209	4	7.06195	0.511425	[0.18,1.45]	0.13871	1	0.1		0.0805959	1		111	4	3.7506	1.07624	[0.38,3.07]	0.465835	1	0.1		0.422463	1		66	0	2.23009	0	[0.00,0.00]	1	1	0.1		1	1		39	1	1.31778	0.74647	[0.10,5.57]	0.617004	1	0.1		0.360818	1		80	2	2.70314	0.719872	[0.17,3.03]	0.484342	1	0.1		0.251609	1		109	1	3.68302	0.246838	[0.03,1.81]	0.102658	1	0.1		0.0828721	1		79	1	2.66935	0.351157	[0.05,2.59]	0.239023	1	0.1		0.178581	1		262	2	8.85278	0.180962	[0.04,0.75]	0.00315487	0.642935	0.1		0.00264916	1		71	0	2.39903	0	[0.00,0.00]	1	1	0.1		1	1		
11	73	66	2	3.87611	0.486796	[0.12,2.03]	0.240191	1	0.1		0.151919	1		69	4	4.05229	0.985507	[0.35,2.78]	0.618452	1	0.1		0.206938	1		209	6	12.2743	0.426586	[0.18,1.00]	0.0245792	1	0.1		0.015287	1		111	1	6.51891	0.133838	[0.02,0.97]	0.00753777	0.856213	0.1		0.00666578	1		66	2	3.87611	0.486796	[0.12,2.03]	0.240191	1	0.1		0.151919	1		39	0	2.29043	0	[0.00,0.00]	1	1	0.1		1	1		80	2	4.69831	0.394366	[0.09,1.64]	0.135666	1	0.1		0.0931965	1		109	1	6.40145	0.136574	[0.02,0.99]	0.00845993	0.900901	0.1		0.00746376	1		79	4	4.63958	0.846377	[0.30,2.38]	0.498549	1	0.1		0.195788	1		262	12	15.387	0.723934	[0.38,1.37]	0.198495	1	0.1		0.0754614	1		71	2	4.16975	0.449479	[0.11,1.87]	0.19713	1	0.1		0.128874	1		
12	83	66	2	4.40708	0.42284	[0.10,1.76]	0.167018	1	0.1		0.111833	1		69	3	4.6074	0.621591	[0.19,2.02]	0.308101	1	0.1		0.163272	1		209	17	13.9558	1.29861	[0.75,2.26]	0.220678	1	0.1		0.712751	1		111	7	7.41191	0.935223	[0.42,2.08]	0.533074	1	0.1		0.158691	1		66	2	4.40708	0.42284	[0.10,1.76]	0.167018	1	0.1		0.111833	1		39	6	2.60418	2.66116	[1.08,6.55]	0.0283504	1	0.1		0.987726	1		80	8	5.34191	1.61185	[0.75,3.47]	0.162913	1	0.1		0.837629	1		109	5	7.27836	0.650888	[0.26,1.64]	0.245169	1	0.1		0.116773	1		79	4	5.27514	0.732489	[0.26,2.05]	0.379516	1	0.1		0.16997	1		262	20	17.4948	1.20425	[0.71,2.03]	0.287728	1	0.1		0.596671	1		71	11	4.74095	2.80093	[1.41,5.56]	0.00387529	0.642935	0.1		0.998236	1		
13	65	66	3	3.45133	0.856375	[0.26,2.80]	0.542131	1	0.1		0.226908	1		69	7	3.60821	2.17241	[0.95,4.96]	0.0615173	1	0.1		0.954369	1		209	12	10.9292	1.12748	[0.59,2.15]	0.444952	1	0.1		0.389077	1		111	4	5.80451	0.656351	[0.23,1.84]	0.293217	1	0.1		0.143514	1		66	3	3.45133	0.856375	[0.26,2.80]	0.542131	1	0.1		0.226908	1		39	1	2.03942	0.46875	[0.06,3.47]	0.38375	1	0.1		0.264709	1		80	3	4.18343	0.691873	[0.21,2.25]	0.385351	1	0.1		0.19016	1		109	7	5.69992	1.27316	[0.57,2.86]	0.298824	1	0.1		0.636973	1		79	4	4.13113	0.964372	[0.34,2.72]	0.602121	1	0.1		0.206472	1		262	9	13.7007	0.587592	[0.29,1.20]	0.0906647	1	0.1		0.0443163	1		71	3	3.71279	0.789848	[0.24,2.58]	0.483333	1	0.1		0.216125	1		
14	101	66	6	5.36283	1.13895	[0.48,2.71]	0.530489	1	0.1		0.350998	1		69	6	5.6066	1.0817	[0.46,2.56]	0.494569	1	0.1		0.350328	1		209	23	16.9823	1.51558	[0.93,2.48]	0.0579128	1	0.1		0.930282	1		111	14	9.01931	1.73362	[0.95,3.16]	0.0692367	1	0.1		0.930675	1		66	6	5.36283	1.13895	[0.48,2.71]	0.530489	1	0.1		0.350998	1		39	3	3.16895	0.940476	[0.28,3.11]	0.607623	1	0.1		0.235488	1		80	5	6.5004	0.740972	[0.29,1.88]	0.352541	1	0.1		0.149802	1		109	13	8.8568	1.60961	[0.87,2.99]	0.0899857	1	0.1		0.90417	1		79	10	6.41915	1.70887	[0.85,3.43]	0.0862993	1	0.1		0.916072	1		262	31	21.2888	1.74651	[1.12,2.73]	0.0150513	1	0.1		0.984309	1		71	7	5.76911	1.25432	[0.56,2.81]	0.294457	1	0.1		0.633889	1		
15	61	66	2	3.23894	0.592161	[0.14,2.48]	0.358584	1	0.1		0.206987	1		69	3	3.38616	0.874608	[0.27,2.87]	0.557128	1	0.1		0.229046	1		209	10	10.2566	0.968568	[0.48,1.94]	0.547936	1	0.1		0.139629	1		111	6	5.4473	1.11896	[0.47,2.66]	0.517858	1	0.1		0.351842	1		66	2	3.23894	0.592161	[0.14,2.48]	0.358584	1	0.1		0.206987	1		39	2	1.91392	1.04902	[0.25,4.46]	0.418081	1	0.1		0.565074	1		80	2	3.92599	0.479791	[0.12,2.00]	0.23224	1	0.1		0.147819	1		109	5	5.34916	0.925481	[0.36,2.36]	0.551026	1	0.1		0.184991	1		79	1	3.87691	0.235897	[0.03,1.72]	0.0881166	1	0.1		0.0716923	1		262	12	12.8576	0.91298	[0.48,1.74]	0.465368	1	0.1		0.125685	1		71	3	3.48431	0.847363	[0.26,2.77]	0.534565	1	0.1		0.225771	1		
16	54	66	4	2.86726	1.45419	[0.51,4.16]	0.372611	1	0.1		0.641363	1		69	3	2.99759	1.00089	[0.30,3.29]	0.648183	1	0.1		0.235683	1		209	8	9.07965	0.854856	[0.40,1.84]	0.42914	1	0.1		0.141934	1		111	3	4.8222	0.58878	[0.18,1.92]	0.272098	1	0.1		0.149316	1		66	4	2.86726	1.45419	[0.51,4.16]	0.372611	1	0.1		0.641363	1		39	2	1.69429	1.19751	[0.28,5.10]	0.447281	1	0.1		0.59005	1		80	6	3.47546	1.88345	[0.78,4.54]	0.10017	1	0.1		0.921643	1		109	11	4.73532	2.84789	[1.42,5.70]	0.00371684	0.642935	0.1		0.998348	1		79	4	3.43202	1.18827	[0.42,3.38]	0.516823	1	0.1		0.425862	1		262	10	11.3821	0.845058	[0.42,1.70]	0.392606	1	0.1		0.126076	1		71	6	3.08447	2.16154	[0.89,5.24]	0.0908598	1	0.1		0.931081	1		
17	33	66	1	1.75221	0.550481	[0.07,4.09]	0.468023	1	0.1		0.306757	1		69	2	1.83186	1.10063	[0.26,4.70]	0.429088	1	0.1		0.576248	1		209	5	5.54867	0.880602	[0.34,2.31]	0.511077	1	0.1		0.186255	1		111	4	2.9469	1.42185	[0.49,4.12]	0.364221	1	0.1		0.645689	1		66	1	1.75221	0.550481	[0.07,4.09]	0.468023	1	0.1		0.306757	1		39	1	1.0354	0.963816	[0.13,7.24]	0.72256	1	0.1		0.378176	1		80	0	2.12389	0	[0.00,0.00]	1	1	0.1		1	1		109	1	2.89381	0.318866	[0.04,2.36]	0.197899	1	0.1		0.151488	1		79	2	2.09735	0.949309	[0.22,4.04]	0.64945	1	0.1		0.282117	1		262	4	6.95575	0.508955	[0.18,1.46]	0.142211	1	0.1		0.0832929	1		71	1	1.88496	0.508929	[0.07,3.78]	0.427299	1	0.1		0.287442	1		
18	23	66	1	1.22124	0.807692	[0.11,6.09]	0.65226	1	0.1		0.370419	1		69	2	1.27675	1.63895	[0.38,7.14]	0.237392	1	0.1		0.868944	1		209	3	3.86726	0.73835	[0.22,2.51]	0.442166	1	0.1		0.213107	1		111	7	2.0539	4.69471	[1.89,11.67]	0.0022609	0.61532	0.1		0.999505	1		66	1	1.22124	0.807692	[0.11,6.09]	0.65226	1	0.1		0.370419	1		39	1	0.721641	1.41388	[0.19,10.76]	0.362117	1	0.1		0.839289	1		80	0	1.48029	0	[0.00,0.00]	1	1	0.1		1	1		109	4	2.01689	2.23559	[0.75,6.69]	0.0913329	1	0.1		0.955749	1		79	1	1.46179	0.665501	[0.09,5.00]	0.564269	1	0.1		0.346494	1		262	7	4.84795	1.65564	[0.67,4.07]	0.209388	1	0.1		0.803134	1		71	0	1.31376	0	[0.00,0.00]	1	1	0.1		1	1		
19	12	66	2	0.637168	3.64688	[0.78,16.99]	0.107794	1	0.1		0.977709	1		69	0	0.66613	0	[0.00,0.00]	1	1	0.1		1	1		209	1	2.0177	0.447115	[0.06,3.48]	0.374906	1	0.1		0.266288	1		111	0	1.0716	0	[0.00,0.00]	1	1	0.1		1	1		66	2	0.637168	3.64688	[0.78,16.99]	0.107794	1	0.1		0.977709	1		39	0	0.376508	0	[0.00,0.00]	1	1	0.1		1	1		80	0	0.772325	0	[0.00,0.00]	1	1	0.1		1	1		109	0	1.05229	0	[0.00,0.00]	1	1	0.1		1	1		79	1	0.762671	1.34382	[0.17,10.54]	0.372551	1	0.1		0.825665	1		262	2	2.52936	0.746923	[0.16,3.43]	0.520001	1	0.1		0.275846	1		71	0	0.685438	0	[0.00,0.00]	1	1	0.1		1	1		
20	26	66	3	1.38053	2.38923	[0.70,8.17]	0.111072	1	0.1		0.955171	1		69	2	1.44328	1.43035	[0.33,6.18]	0.480404	1	0.1		0.605601	1		209	7	4.37168	1.85122	[0.77,4.46]	0.125778	1	0.1		0.893476	1		111	2	2.3218	0.847095	[0.20,3.63]	0.585686	1	0.1		0.276932	1		66	3	1.38053	2.38923	[0.70,8.17]	0.111072	1	0.1		0.955171	1		39	0	0.815768	0	[0.00,0.00]	1	1	0.1		1	1		80	3	1.67337	1.93111	[0.57,6.57]	0.151048	1	0.1		0.919429	1		109	5	2.27997	2.54808	[0.94,6.90]	0.0488507	1	0.1		0.978716	1		79	3	1.65245	1.95824	[0.58,6.67]	0.148314	1	0.1		0.92236	1		262	6	5.48029	1.12617	[0.45,2.83]	0.509893	1	0.1		0.370979	1		71	1	1.48512	0.655429	[0.09,4.91]	0.55646	1	0.1		0.34321	1		
