C	Cn	DOID:0060041	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1059	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10652	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10763	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12849	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12858	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:14330	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1826	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:3312	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:5419	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:9255	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
1	37	26	0	0.773934	0	[0.00,0.00]	1	1	0.1		1	1		44	1	1.30973	0.751292	[0.10,5.61]	0.619933	1	0.1		0.361609	1		29	0	0.863234	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.386967	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.773934	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0595334	0	[0.00,0.00]	1	1	0.1		1	1		21	1	0.625101	1.64722	[0.22,12.61]	0.345509	1	0.1		0.872889	1		38	0	1.13113	0	[0.00,0.00]	1	1	0.1		1	1		44	1	1.30973	0.751292	[0.10,5.61]	0.619933	1	0.1		0.361609	1		103	1	3.06597	0.300654	[0.04,2.22]	0.172638	1	0.1		0.133861	1		11	2	0.327434	7.6	[1.58,36.48]	0.0366511	1	0.1		0.996598	1		
2	60	26	1	1.25503	0.785085	[0.10,5.89]	0.639814	1	0.1		0.367222	1		44	2	2.12389	0.936782	[0.22,3.97]	0.642044	1	0.1		0.280625	1		29	4	1.39984	3.30857	[1.11,9.83]	0.0363908	1	0.1		0.989251	1		13	1	0.627514	1.65395	[0.21,12.93]	0.348998	1	0.1		0.872942	1		26	1	1.25503	0.785085	[0.10,5.89]	0.639814	1	0.1		0.367222	1		2	0	0.0965406	0	[0.00,0.00]	1	1	0.1		1	1		21	2	1.01368	2.11252	[0.48,9.29]	0.192625	1	0.1		0.92342	1		38	2	1.83427	1.09866	[0.26,4.67]	0.428731	1	0.1		0.575361	1		44	0	2.12389	0	[0.00,0.00]	1	1	0.1		1	1		103	2	4.97184	0.369409	[0.09,1.53]	0.110311	1	0.1		0.0775478	1		11	0	0.530973	0	[0.00,0.00]	1	1	0.1		1	1		
3	69	26	2	1.44328	1.43035	[0.33,6.18]	0.480404	1	0.1		0.605601	1		44	3	2.44248	1.2561	[0.38,4.16]	0.507346	1	0.1		0.490514	1		29	1	1.60981	0.601891	[0.08,4.49]	0.513989	1	0.1		0.326816	1		13	0	0.721641	0	[0.00,0.00]	1	1	0.1		1	1		26	2	1.44328	1.43035	[0.33,6.18]	0.480404	1	0.1		0.605601	1		2	0	0.111022	0	[0.00,0.00]	1	1	0.1		1	1		21	1	1.16573	0.848529	[0.11,6.42]	0.673043	1	0.1		0.37466	1		38	4	2.10941	2.06335	[0.71,5.99]	0.100585	1	0.1		0.945231	1		44	0	2.44248	0	[0.00,0.00]	1	1	0.1		1	1		103	5	5.71762	0.857781	[0.34,2.18]	0.483651	1	0.1		0.177002	1		11	1	0.610619	1.71176	[0.22,13.57]	0.346992	1	0.1		0.879138	1		
4	103	26	2	2.15447	0.920792	[0.21,3.95]	0.63306	1	0.1		0.282651	1		44	2	3.64602	0.51768	[0.12,2.17]	0.277338	1	0.1		0.170998	1		29	4	2.40306	1.80202	[0.61,5.28]	0.208476	1	0.1		0.836	1		13	4	1.07723	5.07744	[1.54,16.78]	0.015055	1	0.1		0.997332	1		26	2	2.15447	0.920792	[0.21,3.95]	0.63306	1	0.1		0.282651	1		2	0	0.165728	0	[0.00,0.00]	1	1	0.1		1	1		21	1	1.74014	0.54902	[0.07,4.13]	0.469304	1	0.1		0.309201	1		38	3	3.14883	0.947143	[0.29,3.13]	0.612366	1	0.1		0.235939	1		44	7	3.64602	2.1737	[0.94,5.01]	0.0614199	1	0.1		0.955048	1		103	12	8.535	1.52011	[0.80,2.88]	0.117425	1	0.1		0.86821	1		11	2	0.911504	2.48845	[0.53,11.67]	0.173894	1	0.1		0.944141	1		
5	39	26	1	0.815768	1.24105	[0.16,9.40]	0.372249	1	0.1		0.805071	1		44	0	1.38053	0	[0.00,0.00]	1	1	0.1		1	1		29	0	0.909895	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.407884	0	[0.00,0.00]	1	1	0.1		1	1		26	1	0.815768	1.24105	[0.16,9.40]	0.372249	1	0.1		0.805071	1		2	0	0.0627514	0	[0.00,0.00]	1	1	0.1		1	1		21	2	0.65889	3.37127	[0.76,15.01]	0.112942	1	0.1		0.974309	1		38	1	1.19228	0.830014	[0.11,6.21]	0.663425	1	0.1		0.371158	1		44	2	1.38053	1.4955	[0.35,6.41]	0.489023	1	0.1		0.603661	1		103	3	3.2317	0.92	[0.28,3.04]	0.592785	1	0.1		0.234389	1		11	0	0.345133	0	[0.00,0.00]	1	1	0.1		1	1		
6	61	26	0	1.27595	0	[0.00,0.00]	1	1	0.1		1	1		44	0	2.15929	0	[0.00,0.00]	1	1	0.1		1	1		29	1	1.42317	0.686905	[0.09,5.13]	0.578668	1	0.1		0.35021	1		13	0	0.637973	0	[0.00,0.00]	1	1	0.1		1	1		26	0	1.27595	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0981496	0	[0.00,0.00]	1	1	0.1		1	1		21	2	1.03057	2.07493	[0.47,9.12]	0.195956	1	0.1		0.920326	1		38	5	1.86484	3.10877	[1.17,8.27]	0.0258876	1	0.1		0.991229	1		44	2	2.15929	0.920097	[0.22,3.89]	0.632081	1	0.1		0.279837	1		103	1	5.05471	0.176471	[0.02,1.29]	0.0303586	1	0.1		0.0259056	1		11	0	0.539823	0	[0.00,0.00]	1	1	0.1		1	1		
7	67	26	0	1.40145	0	[0.00,0.00]	1	1	0.1		1	1		44	4	2.37168	1.80317	[0.63,5.20]	0.209472	1	0.1		0.833373	1		29	0	1.56315	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.700724	0	[0.00,0.00]	1	1	0.1		1	1		26	0	1.40145	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.107804	0	[0.00,0.00]	1	1	0.1		1	1		21	1	1.13194	0.875758	[0.12,6.63]	0.68584	1	0.1		0.376503	1		38	2	2.04827	0.974359	[0.23,4.14]	0.663358	1	0.1		0.282118	1		44	0	2.37168	0	[0.00,0.00]	1	1	0.1		1	1		103	9	5.55189	1.78613	[0.86,3.72]	0.0700894	1	0.1		0.936992	1		11	1	0.59292	1.76667	[0.22,14.01]	0.342741	1	0.1		0.884988	1		
8	45	26	1	0.941271	1.06636	[0.14,8.05]	0.378608	1	0.1		0.758187	1		44	1	1.59292	0.610465	[0.08,4.54]	0.520364	1	0.1		0.328651	1		29	0	1.04988	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.470636	0	[0.00,0.00]	1	1	0.1		1	1		26	1	0.941271	1.06636	[0.14,8.05]	0.378608	1	0.1		0.758187	1		2	0	0.0724055	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.760257	0	[0.00,0.00]	1	1	0.1		1	1		38	2	1.3757	1.50129	[0.35,6.44]	0.489678	1	0.1		0.603644	1		44	1	1.59292	0.610465	[0.08,4.54]	0.520364	1	0.1		0.328651	1		103	5	3.72888	1.40306	[0.54,3.64]	0.251403	1	0.1		0.738721	1		11	0	0.39823	0	[0.00,0.00]	1	1	0.1		1	1		
9	108	26	1	2.25905	0.414953	[0.06,3.09]	0.323908	1	0.1		0.232143	1		44	5	3.82301	1.3642	[0.53,3.54]	0.404646	1	0.1		0.57693	1		29	2	2.51971	0.774284	[0.18,3.30]	0.531386	1	0.1		0.265549	1		13	1	1.12953	0.874611	[0.11,6.79]	0.686176	1	0.1		0.381239	1		26	1	2.25905	0.414953	[0.06,3.09]	0.323908	1	0.1		0.232143	1		2	0	0.173773	0	[0.00,0.00]	1	1	0.1		1	1		21	1	1.82462	0.521028	[0.07,3.92]	0.442571	1	0.1		0.296705	1		38	1	3.30169	0.277343	[0.04,2.04]	0.141785	1	0.1		0.111858	1		44	3	3.82301	0.762369	[0.23,2.50]	0.458317	1	0.1		0.211407	1		103	3	8.94932	0.295714	[0.09,0.95]	0.0148309	1	0.1		0.0109852	1		11	0	0.955752	0	[0.00,0.00]	1	1	0.1		1	1		
10	42	26	0	0.87852	0	[0.00,0.00]	1	1	0.1		1	1		44	1	1.48673	0.656835	[0.09,4.89]	0.556676	1	0.1		0.342228	1		29	2	0.979887	2.17407	[0.50,9.46]	0.185199	1	0.1		0.928777	1		13	0	0.43926	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.87852	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0675784	0	[0.00,0.00]	1	1	0.1		1	1		21	1	0.709574	1.44024	[0.19,10.99]	0.360689	1	0.1		0.843653	1		38	0	1.28399	0	[0.00,0.00]	1	1	0.1		1	1		44	0	1.48673	0	[0.00,0.00]	1	1	0.1		1	1		103	1	3.48029	0.262793	[0.04,1.93]	0.122402	1	0.1		0.0976059	1		11	0	0.371681	0	[0.00,0.00]	1	1	0.1		1	1		
