C	Cn	DOID:0060041	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1059	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10652	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10763	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12849	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12858	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:14330	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1826	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:3312	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:5419	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:9255	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
1	96	66	3	5.09735	0.555044	[0.17,1.80]	0.232721	1	0.1		0.132036	1		69	3	5.32904	0.528348	[0.16,1.71]	0.202513	1	0.1		0.118074	1		209	16	16.1416	0.988601	[0.57,1.73]	0.550998	1	0.1		0.112996	1		111	5	8.57281	0.539602	[0.21,1.36]	0.122219	1	0.1		0.0668269	1		66	3	5.09735	0.555044	[0.17,1.80]	0.232721	1	0.1		0.132036	1		39	2	3.01207	0.638298	[0.15,2.69]	0.407931	1	0.1		0.226992	1		80	9	6.1786	1.56775	[0.76,3.24]	0.192818	1	0.1		0.801212	1		109	6	8.41834	0.675728	[0.29,1.58]	0.242375	1	0.1		0.108804	1		79	4	6.10137	0.621449	[0.22,1.74]	0.252007	1	0.1		0.128266	1		262	23	20.2349	1.197	[0.73,1.95]	0.318679	1	0.1		0.562697	1		71	5	5.48351	0.899933	[0.35,2.29]	0.526305	1	0.1		0.182299	1		
2	12	66	0	0.637168	0	[0.00,0.00]	1	1	0.1		1	1		69	2	0.66613	3.47463	[0.75,16.18]	0.114913	1	0.1		0.974899	1		209	0	2.0177	0	[0.00,0.00]	1	1	0.1		1	1		111	2	1.0716	2.05872	[0.45,9.52]	0.207438	1	0.1		0.915905	1		66	0	0.637168	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.376508	0	[0.00,0.00]	1	1	0.1		1	1		80	0	0.772325	0	[0.00,0.00]	1	1	0.1		1	1		109	0	1.05229	0	[0.00,0.00]	1	1	0.1		1	1		79	0	0.762671	0	[0.00,0.00]	1	1	0.1		1	1		262	0	2.52936	0	[0.00,0.00]	1	1	0.1		1	1		71	0	0.685438	0	[0.00,0.00]	1	1	0.1		1	1		
3	5	66	0	0.265487	0	[0.00,0.00]	1	1	0.1		1	1		69	0	0.277554	0	[0.00,0.00]	1	1	0.1		1	1		209	0	0.840708	0	[0.00,0.00]	1	1	0.1		1	1		111	0	0.4465	0	[0.00,0.00]	1	1	0.1		1	1		66	0	0.265487	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.156879	0	[0.00,0.00]	1	1	0.1		1	1		80	0	0.321802	0	[0.00,0.00]	1	1	0.1		1	1		109	0	0.438455	0	[0.00,0.00]	1	1	0.1		1	1		79	0	0.31778	0	[0.00,0.00]	1	1	0.1		1	1		262	0	1.0539	0	[0.00,0.00]	1	1	0.1		1	1		71	1	0.285599	4.17143	[0.46,37.82]	0.226389	1	0.1		0.971242	1		
4	31	66	1	1.64602	0.588205	[0.08,4.38]	0.502151	1	0.1		0.321767	1		69	1	1.72084	0.560784	[0.08,4.17]	0.477791	1	0.1		0.311299	1		209	0	5.21239	0	[0.00,0.00]	1	1	0.1		1	1		111	1	2.7683	0.333939	[0.05,2.47]	0.218568	1	0.1		0.165549	1		66	1	1.64602	0.588205	[0.08,4.38]	0.502151	1	0.1		0.321767	1		39	0	0.972647	0	[0.00,0.00]	1	1	0.1		1	1		80	1	1.99517	0.478059	[0.06,3.55]	0.395035	1	0.1		0.271156	1		109	3	2.71842	1.11792	[0.33,3.74]	0.46274	1	0.1		0.486641	1		79	3	1.97023	1.6015	[0.48,5.39]	0.31291	1	0.1		0.743818	1		262	3	6.53419	0.394236	[0.12,1.31]	0.0806411	1	0.1		0.0544072	1		71	0	1.77072	0	[0.00,0.00]	1	1	0.1		1	1		
5	6	66	0	0.318584	0	[0.00,0.00]	1	1	0.1		1	1		69	0	0.333065	0	[0.00,0.00]	1	1	0.1		1	1		209	0	1.00885	0	[0.00,0.00]	1	1	0.1		1	1		111	0	0.5358	0	[0.00,0.00]	1	1	0.1		1	1		66	0	0.318584	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.188254	0	[0.00,0.00]	1	1	0.1		1	1		80	0	0.386163	0	[0.00,0.00]	1	1	0.1		1	1		109	0	0.526146	0	[0.00,0.00]	1	1	0.1		1	1		79	0	0.381335	0	[0.00,0.00]	1	1	0.1		1	1		262	1	1.26468	0.747893	[0.09,6.43]	0.628829	1	0.1		0.387959	1		71	0	0.342719	0	[0.00,0.00]	1	1	0.1		1	1		
6	105	66	10	5.57522	2.03383	[1.01,4.12]	0.04488	1	0.1		0.962579	1		69	9	5.82864	1.68437	[0.81,3.50]	0.118423	1	0.1		0.884606	1		209	21	17.6549	1.2633	[0.76,2.09]	0.195166	1	0.1		0.725827	1		111	8	9.37651	0.828746	[0.39,1.75]	0.39152	1	0.1		0.132929	1		66	10	5.57522	2.03383	[1.01,4.12]	0.04488	1	0.1		0.962579	1		39	3	3.29445	0.900327	[0.27,2.97]	0.577996	1	0.1		0.232999	1		80	6	6.75784	0.871417	[0.37,2.05]	0.477616	1	0.1		0.163435	1		109	14	9.20756	1.68907	[0.93,3.08]	0.067879	1	0.1		0.930447	1		79	8	6.67337	1.23944	[0.58,2.65]	0.316041	1	0.1		0.600217	1		262	26	22.1319	1.25788	[0.79,2.00]	0.181869	1	0.1		0.740333	1		71	4	5.99759	0.633072	[0.23,1.77]	0.265815	1	0.1		0.133556	1		
7	32	66	1	1.69912	0.568734	[0.08,4.23]	0.484895	1	0.1		0.314333	1		69	2	1.77635	1.13831	[0.27,4.86]	0.436464	1	0.1		0.582762	1		209	5	5.38053	0.914125	[0.35,2.40]	0.543092	1	0.1		0.19005	1		111	1	2.8576	0.322874	[0.04,2.39]	0.203542	1	0.1		0.15538	1		66	1	1.69912	0.568734	[0.08,4.23]	0.484895	1	0.1		0.314333	1		39	1	1.00402	0.995756	[0.13,7.49]	0.73444	1	0.1		0.378596	1		80	1	2.05953	0.462229	[0.06,3.43]	0.377361	1	0.1		0.261659	1		109	1	2.80611	0.32945	[0.04,2.44]	0.212283	1	0.1		0.161281	1		79	2	2.03379	0.981818	[0.23,4.19]	0.667445	1	0.1		0.283014	1		262	5	6.74497	0.687419	[0.26,1.80]	0.302892	1	0.1		0.140865	1		71	2	1.82784	1.10338	[0.26,4.71]	0.429633	1	0.1		0.576898	1		
8	13	66	2	0.690265	3.3125	[0.72,15.26]	0.12077	1	0.1		0.972105	1		69	1	0.721641	1.42402	[0.18,11.11]	0.366045	1	0.1		0.84023	1		209	2	2.18584	0.898551	[0.20,4.08]	0.622374	1	0.1		0.292463	1		111	0	1.1609	0	[0.00,0.00]	1	1	0.1		1	1		66	2	0.690265	3.3125	[0.72,15.26]	0.12077	1	0.1		0.972105	1		39	1	0.407884	2.61404	[0.33,20.62]	0.280455	1	0.1		0.939827	1		80	3	0.836685	4.49221	[1.21,16.66]	0.0386674	1	0.1		0.992715	1		109	5	1.13998	6.76683	[2.17,21.06]	0.00303169	1	0.1		0.99959	1		79	1	0.826227	1.23077	[0.16,9.59]	0.378024	1	0.1		0.802059	1		262	3	2.74014	1.12471	[0.31,4.12]	0.457061	1	0.1		0.509613	1		71	4	0.742558	7.71476	[2.32,25.70]	0.00424831	1	0.1		0.999525	1		
9	28	66	4	1.48673	3.09946	[1.04,9.21]	0.0429711	1	0.1		0.986254	1		69	2	1.5543	1.31803	[0.31,5.67]	0.465729	1	0.1		0.601541	1		209	9	4.70796	2.40395	[1.07,5.39]	0.027113	1	0.1		0.982939	1		111	3	2.5004	1.23	[0.37,4.14]	0.497326	1	0.1		0.49477	1		66	4	1.48673	3.09946	[1.04,9.21]	0.0429711	1	0.1		0.986254	1		39	2	0.87852	2.44906	[0.56,10.71]	0.163842	1	0.1		0.945586	1		80	5	1.80209	3.30435	[1.22,8.94]	0.022578	1	0.1		0.992927	1		109	3	2.45535	1.25547	[0.37,4.23]	0.504648	1	0.1		0.495053	1		79	3	1.77957	1.79842	[0.53,6.09]	0.319991	1	0.1		0.747585	1		262	11	5.90185	2.48512	[1.15,5.37]	0.0239661	1	0.1		0.982351	1		71	2	1.59936	1.27759	[0.30,5.49]	0.459802	1	0.1		0.599014	1		
10	5	66	0	0.265487	0	[0.00,0.00]	1	1	0.1		1	1		69	0	0.277554	0	[0.00,0.00]	1	1	0.1		1	1		209	0	0.840708	0	[0.00,0.00]	1	1	0.1		1	1		111	0	0.4465	0	[0.00,0.00]	1	1	0.1		1	1		66	0	0.265487	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.156879	0	[0.00,0.00]	1	1	0.1		1	1		80	0	0.321802	0	[0.00,0.00]	1	1	0.1		1	1		109	0	0.438455	0	[0.00,0.00]	1	1	0.1		1	1		79	0	0.31778	0	[0.00,0.00]	1	1	0.1		1	1		262	0	1.0539	0	[0.00,0.00]	1	1	0.1		1	1		71	0	0.285599	0	[0.00,0.00]	1	1	0.1		1	1		
