C	Cn	DOID:0060041	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1059	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10652	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10763	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12849	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12858	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:14330	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1826	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:3312	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:5419	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:9255	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
1	96	26	3	2.00805	1.57644	[0.46,5.35]	0.311413	1	0.1		0.744199	1		44	1	3.39823	0.270257	[0.04,1.98]	0.131614	1	0.1		0.104342	1		29	1	2.23974	0.420677	[0.06,3.13]	0.329746	1	0.1		0.235207	1		13	0	1.00402	0	[0.00,0.00]	1	1	0.1		1	1		26	3	2.00805	1.57644	[0.46,5.35]	0.311413	1	0.1		0.744199	1		2	0	0.154465	0	[0.00,0.00]	1	1	0.1		1	1		21	2	1.62188	1.26316	[0.29,5.51]	0.456878	1	0.1		0.60066	1		38	2	2.93484	0.656619	[0.16,2.77]	0.426151	1	0.1		0.233572	1		44	3	3.39823	0.870181	[0.26,2.86]	0.55397	1	0.1		0.229488	1		103	7	7.95495	0.861072	[0.39,1.91]	0.448272	1	0.1		0.149486	1		11	0	0.849558	0	[0.00,0.00]	1	1	0.1		1	1		
2	12	26	0	0.251006	0	[0.00,0.00]	1	1	0.1		1	1		44	1	0.424779	2.51163	[0.32,19.90]	0.287834	1	0.1		0.935461	1		29	0	0.279968	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.125503	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.251006	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0193081	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.202735	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.366854	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.424779	0	[0.00,0.00]	1	1	0.1		1	1		103	0	0.994368	0	[0.00,0.00]	1	1	0.1		1	1		11	0	0.106195	0	[0.00,0.00]	1	1	0.1		1	1		
3	5	26	0	0.104586	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.176991	0	[0.00,0.00]	1	1	0.1		1	1		29	0	0.116653	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.0522928	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.104586	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.00804505	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.084473	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.152856	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.176991	0	[0.00,0.00]	1	1	0.1		1	1		103	0	0.41432	0	[0.00,0.00]	1	1	0.1		1	1		11	0	0.0442478	0	[0.00,0.00]	1	1	0.1		1	1		
4	31	26	0	0.648431	0	[0.00,0.00]	1	1	0.1		1	1		44	1	1.09735	0.906202	[0.12,6.80]	0.699112	1	0.1		0.376466	1		29	0	0.72325	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.324216	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.648431	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0498793	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.523733	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.947707	0	[0.00,0.00]	1	1	0.1		1	1		44	3	1.09735	3.0601	[0.89,10.48]	0.0719564	1	0.1		0.978608	1		103	2	2.56879	0.758621	[0.18,3.23]	0.518462	1	0.1		0.262038	1		11	0	0.274336	0	[0.00,0.00]	1	1	0.1		1	1		
5	6	26	0	0.125503	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.212389	0	[0.00,0.00]	1	1	0.1		1	1		29	0	0.139984	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.0627514	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.125503	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.00965406	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.101368	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.183427	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.212389	0	[0.00,0.00]	1	1	0.1		1	1		103	0	0.497184	0	[0.00,0.00]	1	1	0.1		1	1		11	0	0.0530973	0	[0.00,0.00]	1	1	0.1		1	1		
6	105	26	5	2.1963	2.65952	[0.98,7.20]	0.0435033	1	0.1		0.982079	1		44	2	3.71681	0.506704	[0.12,2.12]	0.264846	1	0.1		0.164876	1		29	2	2.44972	0.798993	[0.19,3.41]	0.550503	1	0.1		0.269695	1		13	1	1.09815	0.902244	[0.12,7.01]	0.698277	1	0.1		0.382637	1		26	5	2.1963	2.65952	[0.98,7.20]	0.0435033	1	0.1		0.982079	1		2	0	0.168946	0	[0.00,0.00]	1	1	0.1		1	1		21	1	1.77393	0.5375	[0.07,4.05]	0.458494	1	0.1		0.304237	1		38	8	3.20998	3.04605	[1.36,6.83]	0.00822652	1	0.1		0.996839	1		44	4	3.71681	1.08713	[0.38,3.10]	0.471211	1	0.1		0.423094	1		103	15	8.70072	1.98864	[1.10,3.58]	0.016613	1	0.1		0.985728	1		11	0	0.929204	0	[0.00,0.00]	1	1	0.1		1	1		
7	32	26	0	0.669348	0	[0.00,0.00]	1	1	0.1		1	1		44	1	1.13274	0.876219	[0.12,6.57]	0.685756	1	0.1		0.374823	1		29	0	0.746581	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.334674	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.669348	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0514883	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.540628	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.978278	0	[0.00,0.00]	1	1	0.1		1	1		44	1	1.13274	0.876219	[0.12,6.57]	0.685756	1	0.1		0.374823	1		103	1	2.65165	0.350727	[0.05,2.60]	0.240411	1	0.1		0.179885	1		11	0	0.283186	0	[0.00,0.00]	1	1	0.1		1	1		
8	13	26	0	0.271923	0	[0.00,0.00]	1	1	0.1		1	1		44	1	0.460177	2.30039	[0.29,18.10]	0.300928	1	0.1		0.925407	1		29	0	0.303298	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.135961	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.271923	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0209171	0	[0.00,0.00]	1	1	0.1		1	1		21	1	0.21963	5.04167	[0.63,40.65]	0.180595	1	0.1		0.981037	1		38	2	0.397426	6.0303	[1.29,28.21]	0.0513188	1	0.1		0.993895	1		44	0	0.460177	0	[0.00,0.00]	1	1	0.1		1	1		103	1	1.07723	0.921569	[0.12,7.16]	0.706348	1	0.1		0.383381	1		11	0	0.115044	0	[0.00,0.00]	1	1	0.1		1	1		
9	28	26	1	0.58568	1.76296	[0.23,13.49]	0.336252	1	0.1		0.885894	1		44	1	0.99115	1.00947	[0.13,7.60]	0.739319	1	0.1		0.378885	1		29	2	0.653258	3.38462	[0.76,14.99]	0.11156	1	0.1		0.974719	1		13	0	0.29284	0	[0.00,0.00]	1	1	0.1		1	1		26	1	0.58568	1.76296	[0.23,13.49]	0.336252	1	0.1		0.885894	1		2	0	0.0450523	0	[0.00,0.00]	1	1	0.1		1	1		21	1	0.473049	2.21296	[0.29,17.09]	0.303744	1	0.1		0.921047	1		38	0	0.855994	0	[0.00,0.00]	1	1	0.1		1	1		44	2	0.99115	2.14835	[0.49,9.35]	0.187505	1	0.1		0.926823	1		103	2	2.32019	0.848439	[0.20,3.63]	0.586352	1	0.1		0.276422	1		11	0	0.247788	0	[0.00,0.00]	1	1	0.1		1	1		
10	5	26	0	0.104586	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.176991	0	[0.00,0.00]	1	1	0.1		1	1		29	0	0.116653	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.0522928	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.104586	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.00804505	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.084473	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.152856	0	[0.00,0.00]	1	1	0.1		1	1		44	1	0.176991	6.94767	[0.76,63.48]	0.153697	1	0.1		0.988554	1		103	0	0.41432	0	[0.00,0.00]	1	1	0.1		1	1		11	0	0.0442478	0	[0.00,0.00]	1	1	0.1		1	1		
