ALG	Fn	DES	C	Mu
fc	GO.0007269	neurotransmitter_secretion	9	10
fc	GO.0016079	synaptic_vesicle_exocytosis	9	10
fc	GO.0016082	synaptic_vesicle_priming	9	6
fc	GO.0031629	synaptic_vesicle_fusion_to_presynaptic_a...	9	5
fc	GO.0099003	vesicle-mediated_transport_in_synapse	9	10
fc	GO.0099504	synaptic_vesicle_cycle	9	10
fc	GO.0099531	presynaptic_process_involved_in_chemical...	9	10
fc	GO.0099643	signal_release_from_synapse	9	10
lourvain	GO.0000165	MAPK_cascade	4	24
lourvain	GO.0050852	T_cell_receptor_signaling_pathway	8	9
lourvain	GO.0002218	activation_of_innate_immune_response	11	8
lourvain	GO.0002758	innate_immune_response-activating_signal...	11	8
lourvain	GO.0050852	T_cell_receptor_signaling_pathway	11	8
lourvain	GO.0048488	synaptic_vesicle_endocytosis	13	7
lourvain	GO.0007268	chemical_synaptic_transmission	17	17
lourvain	GO.0007269	neurotransmitter_secretion	17	12
lourvain	GO.0016079	synaptic_vesicle_exocytosis	17	11
lourvain	GO.0016082	synaptic_vesicle_priming	17	6
lourvain	GO.0031629	synaptic_vesicle_fusion_to_presynaptic_a...	17	5
lourvain	GO.0099003	vesicle-mediated_transport_in_synapse	17	12
lourvain	GO.0099504	synaptic_vesicle_cycle	17	11
lourvain	GO.0099531	presynaptic_process_involved_in_chemical...	17	12
lourvain	GO.0099536	synaptic_signaling	17	17
lourvain	GO.0099537	trans-synaptic_signaling	17	17
lourvain	GO.0099643	signal_release_from_synapse	17	12
infomap	GO.0007268	chemical_synaptic_transmission	1	15
infomap	GO.0060078	regulation_of_postsynaptic_membrane_pote...	1	7
infomap	GO.0099536	synaptic_signaling	1	15
infomap	GO.0099537	trans-synaptic_signaling	1	15
infomap	GO.0099565	chemical_synaptic_transmission,_postsyna...	1	7
infomap	GO.0048488	synaptic_vesicle_endocytosis	6	6
infomap	GO.0099003	vesicle-mediated_transport_in_synapse	6	7
infomap	GO.0099504	synaptic_vesicle_cycle	6	6
infomap	GO.0002218	activation_of_innate_immune_response	22	8
infomap	GO.0002757	immune_response-activating_signal_transd...	22	8
infomap	GO.0002758	innate_immune_response-activating_signal...	22	8
infomap	GO.0050852	T_cell_receptor_signaling_pathway	22	8
infomap	GO.0007269	neurotransmitter_secretion	28	7
infomap	GO.0016079	synaptic_vesicle_exocytosis	28	7
infomap	GO.0016082	synaptic_vesicle_priming	28	5
infomap	GO.0031629	synaptic_vesicle_fusion_to_presynaptic_a...	28	5
infomap	GO.0099003	vesicle-mediated_transport_in_synapse	28	7
infomap	GO.0099504	synaptic_vesicle_cycle	28	7
infomap	GO.0099531	presynaptic_process_involved_in_chemical...	28	7
infomap	GO.0099643	signal_release_from_synapse	28	7
sgG1	GO.0016079	synaptic_vesicle_exocytosis	2	8
sgG1	GO.0016082	synaptic_vesicle_priming	2	5
