alg	FN	CN	FNxCN	Psig	PALTsig	OR>1	ORsig	Psig&ORsig	PALTsig&ORsig	FEsig	Psig&ORsig&FEsig	EnrichedComs(%)	p.value
lourvain	62	18	1116	17	0	338	82	17	0	62	16	1.52329749103943	2.86842000837663e-20
lourvain_2	62	25	1550	20	0	426	121	20	0	187	19	1.29032258064516	4.40387527145069e-17
fc	62	16	992	8	0	279	66	8	0	49	8	0.806451612903226	2.27283917631942e-11
sgG2	62	47	2914	21	0	573	197	21	0	391	21	0.720658888126287	4.05723884978948e-19
fc_2	62	49	3038	17	0	571	190	17	0	366	15	0.559578670177749	1.58250289377463e-12
Geodesicdiff	61.0882352941176	68	4154	15	0	545	196	15	0	414	15	0.361097737120847	8.41084510438525e-16
sgG1	62	27	1674	6	0	364	99	6	0	118	6	0.3584229390681	1.1359123800728e-07
Spectral_5_2	62	16	992	3	0	349	60	3	0	40	3	0.30241935483871	6.20297386137133e-05
infomap	62	134	8308	20	0	889	358	20	0	685	10	0.240731824747232	1.1998153323754e-06
sgG5	62	91	5642	13	0	860	298	13	0	860	9	0.230414746543779	1.75700391242294e-05
sgG1_2	62	36	2232	5	0	458	138	5	0	225	5	0.224014336917563	1.02262455334294e-05
Spectral_0.5	62	67	4154	8	0	739	222	8	0	637	8	0.192585459797785	3.03785325733513e-07
Spectral_2.5	62	18	1116	1	0	359	73	1	0	92	0	0.0896057347670251	1
wt	62	171	10602	9	0	552	250	9	0	174	0	0.0848896434634974	1
Spectral_1.5	62	38	2356	1	0	628	156	1	0	498	1	0.0424448217317487	0.211554800339847
Spectral_1.25	62	41	2542	1	0	654	162	1	0	531	1	0.03933910306845	0.209055118110236
Spectral_1	62	50	3100	1	0	694	187	1	0	624	1	0.032258064516129	0.201420271142673
Spectral	62	281	17422	5	0	572	239	5	0	257	1	0.0286993456549191	0.0716290864717433
lec	62	25	1550	0	0	330	57	0	0	92	0	0	1
Spectral_5	62	12	744	0	0	285	49	0	0	23	0	0	1
Spectral_2.5_2	62	24	1488	0	0	469	100	0	0	143	0	0	1
