Alg	FacComsEnriched_log2(FE)>0.5_log2(FE)<4.8	FacComsEnriched_log2(FE)>4.8_log2(FE)<8.0
Spectral_1	0.916666666666667	0
Spectral_1.25	0.884955752212389	0
Spectral_1.5	0.873873873873874	0
sgG5	0.863387978142076	0.136612021857924
fc_2	0.828571428571429	0.0785714285714286
sgG2	0.734375	0.1640625
sgG1_2	0.701754385964912	0.192982456140351
Geodesicdiff	0.698529411764706	0.117647058823529
lourvain_2	0.673469387755102	0
infomap	0.651376146788991	0.334862385321101
sgG1	0.493333333333333	0.133333333333333
lec	0.488888888888889	0.0444444444444444
lourvain	0.407894736842105	0
Spectral	0.331034482758621	0.524137931034483
wt	0.324175824175824	0.516483516483517
fc	0.293103448275862	0
