ALG	Fn	DES	C	Mu
fc	GO.0000165	MAPK_cascade	2	25
fc	GO.0050808	synapse_organization	4	7
fc	GO.0050804	modulation_of_chemical_synaptic_transmis...	5	10
fc	GO.0099003	vesicle-mediated_transport_in_synapse	5	7
fc	GO.0099504	synaptic_vesicle_cycle	5	7
fc	GO.0000165	MAPK_cascade	6	35
fc	GO.0002431	Fc_receptor_mediated_stimulatory_signali...	7	4
fc	GO.0007268	chemical_synaptic_transmission	9	15
fc	GO.0007269	neurotransmitter_secretion	9	10
fc	GO.0016079	synaptic_vesicle_exocytosis	9	10
fc	GO.0016082	synaptic_vesicle_priming	9	6
fc	GO.0031629	synaptic_vesicle_fusion_to_presynaptic_a...	9	5
fc	GO.0050804	modulation_of_chemical_synaptic_transmis...	9	9
fc	GO.0099003	vesicle-mediated_transport_in_synapse	9	10
fc	GO.0099504	synaptic_vesicle_cycle	9	10
fc	GO.0099531	presynaptic_process_involved_in_chemical...	9	10
fc	GO.0099536	synaptic_signaling	9	15
fc	GO.0099537	trans-synaptic_signaling	9	15
fc	GO.0099643	signal_release_from_synapse	9	10
fc	GO.0009755	hormone-mediated_signaling_pathway	14	2
fc	GO.0010737	protein_kinase_A_signaling	15	1
fc	GO.0070528	protein_kinase_C_signaling	15	1
lourvain	GO.0046058	cAMP_metabolic_process	2	3
lourvain	GO.0000165	MAPK_cascade	4	24
lourvain	GO.0050804	modulation_of_chemical_synaptic_transmis...	4	11
lourvain	GO.0051403	stress-activated_MAPK_cascade	4	10
lourvain	GO.0055074	calcium_ion_homeostasis	4	10
lourvain	GO.0000165	MAPK_cascade	5	9
lourvain	GO.0002218	activation_of_innate_immune_response	5	4
lourvain	GO.0002224	toll-like_receptor_signaling_pathway	5	2
lourvain	GO.0002758	innate_immune_response-activating_signal...	5	4
lourvain	GO.0051403	stress-activated_MAPK_cascade	5	5
lourvain	GO.0007268	chemical_synaptic_transmission	6	23
lourvain	GO.0099536	synaptic_signaling	6	23
lourvain	GO.0099537	trans-synaptic_signaling	6	23
lourvain	GO.0042552	myelination	7	4
lourvain	GO.0043491	protein_kinase_B_signaling	7	5
lourvain	GO.0000165	MAPK_cascade	8	12
lourvain	GO.0002218	activation_of_innate_immune_response	8	9
lourvain	GO.0002757	immune_response-activating_signal_transd...	8	10
lourvain	GO.0002758	innate_immune_response-activating_signal...	8	9
lourvain	GO.0007212	dopamine_receptor_signaling_pathway	8	4
lourvain	GO.0050852	T_cell_receptor_signaling_pathway	8	9
lourvain	GO.0031929	TOR_signaling	9	2
lourvain	GO.0000165	MAPK_cascade	11	9
lourvain	GO.0002218	activation_of_innate_immune_response	11	8
lourvain	GO.0002757	immune_response-activating_signal_transd...	11	8
lourvain	GO.0002758	innate_immune_response-activating_signal...	11	8
lourvain	GO.0050852	T_cell_receptor_signaling_pathway	11	8
lourvain	GO.0086065	cell_communication_involved_in_cardiac_c...	11	2
lourvain	GO.0048488	synaptic_vesicle_endocytosis	13	7
lourvain	GO.0099003	vesicle-mediated_transport_in_synapse	13	8
lourvain	GO.0099504	synaptic_vesicle_cycle	13	7
lourvain	GO.0000165	MAPK_cascade	16	13
lourvain	GO.0007411	axon_guidance	16	8
lourvain	GO.0051591	response_to_cAMP	16	3
lourvain	GO.0001504	neurotransmitter_uptake	17	3
lourvain	GO.0007268	chemical_synaptic_transmission	17	17
lourvain	GO.0007269	neurotransmitter_secretion	17	12
lourvain	GO.0016079	synaptic_vesicle_exocytosis	17	11
lourvain	GO.0016082	synaptic_vesicle_priming	17	6
lourvain	GO.0031629	synaptic_vesicle_fusion_to_presynaptic_a...	17	5
lourvain	GO.0050804	modulation_of_chemical_synaptic_transmis...	17	10
lourvain	GO.0060078	regulation_of_postsynaptic_membrane_pote...	17	3
lourvain	GO.0098693	regulation_of_synaptic_vesicle_cycle	17	3
lourvain	GO.0098877	neurotransmitter_receptor_transport_to_p...	17	3
lourvain	GO.0099003	vesicle-mediated_transport_in_synapse	17	12
lourvain	GO.0099072	regulation_of_postsynaptic_membrane_neur...	17	3
lourvain	GO.0099504	synaptic_vesicle_cycle	17	11
lourvain	GO.0099531	presynaptic_process_involved_in_chemical...	17	12
lourvain	GO.0099536	synaptic_signaling	17	17
lourvain	GO.0099537	trans-synaptic_signaling	17	17
lourvain	GO.0099565	chemical_synaptic_transmission,_postsyna...	17	3
lourvain	GO.0099637	neurotransmitter_receptor_transport	17	3
lourvain	GO.0099643	signal_release_from_synapse	17	12
lourvain	GO.2000300	regulation_of_synaptic_vesicle_exocytosi...	17	3
lec	GO.0002218	activation_of_innate_immune_response	3	8
lec	GO.0002757	immune_response-activating_signal_transd...	3	8
lec	GO.0002758	innate_immune_response-activating_signal...	3	8
lec	GO.0050852	T_cell_receptor_signaling_pathway	3	7
lec	GO.0009755	hormone-mediated_signaling_pathway	9	1
lec	GO.0009755	hormone-mediated_signaling_pathway	13	2
lec	GO.0050807	regulation_of_synapse_organization	19	3
lec	GO.0050808	synapse_organization	19	5
lec	GO.0000165	MAPK_cascade	20	13
lec	GO.0050853	B_cell_receptor_signaling_pathway	20	3
lec	GO.0051403	stress-activated_MAPK_cascade	20	7
lec	GO.0048791	calcium_ion-regulated_exocytosis_of_neur...	21	1
lec	GO.0001504	neurotransmitter_uptake	22	2
lec	GO.0007268	chemical_synaptic_transmission	22	5
lec	GO.0007269	neurotransmitter_secretion	22	3
lec	GO.0016079	synaptic_vesicle_exocytosis	22	3
lec	GO.0016082	synaptic_vesicle_priming	22	2
lec	GO.0031629	synaptic_vesicle_fusion_to_presynaptic_a...	22	2
lec	GO.0070528	protein_kinase_C_signaling	22	1
