C	Cn	DOID:0060041	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1059	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10652	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10763	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12849	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12858	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:14330	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1826	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:3312	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:5419	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:9255	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
2	106	26	6	2.21543	3.354	[1.32,8.54]	0.0141345	1	0.1		0.995479	1		44	5	3.7492	1.39502	[0.54,3.62]	0.250778	1	0.1		0.737729	1		29	1	2.47106	0.377551	[0.05,2.80]	0.276176	1	0.1		0.202908	1		13	1	1.10772	0.893651	[0.12,6.94]	0.694586	1	0.1		0.382244	1		26	6	2.21543	3.354	[1.32,8.54]	0.0141345	1	0.1		0.995479	1		2	1	0.170418	10.8286	[0.67,174.38]	0.156022	1	0.1		0.992802	1		21	1	1.78939	0.532381	[0.07,4.01]	0.453603	1	0.1		0.30195	1		38	7	3.23794	2.52493	[1.08,5.88]	0.0249147	1	0.1		0.988015	1		44	4	3.7492	1.07647	[0.38,3.07]	0.466152	1	0.1		0.422025	1		103	13	8.77653	1.62772	[0.88,3.02]	0.0906407	1	0.1		0.904769	1		11	0	0.937299	0	[0.00,0.00]	1	1	0.1		1	1		
3	20	26	0	0.418006	0	[0.00,0.00]	1	1	0.1		1	1		44	2	0.707395	3.12698	[0.70,13.92]	0.124614	1	0.1		0.969089	1		29	0	0.466238	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.209003	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.418006	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0321543	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.337621	0	[0.00,0.00]	1	1	0.1		1	1		38	1	0.610932	1.68848	[0.22,12.95]	0.342601	1	0.1		0.87769	1		44	0	0.707395	0	[0.00,0.00]	1	1	0.1		1	1		103	1	1.65595	0.578947	[0.08,4.37]	0.496545	1	0.1		0.321459	1		11	0	0.176849	0	[0.00,0.00]	1	1	0.1		1	1		
4	28	26	0	0.585209	0	[0.00,0.00]	1	1	0.1		1	1		44	1	0.990354	1.01034	[0.13,7.61]	0.73962	1	0.1		0.378882	1		29	1	0.652733	1.57143	[0.21,11.98]	0.350515	1	0.1		0.863339	1		13	1	0.292605	3.71605	[0.47,29.61]	0.224551	1	0.1		0.967297	1		26	0	0.585209	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0450161	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.472669	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.855305	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.990354	0	[0.00,0.00]	1	1	0.1		1	1		103	0	2.31833	0	[0.00,0.00]	1	1	0.1		1	1		11	0	0.247588	0	[0.00,0.00]	1	1	0.1		1	1		
5	22	26	1	0.459807	2.28	[0.30,17.62]	0.299056	1	0.1		0.924877	1		44	3	0.778135	4.54814	[1.29,15.98]	0.033496	1	0.1		0.993742	1		29	1	0.512862	2.03061	[0.26,15.63]	0.316591	1	0.1		0.909082	1		13	0	0.229904	0	[0.00,0.00]	1	1	0.1		1	1		26	1	0.459807	2.28	[0.30,17.62]	0.299056	1	0.1		0.924877	1		2	0	0.0353698	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.371383	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.672026	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.778135	0	[0.00,0.00]	1	1	0.1		1	1		103	0	1.82154	0	[0.00,0.00]	1	1	0.1		1	1		11	0	0.194534	0	[0.00,0.00]	1	1	0.1		1	1		
6	20	26	0	0.418006	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.707395	0	[0.00,0.00]	1	1	0.1		1	1		29	3	0.466238	8.13122	[2.24,29.46]	0.00905858	1	0.1		0.999107	1		13	0	0.209003	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.418006	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0321543	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.337621	0	[0.00,0.00]	1	1	0.1		1	1		38	1	0.610932	1.68848	[0.22,12.95]	0.342601	1	0.1		0.87769	1		44	0	0.707395	0	[0.00,0.00]	1	1	0.1		1	1		103	3	1.65595	1.98353	[0.57,6.88]	0.149546	1	0.1		0.923468	1		11	0	0.176849	0	[0.00,0.00]	1	1	0.1		1	1		
7	18	26	0	0.376206	0	[0.00,0.00]	1	1	0.1		1	1		44	1	0.636656	1.61833	[0.21,12.44]	0.348545	1	0.1		0.869162	1		29	1	0.419614	2.51681	[0.32,19.58]	0.28414	1	0.1		0.936247	1		13	1	0.188103	5.95098	[0.73,48.38]	0.159333	1	0.1		0.985958	1		26	0	0.376206	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0289389	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.303859	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.549839	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.636656	0	[0.00,0.00]	1	1	0.1		1	1		103	2	1.49035	1.39233	[0.32,6.14]	0.473978	1	0.1		0.609516	1		11	0	0.159164	0	[0.00,0.00]	1	1	0.1		1	1		
8	128	26	2	2.67524	0.722222	[0.17,3.09]	0.489085	1	0.1		0.255614	1		44	6	4.52733	1.39517	[0.58,3.37]	0.287885	1	0.1		0.691137	1		29	4	2.98392	1.40774	[0.48,4.11]	0.360448	1	0.1		0.647638	1		13	1	1.33762	0.724409	[0.09,5.62]	0.606766	1	0.1		0.364761	1		26	2	2.67524	0.722222	[0.17,3.09]	0.489085	1	0.1		0.255614	1		2	0	0.205788	0	[0.00,0.00]	1	1	0.1		1	1		21	2	2.16077	0.916458	[0.21,3.98]	0.630947	1	0.1		0.284727	1		38	6	3.90997	1.66598	[0.68,4.06]	0.18504	1	0.1		0.829942	1		44	7	4.52733	1.68707	[0.74,3.87]	0.132237	1	0.1		0.877985	1		103	19	10.5981	2.14155	[1.25,3.66]	0.00722282	1	0.1		0.993717	1		11	1	1.13183	0.870866	[0.11,6.86]	0.684978	1	0.1		0.383631	1		
9	21	26	1	0.438907	2.396	[0.31,18.56]	0.291419	1	0.1		0.930834	1		44	1	0.742765	1.37209	[0.18,10.46]	0.3653	1	0.1		0.831808	1		29	0	0.48955	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.219453	0	[0.00,0.00]	1	1	0.1		1	1		26	1	0.438907	2.396	[0.31,18.56]	0.291419	1	0.1		0.930834	1		2	0	0.0337621	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.354502	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.641479	0	[0.00,0.00]	1	1	0.1		1	1		44	1	0.742765	1.37209	[0.18,10.46]	0.3653	1	0.1		0.831808	1		103	2	1.73875	1.16936	[0.27,5.09]	0.441629	1	0.1		0.590681	1		11	0	0.185691	0	[0.00,0.00]	1	1	0.1		1	1		
10	9	26	1	0.188103	6.05	[0.73,50.22]	0.15981	1	0.1		0.986176	1		44	0	0.318328	0	[0.00,0.00]	1	1	0.1		1	1		29	0	0.209807	0	[0.00,0.00]	1	1	0.1		1	1		13	1	0.0940514	12.7396	[1.48,109.94]	0.0870092	1	0.1		0.996516	1		26	1	0.188103	6.05	[0.73,50.22]	0.15981	1	0.1		0.986176	1		2	0	0.0144695	0	[0.00,0.00]	1	1	0.1		1	1		21	1	0.151929	7.59375	[0.91,63.60]	0.13339	1	0.1		0.990897	1		38	0	0.27492	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.318328	0	[0.00,0.00]	1	1	0.1		1	1		103	0	0.745177	0	[0.00,0.00]	1	1	0.1		1	1		11	0	0.079582	0	[0.00,0.00]	1	1	0.1		1	1		
11	23	26	1	0.480707	2.17455	[0.28,16.77]	0.306253	1	0.1		0.918759	1		44	0	0.813505	0	[0.00,0.00]	1	1	0.1		1	1		29	0	0.536174	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.240354	0	[0.00,0.00]	1	1	0.1		1	1		26	1	0.480707	2.17455	[0.28,16.77]	0.306253	1	0.1		0.918759	1		2	0	0.0369775	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.388264	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.702572	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.813505	0	[0.00,0.00]	1	1	0.1		1	1		103	0	1.90434	0	[0.00,0.00]	1	1	0.1		1	1		11	0	0.203376	0	[0.00,0.00]	1	1	0.1		1	1		
