C	Cn	DOID:0060041	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1059	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10652	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10763	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12849	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12858	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:14330	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1826	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:3312	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:5419	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:9255	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
1	22	66	0	1.16814	0	[0.00,0.00]	1	1	0.1		1	1		69	0	1.22124	0	[0.00,0.00]	1	1	0.1		1	1		209	3	3.69912	0.777976	[0.23,2.65]	0.479776	1	0.1		0.222921	1		111	3	1.9646	1.62719	[0.47,5.59]	0.312278	1	0.1		0.748748	1		66	0	1.16814	0	[0.00,0.00]	1	1	0.1		1	1		39	1	0.690265	1.48246	[0.19,11.31]	0.357499	1	0.1		0.850415	1		80	0	1.41593	0	[0.00,0.00]	1	1	0.1		1	1		109	1	1.9292	0.490741	[0.07,3.68]	0.411344	1	0.1		0.280946	1		79	1	1.39823	0.697802	[0.09,5.26]	0.586886	1	0.1		0.354047	1		262	2	4.63717	0.369615	[0.09,1.59]	0.125604	1	0.1		0.0891397	1		71	1	1.25664	0.782993	[0.10,5.91]	0.638953	1	0.1		0.367875	1		
2	22	66	0	1.16814	0	[0.00,0.00]	1	1	0.1		1	1		69	3	1.22124	2.76316	[0.80,9.57]	0.0886889	1	0.1		0.970217	1		209	0	3.69912	0	[0.00,0.00]	1	1	0.1		1	1		111	0	1.9646	0	[0.00,0.00]	1	1	0.1		1	1		66	0	1.16814	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.690265	0	[0.00,0.00]	1	1	0.1		1	1		80	0	1.41593	0	[0.00,0.00]	1	1	0.1		1	1		109	1	1.9292	0.490741	[0.07,3.68]	0.411344	1	0.1		0.280946	1		79	0	1.39823	0	[0.00,0.00]	1	1	0.1		1	1		262	3	4.63717	0.586466	[0.17,2.00]	0.286216	1	0.1		0.160612	1		71	0	1.25664	0	[0.00,0.00]	1	1	0.1		1	1		
3	35	66	1	1.85841	0.517195	[0.07,3.84]	0.435465	1	0.1		0.291319	1		69	1	1.94288	0.49308	[0.07,3.66]	0.410556	1	0.1		0.278901	1		209	5	5.88496	0.820261	[0.31,2.14]	0.449041	1	0.1		0.176071	1		111	9	3.1255	3.75339	[1.71,8.23]	0.00194934	1	0.1		0.999416	1		66	1	1.85841	0.517195	[0.07,3.84]	0.435465	1	0.1		0.291319	1		39	0	1.09815	0	[0.00,0.00]	1	1	0.1		1	1		80	2	2.25261	0.878011	[0.21,3.73]	0.605719	1	0.1		0.277768	1		109	6	3.06919	2.21962	[0.90,5.47]	0.0890571	1	0.1		0.933516	1		79	0	2.22446	0	[0.00,0.00]	1	1	0.1		1	1		262	6	7.37731	0.769397	[0.32,1.87]	0.3693	1	0.1		0.149753	1		71	1	1.9992	0.478151	[0.06,3.54]	0.394515	1	0.1		0.270596	1		
4	73	66	10	3.87611	3.1576	[1.54,6.48]	0.00277148	1	0.1		0.998942	1		69	8	4.05229	2.23758	[1.03,4.87]	0.041191	1	0.1		0.970115	1		209	13	12.2743	1.0767	[0.58,2.00]	0.412928	1	0.1		0.372228	1		111	2	6.51891	0.274196	[0.07,1.13]	0.0324166	1	0.1		0.0248789	1		66	10	3.87611	3.1576	[1.54,6.48]	0.00277148	1	0.1		0.998942	1		39	4	2.29043	1.87992	[0.65,5.44]	0.209119	1	0.1		0.835736	1		80	6	4.69831	1.32634	[0.56,3.16]	0.279681	1	0.1		0.680989	1		109	12	6.40145	2.1761	[1.13,4.18]	0.0210146	1	0.1		0.983165	1		79	7	4.63958	1.61742	[0.72,3.65]	0.134748	1	0.1		0.86994	1		262	22	15.387	1.67157	[0.99,2.81]	0.0342262	1	0.1		0.962992	1		71	3	4.16975	0.694538	[0.21,2.26]	0.388102	1	0.1		0.190972	1		
5	22	66	1	1.16814	0.846886	[0.11,6.39]	0.672182	1	0.1		0.374236	1		69	2	1.22124	1.72239	[0.39,7.52]	0.229334	1	0.1		0.881528	1		209	4	3.69912	1.10136	[0.37,3.29]	0.471548	1	0.1		0.437614	1		111	3	1.9646	1.62719	[0.47,5.59]	0.312278	1	0.1		0.748748	1		66	1	1.16814	0.846886	[0.11,6.39]	0.672182	1	0.1		0.374236	1		39	2	0.690265	3.2	[0.72,14.20]	0.120475	1	0.1		0.970889	1		80	2	1.41593	1.46538	[0.34,6.38]	0.483936	1	0.1		0.607557	1		109	2	1.9292	1.04112	[0.24,4.51]	0.697334	1	0.1		0.28599	1		79	3	1.39823	2.37881	[0.69,8.22]	0.113635	1	0.1		0.953986	1		262	8	4.63717	2.17548	[0.90,5.24]	0.0811423	1	0.1		0.936842	1		71	2	1.25664	1.66957	[0.38,7.29]	0.234712	1	0.1		0.873665	1		
6	21	66	1	1.11504	0.89	[0.12,6.74]	0.692251	1	0.1		0.377294	1		69	0	1.16573	0	[0.00,0.00]	1	1	0.1		1	1		209	5	3.53097	1.55944	[0.56,4.30]	0.252312	1	0.1		0.766587	1		111	1	1.8753	0.505455	[0.07,3.80]	0.427007	1	0.1		0.289095	1		66	1	1.11504	0.89	[0.12,6.74]	0.692251	1	0.1		0.377294	1		39	0	0.65889	0	[0.00,0.00]	1	1	0.1		1	1		80	0	1.35157	0	[0.00,0.00]	1	1	0.1		1	1		109	1	1.84151	0.515741	[0.07,3.88]	0.437343	1	0.1		0.294175	1		79	4	1.33467	3.59843	[1.18,10.96]	0.0312027	1	0.1		0.991697	1		262	7	4.42639	1.89608	[0.76,4.75]	0.122424	1	0.1		0.900307	1		71	2	1.19952	1.75896	[0.40,7.71]	0.226144	1	0.1		0.886434	1		
7	24	66	0	1.27434	0	[0.00,0.00]	1	1	0.1		1	1		69	3	1.33226	2.49567	[0.73,8.58]	0.104297	1	0.1		0.960204	1		209	1	4.0354	0.211329	[0.03,1.57]	0.0686704	1	0.1		0.0571513	1		111	1	2.1432	0.43834	[0.06,3.28]	0.352517	1	0.1		0.248901	1		66	0	1.27434	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.753017	0	[0.00,0.00]	1	1	0.1		1	1		80	1	1.54465	0.627408	[0.08,4.71]	0.535429	1	0.1		0.335955	1		109	3	2.10459	1.5	[0.44,5.11]	0.30866	1	0.1		0.739575	1		79	2	1.52534	1.34829	[0.31,5.84]	0.469508	1	0.1		0.604278	1		262	4	5.05873	0.744961	[0.25,2.20]	0.406617	1	0.1		0.185364	1		71	0	1.37088	0	[0.00,0.00]	1	1	0.1		1	1		
8	16	66	1	0.849558	1.19179	[0.16,9.16]	0.377548	1	0.1		0.792993	1		69	2	0.888174	2.47335	[0.55,11.11]	0.16698	1	0.1		0.945495	1		209	3	2.69027	1.14376	[0.32,4.05]	0.46552	1	0.1		0.503531	1		111	4	1.4288	3.4891	[1.11,11.01]	0.0370639	1	0.1		0.98982	1		66	1	0.849558	1.19179	[0.16,9.16]	0.377548	1	0.1		0.792993	1		39	1	0.502011	2.08596	[0.27,16.20]	0.314137	1	0.1		0.912708	1		80	1	1.02977	0.968776	[0.13,7.43]	0.724661	1	0.1		0.382029	1		109	1	1.40306	0.690741	[0.09,5.28]	0.583709	1	0.1		0.355567	1		79	0	1.01689	0	[0.00,0.00]	1	1	0.1		1	1		262	2	3.37249	0.531319	[0.12,2.35]	0.311761	1	0.1		0.193902	1		71	1	0.913918	1.1019	[0.14,8.46]	0.380879	1	0.1		0.768798	1		
9	18	66	2	0.955752	2.26758	[0.51,10.08]	0.181271	1	0.1		0.934122	1		69	1	0.999195	1.00087	[0.13,7.63]	0.736325	1	0.1		0.381207	1		209	4	3.02655	1.4216	[0.46,4.36]	0.353744	1	0.1		0.661899	1		111	1	1.6074	0.596257	[0.08,4.52]	0.512113	1	0.1		0.328687	1		66	2	0.955752	2.26758	[0.51,10.08]	0.181271	1	0.1		0.934122	1		39	0	0.564763	0	[0.00,0.00]	1	1	0.1		1	1		80	3	1.15849	2.98182	[0.85,10.52]	0.0798092	1	0.1		0.975645	1		109	2	1.57844	1.30607	[0.30,5.76]	0.46255	1	0.1		0.605825	1		79	2	1.14401	1.86364	[0.42,8.25]	0.21773	1	0.1		0.898829	1		262	4	3.79405	1.07087	[0.35,3.28]	0.675656	1	0.1		0.22134	1		71	0	1.02816	0	[0.00,0.00]	1	1	0.1		1	1		
10	58	66	2	3.07965	0.625558	[0.15,2.62]	0.393655	1	0.1		0.220885	1		69	4	3.21963	1.27635	[0.45,3.63]	0.34298	1	0.1		0.630922	1		209	5	9.75221	0.453663	[0.18,1.15]	0.0555106	1	0.1		0.0338035	1		111	2	5.1794	0.352556	[0.08,1.46]	0.0940361	1	0.1		0.0671431	1		66	2	3.07965	0.625558	[0.15,2.62]	0.393655	1	0.1		0.220885	1		39	1	1.81979	0.529548	[0.07,3.93]	0.447465	1	0.1		0.29691	1		80	3	3.7329	0.784888	[0.24,2.57]	0.47881	1	0.1		0.21526	1		109	4	5.08608	0.761905	[0.27,2.15]	0.412572	1	0.1		0.178961	1		79	2	3.68624	0.513915	[0.12,2.15]	0.271622	1	0.1		0.167788	1		262	9	12.2253	0.676615	[0.33,1.40]	0.185876	1	0.1		0.0796863	1		71	1	3.31295	0.279449	[0.04,2.05]	0.142499	1	0.1		0.112136	1		
