C	Cn	DOID:0060041	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1059	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10652	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10763	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12849	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12858	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:14330	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1826	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:3312	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:5419	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:9255	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
1	3	66	0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1		69	0	0.166533	0	[0.00,0.00]	1	1	0.1		1	1		209	0	0.504425	0	[0.00,0.00]	1	1	0.1		1	1		111	0	0.2679	0	[0.00,0.00]	1	1	0.1		1	1		66	0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.0941271	0	[0.00,0.00]	1	1	0.1		1	1		80	0	0.193081	0	[0.00,0.00]	1	1	0.1		1	1		109	0	0.263073	0	[0.00,0.00]	1	1	0.1		1	1		79	0	0.190668	0	[0.00,0.00]	1	1	0.1		1	1		262	1	0.632341	1.87548	[0.17,20.76]	0.394415	1	0.1		0.885677	1		71	0	0.17136	0	[0.00,0.00]	1	1	0.1		1	1		
2	58	66	3	3.07965	0.971429	[0.30,3.19]	0.628846	1	0.1		0.23519	1		69	6	3.21963	2.05495	[0.85,4.97]	0.0932341	1	0.1		0.929293	1		209	8	9.75221	0.783284	[0.37,1.68]	0.337235	1	0.1		0.124534	1		111	6	5.1794	1.18681	[0.50,2.83]	0.383131	1	0.1		0.524128	1		66	3	3.07965	0.971429	[0.30,3.19]	0.628846	1	0.1		0.23519	1		39	1	1.81979	0.529548	[0.07,3.93]	0.447465	1	0.1		0.29691	1		80	5	3.7329	1.39623	[0.54,3.60]	0.251703	1	0.1		0.736542	1		109	6	5.08608	1.2121	[0.51,2.89]	0.393007	1	0.1		0.526092	1		79	4	3.68624	1.0963	[0.39,3.11]	0.476351	1	0.1		0.422193	1		262	10	12.2253	0.771329	[0.38,1.55]	0.291757	1	0.1		0.105881	1		71	1	3.31295	0.279449	[0.04,2.05]	0.142499	1	0.1		0.112136	1		
3	44	66	0	2.33628	0	[0.00,0.00]	1	1	0.1		1	1		69	3	2.44248	1.2561	[0.38,4.16]	0.507346	1	0.1		0.490514	1		209	3	7.39823	0.352711	[0.11,1.15]	0.0451483	1	0.1		0.0316419	1		111	3	3.9292	0.73916	[0.23,2.43]	0.435591	1	0.1		0.205669	1		66	0	2.33628	0	[0.00,0.00]	1	1	0.1		1	1		39	1	1.38053	0.710526	[0.10,5.30]	0.59426	1	0.1		0.354449	1		80	0	2.83186	0	[0.00,0.00]	1	1	0.1		1	1		109	2	3.85841	0.485981	[0.12,2.04]	0.241143	1	0.1		0.152887	1		79	1	2.79646	0.334228	[0.05,2.46]	0.216312	1	0.1		0.163564	1		262	5	9.27434	0.469919	[0.18,1.20]	0.0713055	1	0.1		0.0427618	1		71	1	2.51327	0.375083	[0.05,2.76]	0.270127	1	0.1		0.19842	1		
4	87	66	8	4.61947	1.91707	[0.88,4.16]	0.0933141	1	0.1		0.918816	1		69	5	4.82944	1.0404	[0.41,2.66]	0.459107	1	0.1		0.376225	1		209	13	14.6283	0.860452	[0.47,1.58]	0.378481	1	0.1		0.109187	1		111	10	7.76911	1.35656	[0.68,2.70]	0.288639	1	0.1		0.665298	1		66	8	4.61947	1.91707	[0.88,4.16]	0.0933141	1	0.1		0.918816	1		39	1	2.72969	0.342105	[0.05,2.52]	0.227457	1	0.1		0.171085	1		80	6	5.59936	1.08308	[0.46,2.56]	0.495717	1	0.1		0.349973	1		109	14	7.62912	2.14189	[1.16,3.94]	0.0115653	1	0.1		0.991127	1		79	6	5.52936	1.09893	[0.46,2.60]	0.505959	1	0.1		0.350519	1		262	21	18.3379	1.20803	[0.72,2.01]	0.302666	1	0.1		0.584903	1		71	4	4.96943	0.783312	[0.28,2.20]	0.434783	1	0.1		0.183668	1		
5	64	66	5	3.39823	1.55321	[0.60,4.01]	0.263647	1	0.1		0.749127	1		69	6	3.5527	1.83251	[0.76,4.41]	0.102958	1	0.1		0.917785	1		209	14	10.7611	1.41292	[0.77,2.61]	0.198582	1	0.1		0.768241	1		111	5	5.71521	0.857851	[0.34,2.18]	0.483914	1	0.1		0.177254	1		66	5	3.39823	1.55321	[0.60,4.01]	0.263647	1	0.1		0.749127	1		39	5	2.00805	2.85394	[1.08,7.56]	0.0332436	1	0.1		0.987441	1		80	4	4.11907	0.967544	[0.34,2.73]	0.604618	1	0.1		0.206593	1		109	7	5.61223	1.2967	[0.58,2.92]	0.304774	1	0.1		0.639525	1		79	8	4.06758	2.22938	[1.02,4.86]	0.0413958	1	0.1		0.970007	1		262	22	13.4899	2.0494	[1.20,3.50]	0.00762859	1	0.1		0.993273	1		71	4	3.65567	1.10647	[0.39,3.14]	0.481196	1	0.1		0.42278	1		
6	51	66	3	2.70796	1.12004	[0.34,3.70]	0.464898	1	0.1		0.483327	1		69	3	2.83105	1.06629	[0.32,3.51]	0.445717	1	0.1		0.476364	1		209	10	8.57522	1.21706	[0.60,2.47]	0.342002	1	0.1		0.55641	1		111	4	4.5543	0.862995	[0.31,2.44]	0.515028	1	0.1		0.199156	1		66	3	2.70796	1.12004	[0.34,3.70]	0.464898	1	0.1		0.483327	1		39	3	1.60016	2.00694	[0.60,6.75]	0.14092	1	0.1		0.928351	1		80	4	3.28238	1.24972	[0.44,3.56]	0.33806	1	0.1		0.62751	1		109	5	4.47224	1.13712	[0.44,2.92]	0.51299	1	0.1		0.384008	1		79	2	3.24135	0.591042	[0.14,2.48]	0.357732	1	0.1		0.206794	1		262	9	10.7498	0.795313	[0.38,1.66]	0.340259	1	0.1		0.121515	1		71	6	2.91311	2.31179	[0.95,5.62]	0.0429137	1	0.1		0.977449	1		
7	43	66	1	2.28319	0.415751	[0.06,3.07]	0.321466	1	0.1		0.22963	1		69	1	2.38697	0.396359	[0.05,2.92]	0.29738	1	0.1		0.215254	1		209	2	7.23009	0.234005	[0.06,0.98]	0.0156637	1	0.1		0.0125067	1		111	5	3.8399	1.35799	[0.52,3.52]	0.402698	1	0.1		0.57745	1		66	1	2.28319	0.415751	[0.06,3.07]	0.321466	1	0.1		0.22963	1		39	0	1.34916	0	[0.00,0.00]	1	1	0.1		1	1		80	1	2.7675	0.337854	[0.05,2.49]	0.221256	1	0.1		0.166876	1		109	0	3.77072	0	[0.00,0.00]	1	1	0.1		1	1		79	1	2.7329	0.342491	[0.05,2.52]	0.227425	1	0.1		0.170959	1		262	6	9.06356	0.597973	[0.25,1.43]	0.164798	1	0.1		0.0831632	1		71	3	2.45615	1.24853	[0.38,4.14]	0.505098	1	0.1		0.490602	1		
8	64	66	3	3.39823	0.871194	[0.27,2.85]	0.554349	1	0.1		0.228654	1		69	2	3.5527	0.535388	[0.13,2.24]	0.295899	1	0.1		0.17936	1		209	10	10.7611	0.911967	[0.46,1.82]	0.478021	1	0.1		0.134834	1		111	1	5.71521	0.154257	[0.02,1.12]	0.0162848	1	0.1		0.0141548	1		66	3	3.39823	0.871194	[0.27,2.85]	0.554349	1	0.1		0.228654	1		39	0	2.00805	0	[0.00,0.00]	1	1	0.1		1	1		80	2	4.11907	0.455335	[0.11,1.90]	0.203967	1	0.1		0.132662	1		109	4	5.61223	0.681905	[0.24,1.91]	0.322761	1	0.1		0.153406	1		79	5	4.06758	1.26546	[0.49,3.25]	0.379784	1	0.1		0.57258	1		262	9	13.4899	0.598922	[0.29,1.23]	0.101096	1	0.1		0.0486117	1		71	3	3.65567	0.80352	[0.25,2.63]	0.495951	1	0.1		0.218767	1		
9	65	66	2	3.45133	0.552579	[0.13,2.31]	0.315223	1	0.1		0.188246	1		69	3	3.60821	0.815249	[0.25,2.67]	0.506547	1	0.1		0.220841	1		209	8	10.9292	0.682203	[0.32,1.45]	0.207031	1	0.1		0.0889483	1		111	2	5.80451	0.311344	[0.08,1.29]	0.0578849	1	0.1		0.0429207	1		66	2	3.45133	0.552579	[0.13,2.31]	0.315223	1	0.1		0.188246	1		39	1	2.03942	0.46875	[0.06,3.47]	0.38375	1	0.1		0.264709	1		80	5	4.18343	1.22556	[0.48,3.14]	0.368315	1	0.1		0.569235	1		109	3	5.69992	0.489349	[0.15,1.59]	0.160192	1	0.1		0.0972477	1		79	1	4.13113	0.220353	[0.03,1.61]	0.0705672	1	0.1		0.0581175	1		262	6	13.7007	0.366261	[0.16,0.86]	0.00813013	1	0.1		0.00544804	1		71	6	3.71279	1.74133	[0.72,4.18]	0.191021	1	0.1		0.826813	1		
10	43	66	2	2.28319	0.865854	[0.20,3.66]	0.597385	1	0.1		0.27592	1		69	2	2.38697	0.8249	[0.20,3.48]	0.568679	1	0.1		0.2713	1		209	10	7.23009	1.52429	[0.74,3.14]	0.204597	1	0.1		0.783338	1		111	6	3.8399	1.69112	[0.70,4.10]	0.186894	1	0.1		0.829161	1		66	2	2.28319	0.865854	[0.20,3.66]	0.597385	1	0.1		0.27592	1		39	0	1.34916	0	[0.00,0.00]	1	1	0.1		1	1		80	4	2.7675	1.51687	[0.53,4.36]	0.214834	1	0.1		0.808294	1		109	5	3.77072	1.38664	[0.53,3.60]	0.250131	1	0.1		0.736641	1		79	7	2.7329	3.0463	[1.31,7.08]	0.011656	1	0.1		0.995628	1		262	13	9.06356	1.65502	[0.85,3.22]	0.0815044	1	0.1		0.916041	1		71	2	2.45615	0.799576	[0.19,3.37]	0.549784	1	0.1		0.267644	1		
