C	Cn	DOID:0060041	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1059	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10652	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10763	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12849	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12858	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:14330	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1826	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:3312	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:5419	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:9255	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
1	177	26	3	3.70233	0.781859	[0.23,2.63]	0.481047	1	0.1		0.220899	1		44	9	6.26549	1.57806	[0.75,3.34]	0.184828	1	0.1		0.810894	1		29	4	4.12953	0.962775	[0.33,2.80]	0.601944	1	0.1		0.212228	1		13	3	1.85117	1.82069	[0.50,6.68]	0.312685	1	0.1		0.765135	1		26	3	3.70233	0.781859	[0.23,2.63]	0.481047	1	0.1		0.220899	1		2	0	0.284795	0	[0.00,0.00]	1	1	0.1		1	1		21	0	2.99035	0	[0.00,0.00]	1	1	0.1		1	1		38	4	5.4111	0.701802	[0.25,2.00]	0.350743	1	0.1		0.164514	1		44	6	6.26549	0.949215	[0.40,2.28]	0.560285	1	0.1		0.174608	1		103	19	14.6669	1.40582	[0.83,2.38]	0.156255	1	0.1		0.812531	1		11	0	1.56637	0	[0.00,0.00]	1	1	0.1		1	1		
2	175	26	2	3.6605	0.50289	[0.12,2.15]	0.267675	1	0.1		0.168346	1		44	3	6.19469	0.436897	[0.13,1.43]	0.111431	1	0.1		0.0716226	1		29	3	4.08286	0.699016	[0.21,2.33]	0.399339	1	0.1		0.198298	1		13	2	1.83025	1.11088	[0.24,5.05]	0.430577	1	0.1		0.589484	1		26	2	3.6605	0.50289	[0.12,2.15]	0.267675	1	0.1		0.168346	1		2	0	0.281577	0	[0.00,0.00]	1	1	0.1		1	1		21	7	2.95656	3.1369	[1.25,7.89]	0.0146798	1	0.1		0.994767	1		38	6	5.34996	1.14941	[0.47,2.79]	0.531363	1	0.1		0.358343	1		44	8	6.19469	1.37325	[0.63,3.01]	0.228802	1	0.1		0.734578	1		103	21	14.5012	1.63969	[0.99,2.73]	0.0509222	1	0.1		0.945216	1		11	4	1.54867	3.54553	[1.03,12.24]	0.0443819	1	0.1		0.988199	1		
3	135	26	1	2.82381	0.323284	[0.04,2.41]	0.206639	1	0.1		0.157915	1		44	1	4.77876	0.184832	[0.03,1.35]	0.0379998	1	0.1		0.0322225	1		29	1	3.14964	0.287846	[0.04,2.13]	0.158319	1	0.1		0.124088	1		13	1	1.41191	0.681592	[0.09,5.28]	0.579075	1	0.1		0.356463	1		26	1	2.82381	0.323284	[0.04,2.41]	0.206639	1	0.1		0.157915	1		2	0	0.217216	0	[0.00,0.00]	1	1	0.1		1	1		21	2	2.28077	0.861892	[0.20,3.74]	0.59658	1	0.1		0.2808	1		38	2	4.12711	0.447786	[0.11,1.88]	0.199092	1	0.1		0.130748	1		44	4	4.77876	0.815267	[0.29,2.32]	0.469582	1	0.1		0.192525	1		103	6	11.1866	0.484776	[0.21,1.13]	0.0530394	1	0.1		0.0306054	1		11	3	1.19469	3.125	[0.82,11.92]	0.083981	1	0.1		0.976082	1		
4	74	26	1	1.54787	0.626849	[0.08,4.69]	0.534646	1	0.1		0.335286	1		44	4	2.61947	1.61286	[0.56,4.64]	0.212208	1	0.1		0.820596	1		29	6	1.72647	4.39642	[1.73,11.16]	0.00467977	1	0.1		0.99892	1		13	2	0.773934	2.92424	[0.64,13.44]	0.141037	1	0.1		0.96238	1		26	1	1.54787	0.626849	[0.08,4.69]	0.534646	1	0.1		0.335286	1		2	1	0.119067	16	[0.99,258.40]	0.112068	1	0.1		0.996501	1		21	0	1.2502	0	[0.00,0.00]	1	1	0.1		1	1		38	1	2.26227	0.419104	[0.06,3.10]	0.326032	1	0.1		0.232455	1		44	2	2.61947	0.74537	[0.18,3.14]	0.506198	1	0.1		0.257426	1		103	4	6.13194	0.617605	[0.22,1.73]	0.247755	1	0.1		0.12669	1		11	0	0.654867	0	[0.00,0.00]	1	1	0.1		1	1		
5	92	26	1	1.92438	0.494945	[0.07,3.69]	0.414247	1	0.1		0.281659	1		44	4	3.25664	1.2625	[0.44,3.61]	0.339862	1	0.1		0.630229	1		29	3	2.14642	1.45851	[0.43,4.91]	0.307734	1	0.1		0.73377	1		13	0	0.962188	0	[0.00,0.00]	1	1	0.1		1	1		26	1	1.92438	0.494945	[0.07,3.69]	0.414247	1	0.1		0.281659	1		2	0	0.148029	0	[0.00,0.00]	1	1	0.1		1	1		21	1	1.5543	0.621429	[0.08,4.68]	0.531422	1	0.1		0.335197	1		38	1	2.81255	0.330858	[0.04,2.44]	0.212678	1	0.1		0.161284	1		44	2	3.25664	0.586772	[0.14,2.46]	0.353821	1	0.1		0.205473	1		103	5	7.62349	0.617523	[0.24,1.56]	0.205963	1	0.1		0.102261	1		11	0	0.814159	0	[0.00,0.00]	1	1	0.1		1	1		
6	203	26	11	4.24618	3.91493	[1.77,8.65]	0.00104763	0.530149	0.1		0.999696	1		44	11	7.18584	1.74826	[0.87,3.52]	0.0995476	1	0.1		0.903885	1		29	3	4.73612	0.585	[0.18,1.95]	0.276944	1	0.1		0.154215	1		13	0	2.12309	0	[0.00,0.00]	1	1	0.1		1	1		26	11	4.24618	3.91493	[1.77,8.65]	0.00104763	0.530149	0.1		0.999696	1		2	1	0.326629	5.14356	[0.32,82.57]	0.273506	1	0.1		0.973438	1		21	4	3.42961	1.20958	[0.40,3.63]	0.514841	1	0.1		0.442824	1		38	9	6.20595	1.61731	[0.75,3.47]	0.184397	1	0.1		0.81531	1		44	7	7.18584	0.968147	[0.43,2.20]	0.568799	1	0.1		0.164822	1		103	22	16.8214	1.43906	[0.88,2.37]	0.102509	1	0.1		0.874884	1		11	1	1.79646	0.509901	[0.06,4.01]	0.441764	1	0.1		0.302316	1		
7	52	26	0	1.08769	0	[0.00,0.00]	1	1	0.1		1	1		44	2	1.84071	1.09429	[0.26,4.65]	0.427854	1	0.1		0.574263	1		29	0	1.21319	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.543846	0	[0.00,0.00]	1	1	0.1		1	1		26	0	1.08769	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0836685	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.87852	0	[0.00,0.00]	1	1	0.1		1	1		38	0	1.5897	0	[0.00,0.00]	1	1	0.1		1	1		44	3	1.84071	1.71727	[0.51,5.74]	0.318125	1	0.1		0.744952	1		103	8	4.30893	2.09761	[0.96,4.58]	0.0459118	1	0.1		0.966677	1		11	0	0.460177	0	[0.00,0.00]	1	1	0.1		1	1		
8	75	26	1	1.56879	0.617838	[0.08,4.62]	0.527475	1	0.1		0.33255	1		44	0	2.65487	0	[0.00,0.00]	1	1	0.1		1	1		29	1	1.7498	0.550193	[0.07,4.10]	0.468278	1	0.1		0.307241	1		13	1	0.784393	1.3018	[0.17,10.15]	0.374039	1	0.1		0.817515	1		26	1	1.56879	0.617838	[0.08,4.62]	0.527475	1	0.1		0.33255	1		2	0	0.120676	0	[0.00,0.00]	1	1	0.1		1	1		21	3	1.2671	2.66204	[0.77,9.25]	0.0950929	1	0.1		0.966585	1		38	3	2.29284	1.34881	[0.41,4.49]	0.303855	1	0.1		0.717363	1		44	1	2.65487	0.353551	[0.05,2.60]	0.241973	1	0.1		0.180455	1		103	2	6.2148	0.289434	[0.07,1.20]	0.0417843	1	0.1		0.0316131	1		11	1	0.663717	1.56486	[0.20,12.39]	0.358256	1	0.1		0.861116	1		
9	62	26	1	1.29686	0.758033	[0.10,5.69]	0.624324	1	0.1		0.363587	1		44	2	2.19469	0.903968	[0.21,3.82]	0.622137	1	0.1		0.27889	1		29	1	1.4465	0.675059	[0.09,5.04]	0.570372	1	0.1		0.347519	1		13	1	0.648431	1.59699	[0.20,12.48]	0.353349	1	0.1		0.865837	1		26	1	1.29686	0.758033	[0.10,5.69]	0.624324	1	0.1		0.363587	1		2	0	0.0997586	0	[0.00,0.00]	1	1	0.1		1	1		21	2	1.04747	2.0386	[0.46,8.96]	0.199233	1	0.1		0.917176	1		38	6	1.89541	3.8471	[1.55,9.58]	0.00746842	1	0.1		0.997974	1		44	2	2.19469	0.903968	[0.21,3.82]	0.622137	1	0.1		0.27889	1		103	4	5.13757	0.753744	[0.27,2.12]	0.403456	1	0.1		0.176534	1		11	0	0.548673	0	[0.00,0.00]	1	1	0.1		1	1		
10	64	26	3	1.3387	2.47185	[0.72,8.46]	0.105196	1	0.1		0.959335	1		44	4	2.26549	1.89833	[0.66,5.48]	0.209438	1	0.1		0.835408	1		29	0	1.49316	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.669348	0	[0.00,0.00]	1	1	0.1		1	1		26	3	1.3387	2.47185	[0.72,8.46]	0.105196	1	0.1		0.959335	1		2	0	0.102977	0	[0.00,0.00]	1	1	0.1		1	1		21	0	1.08126	0	[0.00,0.00]	1	1	0.1		1	1		38	3	1.95656	1.60749	[0.48,5.37]	0.313638	1	0.1		0.742845	1		44	4	2.26549	1.89833	[0.66,5.48]	0.209438	1	0.1		0.835408	1		103	7	5.3033	1.38542	[0.61,3.12]	0.327993	1	0.1		0.641985	1		11	1	0.566372	1.85556	[0.23,14.72]	0.335876	1	0.1		0.893601	1		
