C	Cn	DOID:0060041	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1059	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10652	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10763	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12849	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12858	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:14330	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1826	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:3312	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:5419	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:9255	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
1	74	66	5	3.9292	1.31623	[0.51,3.38]	0.394095	1	0.1		0.574261	1		69	5	4.1078	1.25113	[0.49,3.21]	0.375791	1	0.1		0.571462	1		209	14	12.4425	1.16547	[0.64,2.13]	0.38127	1	0.1		0.477388	1		111	8	6.60821	1.25449	[0.59,2.69]	0.320857	1	0.1		0.602012	1		66	5	3.9292	1.31623	[0.51,3.38]	0.394095	1	0.1		0.574261	1		39	2	2.3218	0.84985	[0.20,3.60]	0.586555	1	0.1		0.274605	1		80	7	4.76267	1.5686	[0.70,3.54]	0.225744	1	0.1		0.774385	1		109	4	6.48914	0.579048	[0.21,1.62]	0.203744	1	0.1		0.108898	1		79	5	4.70314	1.07227	[0.42,2.74]	0.478038	1	0.1		0.379455	1		262	19	15.5977	1.31642	[0.77,2.26]	0.179469	1	0.1		0.761495	1		71	7	4.22687	1.80387	[0.80,4.09]	0.133487	1	0.1		0.880723	1		
2	92	66	1	4.88496	0.183601	[0.03,1.34]	0.0356987	1	0.1		0.0302826	1		69	5	5.107	0.976114	[0.38,2.49]	0.59641	1	0.1		0.187095	1		209	17	15.469	1.13215	[0.65,1.96]	0.391706	1	0.1		0.436999	1		111	4	8.21561	0.4435	[0.16,1.23]	0.0705042	1	0.1		0.0439327	1		66	1	4.88496	0.183601	[0.03,1.34]	0.0356987	1	0.1		0.0302826	1		39	0	2.88656	0	[0.00,0.00]	1	1	0.1		1	1		80	5	5.92116	0.824521	[0.32,2.09]	0.447856	1	0.1		0.170933	1		109	8	8.06758	0.990099	[0.47,2.10]	0.582944	1	0.1		0.151689	1		79	5	5.84714	0.83644	[0.33,2.12]	0.460801	1	0.1		0.173195	1		262	9	19.3918	0.384875	[0.19,0.78]	0.00251263	0.845562	0.1		0.00162053	1		71	3	5.25503	0.536847	[0.17,1.74]	0.211943	1	0.1		0.122486	1		
3	52	66	3	2.76106	1.09621	[0.33,3.61]	0.456592	1	0.1		0.480545	1		69	2	2.88656	0.671045	[0.16,2.82]	0.438932	1	0.1		0.23712	1		209	8	8.74336	0.895522	[0.42,1.93]	0.478791	1	0.1		0.148599	1		111	10	4.6436	2.56954	[1.25,5.27]	0.0159573	1	0.1		0.988514	1		66	3	2.76106	1.09621	[0.33,3.61]	0.456592	1	0.1		0.480545	1		39	1	1.63154	0.594943	[0.08,4.42]	0.507424	1	0.1		0.323501	1		80	0	3.34674	0	[0.00,0.00]	1	1	0.1		1	1		109	4	4.55994	0.861905	[0.30,2.44]	0.513945	1	0.1		0.198915	1		79	3	3.30491	0.898228	[0.27,2.95]	0.575918	1	0.1		0.231544	1		262	10	10.9606	0.887188	[0.44,1.79]	0.448582	1	0.1		0.134115	1		71	0	2.97023	0	[0.00,0.00]	1	1	0.1		1	1		
4	75	66	3	3.9823	0.73082	[0.22,2.38]	0.425816	1	0.1		0.202016	1		69	2	4.16331	0.450215	[0.11,1.87]	0.197987	1	0.1		0.129351	1		209	10	12.6106	0.74913	[0.38,1.48]	0.256406	1	0.1		0.0956481	1		111	8	6.69751	1.2346	[0.58,2.64]	0.314119	1	0.1		0.59997	1		66	3	3.9823	0.73082	[0.22,2.38]	0.425816	1	0.1		0.202016	1		39	1	2.35318	0.401849	[0.05,2.97]	0.304664	1	0.1		0.219764	1		80	6	4.82703	1.28555	[0.54,3.06]	0.42209	1	0.1		0.525638	1		109	6	6.57683	0.899114	[0.38,2.12]	0.507836	1	0.1		0.167155	1		79	1	4.76669	0.188843	[0.03,1.38]	0.0399103	1	0.1		0.033709	1		262	16	15.8085	1.0164	[0.57,1.80]	0.589242	1	0.1		0.115216	1		71	8	4.28399	2.09429	[0.96,4.55]	0.0457528	1	0.1		0.966521	1		
5	62	66	6	3.29204	2.00179	[0.83,4.83]	0.0949363	1	0.1		0.927615	1		69	3	3.44167	0.859014	[0.26,2.81]	0.544339	1	0.1		0.227252	1		209	10	10.4248	0.948976	[0.47,1.90]	0.524428	1	0.1		0.138452	1		111	4	5.5366	0.692233	[0.25,1.94]	0.334757	1	0.1		0.157268	1		66	6	3.29204	2.00179	[0.83,4.83]	0.0949363	1	0.1		0.927615	1		39	1	1.94529	0.493097	[0.07,3.65]	0.410214	1	0.1		0.278545	1		80	5	3.99035	1.29357	[0.50,3.32]	0.38765	1	0.1		0.573963	1		109	12	5.43685	2.68206	[1.38,5.21]	0.0067065	1	0.1		0.995234	1		79	6	3.94047	1.62622	[0.68,3.90]	0.186687	1	0.1		0.824338	1		262	11	13.0684	0.799156	[0.41,1.56]	0.315899	1	0.1		0.107248	1		71	6	3.54143	1.83956	[0.76,4.43]	0.102547	1	0.1		0.918362	1		
6	64	66	5	3.39823	1.55321	[0.60,4.01]	0.263647	1	0.1		0.749127	1		69	5	3.5527	1.47643	[0.57,3.81]	0.257573	1	0.1		0.74514	1		209	7	10.7611	0.593973	[0.27,1.32]	0.12903	1	0.1		0.0638965	1		111	3	5.71521	0.487705	[0.15,1.58]	0.158535	1	0.1		0.0964121	1		66	5	3.39823	1.55321	[0.60,4.01]	0.263647	1	0.1		0.749127	1		39	3	2.00805	1.56148	[0.47,5.21]	0.311964	1	0.1		0.740455	1		80	1	4.11907	0.221017	[0.03,1.61]	0.0713046	1	0.1		0.0586944	1		109	7	5.61223	1.2967	[0.58,2.92]	0.304774	1	0.1		0.639525	1		79	7	4.06758	1.88816	[0.83,4.29]	0.0739317	1	0.1		0.941955	1		262	13	13.4899	0.952043	[0.51,1.78]	0.512234	1	0.1		0.124815	1		71	2	3.65567	0.518934	[0.12,2.17]	0.277183	1	0.1		0.170442	1		
7	51	66	2	2.70796	0.719388	[0.17,3.02]	0.483496	1	0.1		0.250962	1		69	1	2.83105	0.330588	[0.04,2.43]	0.210932	1	0.1		0.159868	1		209	6	8.57522	0.649589	[0.27,1.54]	0.218149	1	0.1		0.102341	1		111	6	4.5543	1.38032	[0.58,3.31]	0.287038	1	0.1		0.688235	1		66	2	2.70796	0.719388	[0.17,3.02]	0.483496	1	0.1		0.250962	1		39	1	1.60016	0.607368	[0.08,4.51]	0.517872	1	0.1		0.327727	1		80	0	3.28238	0	[0.00,0.00]	1	1	0.1		1	1		109	3	4.47224	0.64033	[0.20,2.09]	0.330332	1	0.1		0.172065	1		79	1	3.24135	0.285641	[0.04,2.10]	0.150938	1	0.1		0.118244	1		262	7	10.7498	0.584581	[0.26,1.31]	0.124721	1	0.1		0.0628831	1		71	3	2.91311	1.03309	[0.31,3.40]	0.668069	1	0.1		0.235596	1		
8	39	66	1	2.0708	0.461134	[0.06,3.41]	0.375211	1	0.1		0.260111	1		69	4	2.16492	2.00264	[0.69,5.80]	0.210059	1	0.1		0.835781	1		209	7	6.55752	1.08509	[0.47,2.49]	0.500702	1	0.1		0.33609	1		111	1	3.4827	0.261722	[0.04,1.92]	0.121593	1	0.1		0.0970636	1		66	1	2.0708	0.461134	[0.06,3.41]	0.375211	1	0.1		0.260111	1		39	0	1.22365	0	[0.00,0.00]	1	1	0.1		1	1		80	4	2.51006	1.69624	[0.59,4.90]	0.210473	1	0.1		0.828269	1		109	1	3.41995	0.267057	[0.04,1.96]	0.12835	1	0.1		0.102042	1		79	2	2.47868	0.791155	[0.19,3.34]	0.5435	1	0.1		0.266633	1		262	5	8.22043	0.541886	[0.21,1.40]	0.136838	1	0.1		0.0754791	1		71	1	2.22767	0.426316	[0.06,3.15]	0.334628	1	0.1		0.237403	1		
9	17	66	1	0.902655	1.11635	[0.15,8.55]	0.379894	1	0.1		0.772993	1		69	0	0.943685	0	[0.00,0.00]	1	1	0.1		1	1		209	2	2.85841	0.656361	[0.15,2.89]	0.435808	1	0.1		0.243763	1		111	1	1.5181	0.634091	[0.08,4.83]	0.54271	1	0.1		0.341024	1		66	1	0.902655	1.11635	[0.15,8.55]	0.379894	1	0.1		0.772993	1		39	0	0.533387	0	[0.00,0.00]	1	1	0.1		1	1		80	1	1.09413	0.907437	[0.12,6.93]	0.700064	1	0.1		0.379772	1		109	0	1.49075	0	[0.00,0.00]	1	1	0.1		1	1		79	0	1.08045	0	[0.00,0.00]	1	1	0.1		1	1		262	2	3.58327	0.495385	[0.11,2.18]	0.270674	1	0.1		0.173189	1		71	1	0.971038	1.03214	[0.13,7.90]	0.747069	1	0.1		0.381597	1		
10	14	66	0	0.743363	0	[0.00,0.00]	1	1	0.1		1	1		69	0	0.777152	0	[0.00,0.00]	1	1	0.1		1	1		209	5	2.35398	2.79139	[0.93,8.42]	0.0508279	1	0.1		0.980743	1		111	0	1.2502	0	[0.00,0.00]	1	1	0.1		1	1		66	0	0.743363	0	[0.00,0.00]	1	1	0.1		1	1		39	1	0.43926	2.41093	[0.31,18.91]	0.292697	1	0.1		0.931163	1		80	1	0.901046	1.11977	[0.14,8.67]	0.381801	1	0.1		0.773828	1		109	1	1.22767	0.798433	[0.10,6.16]	0.648718	1	0.1		0.373987	1		79	0	0.889783	0	[0.00,0.00]	1	1	0.1		1	1		262	3	2.95093	1.02141	[0.28,3.69]	0.661045	1	0.1		0.253661	1		71	0	0.799678	0	[0.00,0.00]	1	1	0.1		1	1		
