C	Cn	DOID:0060041	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1059	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10652	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10763	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12849	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12858	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:14330	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1826	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:3312	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:5419	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:9255	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
1	74	26	1	1.54787	0.626849	[0.08,4.69]	0.534646	1	0.1		0.335286	1		44	4	2.61947	1.61286	[0.56,4.64]	0.212208	1	0.1		0.820596	1		29	6	1.72647	4.39642	[1.73,11.16]	0.00467977	1	0.1		0.99892	1		13	2	0.773934	2.92424	[0.64,13.44]	0.141037	1	0.1		0.96238	1		26	1	1.54787	0.626849	[0.08,4.69]	0.534646	1	0.1		0.335286	1		2	1	0.119067	16	[0.99,258.40]	0.112068	1	0.1		0.996501	1		21	0	1.2502	0	[0.00,0.00]	1	1	0.1		1	1		38	1	2.26227	0.419104	[0.06,3.10]	0.326032	1	0.1		0.232455	1		44	2	2.61947	0.74537	[0.18,3.14]	0.506198	1	0.1		0.257426	1		103	4	6.13194	0.617605	[0.22,1.73]	0.247755	1	0.1		0.12669	1		11	0	0.654867	0	[0.00,0.00]	1	1	0.1		1	1		
2	92	26	1	1.92438	0.494945	[0.07,3.69]	0.414247	1	0.1		0.281659	1		44	4	3.25664	1.2625	[0.44,3.61]	0.339862	1	0.1		0.630229	1		29	3	2.14642	1.45851	[0.43,4.91]	0.307734	1	0.1		0.73377	1		13	0	0.962188	0	[0.00,0.00]	1	1	0.1		1	1		26	1	1.92438	0.494945	[0.07,3.69]	0.414247	1	0.1		0.281659	1		2	0	0.148029	0	[0.00,0.00]	1	1	0.1		1	1		21	1	1.5543	0.621429	[0.08,4.68]	0.531422	1	0.1		0.335197	1		38	1	2.81255	0.330858	[0.04,2.44]	0.212678	1	0.1		0.161284	1		44	2	3.25664	0.586772	[0.14,2.46]	0.353821	1	0.1		0.205473	1		103	5	7.62349	0.617523	[0.24,1.56]	0.205963	1	0.1		0.102261	1		11	0	0.814159	0	[0.00,0.00]	1	1	0.1		1	1		
3	52	26	0	1.08769	0	[0.00,0.00]	1	1	0.1		1	1		44	2	1.84071	1.09429	[0.26,4.65]	0.427854	1	0.1		0.574263	1		29	0	1.21319	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.543846	0	[0.00,0.00]	1	1	0.1		1	1		26	0	1.08769	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0836685	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.87852	0	[0.00,0.00]	1	1	0.1		1	1		38	0	1.5897	0	[0.00,0.00]	1	1	0.1		1	1		44	3	1.84071	1.71727	[0.51,5.74]	0.318125	1	0.1		0.744952	1		103	8	4.30893	2.09761	[0.96,4.58]	0.0459118	1	0.1		0.966677	1		11	0	0.460177	0	[0.00,0.00]	1	1	0.1		1	1		
4	75	26	1	1.56879	0.617838	[0.08,4.62]	0.527475	1	0.1		0.33255	1		44	0	2.65487	0	[0.00,0.00]	1	1	0.1		1	1		29	1	1.7498	0.550193	[0.07,4.10]	0.468278	1	0.1		0.307241	1		13	1	0.784393	1.3018	[0.17,10.15]	0.374039	1	0.1		0.817515	1		26	1	1.56879	0.617838	[0.08,4.62]	0.527475	1	0.1		0.33255	1		2	0	0.120676	0	[0.00,0.00]	1	1	0.1		1	1		21	3	1.2671	2.66204	[0.77,9.25]	0.0950929	1	0.1		0.966585	1		38	3	2.29284	1.34881	[0.41,4.49]	0.303855	1	0.1		0.717363	1		44	1	2.65487	0.353551	[0.05,2.60]	0.241973	1	0.1		0.180455	1		103	2	6.2148	0.289434	[0.07,1.20]	0.0417843	1	0.1		0.0316131	1		11	1	0.663717	1.56486	[0.20,12.39]	0.358256	1	0.1		0.861116	1		
5	62	26	1	1.29686	0.758033	[0.10,5.69]	0.624324	1	0.1		0.363587	1		44	2	2.19469	0.903968	[0.21,3.82]	0.622137	1	0.1		0.27889	1		29	1	1.4465	0.675059	[0.09,5.04]	0.570372	1	0.1		0.347519	1		13	1	0.648431	1.59699	[0.20,12.48]	0.353349	1	0.1		0.865837	1		26	1	1.29686	0.758033	[0.10,5.69]	0.624324	1	0.1		0.363587	1		2	0	0.0997586	0	[0.00,0.00]	1	1	0.1		1	1		21	2	1.04747	2.0386	[0.46,8.96]	0.199233	1	0.1		0.917176	1		38	6	1.89541	3.8471	[1.55,9.58]	0.00746842	1	0.1		0.997974	1		44	2	2.19469	0.903968	[0.21,3.82]	0.622137	1	0.1		0.27889	1		103	4	5.13757	0.753744	[0.27,2.12]	0.403456	1	0.1		0.176534	1		11	0	0.548673	0	[0.00,0.00]	1	1	0.1		1	1		
6	64	26	3	1.3387	2.47185	[0.72,8.46]	0.105196	1	0.1		0.959335	1		44	4	2.26549	1.89833	[0.66,5.48]	0.209438	1	0.1		0.835408	1		29	0	1.49316	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.669348	0	[0.00,0.00]	1	1	0.1		1	1		26	3	1.3387	2.47185	[0.72,8.46]	0.105196	1	0.1		0.959335	1		2	0	0.102977	0	[0.00,0.00]	1	1	0.1		1	1		21	0	1.08126	0	[0.00,0.00]	1	1	0.1		1	1		38	3	1.95656	1.60749	[0.48,5.37]	0.313638	1	0.1		0.742845	1		44	4	2.26549	1.89833	[0.66,5.48]	0.209438	1	0.1		0.835408	1		103	7	5.3033	1.38542	[0.61,3.12]	0.327993	1	0.1		0.641985	1		11	1	0.566372	1.85556	[0.23,14.72]	0.335876	1	0.1		0.893601	1		
7	51	26	0	1.06677	0	[0.00,0.00]	1	1	0.1		1	1		44	0	1.80531	0	[0.00,0.00]	1	1	0.1		1	1		29	1	1.18986	0.831429	[0.11,6.23]	0.664243	1	0.1		0.371705	1		13	2	0.533387	4.38219	[0.95,20.31]	0.0825649	1	0.1		0.986081	1		26	0	1.06677	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0820595	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.861625	0	[0.00,0.00]	1	1	0.1		1	1		38	1	1.55913	0.624324	[0.08,4.64]	0.531695	1	0.1		0.333148	1		44	1	1.80531	0.534419	[0.07,3.96]	0.452066	1	0.1		0.298979	1		103	3	4.22607	0.6825	[0.21,2.23]	0.376224	1	0.1		0.187743	1		11	0	0.451327	0	[0.00,0.00]	1	1	0.1		1	1		
8	39	26	1	0.815768	1.24105	[0.16,9.40]	0.372249	1	0.1		0.805071	1		44	3	1.38053	2.36382	[0.70,7.99]	0.110999	1	0.1		0.954471	1		29	3	0.909895	3.77564	[1.09,13.05]	0.0482311	1	0.1		0.988828	1		13	0	0.407884	0	[0.00,0.00]	1	1	0.1		1	1		26	1	0.815768	1.24105	[0.16,9.40]	0.372249	1	0.1		0.805071	1		2	0	0.0627514	0	[0.00,0.00]	1	1	0.1		1	1		21	2	0.65889	3.37127	[0.76,15.01]	0.112942	1	0.1		0.974309	1		38	1	1.19228	0.830014	[0.11,6.21]	0.663425	1	0.1		0.371158	1		44	2	1.38053	1.4955	[0.35,6.41]	0.489023	1	0.1		0.603661	1		103	1	3.2317	0.284314	[0.04,2.09]	0.150664	1	0.1		0.11823	1		11	0	0.345133	0	[0.00,0.00]	1	1	0.1		1	1		
9	17	26	0	0.355591	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.60177	0	[0.00,0.00]	1	1	0.1		1	1		29	0	0.396621	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.177796	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.355591	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0273532	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.287208	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.51971	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.60177	0	[0.00,0.00]	1	1	0.1		1	1		103	0	1.40869	0	[0.00,0.00]	1	1	0.1		1	1		11	1	0.150442	7.6	[0.92,62.94]	0.132085	1	0.1		0.990989	1		
10	14	26	0	0.29284	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.495575	0	[0.00,0.00]	1	1	0.1		1	1		29	2	0.326629	7.41975	[1.58,34.78]	0.0367156	1	0.1		0.9965	1		13	0	0.14642	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.29284	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0225261	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.236525	0	[0.00,0.00]	1	1	0.1		1	1		38	1	0.427997	2.47817	[0.32,19.45]	0.288302	1	0.1		0.934273	1		44	0	0.495575	0	[0.00,0.00]	1	1	0.1		1	1		103	0	1.1601	0	[0.00,0.00]	1	1	0.1		1	1		11	0	0.123894	0	[0.00,0.00]	1	1	0.1		1	1		
