C	Cn	DOID:0060041	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1059	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10652	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10763	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12849	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12858	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:14330	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1826	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:3312	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:5419	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:9255	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
1	256	66	16	13.5929	1.24933	[0.70,2.23]	0.256394	1	0.1		0.652905	1		69	19	14.2108	1.50236	[0.87,2.60]	0.110146	1	0.1		0.873964	1		209	40	43.0442	0.89634	[0.62,1.31]	0.320076	1	0.1		0.0647037	1		111	25	22.8608	1.13385	[0.71,1.81]	0.368274	1	0.1		0.46015	1		66	16	13.5929	1.24933	[0.70,2.23]	0.256394	1	0.1		0.652905	1		39	8	8.03218	0.994797	[0.45,2.19]	0.588568	1	0.1		0.15897	1		80	18	16.4763	1.12835	[0.66,1.94]	0.392391	1	0.1		0.431853	1		109	31	22.4489	1.60564	[1.03,2.50]	0.0316121	1	0.1		0.964771	1		79	17	16.2703	1.06121	[0.61,1.85]	0.531709	1	0.1		0.224368	1		262	62	53.9598	1.25758	[0.91,1.74]	0.0972503	1	0.1		0.856444	1		71	8	14.6227	0.473118	[0.22,1.00]	0.0265892	1	0.1		0.0153616	1		
2	147	66	9	7.80531	1.18879	[0.58,2.45]	0.316799	1	0.1		0.56936	1		69	7	8.1601	0.833871	[0.37,1.86]	0.41643	1	0.1		0.145342	1		209	22	24.7168	0.855529	[0.53,1.38]	0.306526	1	0.1		0.0789234	1		111	17	13.1271	1.39394	[0.81,2.41]	0.128298	1	0.1		0.836422	1		66	9	7.80531	1.18879	[0.58,2.45]	0.316799	1	0.1		0.56936	1		39	9	4.61223	2.31739	[1.08,4.98]	0.0277527	1	0.1		0.981227	1		80	11	9.46098	1.20386	[0.62,2.33]	0.363407	1	0.1		0.524998	1		109	6	12.8906	0.410246	[0.18,0.95]	0.017235	1	0.1		0.0109164	1		79	10	9.34272	1.08643	[0.55,2.16]	0.53008	1	0.1		0.278194	1		262	27	30.9847	0.824362	[0.53,1.28]	0.228642	1	0.1		0.0613632	1		71	8	8.39662	0.943702	[0.44,2.01]	0.532783	1	0.1		0.150661	1		
3	69	66	3	3.66372	0.801587	[0.25,2.62]	0.494174	1	0.1		0.218395	1		69	1	3.83025	0.239187	[0.03,1.75]	0.09187	1	0.1		0.0745514	1		209	10	11.6018	0.830423	[0.42,1.65]	0.368608	1	0.1		0.119893	1		111	3	6.16171	0.448653	[0.14,1.45]	0.118384	1	0.1		0.0749304	1		66	3	3.66372	0.801587	[0.25,2.62]	0.494174	1	0.1		0.218395	1		39	1	2.16492	0.439628	[0.06,3.25]	0.35044	1	0.1		0.246416	1		80	8	4.44087	2.00729	[0.93,4.36]	0.049747	1	0.1		0.962729	1		109	5	6.05068	0.803786	[0.32,2.04]	0.425251	1	0.1		0.166885	1		79	6	4.38536	1.4364	[0.60,3.43]	0.298399	1	0.1		0.688389	1		262	14	14.5438	0.95044	[0.52,1.74]	0.505187	1	0.1		0.120348	1		71	5	3.94127	1.31155	[0.51,3.37]	0.392834	1	0.1		0.574158	1		
4	161	66	6	8.54867	0.659355	[0.28,1.55]	0.225321	1	0.1		0.103768	1		69	7	8.93725	0.747801	[0.34,1.66]	0.308717	1	0.1		0.122536	1		209	29	27.0708	1.10093	[0.71,1.70]	0.364986	1	0.1		0.427725	1		111	13	14.3773	0.881964	[0.48,1.61]	0.408622	1	0.1		0.112112	1		66	6	8.54867	0.659355	[0.28,1.55]	0.225321	1	0.1		0.103768	1		39	6	5.05149	1.2305	[0.51,2.98]	0.39485	1	0.1		0.533525	1		80	7	10.362	0.628269	[0.28,1.39]	0.162137	1	0.1		0.0762821	1		109	9	14.1183	0.581447	[0.29,1.17]	0.0787258	1	0.1		0.0385577	1		79	7	10.2325	0.637626	[0.29,1.41]	0.17275	1	0.1		0.0802208	1		262	24	33.9356	0.621235	[0.39,0.98]	0.0225551	1	0.1		0.00957312	1		71	8	9.1963	0.845731	[0.40,1.80]	0.414943	1	0.1		0.13783	1		
5	125	66	2	6.63717	0.267785	[0.06,1.11]	0.0290911	1	0.1		0.0224656	1		69	7	6.93886	1.01039	[0.45,2.26]	0.609229	1	0.1		0.1617	1		209	15	21.0177	0.649485	[0.37,1.14]	0.0783327	1	0.1		0.0327811	1		111	8	11.1625	0.673803	[0.32,1.42]	0.191376	1	0.1		0.082685	1		66	2	6.63717	0.267785	[0.06,1.11]	0.0290911	1	0.1		0.0224656	1		39	2	3.92196	0.47506	[0.11,2.00]	0.229837	1	0.1		0.147287	1		80	6	8.04505	0.711333	[0.30,1.67]	0.286628	1	0.1		0.12269	1		109	11	10.9614	1.0043	[0.52,1.93]	0.585133	1	0.1		0.131801	1		79	8	7.94449	1.00831	[0.47,2.15]	0.601657	1	0.1		0.152127	1		262	19	26.3475	0.645431	[0.39,1.07]	0.0531454	1	0.1		0.0219649	1		71	11	7.13998	1.70146	[0.87,3.33]	0.105255	1	0.1		0.895578	1		
6	1	66	0	0.0530973	0	[0.00,0.00]	1	1	0.1		1	1		69	0	0.0555109	0	[0.00,0.00]	1	1	0.1		1	1		209	1	0.168142	0	[0.00,0.00]	0.168142	1	0.1		1	1		111	0	0.0893001	0	[0.00,0.00]	1	1	0.1		1	1		66	0	0.0530973	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.0313757	0	[0.00,0.00]	1	1	0.1		1	1		80	0	0.0643604	0	[0.00,0.00]	1	1	0.1		1	1		109	0	0.0876911	0	[0.00,0.00]	1	1	0.1		1	1		79	0	0.0635559	0	[0.00,0.00]	1	1	0.1		1	1		262	0	0.21078	0	[0.00,0.00]	1	1	0.1		1	1		71	0	0.0571199	0	[0.00,0.00]	1	1	0.1		1	1		
7	74	66	2	3.9292	0.479601	[0.12,2.00]	0.231881	1	0.1		0.147598	1		69	5	4.1078	1.25113	[0.49,3.21]	0.375791	1	0.1		0.571462	1		209	6	12.4425	0.419878	[0.18,0.98]	0.0219268	1	0.1		0.0137494	1		111	1	6.60821	0.13188	[0.02,0.96]	0.00691107	1	0.1		0.00612181	1		66	2	3.9292	0.479601	[0.12,2.00]	0.231881	1	0.1		0.147598	1		39	0	2.3218	0	[0.00,0.00]	1	1	0.1		1	1		80	3	4.76267	0.599232	[0.18,1.95]	0.282709	1	0.1		0.153256	1		109	3	6.48914	0.423731	[0.13,1.37]	0.0948453	1	0.1		0.0615827	1		79	2	4.70314	0.393939	[0.09,1.64]	0.1352	1	0.1		0.0929117	1		262	12	15.5977	0.711484	[0.38,1.34]	0.182371	1	0.1		0.0708218	1		71	3	4.22687	0.684134	[0.21,2.23]	0.377003	1	0.1		0.187473	1		
8	57	66	0	3.02655	0	[0.00,0.00]	1	1	0.1		1	1		69	3	3.16412	0.942761	[0.29,3.10]	0.608956	1	0.1		0.234213	1		209	5	9.58407	0.462858	[0.18,1.17]	0.0619276	1	0.1		0.0373063	1		111	3	5.0901	0.554527	[0.17,1.80]	0.232934	1	0.1		0.132336	1		66	0	3.02655	0	[0.00,0.00]	1	1	0.1		1	1		39	1	1.78842	0.539474	[0.07,4.00]	0.457123	1	0.1		0.301449	1		80	3	3.66854	0.800144	[0.24,2.62]	0.492983	1	0.1		0.218299	1		109	5	4.99839	1.00037	[0.39,2.56]	0.616797	1	0.1		0.18804	1		79	2	3.62269	0.523731	[0.13,2.19]	0.28287	1	0.1		0.17325	1		262	12	12.0145	0.9984	[0.52,1.92]	0.575248	1	0.1		0.131716	1		71	2	3.25583	0.588669	[0.14,2.46]	0.354914	1	0.1		0.205502	1		
9	4	66	0	0.212389	0	[0.00,0.00]	1	1	0.1		1	1		69	0	0.222043	0	[0.00,0.00]	1	1	0.1		1	1		209	1	0.672566	1.65224	[0.17,15.96]	0.387901	1	0.1		0.866281	1		111	0	0.3572	0	[0.00,0.00]	1	1	0.1		1	1		66	0	0.212389	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.125503	0	[0.00,0.00]	1	1	0.1		1	1		80	0	0.257442	0	[0.00,0.00]	1	1	0.1		1	1		109	0	0.350764	0	[0.00,0.00]	1	1	0.1		1	1		79	0	0.254224	0	[0.00,0.00]	1	1	0.1		1	1		262	1	0.843121	1.24904	[0.13,12.06]	0.802659	1	0.1		0.415196	1		71	0	0.228479	0	[0.00,0.00]	1	1	0.1		1	1		
10	3	66	0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1		69	0	0.166533	0	[0.00,0.00]	1	1	0.1		1	1		209	0	0.504425	0	[0.00,0.00]	1	1	0.1		1	1		111	2	0.2679	20.7523	[1.87,230.72]	0.0216431	1	0.1		0.999305	1		66	0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.0941271	0	[0.00,0.00]	1	1	0.1		1	1		80	0	0.193081	0	[0.00,0.00]	1	1	0.1		1	1		109	0	0.263073	0	[0.00,0.00]	1	1	0.1		1	1		79	0	0.190668	0	[0.00,0.00]	1	1	0.1		1	1		262	0	0.632341	0	[0.00,0.00]	1	1	0.1		1	1		71	0	0.17136	0	[0.00,0.00]	1	1	0.1		1	1		
11	2	66	1	0.106195	18.0923	[1.12,292.53]	0.100637	1	0.1		0.997221	1		69	1	0.111022	17.25	[1.07,278.78]	0.104943	1	0.1		0.996961	1		209	1	0.336283	4.96635	[0.31,79.72]	0.279965	1	0.1		0.971841	1		111	0	0.1786	0	[0.00,0.00]	1	1	0.1		1	1		66	1	0.106195	18.0923	[1.12,292.53]	0.100637	1	0.1		0.997221	1		39	0	0.0627514	0	[0.00,0.00]	1	1	0.1		1	1		80	0	0.128721	0	[0.00,0.00]	1	1	0.1		1	1		109	0	0.175382	0	[0.00,0.00]	1	1	0.1		1	1		79	1	0.127112	14.9103	[0.92,240.66]	0.119129	1	0.1		0.996009	1		262	2	0.421561	0	[0.00,0.00]	0.0442944	1	0.1		1	1		71	0	0.11424	0	[0.00,0.00]	1	1	0.1		1	1		
12	1	66	0	0.0530973	0	[0.00,0.00]	1	1	0.1		1	1		69	0	0.0555109	0	[0.00,0.00]	1	1	0.1		1	1		209	0	0.168142	0	[0.00,0.00]	1	1	0.1		1	1		111	0	0.0893001	0	[0.00,0.00]	1	1	0.1		1	1		66	0	0.0530973	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.0313757	0	[0.00,0.00]	1	1	0.1		1	1		80	0	0.0643604	0	[0.00,0.00]	1	1	0.1		1	1		109	0	0.0876911	0	[0.00,0.00]	1	1	0.1		1	1		79	0	0.0635559	0	[0.00,0.00]	1	1	0.1		1	1		262	0	0.21078	0	[0.00,0.00]	1	1	0.1		1	1		71	0	0.0571199	0	[0.00,0.00]	1	1	0.1		1	1		
13	7	66	0	0.371681	0	[0.00,0.00]	1	1	0.1		1	1		69	0	0.388576	0	[0.00,0.00]	1	1	0.1		1	1		209	2	1.17699	1.98841	[0.38,10.32]	0.237071	1	0.1		0.902708	1		111	0	0.625101	0	[0.00,0.00]	1	1	0.1		1	1		66	0	0.371681	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.21963	0	[0.00,0.00]	1	1	0.1		1	1		80	0	0.450523	0	[0.00,0.00]	1	1	0.1		1	1		109	0	0.613837	0	[0.00,0.00]	1	1	0.1		1	1		79	0	0.444891	0	[0.00,0.00]	1	1	0.1		1	1		262	1	1.47546	0.622605	[0.07,5.19]	0.546972	1	0.1		0.357119	1		71	0	0.399839	0	[0.00,0.00]	1	1	0.1		1	1		
14	2	66	0	0.106195	0	[0.00,0.00]	1	1	0.1		1	1		69	0	0.111022	0	[0.00,0.00]	1	1	0.1		1	1		209	0	0.336283	0	[0.00,0.00]	1	1	0.1		1	1		111	0	0.1786	0	[0.00,0.00]	1	1	0.1		1	1		66	0	0.106195	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.0627514	0	[0.00,0.00]	1	1	0.1		1	1		80	0	0.128721	0	[0.00,0.00]	1	1	0.1		1	1		109	0	0.175382	0	[0.00,0.00]	1	1	0.1		1	1		79	0	0.127112	0	[0.00,0.00]	1	1	0.1		1	1		262	0	0.421561	0	[0.00,0.00]	1	1	0.1		1	1		71	1	0.11424	16.7286	[1.04,270.28]	0.107801	1	0.1		0.996781	1		
15	4	66	0	0.212389	0	[0.00,0.00]	1	1	0.1		1	1		69	0	0.222043	0	[0.00,0.00]	1	1	0.1		1	1		209	1	0.672566	1.65224	[0.17,15.96]	0.387901	1	0.1		0.866281	1		111	0	0.3572	0	[0.00,0.00]	1	1	0.1		1	1		66	0	0.212389	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.125503	0	[0.00,0.00]	1	1	0.1		1	1		80	0	0.257442	0	[0.00,0.00]	1	1	0.1		1	1		109	0	0.350764	0	[0.00,0.00]	1	1	0.1		1	1		79	0	0.254224	0	[0.00,0.00]	1	1	0.1		1	1		262	0	0.843121	0	[0.00,0.00]	1	1	0.1		1	1		71	1	0.228479	5.56667	[0.57,54.21]	0.191956	1	0.1		0.982087	1		
16	9	66	0	0.477876	0	[0.00,0.00]	1	1	0.1		1	1		69	0	0.499598	0	[0.00,0.00]	1	1	0.1		1	1		209	2	1.51327	1.41753	[0.29,6.87]	0.471255	1	0.1		0.629274	1		111	0	0.803701	0	[0.00,0.00]	1	1	0.1		1	1		66	0	0.477876	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.282381	0	[0.00,0.00]	1	1	0.1		1	1		80	1	0.579244	1.82753	[0.23,14.80]	0.341868	1	0.1		0.890281	1		109	0	0.78922	0	[0.00,0.00]	1	1	0.1		1	1		79	0	0.572003	0	[0.00,0.00]	1	1	0.1		1	1		262	2	1.89702	1.07033	[0.22,5.18]	0.709701	1	0.1		0.30618	1		71	1	0.514079	2.07857	[0.26,16.85]	0.322768	1	0.1		0.910721	1		
17	84	66	5	4.46018	1.13924	[0.45,2.92]	0.515127	1	0.1		0.382429	1		69	5	4.66291	1.08287	[0.42,2.77]	0.484094	1	0.1		0.380364	1		209	16	14.1239	1.17769	[0.67,2.07]	0.315268	1	0.1		0.550706	1		111	9	7.50121	1.24353	[0.60,2.56]	0.342072	1	0.1		0.572018	1		66	5	4.46018	1.13924	[0.45,2.92]	0.515127	1	0.1		0.382429	1		39	3	2.63556	1.15535	[0.35,3.83]	0.476148	1	0.1		0.487713	1		80	5	5.40628	0.914768	[0.36,2.33]	0.540619	1	0.1		0.183565	1		109	9	7.36605	1.2708	[0.62,2.61]	0.353637	1	0.1		0.572336	1		79	4	5.3387	0.722667	[0.26,2.03]	0.368527	1	0.1		0.16693	1		262	21	17.7056	1.26971	[0.76,2.12]	0.258336	1	0.1		0.664562	1		71	4	4.79807	0.814925	[0.29,2.29]	0.46745	1	0.1		0.190382	1		
18	35	66	3	1.85841	1.70387	[0.51,5.72]	0.317156	1	0.1		0.745717	1		69	3	1.94288	1.62216	[0.48,5.44]	0.314013	1	0.1		0.743826	1		209	12	5.88496	2.67755	[1.31,5.47]	0.00711313	1	0.1		0.995803	1		111	6	3.1255	2.1734	[0.88,5.35]	0.0898425	1	0.1		0.933221	1		66	3	1.85841	1.70387	[0.51,5.72]	0.317156	1	0.1		0.745717	1		39	1	1.09815	0.905573	[0.12,6.79]	0.698822	1	0.1		0.376289	1		80	3	2.25261	1.37703	[0.41,4.60]	0.304957	1	0.1		0.722203	1		109	3	3.06919	0.974646	[0.29,3.24]	0.631237	1	0.1		0.23734	1		79	4	2.22446	1.94925	[0.67,5.67]	0.209073	1	0.1		0.83693	1		262	13	7.37731	2.27583	[1.13,4.58]	0.0247811	1	0.1		0.979924	1		71	3	1.9992	1.57169	[0.47,5.26]	0.312146	1	0.1		0.741536	1		
19	59	66	4	3.13274	1.31613	[0.46,3.75]	0.34987	1	0.1		0.635334	1		69	2	3.27514	0.58497	[0.14,2.45]	0.35088	1	0.1		0.203797	1		209	16	9.92035	1.91059	[1.05,3.46]	0.0342608	1	0.1		0.967868	1		111	11	5.2687	2.48417	[1.25,4.94]	0.0114767	1	0.1		0.992208	1		66	4	3.13274	1.31613	[0.46,3.75]	0.34987	1	0.1		0.635334	1		39	1	1.85117	0.519964	[0.07,3.85]	0.437944	1	0.1		0.292343	1		80	6	3.79726	1.69811	[0.71,4.08]	0.188946	1	0.1		0.82687	1		109	5	5.17377	0.961538	[0.38,2.46]	0.583831	1	0.1		0.187116	1		79	6	3.7498	1.72293	[0.72,4.14]	0.189987	1	0.1		0.827083	1		262	17	12.436	1.55131	[0.87,2.77]	0.0888683	1	0.1		0.899918	1		71	3	3.37007	0.879202	[0.27,2.88]	0.56084	1	0.1		0.229555	1		
20	51	66	6	2.70796	2.51556	[1.03,6.13]	0.0330948	1	0.1		0.98452	1		69	3	2.83105	1.06629	[0.32,3.51]	0.445717	1	0.1		0.476364	1		209	14	8.57522	1.93458	[1.03,3.65]	0.0373213	1	0.1		0.966158	1		111	5	4.5543	1.11362	[0.43,2.86]	0.500321	1	0.1		0.383605	1		66	6	2.70796	2.51556	[1.03,6.13]	0.0330948	1	0.1		0.98452	1		39	3	1.60016	2.00694	[0.60,6.75]	0.14092	1	0.1		0.928351	1		80	2	3.28238	0.582941	[0.14,2.44]	0.349026	1	0.1		0.203168	1		109	8	4.47224	2.00967	[0.92,4.39]	0.0501533	1	0.1		0.962715	1		79	2	3.24135	0.591042	[0.14,2.48]	0.357732	1	0.1		0.206794	1		262	11	10.7498	1.03098	[0.52,2.04]	0.47737	1	0.1		0.274474	1		71	3	2.91311	1.03309	[0.31,3.40]	0.668069	1	0.1		0.235596	1		
21	8	66	0	0.424779	0	[0.00,0.00]	1	1	0.1		1	1		69	0	0.444087	0	[0.00,0.00]	1	1	0.1		1	1		209	0	1.34513	0	[0.00,0.00]	1	1	0.1		1	1		111	0	0.714401	0	[0.00,0.00]	1	1	0.1		1	1		66	0	0.424779	0	[0.00,0.00]	1	1	0.1		1	1		39	1	0.251006	4.5	[0.54,37.49]	0.20183	1	0.1		0.976157	1		80	0	0.514883	0	[0.00,0.00]	1	1	0.1		1	1		109	0	0.701529	0	[0.00,0.00]	1	1	0.1		1	1		79	0	0.508447	0	[0.00,0.00]	1	1	0.1		1	1		262	1	1.68624	0.533114	[0.07,4.35]	0.471561	1	0.1		0.321952	1		71	0	0.456959	0	[0.00,0.00]	1	1	0.1		1	1		
22	20	66	2	1.06195	2.01215	[0.46,8.86]	0.202191	1	0.1		0.914612	1		69	3	1.11022	3.09358	[0.88,10.82]	0.0733601	1	0.1		0.978549	1		209	2	3.36283	0.545357	[0.13,2.37]	0.320333	1	0.1		0.195442	1		111	1	1.786	0.532536	[0.07,4.02]	0.454218	1	0.1		0.302539	1		66	2	1.06195	2.01215	[0.46,8.86]	0.202191	1	0.1		0.914612	1		39	1	0.627514	1.64127	[0.21,12.58]	0.346186	1	0.1		0.872123	1		80	3	1.28721	2.62643	[0.75,9.16]	0.0979165	1	0.1		0.965041	1		109	5	1.75382	3.58654	[1.28,10.07]	0.019647	1	0.1		0.994461	1		79	2	1.27112	1.65368	[0.38,7.26]	0.237447	1	0.1		0.870797	1		262	5	4.21561	1.25292	[0.45,3.48]	0.35925	1	0.1		0.596338	1		71	4	1.1424	4.31343	[1.40,13.26]	0.0194311	1	0.1		0.995823	1		
23	1	66	0	0.0530973	0	[0.00,0.00]	1	1	0.1		1	1		69	0	0.0555109	0	[0.00,0.00]	1	1	0.1		1	1		209	0	0.168142	0	[0.00,0.00]	1	1	0.1		1	1		111	0	0.0893001	0	[0.00,0.00]	1	1	0.1		1	1		66	0	0.0530973	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.0313757	0	[0.00,0.00]	1	1	0.1		1	1		80	0	0.0643604	0	[0.00,0.00]	1	1	0.1		1	1		109	0	0.0876911	0	[0.00,0.00]	1	1	0.1		1	1		79	0	0.0635559	0	[0.00,0.00]	1	1	0.1		1	1		262	0	0.21078	0	[0.00,0.00]	1	1	0.1		1	1		71	0	0.0571199	0	[0.00,0.00]	1	1	0.1		1	1		
24	1	66	0	0.0530973	0	[0.00,0.00]	1	1	0.1		1	1		69	0	0.0555109	0	[0.00,0.00]	1	1	0.1		1	1		209	0	0.168142	0	[0.00,0.00]	1	1	0.1		1	1		111	1	0.0893001	0	[0.00,0.00]	0.0893001	1	0.1		1	1		66	0	0.0530973	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.0313757	0	[0.00,0.00]	1	1	0.1		1	1		80	0	0.0643604	0	[0.00,0.00]	1	1	0.1		1	1		109	0	0.0876911	0	[0.00,0.00]	1	1	0.1		1	1		79	1	0.0635559	0	[0.00,0.00]	0.0635559	1	0.1		1	1		262	1	0.21078	0	[0.00,0.00]	0.21078	1	0.1		1	1		71	0	0.0571199	0	[0.00,0.00]	1	1	0.1		1	1		
