C	Cn	DOID:0060041	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1059	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10652	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10763	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12849	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12858	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:14330	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1826	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:3312	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:5419	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:9255	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
1	256	26	12	5.35479	3.41803	[1.56,7.48]	0.00203411	1	0.1		0.999294	1		44	10	9.06195	1.13941	[0.56,2.34]	0.421047	1	0.1		0.430833	1		29	8	5.97265	1.48387	[0.65,3.39]	0.231216	1	0.1		0.756528	1		13	4	2.67739	1.72487	[0.53,5.65]	0.21097	1	0.1		0.842336	1		26	12	5.35479	3.41803	[1.56,7.48]	0.00203411	1	0.1		0.999294	1		2	0	0.411907	0	[0.00,0.00]	1	1	0.1		1	1		21	3	4.32502	0.63834	[0.19,2.18]	0.343303	1	0.1		0.183373	1		38	11	7.82623	1.59637	[0.78,3.26]	0.147963	1	0.1		0.846972	1		44	10	9.06195	1.13941	[0.56,2.34]	0.421047	1	0.1		0.430833	1		103	27	21.2132	1.4133	[0.89,2.24]	0.102909	1	0.1		0.872777	1		11	0	2.26549	0	[0.00,0.00]	1	1	0.1		1	1		
2	147	26	2	3.07482	0.616092	[0.14,2.63]	0.389468	1	0.1		0.222299	1		44	4	5.20354	0.738462	[0.26,2.09]	0.38923	1	0.1		0.174352	1		29	3	3.42961	0.857372	[0.26,2.87]	0.545232	1	0.1		0.231406	1		13	2	1.53741	1.3605	[0.30,6.20]	0.46789	1	0.1		0.615191	1		26	2	3.07482	0.616092	[0.14,2.63]	0.389468	1	0.1		0.222299	1		2	0	0.236525	0	[0.00,0.00]	1	1	0.1		1	1		21	4	2.48351	1.7754	[0.59,5.35]	0.207876	1	0.1		0.838602	1		38	2	4.49397	0.40613	[0.10,1.70]	0.15277	1	0.1		0.104149	1		44	6	5.20354	1.18477	[0.49,2.85]	0.379502	1	0.1		0.527678	1		103	15	12.181	1.30165	[0.73,2.32]	0.196841	1	0.1		0.737341	1		11	3	1.30088	2.83333	[0.74,10.80]	0.0995347	1	0.1		0.968151	1		
3	69	26	1	1.44328	0.675882	[0.09,5.06]	0.571245	1	0.1		0.34822	1		44	1	2.44248	0.386799	[0.05,2.85]	0.285182	1	0.1		0.207778	1		29	0	1.60981	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.721641	0	[0.00,0.00]	1	1	0.1		1	1		26	1	1.44328	0.675882	[0.09,5.06]	0.571245	1	0.1		0.34822	1		2	0	0.111022	0	[0.00,0.00]	1	1	0.1		1	1		21	4	1.16573	4.18824	[1.37,12.80]	0.0207844	1	0.1		0.995374	1		38	2	2.10941	0.943615	[0.22,4.00]	0.646089	1	0.1		0.281289	1		44	2	2.44248	0.804549	[0.19,3.40]	0.553532	1	0.1		0.26835	1		103	2	5.71762	0.317127	[0.08,1.31]	0.0622513	1	0.1		0.0459057	1		11	0	0.610619	0	[0.00,0.00]	1	1	0.1		1	1		
4	161	26	2	3.36766	0.554507	[0.13,2.37]	0.324759	1	0.1		0.195335	1		44	3	5.69912	0.482093	[0.15,1.58]	0.15639	1	0.1		0.0959582	1		29	4	3.75623	1.0772	[0.37,3.14]	0.463808	1	0.1		0.428198	1		13	2	1.68383	1.2247	[0.27,5.58]	0.449372	1	0.1		0.605412	1		26	2	3.36766	0.554507	[0.13,2.37]	0.324759	1	0.1		0.195335	1		2	0	0.259051	0	[0.00,0.00]	1	1	0.1		1	1		21	4	2.72003	1.5961	[0.53,4.80]	0.21325	1	0.1		0.822692	1		38	2	4.92196	0.365479	[0.09,1.53]	0.110407	1	0.1		0.0780959	1		44	5	5.69912	0.857166	[0.33,2.21]	0.485128	1	0.1		0.179598	1		103	12	13.3411	0.877056	[0.47,1.64]	0.410047	1	0.1		0.116032	1		11	2	1.42478	1.49965	[0.32,7.00]	0.482038	1	0.1		0.622877	1		
5	125	26	1	2.61464	0.352581	[0.05,2.62]	0.245203	1	0.1		0.183493	1		44	3	4.42478	0.645942	[0.20,2.12]	0.337726	1	0.1		0.175242	1		29	2	2.91633	0.657031	[0.15,2.80]	0.428639	1	0.1		0.23585	1		13	1	1.30732	0.74328	[0.10,5.76]	0.618182	1	0.1		0.367831	1		26	1	2.61464	0.352581	[0.05,2.62]	0.245203	1	0.1		0.183493	1		2	1	0.201126	9.00806	[0.56,144.92]	0.181046	1	0.1		0.98996	1		21	1	2.11183	0.442742	[0.06,3.33]	0.359232	1	0.1		0.253286	1		38	4	3.8214	1.05396	[0.37,3.02]	0.454582	1	0.1		0.420949	1		44	3	4.42478	0.645942	[0.20,2.12]	0.337726	1	0.1		0.175242	1		103	7	10.358	0.631532	[0.29,1.39]	0.164113	1	0.1		0.0767155	1		11	4	1.10619	5.24675	[1.51,18.18]	0.0157079	1	0.1		0.997328	1		
6	1	26	0	0.0209171	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.0353982	0	[0.00,0.00]	1	1	0.1		1	1		29	0	0.0233307	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.0104586	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.0209171	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.00160901	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.0168946	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.0305712	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.0353982	0	[0.00,0.00]	1	1	0.1		1	1		103	1	0.082864	0	[0.00,0.00]	0.082864	1	0.1		1	1		11	0	0.00884956	0	[0.00,0.00]	1	1	0.1		1	1		
7	74	26	2	1.54787	1.32523	[0.31,5.72]	0.466564	1	0.1		0.60249	1		44	4	2.61947	1.61286	[0.56,4.64]	0.212208	1	0.1		0.820596	1		29	1	1.72647	0.558219	[0.07,4.16]	0.475717	1	0.1		0.310584	1		13	0	0.773934	0	[0.00,0.00]	1	1	0.1		1	1		26	2	1.54787	1.32523	[0.31,5.72]	0.466564	1	0.1		0.60249	1		2	0	0.119067	0	[0.00,0.00]	1	1	0.1		1	1		21	1	1.2502	0.786986	[0.10,5.95]	0.641267	1	0.1		0.368675	1		38	3	2.26227	1.36901	[0.41,4.56]	0.304685	1	0.1		0.720641	1		44	2	2.61947	0.74537	[0.18,3.14]	0.506198	1	0.1		0.257426	1		103	5	6.13194	0.791925	[0.31,2.01]	0.411706	1	0.1		0.163952	1		11	1	0.654867	1.58767	[0.20,12.57]	0.356529	1	0.1		0.864166	1		
8	57	26	0	1.19228	0	[0.00,0.00]	1	1	0.1		1	1		44	3	2.0177	1.55149	[0.47,5.17]	0.311723	1	0.1		0.73951	1		29	0	1.32985	0	[0.00,0.00]	1	1	0.1		1	1		13	1	0.596138	1.74702	[0.22,13.67]	0.341828	1	0.1		0.883401	1		26	0	1.19228	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0917136	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.962993	0	[0.00,0.00]	1	1	0.1		1	1		38	3	1.74256	1.82698	[0.54,6.13]	0.159122	1	0.1		0.90806	1		44	2	2.0177	0.990476	[0.23,4.20]	0.67199	1	0.1		0.28197	1		103	2	4.72325	0.390639	[0.09,1.63]	0.132458	1	0.1		0.0913474	1		11	0	0.504425	0	[0.00,0.00]	1	1	0.1		1	1		
9	4	26	0	0.0836685	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.141593	0	[0.00,0.00]	1	1	0.1		1	1		29	1	0.0933226	14.4167	[1.45,142.94]	0.0871473	1	0.1		0.996935	1		13	0	0.0418343	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.0836685	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.00643604	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.0675784	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.122285	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.141593	0	[0.00,0.00]	1	1	0.1		1	1		103	0	0.331456	0	[0.00,0.00]	1	1	0.1		1	1		11	0	0.0353982	0	[0.00,0.00]	1	1	0.1		1	1		
10	3	26	0	0.0627514	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.106195	0	[0.00,0.00]	1	1	0.1		1	1		29	0	0.069992	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.0313757	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.0627514	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.0506838	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.0917136	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.106195	0	[0.00,0.00]	1	1	0.1		1	1		103	0	0.248592	0	[0.00,0.00]	1	1	0.1		1	1		11	0	0.0265487	0	[0.00,0.00]	1	1	0.1		1	1		
