C	Cn	DOID:0060041	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1059	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10652	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10763	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12849	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12858	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:14330	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1826	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:3312	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:5419	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:9255	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
1	13	66	0	0.690265	0	[0.00,0.00]	1	1	0.1		1	1		69	2	0.721641	3.15604	[0.69,14.53]	0.128415	1	0.1		0.968644	1		209	1	2.18584	0.409455	[0.05,3.17]	0.329911	1	0.1		0.239735	1		111	0	1.1609	0	[0.00,0.00]	1	1	0.1		1	1		66	0	0.690265	0	[0.00,0.00]	1	1	0.1		1	1		39	1	0.407884	2.61404	[0.33,20.62]	0.280455	1	0.1		0.939827	1		80	0	0.836685	0	[0.00,0.00]	1	1	0.1		1	1		109	3	1.13998	3.18113	[0.86,11.74]	0.0766775	1	0.1		0.978497	1		79	0	0.826227	0	[0.00,0.00]	1	1	0.1		1	1		262	2	2.74014	0.678322	[0.15,3.08]	0.461739	1	0.1		0.257146	1		71	1	0.742558	1.38095	[0.18,10.77]	0.368991	1	0.1		0.832728	1		
2	51	66	4	2.70796	1.55113	[0.54,4.44]	0.213785	1	0.1		0.812991	1		69	1	2.83105	0.330588	[0.04,2.43]	0.210932	1	0.1		0.159868	1		209	8	8.57522	0.917274	[0.42,1.98]	0.504294	1	0.1		0.15124	1		111	3	4.5543	0.627315	[0.19,2.05]	0.315872	1	0.1		0.166732	1		66	4	2.70796	1.55113	[0.54,4.44]	0.213785	1	0.1		0.812991	1		39	2	1.60016	1.27413	[0.30,5.44]	0.459704	1	0.1		0.597286	1		80	7	3.28238	2.43867	[1.06,5.60]	0.0268774	1	0.1		0.986394	1		109	9	4.47224	2.34	[1.11,4.95]	0.0268388	1	0.1		0.981175	1		79	4	3.24135	1.26752	[0.44,3.61]	0.341212	1	0.1		0.630113	1		262	11	10.7498	1.03098	[0.52,2.04]	0.47737	1	0.1		0.274474	1		71	4	2.91311	1.42903	[0.50,4.08]	0.36839	1	0.1		0.64145	1		
3	24	66	0	1.27434	0	[0.00,0.00]	1	1	0.1		1	1		69	1	1.33226	0.735934	[0.10,5.53]	0.611156	1	0.1		0.360554	1		209	0	4.0354	0	[0.00,0.00]	1	1	0.1		1	1		111	1	2.1432	0.43834	[0.06,3.28]	0.352517	1	0.1		0.248901	1		66	0	1.27434	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.753017	0	[0.00,0.00]	1	1	0.1		1	1		80	2	1.54465	1.32984	[0.31,5.76]	0.466971	1	0.1		0.603453	1		109	0	2.10459	0	[0.00,0.00]	1	1	0.1		1	1		79	0	1.52534	0	[0.00,0.00]	1	1	0.1		1	1		262	0	5.05873	0	[0.00,0.00]	1	1	0.1		1	1		71	0	1.37088	0	[0.00,0.00]	1	1	0.1		1	1		
4	3	66	0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1		69	0	0.166533	0	[0.00,0.00]	1	1	0.1		1	1		209	1	0.504425	2.48077	[0.22,27.49]	0.349562	1	0.1		0.924917	1		111	1	0.2679	5.13636	[0.46,57.10]	0.22253	1	0.1		0.977662	1		66	0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.0941271	0	[0.00,0.00]	1	1	0.1		1	1		80	0	0.193081	0	[0.00,0.00]	1	1	0.1		1	1		109	0	0.263073	0	[0.00,0.00]	1	1	0.1		1	1		79	0	0.190668	0	[0.00,0.00]	1	1	0.1		1	1		262	0	0.632341	0	[0.00,0.00]	1	1	0.1		1	1		71	0	0.17136	0	[0.00,0.00]	1	1	0.1		1	1		
5	73	66	3	3.87611	0.753061	[0.23,2.46]	0.448056	1	0.1		0.207865	1		69	4	4.05229	0.985507	[0.35,2.78]	0.618452	1	0.1		0.206938	1		209	19	12.2743	1.81481	[1.05,3.13]	0.0228132	1	0.1		0.977596	1		111	12	6.51891	2.12817	[1.11,4.09]	0.021683	1	0.1		0.982694	1		66	3	3.87611	0.753061	[0.23,2.46]	0.448056	1	0.1		0.207865	1		39	3	2.29043	1.35	[0.41,4.49]	0.303914	1	0.1		0.717476	1		80	2	4.69831	0.394366	[0.09,1.64]	0.135666	1	0.1		0.0931965	1		109	7	6.40145	1.11052	[0.50,2.48]	0.524585	1	0.1		0.326784	1		79	3	4.63958	0.616917	[0.19,2.01]	0.302762	1	0.1		0.161193	1		262	12	15.387	0.723934	[0.38,1.37]	0.198495	1	0.1		0.0754614	1		71	1	4.16975	0.218254	[0.03,1.59]	0.0682557	1	0.1		0.0563058	1		
6	9	66	0	0.477876	0	[0.00,0.00]	1	1	0.1		1	1		69	0	0.499598	0	[0.00,0.00]	1	1	0.1		1	1		209	1	1.51327	0.616587	[0.08,4.96]	0.537263	1	0.1		0.347641	1		111	1	0.803701	1.27727	[0.16,10.31]	0.381889	1	0.1		0.811563	1		66	0	0.477876	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.282381	0	[0.00,0.00]	1	1	0.1		1	1		80	0	0.579244	0	[0.00,0.00]	1	1	0.1		1	1		109	0	0.78922	0	[0.00,0.00]	1	1	0.1		1	1		79	1	0.572003	1.85256	[0.23,15.00]	0.339931	1	0.1		0.892618	1		262	2	1.89702	1.07033	[0.22,5.18]	0.709701	1	0.1		0.30618	1		71	0	0.514079	0	[0.00,0.00]	1	1	0.1		1	1		
7	58	66	3	3.07965	0.971429	[0.30,3.19]	0.628846	1	0.1		0.23519	1		69	4	3.21963	1.27635	[0.45,3.63]	0.34298	1	0.1		0.630922	1		209	12	9.75221	1.30832	[0.68,2.51]	0.309603	1	0.1		0.626395	1		111	4	5.1794	0.746279	[0.27,2.10]	0.39562	1	0.1		0.174738	1		66	3	3.07965	0.971429	[0.30,3.19]	0.628846	1	0.1		0.23519	1		39	3	1.81979	1.74091	[0.52,5.83]	0.318923	1	0.1		0.745376	1		80	6	3.7329	1.73233	[0.72,4.16]	0.190357	1	0.1		0.827159	1		109	4	5.08608	0.761905	[0.27,2.15]	0.412572	1	0.1		0.178961	1		79	5	3.68624	1.41637	[0.55,3.65]	0.253097	1	0.1		0.739243	1		262	11	12.2253	0.870899	[0.45,1.70]	0.416415	1	0.1		0.124658	1		71	10	3.31295	3.8388	[1.85,7.95]	0.000858553	0.278785	0.1		0.999745	1		
8	109	66	1	5.78761	0.152279	[0.02,1.11]	0.0152308	1	0.1		0.0132604	1		69	4	6.05068	0.62652	[0.22,1.75]	0.258366	1	0.1		0.130818	1		209	18	18.3274	0.976584	[0.58,1.66]	0.528223	1	0.1		0.106739	1		111	3	9.73371	0.268868	[0.08,0.86]	0.00775262	1	0.1		0.00590313	1		66	1	5.78761	0.152279	[0.02,1.11]	0.0152308	1	0.1		0.0132604	1		39	4	3.41995	1.19619	[0.42,3.43]	0.518367	1	0.1		0.428551	1		80	8	7.01529	1.16832	[0.55,2.49]	0.419843	1	0.1		0.459611	1		109	8	9.55833	0.810117	[0.38,1.71]	0.367223	1	0.1		0.128447	1		79	7	6.92759	1.01225	[0.45,2.26]	0.610992	1	0.1		0.161243	1		262	32	22.9751	1.63343	[1.06,2.53]	0.0241966	1	0.1		0.973235	1		71	6	6.22607	0.958028	[0.41,2.26]	0.567799	1	0.1		0.171854	1		
9	34	66	1	1.80531	0.533333	[0.07,3.96]	0.451544	1	0.1		0.299075	1		69	5	1.88737	3.08459	[1.16,8.23]	0.0268574	1	0.1		0.990816	1		209	4	5.71681	0.653008	[0.23,1.87]	0.298122	1	0.1		0.148342	1		111	2	3.0362	0.630734	[0.15,2.67]	0.401328	1	0.1		0.225143	1		66	1	1.80531	0.533333	[0.07,3.96]	0.451544	1	0.1		0.299075	1		39	0	1.06677	0	[0.00,0.00]	1	1	0.1		1	1		80	1	2.18825	0.433448	[0.06,3.21]	0.343823	1	0.1		0.242909	1		109	1	2.9815	0.308923	[0.04,2.28]	0.184378	1	0.1		0.142148	1		79	1	2.1609	0.439394	[0.06,3.26]	0.350822	1	0.1		0.246871	1		262	3	7.16653	0.354963	[0.11,1.17]	0.0501806	1	0.1		0.0351881	1		71	1	1.94208	0.493074	[0.07,3.66]	0.41067	1	0.1		0.27902	1		
10	69	66	5	3.66372	1.42546	[0.55,3.67]	0.253868	1	0.1		0.740149	1		69	1	3.83025	0.239187	[0.03,1.75]	0.09187	1	0.1		0.0745514	1		209	9	11.6018	0.7305	[0.36,1.50]	0.248714	1	0.1		0.0974134	1		111	8	6.16171	1.36368	[0.64,2.93]	0.232964	1	0.1		0.727352	1		66	5	3.66372	1.42546	[0.55,3.67]	0.253868	1	0.1		0.740149	1		39	0	2.16492	0	[0.00,0.00]	1	1	0.1		1	1		80	5	4.44087	1.14479	[0.45,2.93]	0.518135	1	0.1		0.382322	1		109	9	6.05068	1.611	[0.78,3.34]	0.117781	1	0.1		0.880311	1		79	4	4.38536	0.901744	[0.32,2.54]	0.549781	1	0.1		0.202574	1		262	18	14.5438	1.34523	[0.77,2.34]	0.173245	1	0.1		0.776852	1		71	3	3.94127	0.739305	[0.23,2.41]	0.434359	1	0.1		0.204305	1		
