C	Cn	DOID:0060041	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1059	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10652	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10763	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12849	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12858	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:14330	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1826	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:3312	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:5419	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:9255	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
1	4	66	0	0.212389	0	[0.00,0.00]	1	1	0.1		1	1		69	0	0.222043	0	[0.00,0.00]	1	1	0.1		1	1		209	0	0.672566	0	[0.00,0.00]	1	1	0.1		1	1		111	0	0.3572	0	[0.00,0.00]	1	1	0.1		1	1		66	0	0.212389	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.125503	0	[0.00,0.00]	1	1	0.1		1	1		80	1	0.257442	4.89451	[0.50,47.60]	0.21134	1	0.1		0.977448	1		109	0	0.350764	0	[0.00,0.00]	1	1	0.1		1	1		79	0	0.254224	0	[0.00,0.00]	1	1	0.1		1	1		262	0	0.843121	0	[0.00,0.00]	1	1	0.1		1	1		71	0	0.228479	0	[0.00,0.00]	1	1	0.1		1	1		
2	4	66	0	0.212389	0	[0.00,0.00]	1	1	0.1		1	1		69	0	0.222043	0	[0.00,0.00]	1	1	0.1		1	1		209	1	0.672566	1.65224	[0.17,15.96]	0.387901	1	0.1		0.866281	1		111	0	0.3572	0	[0.00,0.00]	1	1	0.1		1	1		66	0	0.212389	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.125503	0	[0.00,0.00]	1	1	0.1		1	1		80	0	0.257442	0	[0.00,0.00]	1	1	0.1		1	1		109	0	0.350764	0	[0.00,0.00]	1	1	0.1		1	1		79	0	0.254224	0	[0.00,0.00]	1	1	0.1		1	1		262	2	0.843121	3.76538	[0.53,26.86]	0.166036	1	0.1		0.968695	1		71	0	0.228479	0	[0.00,0.00]	1	1	0.1		1	1		
3	37	66	1	1.9646	0.487607	[0.07,3.61]	0.404521	1	0.1		0.275702	1		69	1	2.0539	0.464869	[0.06,3.44]	0.379604	1	0.1		0.262566	1		209	15	6.22124	3.5567	[1.81,6.98]	0.000324769	0.14327	0.1		0.999889	1		111	13	3.3041	6.12415	[3.02,12.41]	5.60898e-06	0.00989749	0.1	**	0.999999	1		66	1	1.9646	0.487607	[0.07,3.61]	0.404521	1	0.1		0.275702	1		39	4	1.1609	4.05541	[1.36,12.07]	0.0210499	1	0.1		0.995121	1		80	1	2.38134	0.396273	[0.05,2.93]	0.297962	1	0.1		0.215798	1		109	2	3.24457	0.586916	[0.14,2.47]	0.355203	1	0.1		0.206604	1		79	0	2.35157	0	[0.00,0.00]	1	1	0.1		1	1		262	8	7.79887	1.03394	[0.47,2.29]	0.625771	1	0.1		0.159477	1		71	3	2.11344	1.47664	[0.44,4.93]	0.308772	1	0.1		0.734167	1		
4	31	66	1	1.64602	0.588205	[0.08,4.38]	0.502151	1	0.1		0.321767	1		69	3	1.72084	1.86039	[0.55,6.28]	0.156726	1	0.1		0.911831	1		209	1	5.21239	0.160897	[0.02,1.19]	0.0229314	1	0.1		0.0198547	1		111	1	2.7683	0.333939	[0.05,2.47]	0.218568	1	0.1		0.165549	1		66	1	1.64602	0.588205	[0.08,4.38]	0.502151	1	0.1		0.321767	1		39	0	0.972647	0	[0.00,0.00]	1	1	0.1		1	1		80	1	1.99517	0.478059	[0.06,3.55]	0.395035	1	0.1		0.271156	1		109	0	2.71842	0	[0.00,0.00]	1	1	0.1		1	1		79	1	1.97023	0.484615	[0.07,3.60]	0.402119	1	0.1		0.27485	1		262	2	6.53419	0.25252	[0.06,1.07]	0.0262339	1	0.1		0.02063	1		71	0	1.77072	0	[0.00,0.00]	1	1	0.1		1	1		
5	31	66	0	1.64602	0	[0.00,0.00]	1	1	0.1		1	1		69	2	1.72084	1.17859	[0.28,5.04]	0.443807	1	0.1		0.588614	1		209	4	5.21239	0.727733	[0.25,2.10]	0.382737	1	0.1		0.175564	1		111	0	2.7683	0	[0.00,0.00]	1	1	0.1		1	1		66	0	1.64602	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.972647	0	[0.00,0.00]	1	1	0.1		1	1		80	2	1.99517	1.00265	[0.23,4.28]	0.678386	1	0.1		0.283351	1		109	0	2.71842	0	[0.00,0.00]	1	1	0.1		1	1		79	0	1.97023	0	[0.00,0.00]	1	1	0.1		1	1		262	5	6.53419	0.714606	[0.27,1.88]	0.334877	1	0.1		0.15084	1		71	1	1.77072	0.54381	[0.07,4.05]	0.461966	1	0.1		0.304154	1		
6	3	66	0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1		69	0	0.166533	0	[0.00,0.00]	1	1	0.1		1	1		209	1	0.504425	2.48077	[0.22,27.49]	0.349562	1	0.1		0.924917	1		111	1	0.2679	5.13636	[0.46,57.10]	0.22253	1	0.1		0.977662	1		66	0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.0941271	0	[0.00,0.00]	1	1	0.1		1	1		80	0	0.193081	0	[0.00,0.00]	1	1	0.1		1	1		109	0	0.263073	0	[0.00,0.00]	1	1	0.1		1	1		79	0	0.190668	0	[0.00,0.00]	1	1	0.1		1	1		262	0	0.632341	0	[0.00,0.00]	1	1	0.1		1	1		71	0	0.17136	0	[0.00,0.00]	1	1	0.1		1	1		
7	47	66	2	2.49558	0.786111	[0.19,3.31]	0.539238	1	0.1		0.265208	1		69	1	2.60901	0.360614	[0.05,2.65]	0.251041	1	0.1		0.186256	1		209	4	7.90265	0.449688	[0.16,1.27]	0.080897	1	0.1		0.0502934	1		111	2	4.1971	0.443221	[0.11,1.85]	0.19172	1	0.1		0.126208	1		66	2	2.49558	0.786111	[0.19,3.31]	0.539238	1	0.1		0.265208	1		39	1	1.47466	0.662471	[0.09,4.93]	0.560862	1	0.1		0.343718	1		80	4	3.02494	1.37087	[0.48,3.92]	0.358552	1	0.1		0.640076	1		109	0	4.12148	0	[0.00,0.00]	1	1	0.1		1	1		79	1	2.98713	0.311594	[0.04,2.29]	0.18575	1	0.1		0.142763	1		262	8	9.90668	0.760751	[0.35,1.65]	0.312979	1	0.1		0.120817	1		71	4	2.68463	1.56751	[0.55,4.50]	0.213347	1	0.1		0.81523	1		
8	47	66	8	2.49558	4.02476	[1.80,9.00]	0.00194289	0.491396	0.1		0.999474	1		69	11	2.60901	5.99521	[2.90,12.38]	2.08005e-05	0.0234015	0.1	*	0.999996	1		209	11	7.90265	1.54012	[0.77,3.08]	0.150677	1	0.1		0.838051	1		111	2	4.1971	0.443221	[0.11,1.85]	0.19172	1	0.1		0.126208	1		66	8	2.49558	4.02476	[1.80,9.00]	0.00194289	0.491396	0.1		0.999474	1		39	2	1.47466	1.39219	[0.33,5.96]	0.476342	1	0.1		0.602915	1		80	7	3.02494	2.69212	[1.17,6.22]	0.0187894	1	0.1		0.991698	1		109	10	4.12148	2.99481	[1.45,6.20]	0.0040633	0.84353	0.1		0.998339	1		79	6	2.98713	2.25125	[0.93,5.48]	0.0896621	1	0.1		0.931566	1		262	19	9.90668	2.66123	[1.46,4.85]	0.00224309	0.527749	0.1		0.998285	1		71	1	2.68463	0.349689	[0.05,2.57]	0.236623	1	0.1		0.176924	1		
9	18	66	2	0.955752	2.26758	[0.51,10.08]	0.181271	1	0.1		0.934122	1		69	2	0.999195	2.16045	[0.49,9.59]	0.190274	1	0.1		0.9266	1		209	3	3.02655	0.98932	[0.28,3.45]	0.641595	1	0.1		0.246944	1		111	1	1.6074	0.596257	[0.08,4.52]	0.512113	1	0.1		0.328687	1		66	2	0.955752	2.26758	[0.51,10.08]	0.181271	1	0.1		0.934122	1		39	1	0.564763	1.83746	[0.24,14.17]	0.331844	1	0.1		0.892955	1		80	0	1.15849	0	[0.00,0.00]	1	1	0.1		1	1		109	4	1.57844	3.04762	[0.99,9.43]	0.0494406	1	0.1		0.983963	1		79	1	1.14401	0.865008	[0.11,6.59]	0.681099	1	0.1		0.377004	1		262	3	3.79405	0.745946	[0.21,2.60]	0.454317	1	0.1		0.220371	1		71	1	1.02816	0.970588	[0.13,7.40]	0.725282	1	0.1		0.380974	1		
10	4	66	0	0.212389	0	[0.00,0.00]	1	1	0.1		1	1		69	0	0.222043	0	[0.00,0.00]	1	1	0.1		1	1		209	1	0.672566	1.65224	[0.17,15.96]	0.387901	1	0.1		0.866281	1		111	0	0.3572	0	[0.00,0.00]	1	1	0.1		1	1		66	0	0.212389	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.125503	0	[0.00,0.00]	1	1	0.1		1	1		80	0	0.257442	0	[0.00,0.00]	1	1	0.1		1	1		109	0	0.350764	0	[0.00,0.00]	1	1	0.1		1	1		79	0	0.254224	0	[0.00,0.00]	1	1	0.1		1	1		262	1	0.843121	1.24904	[0.13,12.06]	0.802659	1	0.1		0.415196	1		71	0	0.228479	0	[0.00,0.00]	1	1	0.1		1	1		
