C	Cn	DOID:0060041	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1059	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10652	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10763	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12849	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12858	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:14330	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1826	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:3312	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:5419	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:9255	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
1	17	26	0	0.355591	0	[0.00,0.00]	1	1	0.1		1	1		44	1	0.60177	1.71948	[0.22,13.26]	0.341251	1	0.1		0.880957	1		29	1	0.396621	2.67411	[0.34,20.87]	0.27476	1	0.1		0.942432	1		13	1	0.177796	6.32292	[0.78,51.57]	0.15207	1	0.1		0.987425	1		26	0	0.355591	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0273532	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.287208	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.51971	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.60177	0	[0.00,0.00]	1	1	0.1		1	1		103	0	1.40869	0	[0.00,0.00]	1	1	0.1		1	1		11	0	0.150442	0	[0.00,0.00]	1	1	0.1		1	1		
2	13	26	0	0.271923	0	[0.00,0.00]	1	1	0.1		1	1		44	3	0.460177	8.7	[2.31,32.81]	0.00846458	1	0.1		0.999225	1		29	0	0.303298	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.135961	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.271923	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0209171	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.21963	0	[0.00,0.00]	1	1	0.1		1	1		38	1	0.397426	2.68694	[0.34,21.21]	0.276012	1	0.1		0.942576	1		44	1	0.460177	2.30039	[0.29,18.10]	0.300928	1	0.1		0.925407	1		103	1	1.07723	0.921569	[0.12,7.16]	0.706348	1	0.1		0.383381	1		11	0	0.115044	0	[0.00,0.00]	1	1	0.1		1	1		
3	13	26	0	0.271923	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.460177	0	[0.00,0.00]	1	1	0.1		1	1		29	1	0.303298	3.57738	[0.45,28.47]	0.230409	1	0.1		0.965029	1		13	1	0.135961	8.45833	[1.02,70.31]	0.120946	1	0.1		0.992615	1		26	0	0.271923	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0209171	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.21963	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.397426	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.460177	0	[0.00,0.00]	1	1	0.1		1	1		103	1	1.07723	0.921569	[0.12,7.16]	0.706348	1	0.1		0.383381	1		11	0	0.115044	0	[0.00,0.00]	1	1	0.1		1	1		
4	15	26	0	0.313757	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.530973	0	[0.00,0.00]	1	1	0.1		1	1		29	0	0.34996	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.156879	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.313757	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0241352	0	[0.00,0.00]	1	1	0.1		1	1		21	1	0.253419	4.31429	[0.54,34.41]	0.201655	1	0.1		0.974987	1		38	0	0.458568	0	[0.00,0.00]	1	1	0.1		1	1		44	1	0.530973	1.96844	[0.25,15.31]	0.323362	1	0.1		0.903945	1		103	2	1.24296	1.71668	[0.38,7.71]	0.235683	1	0.1		0.878814	1		11	0	0.132743	0	[0.00,0.00]	1	1	0.1		1	1		
5	3	26	0	0.0627514	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.106195	0	[0.00,0.00]	1	1	0.1		1	1		29	0	0.069992	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.0313757	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.0627514	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.0506838	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.0917136	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.106195	0	[0.00,0.00]	1	1	0.1		1	1		103	0	0.248592	0	[0.00,0.00]	1	1	0.1		1	1		11	0	0.0265487	0	[0.00,0.00]	1	1	0.1		1	1		
6	17	26	1	0.355591	3.0025	[0.38,23.53]	0.256322	1	0.1		0.952798	1		44	1	0.60177	1.71948	[0.22,13.26]	0.341251	1	0.1		0.880957	1		29	0	0.396621	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.177796	0	[0.00,0.00]	1	1	0.1		1	1		26	1	0.355591	3.0025	[0.38,23.53]	0.256322	1	0.1		0.952798	1		2	0	0.0273532	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.287208	0	[0.00,0.00]	1	1	0.1		1	1		38	1	0.51971	2.00845	[0.26,15.55]	0.319381	1	0.1		0.90722	1		44	1	0.60177	1.71948	[0.22,13.26]	0.341251	1	0.1		0.880957	1		103	2	1.40869	1.48515	[0.33,6.59]	0.484628	1	0.1		0.611551	1		11	0	0.150442	0	[0.00,0.00]	1	1	0.1		1	1		
7	22	26	3	0.460177	8.22426	[2.27,29.75]	0.00876287	1	0.1		0.999146	1		44	7	0.778761	14.9333	[5.75,38.81]	4.6197e-06	0.0346199	0.1	**	1	1		29	0	0.513274	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.230088	0	[0.00,0.00]	1	1	0.1		1	1		26	3	0.460177	8.22426	[2.27,29.75]	0.00876287	1	0.1		0.999146	1		2	0	0.0353982	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.371681	0	[0.00,0.00]	1	1	0.1		1	1		38	3	0.672566	5.35038	[1.51,18.92]	0.0235195	1	0.1		0.996338	1		44	3	0.778761	4.54429	[1.29,15.97]	0.0335591	1	0.1		0.993724	1		103	6	1.82301	4.34536	[1.66,11.36]	0.00565982	1	0.1		0.99868	1		11	0	0.19469	0	[0.00,0.00]	1	1	0.1		1	1		
8	16	26	0	0.334674	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.566372	0	[0.00,0.00]	1	1	0.1		1	1		29	0	0.37329	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.167337	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.334674	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0257442	0	[0.00,0.00]	1	1	0.1		1	1		21	1	0.270314	4.02333	[0.51,31.95]	0.211596	1	0.1		0.971702	1		38	0	0.489139	0	[0.00,0.00]	1	1	0.1		1	1		44	1	0.566372	1.83566	[0.24,14.22]	0.332842	1	0.1		0.892622	1		103	1	1.32582	0.735294	[0.10,5.62]	0.612231	1	0.1		0.36385	1		11	1	0.141593	8.11333	[0.98,67.44]	0.125337	1	0.1		0.992011	1		
9	7	26	0	0.14642	0	[0.00,0.00]	1	1	0.1		1	1		44	1	0.247788	4.62403	[0.54,39.25]	0.200482	1	0.1		0.977027	1		29	0	0.163315	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.07321	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.14642	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0112631	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.118262	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.213998	0	[0.00,0.00]	1	1	0.1		1	1		44	1	0.247788	4.62403	[0.54,39.25]	0.200482	1	0.1		0.977027	1		103	2	0.580048	4.49505	[0.86,23.46]	0.0934154	1	0.1		0.984875	1		11	0	0.0619469	0	[0.00,0.00]	1	1	0.1		1	1		
10	11	26	1	0.230088	4.828	[0.60,39.17]	0.187612	1	0.1		0.979385	1		44	0	0.389381	0	[0.00,0.00]	1	1	0.1		1	1		29	0	0.256637	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.115044	0	[0.00,0.00]	1	1	0.1		1	1		26	1	0.230088	4.828	[0.60,39.17]	0.187612	1	0.1		0.979385	1		2	0	0.0176991	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.185841	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.336283	0	[0.00,0.00]	1	1	0.1		1	1		44	1	0.389381	2.76512	[0.35,22.09]	0.27339	1	0.1		0.945004	1		103	2	0.911504	2.48845	[0.53,11.67]	0.173894	1	0.1		0.944141	1		11	0	0.0973451	0	[0.00,0.00]	1	1	0.1		1	1		
