C	Cn	Differentiallly expressed proteins	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Differentially expressed proteins in 2	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Differentially expressed proteins in 3	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
1	17		6	3.02253	2.5649	[0.94,7.01]	0.0798334	1	0.1		0.945081	1			1	0.51971	2.00845	[0.26,15.55]	0.319381	1	0.1		0.90722	1			0	0.0547064	0	[0.00,0.00]	1	1	0.1		1	1		
2	13		2	2.31134	0.839352	[0.18,3.81]	0.585108	1	0.1		0.287499	1			0	0.397426	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0418343	0	[0.00,0.00]	1	1	0.1		1	1		
3	13		3	2.31134	1.39266	[0.38,5.10]	0.525733	1	0.1		0.515624	1			1	0.397426	2.68694	[0.34,21.21]	0.276012	1	0.1		0.942576	1			0	0.0418343	0	[0.00,0.00]	1	1	0.1		1	1		
4	15		3	2.66693	1.15826	[0.32,4.14]	0.469003	1	0.1		0.507061	1			1	0.458568	2.29923	[0.29,17.95]	0.299596	1	0.1		0.925593	1			0	0.0482703	0	[0.00,0.00]	1	1	0.1		1	1		
5	3		0	0.533387	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0917136	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00965406	0	[0.00,0.00]	1	1	0.1		1	1		
6	17		5	3.02253	1.9483	[0.68,5.59]	0.1399	1	0.1		0.900265	1			0	0.51971	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0547064	0	[0.00,0.00]	1	1	0.1		1	1		
7	22		5	3.9115	1.36846	[0.50,3.75]	0.389728	1	0.1		0.597463	1			1	0.672566	1.52381	[0.20,11.63]	0.354511	1	0.1		0.856593	1			0	0.0707965	0	[0.00,0.00]	1	1	0.1		1	1		
8	16		2	2.84473	0.657534	[0.15,2.91]	0.43817	1	0.1		0.245489	1			1	0.489139	2.14414	[0.28,16.66]	0.30994	1	0.1		0.916566	1			0	0.0514883	0	[0.00,0.00]	1	1	0.1		1	1		
9	7		0	1.24457	0	[0.00,0.00]	1	1	0.1		1	1			0	0.213998	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0225261	0	[0.00,0.00]	1	1	0.1		1	1		
10	11		0	1.95575	0	[0.00,0.00]	1	1	0.1		1	1			0	0.336283	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0353982	0	[0.00,0.00]	1	1	0.1		1	1		
11	14		5	2.48914	2.60545	[0.86,7.85]	0.0606277	1	0.1		0.97494	1			1	0.427997	2.47817	[0.32,19.45]	0.288302	1	0.1		0.934273	1			0	0.0450523	0	[0.00,0.00]	1	1	0.1		1	1		
12	18		7	3.20032	3.00637	[1.15,7.84]	0.0202097	1	0.1		0.992448	1			3	0.550282	6.8	[1.88,24.56]	0.0139964	1	0.1		0.998327	1			2	0.0579244	76.4375	[10.13,576.84]	0.00115879	1	0.1		0.99999	1		
13	15		1	2.66693	0.327273	[0.04,2.50]	0.223367	1	0.1		0.171284	1			0	0.458568	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0482703	0	[0.00,0.00]	1	1	0.1		1	1		
14	15		1	2.66693	0.327273	[0.04,2.50]	0.223367	1	0.1		0.171284	1			0	0.458568	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0482703	0	[0.00,0.00]	1	1	0.1		1	1		
15	6		0	1.06677	0	[0.00,0.00]	1	1	0.1		1	1			0	0.183427	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0193081	0	[0.00,0.00]	1	1	0.1		1	1		
16	16		4	2.84473	1.55146	[0.50,4.86]	0.367106	1	0.1		0.668566	1			0	0.489139	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0514883	0	[0.00,0.00]	1	1	0.1		1	1		
17	4		1	0.711183	1.54394	[0.16,14.91]	0.396043	1	0.1		0.852569	1			0	0.122285	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0128721	0	[0.00,0.00]	1	1	0.1		1	1		
18	3		1	0.533387	2.31818	[0.21,25.68]	0.361098	1	0.1		0.916635	1			0	0.0917136	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00965406	0	[0.00,0.00]	1	1	0.1		1	1		
19	27		1	4.80048	0.174126	[0.02,1.29]	0.0332695	1	0.1		0.0285106	1			1	0.825422	1.22557	[0.16,9.28]	0.37294	1	0.1		0.801494	1			0	0.0868866	0	[0.00,0.00]	1	1	0.1		1	1		
20	10		4	1.77796	3.12135	[0.87,11.16]	0.0644624	1	0.1		0.980195	1			0	0.305712	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0321802	0	[0.00,0.00]	1	1	0.1		1	1		
21	16		5	2.84473	2.12753	[0.73,6.19]	0.132562	1	0.1		0.90839	1			0	0.489139	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0514883	0	[0.00,0.00]	1	1	0.1		1	1		
22	7		0	1.24457	0	[0.00,0.00]	1	1	0.1		1	1			0	0.213998	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0225261	0	[0.00,0.00]	1	1	0.1		1	1		
23	19		3	3.37812	0.865252	[0.25,3.00]	0.5549	1	0.1		0.239132	1			0	0.580853	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0611424	0	[0.00,0.00]	1	1	0.1		1	1		
24	18		0	3.20032	0	[0.00,0.00]	1	1	0.1		1	1			0	0.550282	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0579244	0	[0.00,0.00]	1	1	0.1		1	1		
