community,Significant enrichment,Enriched Dis terms,Enriched Dis IDs,p values
1.0,NO,[],[],[]
2.0,YES,['intellectual_disability'],['DOID:1059'],[0.0271024]
3.0,NO,[],[],[]
4.0,NO,[],[],[]
5.0,NO,[],[],[]
6.0,YES,['epilepsy_syndrome'],['DOID:1826'],[0.0420556]
7.0,YES,"['intellectual_disability', 'bipolar_disorder', 'schizophrenia', 'autism_spectrum_disorder', 'autistic_disorder', ""Parkinson's_disease""]","['DOID:1059', 'DOID:3312', 'DOID:5419', 'DOID:0060041', 'DOID:12849', 'DOID:14330']","[9.4845e-06, 0.00842627, 0.0113959, 0.0210013, 0.0210013, 0.0370973]"
8.0,YES,"['bipolar_disorder', 'schizophrenia']","['DOID:3312', 'DOID:5419']","[0.013013399999999998, 0.0466787]"
9.0,YES,"['autism_spectrum_disorder', 'autistic_disorder']","['DOID:0060041', 'DOID:12849']","[0.044762699999999996, 0.044762699999999996]"
10.0,NO,[],[],[]
11.0,NO,[],[],[]
12.0,NO,[],[],[]
13.0,NO,[],[],[]
14.0,YES,"[""Huntington's_disease"", 'hypertension', ""Parkinson's_disease"", 'epilepsy_syndrome']","['DOID:12858', 'DOID:10763', 'DOID:14330', 'DOID:1826']","[5.33002e-05, 0.00100506, 0.0108386, 0.028843599999999997]"
15.0,NO,[],[],[]
16.0,NO,[],[],[]
17.0,NO,[],[],[]
18.0,NO,[],[],[]
19.0,NO,[],[],[]
20.0,YES,['frontotemporal_dementia'],['DOID:9255'],[0.0144589]
21.0,YES,"[""Alzheimer's_disease""]",['DOID:10652'],[0.0281687]
22.0,NO,[],[],[]
23.0,NO,[],[],[]
24.0,YES,"['intellectual_disability', 'epilepsy_syndrome']","['DOID:1059', 'DOID:1826']","[0.0125166, 0.0494406]"
25.0,NO,[],[],[]
26.0,YES,"['schizophrenia', 'bipolar_disorder']","['DOID:5419', 'DOID:3312']","[0.00147521, 0.010103299999999999]"
27.0,NO,[],[],[]
28.0,NO,[],[],[]
29.0,NO,[],[],[]
30.0,NO,[],[],[]
31.0,YES,"[""Alzheimer's_disease"", ""Huntington's_disease""]","['DOID:10652', 'DOID:12858']","[0.00400459, 0.0401718]"
32.0,YES,"['frontotemporal_dementia', ""Parkinson's_disease""]","['DOID:9255', 'DOID:14330']","[0.0137341, 0.0200565]"
33.0,NO,[],[],[]
34.0,YES,"[""Alzheimer's_disease""]",['DOID:10652'],[0.0432093]
35.0,YES,"[""Alzheimer's_disease"", 'schizophrenia', 'hypertension', 'autism_spectrum_disorder', 'autistic_disorder', ""Parkinson's_disease""]","['DOID:10652', 'DOID:5419', 'DOID:10763', 'DOID:0060041', 'DOID:12849', 'DOID:14330']","[7.44411e-06, 0.0117553, 0.0244605, 0.029325099999999996, 0.029325099999999996, 0.04613219999999999]"
36.0,NO,[],[],[]
37.0,NO,[],[],[]
38.0,NO,[],[],[]
39.0,NO,[],[],[]
40.0,NO,[],[],[]
41.0,YES,['hypertension'],['DOID:10763'],[0.0394811]
42.0,NO,[],[],[]
43.0,NO,[],[],[]
44.0,YES,"['epilepsy_syndrome', 'frontotemporal_dementia']","['DOID:1826', 'DOID:9255']","[0.00210699, 0.010701]"
45.0,NO,[],[],[]
46.0,NO,[],[],[]
47.0,NO,[],[],[]
48.0,NO,[],[],[]
49.0,YES,['hypertension'],['DOID:10763'],[0.033736699999999994]
50.0,NO,[],[],[]
51.0,YES,"[""Parkinson's_disease""]",['DOID:14330'],[0.025383000000000003]
52.0,NO,[],[],[]
53.0,YES,['bipolar_disorder'],['DOID:3312'],[0.0103949]
54.0,NO,[],[],[]
55.0,NO,[],[],[]
56.0,NO,[],[],[]
57.0,NO,[],[],[]
58.0,YES,"[""Huntington's_disease""]",['DOID:12858'],[0.0401718]
59.0,NO,[],[],[]
60.0,NO,[],[],[]
61.0,YES,['schizophrenia'],['DOID:5419'],[0.046017800000000005]
62.0,NO,[],[],[]
63.0,YES,"['schizophrenia', ""Alzheimer's_disease""]","['DOID:5419', 'DOID:10652']","[0.0282404, 0.0391719]"
64.0,NO,[],[],[]
65.0,NO,[],[],[]
66.0,NO,[],[],[]
67.0,NO,[],[],[]
68.0,NO,[],[],[]
69.0,YES,['frontotemporal_dementia'],['DOID:9255'],[0.0137341]
70.0,YES,['schizophrenia'],['DOID:5419'],[0.029782599999999996]
71.0,YES,"['autism_spectrum_disorder', 'autistic_disorder']","['DOID:0060041', 'DOID:12849']","[0.0155621, 0.0155621]"
72.0,NO,[],[],[]
73.0,YES,"['schizophrenia', 'intellectual_disability']","['DOID:5419', 'DOID:1059']","[0.0336522, 0.0483355]"
74.0,NO,[],[],[]
75.0,NO,[],[],[]
76.0,NO,[],[],[]
77.0,NO,[],[],[]
78.0,YES,"[""Alzheimer's_disease"", 'hypertension', ""Huntington's_disease""]","['DOID:10652', 'DOID:10763', 'DOID:12858']","[0.000160386, 0.0028504000000000003, 0.014974000000000001]"
79.0,YES,"['schizophrenia', 'epilepsy_syndrome', 'autism_spectrum_disorder', 'autistic_disorder']","['DOID:5419', 'DOID:1826', 'DOID:0060041', 'DOID:12849']","[0.00457325, 0.00592783, 0.034777300000000004, 0.034777300000000004]"
80.0,NO,[],[],[]
81.0,NO,[],[],[]
82.0,NO,[],[],[]
83.0,NO,[],[],[]
84.0,NO,[],[],[]
85.0,NO,[],[],[]
86.0,NO,[],[],[]
87.0,NO,[],[],[]
88.0,YES,['bipolar_disorder'],['DOID:3312'],[0.019066299999999998]
89.0,NO,[],[],[]
90.0,NO,[],[],[]
91.0,NO,[],[],[]
