C	Cn	autism_spectrum_disorder	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Alzheimer's_disease	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	hypertension	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	autistic_disorder	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Huntington's_disease	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Parkinson's_disease	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	epilepsy_syndrome	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	multiple_sclerosis	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	bipolar_disorder	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	schizophrenia	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	frontotemporal_dementia	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
1	74		5	3.3584	1.5374	[0.61,3.85]	0.269542	1	0.1		0.739177	1			25	8.05028	4.35103	[2.66,7.11]	7.44296e-08	0.000417382	0.1	***	1	1			17	4.60957	4.71523	[2.70,8.22]	1.43182e-06	0.00401465	0.1	**	1	1			5	3.30901	1.56204	[0.62,3.92]	0.272116	1	0.1		0.739324	1			6	1.30056	5.25544	[2.21,12.50]	0.00146647	0.747599	0.1		0.999723	1			14	3.47364	5.00305	[2.75,9.11]	4.9956e-06	0.0103472	0.1	**	0.999999	1			6	4.28031	1.44755	[0.62,3.37]	0.187225	1	0.1		0.800109	1			10	3.02914	3.81376	[1.93,7.55]	0.000583114	0.344206	0.1		0.999824	1			8	4.67542	1.82038	[0.87,3.83]	0.0977775	1	0.1		0.911459	1			22	10.816	2.52247	[1.52,4.18]	0.00048256	0.300675	0.1		0.999677	1			8	1.89321	4.887	[2.29,10.43]	0.000436072	0.300675	0.1		0.999906	1		
2	275		6	12.4805	0.453081	[0.20,1.03]	0.0283273	1	0.1		0.0168905	1			24	29.9166	0.772137	[0.50,1.19]	0.138347	1	0.1		0.0415318	1			12	17.1301	0.672834	[0.37,1.22]	0.113113	1	0.1		0.0456747	1			6	12.297	0.460395	[0.20,1.05]	0.0317323	1	0.1		0.018744	1			3	4.83315	0.601393	[0.19,1.92]	0.278168	1	0.1		0.149199	1			9	12.9088	0.673007	[0.34,1.33]	0.15733	1	0.1		0.0658901	1			7	15.9066	0.409548	[0.19,0.88]	0.00751994	1	0.1		0.00470629	1			7	11.257	0.596614	[0.28,1.28]	0.11452	1	0.1		0.0555282	1			14	17.3749	0.784731	[0.45,1.36]	0.235686	1	0.1		0.0751204	1			39	40.1947	0.963181	[0.68,1.37]	0.458478	1	0.1		0.0693907	1			5	7.0356	0.691919	[0.28,1.71]	0.284745	1	0.1		0.126964	1		
3	109		2	4.94683	0.387156	[0.09,1.58]	0.120262	1	0.1		0.0827405	1			12	11.8578	1.01381	[0.55,1.86]	0.470905	1	0.1		0.245402	1			1	6.78977	0.1363	[0.02,0.98]	0.00696421	1	0.1		0.0061382	1			2	4.87408	0.393275	[0.10,1.60]	0.126642	1	0.1		0.0866369	1			4	1.91568	2.18971	[0.79,6.10]	0.0822123	1	0.1		0.95824	1			3	5.11657	0.568487	[0.18,1.81]	0.238807	1	0.1		0.132346	1			4	6.30478	0.614583	[0.22,1.68]	0.23472	1	0.1		0.119115	1			6	4.46185	1.37711	[0.60,3.18]	0.298489	1	0.1		0.67386	1			5	6.88676	0.707713	[0.29,1.75]	0.304243	1	0.1		0.132939	1			11	15.9317	0.649839	[0.35,1.22]	0.108387	1	0.1		0.046376	1			0	2.78865	0	[0.00,0.00]	1	1	0.1		1	1		
4	34		1	1.54305	0.635617	[0.09,4.67]	0.538728	1	0.1		0.333805	1			2	3.69878	0.51001	[0.12,2.13]	0.26809	1	0.1		0.166363	1			2	2.11791	0.940423	[0.22,3.94]	0.643789	1	0.1		0.27896	1			1	1.52036	0.645606	[0.09,4.74]	0.546469	1	0.1		0.336599	1			2	0.597553	3.55844	[0.84,15.11]	0.0982305	1	0.1		0.978855	1			3	1.596	1.97875	[0.60,6.53]	0.139717	1	0.1		0.92716	1			5	1.96663	2.84381	[1.09,7.41]	0.0317	1	0.1		0.987924	1			1	1.39177	0.708395	[0.10,5.21]	0.591385	1	0.1		0.351216	1			2	2.14816	0.926197	[0.22,3.88]	0.63532	1	0.1		0.278382	1			7	4.96952	1.52006	[0.66,3.51]	0.214814	1	0.1		0.780552	1			2	0.869855	2.40487	[0.57,10.16]	0.160682	1	0.1		0.945036	1		
5	2		0	0.0907675	0	[0.00,0.00]	1	1	0.1		1	1			0	0.217575	0	[0.00,0.00]	1	1	0.1		1	1			1	0.124583	15.1039	[0.94,242.13]	0.116848	1	0.1		0.996133	1			0	0.0894327	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0351502	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0938821	0	[0.00,0.00]	1	1	0.1		1	1			0	0.115684	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0818687	0	[0.00,0.00]	1	1	0.1		1	1			0	0.126363	0	[0.00,0.00]	1	1	0.1		1	1			1	0.292325	5.84909	[0.37,93.63]	0.249653	1	0.1		0.978664	1			0	0.051168	0	[0.00,0.00]	1	1	0.1		1	1		
6	24		4	1.08921	4.271	[1.45,12.61]	0.0175855	1	0.1		0.996157	1			2	2.6109	0.7437	[0.17,3.17]	0.506538	1	0.1		0.259652	1			1	1.49499	0.653265	[0.09,4.86]	0.553776	1	0.1		0.341035	1			4	1.07319	4.33909	[1.47,12.82]	0.0168	1	0.1		0.996396	1			0	0.421802	0	[0.00,0.00]	1	1	0.1		1	1			1	1.12659	0.882195	[0.12,6.56]	0.688167	1	0.1		0.373713	1			2	1.38821	1.4845	[0.35,6.35]	0.488117	1	0.1		0.602907	1			0	0.982425	0	[0.00,0.00]	1	1	0.1		1	1			1	1.51635	0.643417	[0.09,4.78]	0.546351	1	0.1		0.338416	1			3	3.5079	0.83377	[0.25,2.80]	0.526126	1	0.1		0.229361	1			1	0.614016	1.66171	[0.22,12.41]	0.339535	1	0.1		0.875533	1		
7	18		0	0.816908	0	[0.00,0.00]	1	1	0.1		1	1			1	1.95818	0.480834	[0.06,3.62]	0.401692	1	0.1		0.276421	1			3	1.12125	3.03249	[0.87,10.54]	0.0750407	1	0.1		0.97749	1			0	0.804894	0	[0.00,0.00]	1	1	0.1		1	1			0	0.316352	0	[0.00,0.00]	1	1	0.1		1	1			1	0.844939	1.19524	[0.16,9.02]	0.373988	1	0.1		0.794159	1			2	1.04116	2.04409	[0.47,8.94]	0.197681	1	0.1		0.917964	1			0	0.736819	0	[0.00,0.00]	1	1	0.1		1	1			1	1.13726	0.871752	[0.12,6.57]	0.683809	1	0.1		0.375632	1			1	2.63092	0.342629	[0.05,2.58]	0.236849	1	0.1		0.17901	1			0	0.460512	0	[0.00,0.00]	1	1	0.1		1	1		
8	246		7	11.1644	0.602426	[0.28,1.29]	0.120133	1	0.1		0.0577539	1			34	26.7617	1.3373	[0.92,1.95]	0.0841204	1	0.1		0.886235	1			14	15.3237	0.903584	[0.52,1.57]	0.424923	1	0.1		0.104816	1			6	11.0002	0.519744	[0.23,1.18]	0.06849	1	0.1		0.03744	1			3	4.32347	0.677875	[0.21,2.16]	0.364226	1	0.1		0.180336	1			13	11.5475	1.14152	[0.64,2.03]	0.376953	1	0.1		0.465015	1			13	14.2291	0.903998	[0.51,1.60]	0.432986	1	0.1		0.109033	1			7	10.0699	0.673806	[0.31,1.45]	0.200796	1	0.1		0.0869874	1			13	15.5426	0.818998	[0.46,1.45]	0.299623	1	0.1		0.0903474	1			33	35.956	0.900032	[0.62,1.31]	0.329916	1	0.1		0.065514	1			5	6.29366	0.780649	[0.32,1.93]	0.391668	1	0.1		0.155333	1		
9	4		0	0.181535	0	[0.00,0.00]	1	1	0.1		1	1			0	0.43515	0	[0.00,0.00]	1	1	0.1		1	1			0	0.249166	0	[0.00,0.00]	1	1	0.1		1	1			0	0.178865	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0703003	0	[0.00,0.00]	1	1	0.1		1	1			0	0.187764	0	[0.00,0.00]	1	1	0.1		1	1			1	0.231368	5.44659	[0.56,52.55]	0.193619	1	0.1		0.981497	1			0	0.163737	0	[0.00,0.00]	1	1	0.1		1	1			1	0.252725	4.95642	[0.51,47.80]	0.207915	1	0.1		0.978079	1			3	0.58465	17.6009	[1.83,169.47]	0.0106301	1	0.1		0.999547	1			0	0.102336	0	[0.00,0.00]	1	1	0.1		1	1		
10	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108788	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			0	0.146162	0	[0.00,0.00]	1	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
