IDS	rat.gene.name	rat.entrez.ID	rat.uniprot	mouse.gene.name	mouse.entrez.ID	mouse.uniprot	human.gene.name	human.entez.ID	human.uniprot	% Cov	Peptide (95%)
Q13813	Sptan1	64159	P16086	Sptan1	20740	A3KGU5	SPTAN1	6709	Q13813	60.6	156
Q01082	Sptbn1	305614	Q6XD99	Sptbn1	20742	Q62261	SPTBN1	6711	Q01082	52.7	131
P07197	Nefm	24588	P12839	Nefm	18040	P08553	NEFM	4741	P07197	81.6	105
Q01484	Ank2	362036	NA	Ank2	109676	Q8C8R3	ANK2	287	Q01484	37.4	111
Q14204	Dync1h1	29489	P38650	Dync1h1	13424	Q9JHU4	DYNC1H1	1778	Q14204	30.1	76
Q13885	Tubb2a	498736	P85108	Tubb2a	22151	Q7TMM9	TUBB2A	7280	Q13885	75.1	148
Q05193	Dnm1	140694	P21575	Dnm1	13429	P39053	DNM1	1759	Q05193	60.2	100
Q9Y2J2	Epb41l3	116724	A3E0T0	Epb41l3	13823	Q9WV92	EPB41L3	23136	Q9Y2J2	60.1	84
Q15149	Plec	64204	F7F9U6	Plec	18810	Q9QXS1	PLEC	5339	Q15149	34.5	77
P17600	Syn1	24949	P09951	Syn1	20964	O88935	SYN1	6853	P17600	77.2	125
P11137	Map2	25595	P15146	Map2	17756	P20357	MAP2	4133	P11137	45.2	63
P68363	Tuba1b	500929	NA	NA	NA	NA	TUBA1B	10376	P68363	74.7	130
Q00610	Cltc	54241	P11442	Cltc	67300	Q68FD5	CLTC	1213	Q00610	33.8	67
P46821	Map1b	29456	P15205	Map1b	17755	P14873	MAP1B	4131	P46821	31.6	65
P46459	Nsf	60355	Q9QUL6	Nsf	18195	P46460	NSF	4905	P46459	58.5	76
P61764	Stxbp1	25558	P61765	Stxbp1	20910	O08599	STXBP1	6812	P61764	63.6	82
P07900	Hsp90aa1	299331	P82995	Hsp90aa1	15519	P07901	HSP90AA1	3320	P07900	49.7	65
P02686	Mbp	24547	P02688	Mbp	17196	P04370	MBP	4155	P02686	80.3	135
P80723	LOC100910172	100910172	NA	Basp1	70350	Q91XV3	BASP1	10409	P80723	95.6	91
Q16555	Dpysl2	25416	P47942	Dpysl2	12934	O08553	DPYSL2	1808	Q16555	67.5	96
P09543	Cnp	25275	P13233	Cnp	12799	P16330	CNP	1267	P09543	69.8	87
P63261	Actg1	287876	P63259	Actg1	11465	P63260	ACTG1	71	P63261	71.2	106
Q96JE9	Map6	29457	Q63560	Map6	17760	Q7TSJ2	MAP6	4135	Q96JE9	73.6	52
P78559	Map1a	25152	P34926	Map1a	17754	Q9QYR6	MAP1A	4130	P78559	32.5	49
P11142	Hspa8	24468	P63018	Hspa8	15481	P63017	HSPA8	3312	P11142	66.1	69
P04406	Gapdh	24383	P04797	Gapdh	14433	P16858	GAPDH	2597	P04406	66	96
Q02952	Akap12	83425	Q5QD51	Akap12	83397	Q9WTQ5	AKAP12	9590	Q02952	35.9	40
P07196	Nefl	83613	P19527	Nefl	18039	P08551	NEFL	4747	P07196	65	54
Q16352	Ina	24503	P23565	Ina	226180	P46660	INA	9118	Q16352	65.9	53
P13637	Atp1a3	24213	P06687	Atp1a3	232975	Q6PIC6	ATP1A3	478	P13637	39.4	43
Q12860	Cntn1	117258	Q63198	Cntn1	12805	P12960	CNTN1	1272	Q12860	45.8	38
O43301	Hspa12a	307997	D3ZC55	Hspa12a	73442	Q8K0U4	HSPA12A	259217	O43301	53.3	38
O60282	Kif5c	311024	G3V6L4	Kif5c	16574	P28738	KIF5C	3800	O60282	43.4	37
Q9NZN3	Ehd3	192249	Q8R491	Ehd3	57440	Q9QXY6	EHD3	30845	Q9NZN3	59.4	35
Q99798	Aco2	79250	Q9ER34	Aco2	11429	Q99KI0	ACO2	50	Q99798	54	33
P19367	Hk1	25058	P05708	Hk1	15275	P17710	HK1	3098	P19367	41.7	36
P38606	Atp6v1a	685232	D4A133	Atp6v1a	11964	P50516	ATP6V1A	523	P38606	58.2	43
P25705	Atp5a1	65262	P15999	Atp5a1	11946	Q03265	ATP5A1	498	P25705	53.9	43
P10636	Mapt	29477	D4A1Q2	Mapt	17762	P10637	MAPT	4137	P10636	52.8	48
P06733	Eno1	24333	P04764	Eno1	13806	NA	ENO1	2023	P06733	62.4	51
P04075	Aldoa	24189	P05065	Aldoa	11674	P05064	ALDOA	226	P04075	81.3	58
P11021	Hspa5	25617	P06761	Hspa5	14828	P20029	HSPA5	3309	P11021	54.3	37
P06744	Gpi	292804	Q6P6V0	Gpi1	14751	P06745	GPI	2821	P06744	55.7	43
P28331	Ndufs1	301458	Q66HF1	Ndufs1	227197	Q91VD9	NDUFS1	4719	P28331	52.7	33
Q01813	Pfkp	60416	P47860	Pfkp	56421	Q9WUA3	PFKP	5214	Q01813	37.1	32
P22314	Uba1	314432	Q5U300	Uba1	22201	Q02053	UBA1	7317	P22314	34.8	32
P00367	Glud1	24399	P10860	Glud1	14661	P26443	GLUD1	2746	P00367	55.9	34
P11216	Pygb	25739	P53534	Pygb	110078	Q8CI94	PYGB	5834	P11216	44.4	30
Q14203	Dctn1	29167	P28023	Dctn1	13191	O08788	DCTN1	1639	Q14203	35.2	29
O94856	Nfasc	116690	P97685	Nfasc	269116	Q810U3	NFASC	23114	O94856	26.5	31
P08107	NA	NA	NA	NA	NA	NA	NA	NA	P08107	47	38
P31150	Gdi1	25183	P50398	Gdi1	14567	P50396	GDI1	2664	P31150	59.5	35
P12036	Nefh	24587	F1LRZ7	Nefh	380684	P19246	NEFH	4744	P12036	51.4	37
P14618	Pkm	25630	P11980	Pkm	18746	P52480	PKM	5315	P14618	57.8	47
Q9H4G0	Epb41l1	59317	Q9WTP0	Epb41l1	13821	Q9Z2H5	EPB41L1	2036	Q9H4G0	45.1	39
Q9Y4I1	Myo5a	25017	Q9QYF3	Myo5a	17918	Q99104	MYO5A	4644	Q9Y4I1	26	29
P08238	Hsp90ab1	301252	P34058	Hsp90ab1	15516	P11499	HSP90AB1	3326	P08238	50.8	59
Q9NVA2	Sept11	305227	B3GNI6	Sept11	52398	Q8C1B7	SEPT11	55752	Q9NVA2	50.4	32
P12277	Ckb	24264	P07335	Ckb	12709	Q04447	CKB	1152	P12277	72.4	66
P49327	Fasn	50671	P12785	Fasn	14104	P19096	FASN	2194	P49327	20.3	25
Q9UQM7	Camk2a	25400	P11275	Camk2a	12322	P11798	CAMK2A	815	Q9UQM7	43.7	35
P35611	Add1	24170	Q63028	Add1	11518	Q9QYC0	ADD1	118	P35611	42.2	36
P09972	Aldoc	24191	P09117	Aldoc	11676	P05063	ALDOC	230	P09972	68.7	41
P06576	Atp5b	171374	P10719	Atp5b	11947	P56480	ATP5B	506	P06576	50.7	44
P17174	Got1	24401	P13221	Got1	14718	P05201	GOT1	2805	P17174	64.4	33
P63010	Ap2b1	140670	P62944	Ap2b1	71770	Q9DBG3	AP2B1	163	P63010	34	24
P17677	Gap43	29423	P07936	Gap43	14432	P06837	GAP43	2596	P17677	92.4	43
O95782	Ap2a1	308578	D3ZUY8	Ap2a1	11771	P17426	AP2A1	160	O95782	34.2	25
P40939	Hadha	170670	Q64428	Hadha	97212	Q8BMS1	HADHA	3030	P40939	43.3	29
Q16891	Immt	312444	Q3KR86	Immt	76614	Q8CAQ8	IMMT	10989	Q16891	44.3	24
P00558	Pgk1	24644	P16617	Pgk1	18655	P09411	PGK1	5230	P00558	68.4	32
P38646	Hspa9	291671	F1M953	Hspa9	15526	P38647	HSPA9	3313	P38646	43.5	26
P08670	Vim	81818	P31000	Vim	22352	P20152	VIM	7431	P08670	59	29
P48735	Idh2	361596	P56574	Idh2	269951	P54071	IDH2	3418	P48735	52	27
O43426	Synj1	85238	Q62910	Synj1	104015	D3Z656	SYNJ1	8867	O43426	24.2	24
Q96KP4	Cndp2	291394	Q6Q0N1	Cndp2	66054	Q9D1A2	CNDP2	55748	Q96KP4	54.7	24
Q9UPA5	Bsn	29138	G3V984	Bsn	12217	O88737	BSN	8927	Q9UPA5	22.1	31
P30101	Pdia3	29468	P11598	Pdia3	14827	P27773	PDIA3	2923	P30101	49.9	23
Q9UQ16	Dnm3	171574	Q08877	Dnm3	103967	Q8BZ98	DNM3	26052	Q9UQ16	45.1	42
Q16181	Sept7	64551	Q9WVC0	Sept7	235072	O55131	SEPT7	989	Q16181	55.2	42
P02511	Cryab	25420	P23928	Cryab	12955	P23927	CRYAB	1410	P02511	66.9	39
P11498	Pc	25104	P52873	Pcx	18563	E9QPD7	PC	5091	P11498	33.4	22
P40926	Mdh2	81829	P04636	Mdh2	17448	P08249	MDH2	4191	P40926	64.8	29
O43491	Epb41l2	309557	D3ZM69	Epb41l2	13822	O70318	EPB41L2	2037	O43491	38.9	27
O75746	Slc25a12	362145	NA	Slc25a12	78830	Q8BH59	SLC25A12	8604	O75746	41.6	22
P08133	Anxa6	79125	Q6IMZ3	Anxa6	11749	P14824	ANXA6	309	P08133	47.4	20
Q9UHD8	Sept9	83788	Q9QZR6	Sept9	53860	Q80UG5	SEPT9	10801	Q9UHD8	47.1	24
P21281	Atp6v1b2	117596	P62815	Atp6v1b2	11966	P62814	ATP6V1B2	526	P21281	49.5	31
P26232	Ctnna2	297357	D4A6H8	Ctnna2	12386	Q61301	CTNNA2	1496	P26232	40.3	22
O94819	Kbtbd11	306617	D4A5J1	Kbtbd11	74901	Q8BNW9	KBTBD11	9920	O94819	47.8	25
Q13423	Nnt	310378	Q5BJZ3	Nnt	18115	Q8C1W8	NNT	23530	Q13423	26.9	21
P60174	Tpi1	24849	P48500	Tpi1	21991	P17751	TPI1	7167	P60174	71.3	32
P51659	Hsd17b4	79244	P97852	Hsd17b4	15488	P51660	HSD17B4	3295	P51659	35.7	20
Q13153	Pak1	29431	P35465	Pak1	18479	G5E884	PAK1	5058	Q13153	49.4	23
Q9Y4G6	Tln2	315776	NA	Tln2	70549	Q71LX4	TLN2	83660	Q9Y4G6	16.1	21
P09936	Uchl1	29545	Q00981	Uchl1	22223	Q9R0P9	UCHL1	7345	P09936	80.3	40
Q92598	Hsph1	288444	Q66HA8	Hsph1	15505	Q61699	HSPH1	10808	Q92598	37	21
Q9C040	Trim2	361970	D3ZQG6	Trim2	80890	Q9ESN6	TRIM2	23321	Q9C040	41	23
P16152	LOC100912203	100912203	NA	Cbr1	12408	P48758	CBR1	873	P16152	79.1	26
P14625	Hsp90b1	362862	Q66HD0	Hsp90b1	22027	P08113	HSP90B1	7184	P14625	38	22
P55072	Vcp	116643	P46462	Vcp	269523	Q01853	VCP	7415	P55072	40.6	21
P42658	Dpp6	29272	P46101	Dpp6	13483	Q9Z218	DPP6	1804	P42658	32.3	19
P04350	Tubb4a	29213	B4F7C2	Tubb4a	22153	Q9D6F9	TUBB4A	10382	P04350	77	146
P11586	Mthfd1	64300	P27653	Mthfd1	108156	Q922D8	MTHFD1	4522	P11586	30.7	19
Q9UEY8	Add3	25230	Q62847	Add3	27360	Q9QYB5	ADD3	120	Q9UEY8	37.7	21
Q9NQC3	Rtn4	83765	Q9JK11	Rtn4	68585	Q99P72	RTN4	57142	Q9NQC3	28.9	25
Q9Y2J0	Rph3a	171039	P47709	Rph3a	19894	P47708	RPH3A	22895	Q9Y2J0	47.7	23
Q8N573	Oxr1	117520	Q4V8B0	Oxr1	170719	Q4KMM3	OXR1	55074	Q8N573	35.5	23
P78357	Cntnap1	84008	P97846	Cntnap1	53321	O54991	CNTNAP1	8506	P78357	19.4	20
Q9C0H9	Srcin1	56029	Q9QXY2	Srcin1	56013	Q9QWI6	SRCIN1	80725	Q9C0H9	37.3	21
P53396	Acly	24159	P16638	Acly	104112	Q91V92	ACLY	47	P53396	27.6	19
P49588	Aars	292023	P50475	Aars	234734	Q8BGQ7	AARS	16	P49588	29.3	19
O00429	Dnm1l	114114	O35303	Dnm1l	74006	Q8K1M6	DNM1L	10059	O00429	36.1	22
P49411	Tufm	293481	P85834	Tufm	233870	Q8BFR5	TUFM	7284	P49411	52	19
P68104	Eef1a1	171361	P62630	Eef1a1	13627	P10126	EEF1A1	1915	P68104	46.3	39
Q9BY11	Pacsin1	29704	Q9Z0W5	Pacsin1	23969	Q61644	PACSIN1	29993	Q9BY11	60.6	24
Q13561	Dctn2	299850	Q6AYH5	Dctn2	69654	Q99KJ8	DCTN2	10540	Q13561	48.6	19
O94925	Gls	24398	P13264	Gls	14660	D3Z7P3	GLS	2744	O94925	39.6	20
P31939	Atic	81643	O35567	Atic	108147	Q9CWJ9	ATIC	471	P31939	41.6	19
Q14697	Ganab	293721	D3ZAN3	Ganab	14376	Q8BHN3	GANAB	23193	Q14697	27.3	18
P18669	Pgam1	24642	P25113	Pgam1	18648	Q9DBJ1	PGAM1	5223	P18669	54.7	29
Q01814	Atp2b2	24215	P11506	Atp2b2	11941	Q9R0K7	ATP2B2	491	Q01814	23.9	19
P07195	Ldhb	24534	P42123	Ldhb	16832	P16125	LDHB	3945	P07195	46.7	23
Q09666	Ahnak	191572	A0A0G2JUA5	Ahnak	66395	E9Q616	AHNAK	79026	Q09666	25.4	27
Q02750	Map2k1	170851	Q01986	Map2k1	26395	P31938	MAP2K1	5604	Q02750	43.5	20
Q14194	Crmp1	25415	Q62950	Crmp1	12933	P97427	CRMP1	1400	Q14194	49.3	38
Q12955	Ank3	361833	O70511	Ank3	11735	G5E8K5	ANK3	288	Q12955	16.8	43
P45974	LOC100911959	100911959	NA	Usp5	22225	P56399	USP5	8078	P45974	25.6	18
O75061	Dnajc6	313409	D4A0I5	Dnajc6	72685	Q80TZ3	DNAJC6	9829	O75061	29.1	22
Q06830	Prdx1	117254	Q63716	Prdx1	18477	P35700	PRDX1	5052	Q06830	60.8	25
Q9ULU8	Cadps	26989	Q62717	Cadps	27062	Q80TJ1	CADPS	8618	Q9ULU8	27.1	18
P60880	Snap25	25012	P60881	Snap25	20614	P60879	SNAP25	6616	P60880	72.3	17
Q8WXD9	Caskin1	140722	Q8VHK2	Caskin1	268932	Q6P9K8	CASKIN1	57524	Q8WXD9	28.2	18
P35612	Add2	24171	Q05764	Add2	11519	Q9QYB8	ADD2	119	P35612	32.8	26
P55084	Hadhb	171155	Q60587	Hadhb	231086	Q99JY0	HADHB	3032	P55084	37.6	20
Q02218	Ogdh	360975	Q5XI78	Ogdh	18293	Q60597	OGDH	4967	Q02218	27.5	19
P49418	Amph	60668	O08838	Amph	218038	Q7TQF7	AMPH	273	P49418	37.3	19
O15020	Sptbn2	29211	Q9QWN8	Sptbn2	20743	Q68FG2	SPTBN2	6712	O15020	22.8	32
P21579	Syt1	25716	P21707	Syt1	20979	P46096	SYT1	6857	P21579	37.9	18
Q9NYI0	Psd3	306380	NA	Psd3	234353	Q2PFD7	PSD3	23362	Q9NYI0	26.5	23
Q96CW1	Ap2m1	116563	P84092	Ap2m1	11773	P84091	AP2M1	1173	Q96CW1	47.6	20
P50990	Cct8	288305	D4ACB8	Cct8	12469	P42932	CCT8	10694	P50990	42.9	16
