Q13813,SPTA2,"Spectrin α chain, brain",60.6,156
Q01082,SPTB2,"Spectrin β chain, brain 1",52.7,131
P07197,NFM,Neurofilament medium polypeptide,81.6,105
Q01484,ANK2,Ankyrin-2,37.4,111
Q14204,DYHC1,Cytoplasmic dynein 1 heavy chain 1,30.1,76
Q13885,TBB2A,Tubulin β-2A chain,75.1,148
Q05193,DYN1,Dynamin-1,60.2,100
Q9Y2J2,E41L3,Band 4.1-like protein 3,60.1,84
Q15149,PLEC,Plectin,34.5,77
P17600,SYN1,Synapsin-1,77.2,125
P11137,MAP2,Microtubule-associated protein 2,45.2,63
P68363,TBA1B,Tubulin α-1B chain,74.7,130
Q00610,CLH1,Clathrin heavy chain 1,33.8,67
P46821,MAP1B,Microtubule-associated protein 1B,31.6,65
P46459,NSF,Vesicle-fusing ATPase,58.5,76
P61764,STXB1,Syntaxin-binding protein 1,63.6,82
P07900,HS90A,Heat shock protein HSP 90-α,49.7,65
P02686,MBP,Myelin basic protein,80.3,135
P80723,BASP1,Brain acid soluble protein 1,95.6,91
Q16555,DPYL2,Dihydropyrimidinase-related protein 2,67.5,96
P09543,CN37,"2',3'-cyclic-nucleotide 3'-phosphodiesterase",69.8,87
P63261,ACTG,"Actin, cytoplasmic 2",71.2,106
Q96JE9,MAP6,Microtubule-associated protein 6,73.6,52
P78559,MAP1A,Microtubule-associated protein 1A,32.5,49
P11142,HSP7C,Heat shock cognate 71 kDa protein,66.1,69
P04406,G3P,Glyceraldehyde-3-phosphate dehydrogenase,66,96
Q02952,AKA12,A-kinase anchor protein 12,35.9,40
P07196,NFL,Neurofilament light polypeptide,65,54
Q16352,AINX,α-Internexin,65.9,53
P1363+7,AT1A3,Na+/K+-Transporting ATPase subunit α-3,39.4,43
Q12860,CNTN1,Contactin-1,45.8,38
O43301,HS12A,Heat shock 70 kDa protein 12A,53.3,38
O60282,KIF5C,Kinesin heavy chain isoform 5C,43.4,37
Q9NZN3,EHD3,EH domain-containing protein 3,59.4,35
Q99798,ACON,"Aconitate hydratase, mitochondrial",54,33
P19367,HXK1,Hexokinase-1,41.7,36
P38606,VATA,V-type proton ATPase catalytic subunit A,58.2,43
P25705,ATPA,"ATP synthase subunit α, mitochondrial",53.9,43
P10636,Τ,Microtubule-associated protein τ,52.8,48
P06733,ENOA,α-Enolase,62.4,51
P04075,ALDOA,Fructose-bisphosphate aldolase α,81.3,58
P11021,GRP78,78 kDa glucose-regulated protein,54.3,37
P06744,G6PI,Glucose-6-phosphate isomerase,55.7,43
P28331,NDUS1,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",52.7,33
Q01813,K6PP,6-phosphofructokinase type C,37.1,32
P22314,UBA1,Ubiquitin-like modifier-activating enzyme 1,34.8,32
P00367,DHE3,"Glutamate dehydrogenase 1, mitochondrial",55.9,34
P11216,PYGB,"Glycogen phosphorylase, brain form",44.4,30
Q14203,DCTN1,Dynactin subunit 1,35.2,29
O94856,NFASC,Neurofascin,26.5,31
P08107,HSP71,Heat shock 70 kDa protein 1A/1B,47,38
P31150,GDIA,Rab GDP dissociation inhibitor α,59.5,35
P12036,NFH,Neurofilament heavy polypeptide,51.4,37
P14618,KPYM,Pyruvate kinase isozymes M1/M2,57.8,47
Q9H4G0,E41L1,Band 4.1-like protein 1,45.1,39
Q9Y4I1,MYO5A,Unconventional myosin-Va,26,29
P08238,HS90B,Heat shock protein HSP 90-β,50.8,59
Q9NVA2,Sep-11,Septin-11,50.4,32
P12277,KCRB,Creatine kinase B-type,72.4,66
P49327,FAS,Fatty acid synthase,20.3,25
Q9UQM7,KCC2A,Ca2+/calmodulin-dependent protein kinase II subunit α,43.7,35
P35611,ADDA,α-Adducin,42.2,36
P09972,ALDOC,Fructose-bisphosphate aldolase C,68.7,41
P06576,ATPB,"ATP synthase subunit β, mitochondrial",50.7,44
P17174,AATC,"Aspartate aminotransferase, cytoplasmic",64.4,33
P63010,AP2B1,AP-2 complex subunit β,34,24
P17677,NEUM,Neuromodulin,92.4,43
O95782,AP2A1,AP-2 complex subunit α-1,34.2,25
P40939,ECHA,"Trifunctional enzyme subunit α, mitochondrial",43.3,29
Q16891,IMMT,Mitochondrial inner membrane protein,44.3,24
P00558,PGK1,Phosphoglycerate kinase 1,68.4,32
P38646,GRP75,"Stress-70 protein, mitochondrial",43.5,26
P08670,VIME,Vimentin,59,29
P48735,IDHP,"Isocitrate dehydrogenase [NADP], mitochondrial",52,27
O43426,SYNJ1,Synaptojanin-1,24.2,24
Q96KP4,CNDP2,Cytosolic non-specific dipeptidase,54.7,24
Q9UPA5,BSN,Protein bassoon,22.1,31
P30101,PDIA3,Protein disulfide-isomerase A3,49.9,23
Q9UQ16,DYN3,Dynamin-3,45.1,42
