MOUSE.ENTREZ.ID	MOUSE.GENE.NAME	HUMAN.ENTREZ.ID	HUMAN.GENE.NAME	ZIV_synapse	ZIV_full	BIESMANN_2014	FILIOU	CHANG.2015	DAHLHAUS.2011	DISTLER_2014	KOHANSAL.NODEHI_2016	HEO_2018	ALFIERI_2017	GONZALEZ_LOZANO_2016	LIU_2014
269700	Gm15800	283450	HECTD4	0	0	0	1	1	0	0	1	1	0	0	0
73072	Prr36	80164	PRR36	0	0	0	1	1	0	0	1	0	0	0	0
68045	2700060E02Rik	51637	C14orf166	0	0	0	1	0	0	1	1	1	0	0	1
15122	Hba-a1	3039	HBA1	0	0	0	0	1	0	1	0	0	0	0	0
320827	C530008M17Rik	NA	NA	0	0	0	1	0	0	1	1	0	0	0	0
216152	BC005764	79948	LPPR3	0	0	0	1	0	0	1	1	0	0	1	0
110957	D1Pas1	NA	NA	0	0	0	1	0	0	1	1	0	0	1	1
215821	Arfgef3	57221	ARFGEF3	0	0	0	1	1	0	1	1	0	0	1	1
664994	Isoc2a	79763	ISOC2	0	0	0	0	1	0	1	1	1	0	0	0
28006	Fam21	387680	FAM21A	0	0	0	1	1	0	0	1	1	0	0	0
24067	Srp54a	6729	SRP54	0	0	0	1	1	0	0	0	1	0	0	0
12319	Car8	767	CA8	0	0	0	1	0	0	0	1	0	0	0	0
224904	2410015M20Rik	125988	C19orf70	0	0	0	1	0	1	1	0	1	0	0	0
64833	Acot10	NA	NA	0	0	0	1	0	0	0	1	1	0	1	0
208618	Etl4	56243	KIAA1217	0	0	0	1	1	0	1	1	1	1	0	1
241770	Rims4	140730	RIMS4	0	0	0	1	0	0	1	1	0	1	0	0
210933	Adgrb3	577	ADGRB3	0	0	0	1	0	0	1	1	1	1	1	0
70247	Psmd1	5707	PSMD1	0	1	0	1	1	0	1	1	1	0	1	1
223254	Farp1	10160	FARP1	0	1	0	1	1	0	1	1	1	0	1	0
11815	Apod	347	APOD	0	0	0	0	1	0	0	1	0	0	0	0
208643	Eif4g1	1981	EIF4G1	0	1	0	1	0	0	1	1	0	0	1	1
18807	Pld3	23646	PLD3	0	1	0	0	1	0	1	1	0	0	1	1
74325	Cltb	1212	CLTB	0	1	0	1	1	1	1	1	1	0	1	1
15488	Hsd17b4	3295	HSD17B4	0	1	0	1	1	0	1	1	1	0	1	0
67834	Idh3a	3419	IDH3A	0	1	0	1	1	1	1	1	1	0	1	1
11737	Anp32a	8125	ANP32A	0	1	0	1	0	0	1	1	1	0	0	1
22272	Uqcrq	27089	UQCRQ	0	0	0	0	1	1	1	1	0	0	1	0
67801	Pllp	51090	PLLP	0	0	0	0	1	0	0	1	0	0	0	0
74011	Slc25a27	9481	SLC25A27	0	0	0	1	0	0	0	1	0	0	0	0
208151	Tmem132b	114795	TMEM132B	0	0	0	1	0	0	0	1	1	1	0	0
11515	Adcy9	115	ADCY9	0	0	0	1	0	1	1	1	1	0	1	0
110355	Adrbk1	156	ADRBK1	0	1	0	1	0	0	1	1	0	0	1	1
320840	Negr1	257194	NEGR1	1	1	0	1	1	1	1	1	1	1	1	1
105504	Exoc5	10640	EXOC5	0	1	0	1	0	0	1	1	1	0	1	1
14811	Grin2a	2903	GRIN2A	0	0	0	1	0	1	1	1	1	1	1	0
192176	Flna	2316	FLNA	0	1	0	1	1	0	1	1	0	0	0	1
16952	Anxa1	301	ANXA1	0	1	0	0	0	0	1	0	0	0	0	1
56273	Pex14	5195	PEX14	0	1	0	0	1	0	1	1	1	0	0	0
18770	Pklr	5313	PKLR	0	0	0	1	0	0	1	0	0	0	0	0
227800	Rabgap1	23637	RABGAP1	0	1	0	1	1	0	1	1	1	0	1	0
270685	Mthfd1l	25902	MTHFD1L	0	1	0	1	0	0	1	1	1	0	1	1
73139	Cenpv	201161	CENPV	0	1	0	0	0	0	1	0	0	0	0	0
218035	Vps41	27072	VPS41	0	1	0	1	0	0	1	1	1	0	0	0
69601	Dab2ip	153090	DAB2IP	0	0	0	1	1	0	1	1	0	1	1	1
71770	Ap2b1	163	AP2B1	1	1	0	1	1	1	1	1	1	0	1	1
213541	Ythdf2	51441	YTHDF2	0	1	0	0	0	0	0	0	0	0	0	0
64011	Nrgn	4900	NRGN	0	0	0	0	0	1	0	0	1	0	0	1
75669	Pik3r4	30849	PIK3R4	0	0	0	1	0	0	1	1	1	0	0	0
72469	Plcd3	113026	PLCD3	0	1	0	0	1	0	0	1	0	0	0	0
13384	Mpp3	4356	MPP3	0	0	0	1	0	0	0	1	1	0	1	0
11745	Anxa3	306	ANXA3	0	1	0	1	0	0	1	1	1	0	0	1
70120	Yars2	51067	YARS2	0	0	0	1	1	0	1	1	1	0	0	0
13669	Eif3a	8661	EIF3A	0	1	0	0	0	0	1	1	0	0	0	1
110058	Syt17	51760	SYT17	0	0	0	1	0	0	0	1	0	0	1	0
68581	Tmed10	10972	TMED10	0	0	0	1	1	1	1	1	1	0	1	0
12313	Calm1	801	CALM1	0	0	0	0	0	1	0	1	1	0	1	0
71835	Lancl2	55915	LANCL2	0	1	1	1	1	0	1	1	1	0	1	1
170935	Grid2ip	392862	GRID2IP	0	0	0	1	0	0	1	1	0	0	0	0
12552	Cdh11	1009	CDH11	0	0	0	1	0	0	1	1	1	1	1	1
11764	Ap1b1	162	AP1B1	0	1	0	1	1	0	1	1	1	0	1	1
