"MGI.ID"	"MOUSE.ENTREZ.ID"	"MOUSE.GENE.NAME"	"MOUSE.UNIPROT.ID"	"HGNC.ID"	"HUMAN.ENTREZ.ID"	"HUMAN.GENE.NAME"	"HUMAN.UNIPROT.ID"	"HOMOLOGY"	"HomoloGene.ID"	"BLONDEAU_2004"	"COUGHENOUR_2004"	"PHILLIPS_2005"	"MORCIANO_2005"	"BURRE_2006"	"TAKAMORI_2006"	"KHANNA_2007"	"MORCIANO_2009"	"ABUL_HUSN_2009"	"GORINI_2010"	"GRONBORG_2010"	"ABUL_HUSN_2011"	"BOYKEN_2013"	"WILHELM_2014"	"BRINKMALM_2014"	"WEINGARTEN_2014"	"KOKOTAS_2018"	"Count"
"MGI:1919020"	71770	"Ap2b1"	"Q5SWR1;Q9DBG3"	"HGNC:563"	163	"AP2B1"	"P63010;Q96EL6"	"NO"	NA	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	15
"MGI:105384"	15481	"Hspa8"	"P63017"	"HGNC:5241"	3312	"HSPA8"	"P11142;Q53HF2;V9HW22"	"YES"	68524	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	15
"MGI:95775"	14681	"Gnao1"	"P18872;Q543S2"	"HGNC:4389"	2775	"GNAO1"	"B3KP89;P09471;Q8N6I9;Q6AWC5"	"YES"	39203	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	15
"MGI:87904"	11461	"Actb"	"B2RRX1;P60710"	"HGNC:132"	60	"ACTB"	"P60709;Q1KLZ0;B3KWQ3"	"YES"	110648	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	15
"MGI:1930705"	56216	"Stx1b"	"P61264"	"HGNC:18539"	112755	"STX1B"	"P61266"	"YES"	69375	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	14
"MGI:103286"	11975	"Atp6v0a1"	"Q3TXT5;Q3TY98;Q9Z1G4"	"HGNC:865"	535	"ATP6V0A1"	"Q53ET5;Q53X12;Q5CZH6;Q93050"	"YES"	3795	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	14
"MGI:107363"	20910	"Stxbp1"	"O08599"	"HGNC:11444"	6812	"STXBP1"	"P61764;Q68CM6"	"YES"	2382	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	14
"MGI:88107"	232975	"Atp1a3"	"Q6PIC6;Q8R0E8;Q8VCE0;A0A0G2JGX4"	"HGNC:801"	478	"ATP1A3"	"P13637;Q53ES0;M0R116"	"YES"	113729	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	14
"MGI:894326"	11973	"Atp6v1e1"	"P50518"	"HGNC:857"	529	"ATP6V1E1"	"P36543;Q53Y06"	"YES"	1282	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	14
"MGI:99667"	20979	"Syt1"	"H6RXZ1;P46096"	"HGNC:11509"	6857	"SYT1"	"A0A024RBE9;P21579;J3KQA0"	"YES"	4122	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	14
"MGI:95781"	14688	"Gnb1"	"P62874;Q3TQ70"	"HGNC:4396"	2782	"GNB1"	"B3KVK2;P62873;A0A024R056"	"YES"	55532	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	14
"MGI:98869"	22142	"Tuba1a"	"P68369"	"HGNC:20766"	7846	"TUBA1A"	"Q71U36"	"YES"	68498	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	14
"MGI:1313277"	22318	"Vamp2"	"P63044;Q8CHR4"	"HGNC:12643"	6844	"VAMP2"	"P63027;F8WCA0"	"YES"	7591	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	14
"MGI:104560"	18195	"Nsf"	"P46460"	"HGNC:8016"	4905	"NSF"	"P46459"	"YES"	4502	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	14
"MGI:107384"	13429	"Dnm1"	"P39053"	"HGNC:2972"	1759	"DNM1"	"Q05193;B4DK06;B7ZAC0;A0A0D9SFE4"	"YES"	123905	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	14
